# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = start_model
# method = sample (Default)
#   sample
#     num_samples = 10
#     num_warmup = 5
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = /var/folders/yz/4lf5f4ws1sd6l1jd4wb8hxth0000gn/T/RtmpuCG2N5/standata-695c5f8fe5b.json
# init = 2 (Default)
# random
#   seed = 61898587
# output
#   file = /Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/start/IgG_S/start-202103091711-2-0c22aa.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = --name=start_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_e.1,z_e.2,z_e.3,z_e.4,z_g.1,z_g.2,z_s.1,z_s.2,sigma_a_1,sigma_g_1,sigma_e_1,sigma_s_1,a,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,mu.78,mu.79,mu.80,mu.81,mu.82,mu.83,mu.84,mu.85,mu.86,mu.87,mu.88,mu.89,mu.90,mu.91,mu.92,mu.93,mu.94,mu.95,mu.96,mu.97,mu.98,mu.99,mu.100,mu.101,mu.102,mu.103,mu.104,mu.105,mu.106,mu.107,mu.108,mu.109,mu.110,mu.111,mu.112,mu.113,mu.114,mu.115,mu.116,mu.117,mu.118,mu.119,mu.120,mu.121,mu.122,mu.123,mu.124,mu.125,mu.126,mu.127,mu.128,mu.129,mu.130,mu.131,mu.132,mu.133,mu.134,mu.135,mu.136,mu.137,mu.138,mu.139,mu.140,mu.141,mu.142,mu.143,mu.144,mu.145,mu.146,mu.147,mu.148,mu.149,mu.150,mu.151,mu.152,mu.153,mu.154,mu.155,mu.156,mu.157,mu.158,mu.159,mu.160,mu.161,mu.162,mu.163,mu.164,mu.165,mu.166,mu.167,mu.168,mu.169,mu.170,mu.171,mu.172,mu.173,mu.174,mu.175,mu.176,mu.177,mu.178,mu.179,mu.180,mu.181,mu.182,mu.183,mu.184,mu.185,mu.186,mu.187,mu.188,mu.189,mu.190,mu.191,mu.192,mu.193,mu.194,mu.195,mu.196,mu.197,mu.198,mu.199,mu.200,mu.201,mu.202,mu.203,mu.204,mu.205,mu.206,mu.207,mu.208,mu.209,mu.210,mu.211,mu.212,mu.213,mu.214,mu.215,mu.216,mu.217,mu.218,mu.219,mu.220,mu.221,mu.222,mu.223,mu.224,mu.225,mu.226,mu.227,mu.228,mu.229,mu.230,mu.231,mu.232,mu.233,mu.234,mu.235,mu.236,mu.237,mu.238,mu.239,mu.240,mu.241,mu.242,mu.243,mu.244,mu.245,mu.246,mu.247,mu.248,mu.249,mu.250,mu.251,mu.252,mu.253,mu.254,mu.255,mu.256,mu.257,mu.258,mu.259,mu.260,mu.261,mu.262,mu.263,mu.264,marginal_i,marginal_e_i.1,marginal_e_i.2,marginal_e_i.3,marginal_e_i.4,marginal_g_i.1,marginal_g_i.2,marginal_a_i.1,marginal_a_i.2,marginal_a_i.3,marginal_a_i.4,marginal_a_i.5,marginal_s_i.1,marginal_s_i.2
# Adaptation terminated
# Step size = 0.0201904
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-9772.13,0,0.0201904,0,1,1,9778.54,-0.0403651,1.65072,1.21897,0.619137,-1.22624,-0.104634,1.68844,-0.755059,0.75261,0.962719,0.349103,-0.794629,0.343791,0.992006,5.34754,1.10481,2.24852,1.84314,0.299143,5.70317,5.57662,8.26292,10.2439,3.87254,8.26292,3.15096,6.00493,9.28627,8.85796,9.28627,9.28627,6.2982,2.42183,8.85796,3.44517,6.2982,5.57662,5.70317,5.04894,5.70317,3.44517,6.4323,8.26292,6.4323,7.60869,5.04894,3.87254,8.26292,6.00493,6.72651,5.70317,5.70317,9.28627,2.29827,8.85796,8.85796,9.58969,6.2982,6.2982,5.04894,6.2982,5.70317,9.28627,6.00493,6.4323,5.57961,5.70317,5.04894,7.60869,4.33034,5.70317,5.70317,9.28627,6.72651,5.04894,3.87254,6.72651,6.2982,8.85796,8.26292,3.44517,6.4323,5.04894,8.85796,5.70317,6.2982,7.60869,0.591202,8.26292,7.24529,8.85796,9.28627,4.98159,6.2982,8.85796,9.28627,8.26292,3.60876,5.04894,9.28627,8.26292,8.26292,6.2982,5.70317,8.85796,6.2982,6.2982,6.72651,8.85796,9.28627,8.26292,5.04894,9.28627,7.60869,6.72651,5.70317,8.26292,8.85796,5.04894,3.60876,8.26292,9.28627,7.60869,5.70317,5.70317,8.26292,3.15096,6.4323,4.33034,8.26292,8.85796,4.32736,7.60869,5.70317,7.60869,6.2982,9.28627,9.28627,6.72651,7.60869,9.28627,8.26292,4.26299,9.28627,5.7137,6.00493,3.15096,8.85796,5.04894,9.28627,5.70317,6.72651,8.26292,5.04894,6.4323,8.26292,8.85796,8.26292,9.28627,6.00493,6.00493,5.70317,8.26292,8.85796,5.04894,5.70317,7.60869,8.26292,8.85796,9.28627,8.26292,5.28633,5.57662,7.60869,0.591202,8.26292,8.85796,4.85803,4.99786,9.28627,7.60869,5.28633,4.32736,8.26292,4.98159,8.26292,8.85796,6.2982,6.00493,6.72651,5.04894,7.60869,6.4323,8.85796,3.87254,8.85796,5.04894,5.57662,5.57662,9.28627,6.95202,7.60869,1.7676,8.26292,6.72651,7.60869,6.2982,4.98159,6.4323,5.57662,3.87254,8.85796,6.2982,8.26292,9.28627,9.28627,8.26292,6.00493,4.32736,5.04894,9.28627,8.85796,9.28627,8.85796,8.26292,8.26292,3.15096,7.60869,9.28627,5.04894,8.85796,9.28627,4.39226,9.28627,6.72651,8.70751,7.60869,5.28633,5.04894,1.7676,6.72651,3.87254,6.52371,8.85796,4.85803,7.60869,8.26292,8.26292,4.32736,5.70317,6.2982,5.70317,3.15096,3.87254,5.70317,8.85796,6.2982,2.29827,5.04894,3.87254,6.4323,7.6736,8.26292,7.60869,5.57662,5.70317,5.70317,6.2982,8.26292,9.28627,6.2982,3.44517,7.60869,5.70317,8.26292,7.60869,8.26292,9.28627,9.80505,7.02994,8.26292,8.26292,5.04894,67.5342,67.3248,87.1348,60.1389,76.7957,73.7489,40.9355,60.2886,77.0644,72.7813,66.8309,48.5247,51.7296,77.3272
-9772.13,0,0.0201904,0,1,1,9779.09,-0.0403651,1.65072,1.21897,0.619137,-1.22624,-0.104634,1.68844,-0.755059,0.75261,0.962719,0.349103,-0.794629,0.343791,0.992006,5.34754,1.10481,2.24852,1.84314,0.299143,5.70317,5.57662,8.26292,10.2439,3.87254,8.26292,3.15096,6.00493,9.28627,8.85796,9.28627,9.28627,6.2982,2.42183,8.85796,3.44517,6.2982,5.57662,5.70317,5.04894,5.70317,3.44517,6.4323,8.26292,6.4323,7.60869,5.04894,3.87254,8.26292,6.00493,6.72651,5.70317,5.70317,9.28627,2.29827,8.85796,8.85796,9.58969,6.2982,6.2982,5.04894,6.2982,5.70317,9.28627,6.00493,6.4323,5.57961,5.70317,5.04894,7.60869,4.33034,5.70317,5.70317,9.28627,6.72651,5.04894,3.87254,6.72651,6.2982,8.85796,8.26292,3.44517,6.4323,5.04894,8.85796,5.70317,6.2982,7.60869,0.591202,8.26292,7.24529,8.85796,9.28627,4.98159,6.2982,8.85796,9.28627,8.26292,3.60876,5.04894,9.28627,8.26292,8.26292,6.2982,5.70317,8.85796,6.2982,6.2982,6.72651,8.85796,9.28627,8.26292,5.04894,9.28627,7.60869,6.72651,5.70317,8.26292,8.85796,5.04894,3.60876,8.26292,9.28627,7.60869,5.70317,5.70317,8.26292,3.15096,6.4323,4.33034,8.26292,8.85796,4.32736,7.60869,5.70317,7.60869,6.2982,9.28627,9.28627,6.72651,7.60869,9.28627,8.26292,4.26299,9.28627,5.7137,6.00493,3.15096,8.85796,5.04894,9.28627,5.70317,6.72651,8.26292,5.04894,6.4323,8.26292,8.85796,8.26292,9.28627,6.00493,6.00493,5.70317,8.26292,8.85796,5.04894,5.70317,7.60869,8.26292,8.85796,9.28627,8.26292,5.28633,5.57662,7.60869,0.591202,8.26292,8.85796,4.85803,4.99786,9.28627,7.60869,5.28633,4.32736,8.26292,4.98159,8.26292,8.85796,6.2982,6.00493,6.72651,5.04894,7.60869,6.4323,8.85796,3.87254,8.85796,5.04894,5.57662,5.57662,9.28627,6.95202,7.60869,1.7676,8.26292,6.72651,7.60869,6.2982,4.98159,6.4323,5.57662,3.87254,8.85796,6.2982,8.26292,9.28627,9.28627,8.26292,6.00493,4.32736,5.04894,9.28627,8.85796,9.28627,8.85796,8.26292,8.26292,3.15096,7.60869,9.28627,5.04894,8.85796,9.28627,4.39226,9.28627,6.72651,8.70751,7.60869,5.28633,5.04894,1.7676,6.72651,3.87254,6.52371,8.85796,4.85803,7.60869,8.26292,8.26292,4.32736,5.70317,6.2982,5.70317,3.15096,3.87254,5.70317,8.85796,6.2982,2.29827,5.04894,3.87254,6.4323,7.6736,8.26292,7.60869,5.57662,5.70317,5.70317,6.2982,8.26292,9.28627,6.2982,3.44517,7.60869,5.70317,8.26292,7.60869,8.26292,9.28627,9.80505,7.02994,8.26292,8.26292,5.04894,67.5342,67.3248,87.1348,60.1389,76.7957,73.7489,40.9355,60.2886,77.0644,72.7813,66.8309,48.5247,51.7296,77.3272
-9772.13,0,0.0201904,0,1,1,9779.81,-0.0403651,1.65072,1.21897,0.619137,-1.22624,-0.104634,1.68844,-0.755059,0.75261,0.962719,0.349103,-0.794629,0.343791,0.992006,5.34754,1.10481,2.24852,1.84314,0.299143,5.70317,5.57662,8.26292,10.2439,3.87254,8.26292,3.15096,6.00493,9.28627,8.85796,9.28627,9.28627,6.2982,2.42183,8.85796,3.44517,6.2982,5.57662,5.70317,5.04894,5.70317,3.44517,6.4323,8.26292,6.4323,7.60869,5.04894,3.87254,8.26292,6.00493,6.72651,5.70317,5.70317,9.28627,2.29827,8.85796,8.85796,9.58969,6.2982,6.2982,5.04894,6.2982,5.70317,9.28627,6.00493,6.4323,5.57961,5.70317,5.04894,7.60869,4.33034,5.70317,5.70317,9.28627,6.72651,5.04894,3.87254,6.72651,6.2982,8.85796,8.26292,3.44517,6.4323,5.04894,8.85796,5.70317,6.2982,7.60869,0.591202,8.26292,7.24529,8.85796,9.28627,4.98159,6.2982,8.85796,9.28627,8.26292,3.60876,5.04894,9.28627,8.26292,8.26292,6.2982,5.70317,8.85796,6.2982,6.2982,6.72651,8.85796,9.28627,8.26292,5.04894,9.28627,7.60869,6.72651,5.70317,8.26292,8.85796,5.04894,3.60876,8.26292,9.28627,7.60869,5.70317,5.70317,8.26292,3.15096,6.4323,4.33034,8.26292,8.85796,4.32736,7.60869,5.70317,7.60869,6.2982,9.28627,9.28627,6.72651,7.60869,9.28627,8.26292,4.26299,9.28627,5.7137,6.00493,3.15096,8.85796,5.04894,9.28627,5.70317,6.72651,8.26292,5.04894,6.4323,8.26292,8.85796,8.26292,9.28627,6.00493,6.00493,5.70317,8.26292,8.85796,5.04894,5.70317,7.60869,8.26292,8.85796,9.28627,8.26292,5.28633,5.57662,7.60869,0.591202,8.26292,8.85796,4.85803,4.99786,9.28627,7.60869,5.28633,4.32736,8.26292,4.98159,8.26292,8.85796,6.2982,6.00493,6.72651,5.04894,7.60869,6.4323,8.85796,3.87254,8.85796,5.04894,5.57662,5.57662,9.28627,6.95202,7.60869,1.7676,8.26292,6.72651,7.60869,6.2982,4.98159,6.4323,5.57662,3.87254,8.85796,6.2982,8.26292,9.28627,9.28627,8.26292,6.00493,4.32736,5.04894,9.28627,8.85796,9.28627,8.85796,8.26292,8.26292,3.15096,7.60869,9.28627,5.04894,8.85796,9.28627,4.39226,9.28627,6.72651,8.70751,7.60869,5.28633,5.04894,1.7676,6.72651,3.87254,6.52371,8.85796,4.85803,7.60869,8.26292,8.26292,4.32736,5.70317,6.2982,5.70317,3.15096,3.87254,5.70317,8.85796,6.2982,2.29827,5.04894,3.87254,6.4323,7.6736,8.26292,7.60869,5.57662,5.70317,5.70317,6.2982,8.26292,9.28627,6.2982,3.44517,7.60869,5.70317,8.26292,7.60869,8.26292,9.28627,9.80505,7.02994,8.26292,8.26292,5.04894,67.5342,67.3248,87.1348,60.1389,76.7957,73.7489,40.9355,60.2886,77.0644,72.7813,66.8309,48.5247,51.7296,77.3272
-9772.13,0,0.0201904,0,1,1,9776.96,-0.0403651,1.65072,1.21897,0.619137,-1.22624,-0.104634,1.68844,-0.755059,0.75261,0.962719,0.349103,-0.794629,0.343791,0.992006,5.34754,1.10481,2.24852,1.84314,0.299143,5.70317,5.57662,8.26292,10.2439,3.87254,8.26292,3.15096,6.00493,9.28627,8.85796,9.28627,9.28627,6.2982,2.42183,8.85796,3.44517,6.2982,5.57662,5.70317,5.04894,5.70317,3.44517,6.4323,8.26292,6.4323,7.60869,5.04894,3.87254,8.26292,6.00493,6.72651,5.70317,5.70317,9.28627,2.29827,8.85796,8.85796,9.58969,6.2982,6.2982,5.04894,6.2982,5.70317,9.28627,6.00493,6.4323,5.57961,5.70317,5.04894,7.60869,4.33034,5.70317,5.70317,9.28627,6.72651,5.04894,3.87254,6.72651,6.2982,8.85796,8.26292,3.44517,6.4323,5.04894,8.85796,5.70317,6.2982,7.60869,0.591202,8.26292,7.24529,8.85796,9.28627,4.98159,6.2982,8.85796,9.28627,8.26292,3.60876,5.04894,9.28627,8.26292,8.26292,6.2982,5.70317,8.85796,6.2982,6.2982,6.72651,8.85796,9.28627,8.26292,5.04894,9.28627,7.60869,6.72651,5.70317,8.26292,8.85796,5.04894,3.60876,8.26292,9.28627,7.60869,5.70317,5.70317,8.26292,3.15096,6.4323,4.33034,8.26292,8.85796,4.32736,7.60869,5.70317,7.60869,6.2982,9.28627,9.28627,6.72651,7.60869,9.28627,8.26292,4.26299,9.28627,5.7137,6.00493,3.15096,8.85796,5.04894,9.28627,5.70317,6.72651,8.26292,5.04894,6.4323,8.26292,8.85796,8.26292,9.28627,6.00493,6.00493,5.70317,8.26292,8.85796,5.04894,5.70317,7.60869,8.26292,8.85796,9.28627,8.26292,5.28633,5.57662,7.60869,0.591202,8.26292,8.85796,4.85803,4.99786,9.28627,7.60869,5.28633,4.32736,8.26292,4.98159,8.26292,8.85796,6.2982,6.00493,6.72651,5.04894,7.60869,6.4323,8.85796,3.87254,8.85796,5.04894,5.57662,5.57662,9.28627,6.95202,7.60869,1.7676,8.26292,6.72651,7.60869,6.2982,4.98159,6.4323,5.57662,3.87254,8.85796,6.2982,8.26292,9.28627,9.28627,8.26292,6.00493,4.32736,5.04894,9.28627,8.85796,9.28627,8.85796,8.26292,8.26292,3.15096,7.60869,9.28627,5.04894,8.85796,9.28627,4.39226,9.28627,6.72651,8.70751,7.60869,5.28633,5.04894,1.7676,6.72651,3.87254,6.52371,8.85796,4.85803,7.60869,8.26292,8.26292,4.32736,5.70317,6.2982,5.70317,3.15096,3.87254,5.70317,8.85796,6.2982,2.29827,5.04894,3.87254,6.4323,7.6736,8.26292,7.60869,5.57662,5.70317,5.70317,6.2982,8.26292,9.28627,6.2982,3.44517,7.60869,5.70317,8.26292,7.60869,8.26292,9.28627,9.80505,7.02994,8.26292,8.26292,5.04894,67.5342,67.3248,87.1348,60.1389,76.7957,73.7489,40.9355,60.2886,77.0644,72.7813,66.8309,48.5247,51.7296,77.3272
-9772.13,0,0.0201904,0,1,1,9785.65,-0.0403651,1.65072,1.21897,0.619137,-1.22624,-0.104634,1.68844,-0.755059,0.75261,0.962719,0.349103,-0.794629,0.343791,0.992006,5.34754,1.10481,2.24852,1.84314,0.299143,5.70317,5.57662,8.26292,10.2439,3.87254,8.26292,3.15096,6.00493,9.28627,8.85796,9.28627,9.28627,6.2982,2.42183,8.85796,3.44517,6.2982,5.57662,5.70317,5.04894,5.70317,3.44517,6.4323,8.26292,6.4323,7.60869,5.04894,3.87254,8.26292,6.00493,6.72651,5.70317,5.70317,9.28627,2.29827,8.85796,8.85796,9.58969,6.2982,6.2982,5.04894,6.2982,5.70317,9.28627,6.00493,6.4323,5.57961,5.70317,5.04894,7.60869,4.33034,5.70317,5.70317,9.28627,6.72651,5.04894,3.87254,6.72651,6.2982,8.85796,8.26292,3.44517,6.4323,5.04894,8.85796,5.70317,6.2982,7.60869,0.591202,8.26292,7.24529,8.85796,9.28627,4.98159,6.2982,8.85796,9.28627,8.26292,3.60876,5.04894,9.28627,8.26292,8.26292,6.2982,5.70317,8.85796,6.2982,6.2982,6.72651,8.85796,9.28627,8.26292,5.04894,9.28627,7.60869,6.72651,5.70317,8.26292,8.85796,5.04894,3.60876,8.26292,9.28627,7.60869,5.70317,5.70317,8.26292,3.15096,6.4323,4.33034,8.26292,8.85796,4.32736,7.60869,5.70317,7.60869,6.2982,9.28627,9.28627,6.72651,7.60869,9.28627,8.26292,4.26299,9.28627,5.7137,6.00493,3.15096,8.85796,5.04894,9.28627,5.70317,6.72651,8.26292,5.04894,6.4323,8.26292,8.85796,8.26292,9.28627,6.00493,6.00493,5.70317,8.26292,8.85796,5.04894,5.70317,7.60869,8.26292,8.85796,9.28627,8.26292,5.28633,5.57662,7.60869,0.591202,8.26292,8.85796,4.85803,4.99786,9.28627,7.60869,5.28633,4.32736,8.26292,4.98159,8.26292,8.85796,6.2982,6.00493,6.72651,5.04894,7.60869,6.4323,8.85796,3.87254,8.85796,5.04894,5.57662,5.57662,9.28627,6.95202,7.60869,1.7676,8.26292,6.72651,7.60869,6.2982,4.98159,6.4323,5.57662,3.87254,8.85796,6.2982,8.26292,9.28627,9.28627,8.26292,6.00493,4.32736,5.04894,9.28627,8.85796,9.28627,8.85796,8.26292,8.26292,3.15096,7.60869,9.28627,5.04894,8.85796,9.28627,4.39226,9.28627,6.72651,8.70751,7.60869,5.28633,5.04894,1.7676,6.72651,3.87254,6.52371,8.85796,4.85803,7.60869,8.26292,8.26292,4.32736,5.70317,6.2982,5.70317,3.15096,3.87254,5.70317,8.85796,6.2982,2.29827,5.04894,3.87254,6.4323,7.6736,8.26292,7.60869,5.57662,5.70317,5.70317,6.2982,8.26292,9.28627,6.2982,3.44517,7.60869,5.70317,8.26292,7.60869,8.26292,9.28627,9.80505,7.02994,8.26292,8.26292,5.04894,67.5342,67.3248,87.1348,60.1389,76.7957,73.7489,40.9355,60.2886,77.0644,72.7813,66.8309,48.5247,51.7296,77.3272
-9772.13,0,0.0201904,0,1,1,9780.53,-0.0403651,1.65072,1.21897,0.619137,-1.22624,-0.104634,1.68844,-0.755059,0.75261,0.962719,0.349103,-0.794629,0.343791,0.992006,5.34754,1.10481,2.24852,1.84314,0.299143,5.70317,5.57662,8.26292,10.2439,3.87254,8.26292,3.15096,6.00493,9.28627,8.85796,9.28627,9.28627,6.2982,2.42183,8.85796,3.44517,6.2982,5.57662,5.70317,5.04894,5.70317,3.44517,6.4323,8.26292,6.4323,7.60869,5.04894,3.87254,8.26292,6.00493,6.72651,5.70317,5.70317,9.28627,2.29827,8.85796,8.85796,9.58969,6.2982,6.2982,5.04894,6.2982,5.70317,9.28627,6.00493,6.4323,5.57961,5.70317,5.04894,7.60869,4.33034,5.70317,5.70317,9.28627,6.72651,5.04894,3.87254,6.72651,6.2982,8.85796,8.26292,3.44517,6.4323,5.04894,8.85796,5.70317,6.2982,7.60869,0.591202,8.26292,7.24529,8.85796,9.28627,4.98159,6.2982,8.85796,9.28627,8.26292,3.60876,5.04894,9.28627,8.26292,8.26292,6.2982,5.70317,8.85796,6.2982,6.2982,6.72651,8.85796,9.28627,8.26292,5.04894,9.28627,7.60869,6.72651,5.70317,8.26292,8.85796,5.04894,3.60876,8.26292,9.28627,7.60869,5.70317,5.70317,8.26292,3.15096,6.4323,4.33034,8.26292,8.85796,4.32736,7.60869,5.70317,7.60869,6.2982,9.28627,9.28627,6.72651,7.60869,9.28627,8.26292,4.26299,9.28627,5.7137,6.00493,3.15096,8.85796,5.04894,9.28627,5.70317,6.72651,8.26292,5.04894,6.4323,8.26292,8.85796,8.26292,9.28627,6.00493,6.00493,5.70317,8.26292,8.85796,5.04894,5.70317,7.60869,8.26292,8.85796,9.28627,8.26292,5.28633,5.57662,7.60869,0.591202,8.26292,8.85796,4.85803,4.99786,9.28627,7.60869,5.28633,4.32736,8.26292,4.98159,8.26292,8.85796,6.2982,6.00493,6.72651,5.04894,7.60869,6.4323,8.85796,3.87254,8.85796,5.04894,5.57662,5.57662,9.28627,6.95202,7.60869,1.7676,8.26292,6.72651,7.60869,6.2982,4.98159,6.4323,5.57662,3.87254,8.85796,6.2982,8.26292,9.28627,9.28627,8.26292,6.00493,4.32736,5.04894,9.28627,8.85796,9.28627,8.85796,8.26292,8.26292,3.15096,7.60869,9.28627,5.04894,8.85796,9.28627,4.39226,9.28627,6.72651,8.70751,7.60869,5.28633,5.04894,1.7676,6.72651,3.87254,6.52371,8.85796,4.85803,7.60869,8.26292,8.26292,4.32736,5.70317,6.2982,5.70317,3.15096,3.87254,5.70317,8.85796,6.2982,2.29827,5.04894,3.87254,6.4323,7.6736,8.26292,7.60869,5.57662,5.70317,5.70317,6.2982,8.26292,9.28627,6.2982,3.44517,7.60869,5.70317,8.26292,7.60869,8.26292,9.28627,9.80505,7.02994,8.26292,8.26292,5.04894,67.5342,67.3248,87.1348,60.1389,76.7957,73.7489,40.9355,60.2886,77.0644,72.7813,66.8309,48.5247,51.7296,77.3272
