# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=744051095
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,index.1,index.2,index.3,index.4
-1173.44,0.666667,0.125,2,3,0,1345.48,0.876352,1.93416,1.84506,0.936075,-0.173334,1.34171,1.01708,-0.151792,0.887647,0.683242,1.72455,1.2818,-1.97765,1.19927,1.5612,-1.91684,-0.586048,-0.263748,-1.24464,0.257946,0.996434,0.247674,1.0623,0.596645,0.349482,2.2781,0.586492,0.907047,0.000437415,0.986248,0.985002,0.964167,0.902331,0.97562,0.966801,0.90412,0.9625,0.954869,0.964329,0,0,0,0,0,0,0.964814,0.898778,0.976629,0.967552,0,0,0,0,0.972528,0.967064,0.937957,0.964614,0.960398,0,0,0,8,10,6,9
-1173.44,0,5.46488,0,1,1,1191.63,0.876352,1.93416,1.84506,0.936075,-0.173334,1.34171,1.01708,-0.151792,0.887647,0.683242,1.72455,1.2818,-1.97765,1.19927,1.5612,-1.91684,-0.586048,-0.263748,-1.24464,0.257946,0.996434,0.247674,1.0623,0.596645,0.349482,2.2781,0.586492,0.907047,0.000437415,0.986248,0.985002,0.964167,0.902331,0.97562,0.966801,0.90412,0.9625,0.954869,0.964329,0,0,0,0,0,0,0.964814,0.898778,0.976629,0.967552,0,0,0,0,0.972528,0.967064,0.937957,0.964614,0.960398,0,0,0,8,10,6,9
-1173.44,0,0.433702,0,1,1,1194.58,0.876352,1.93416,1.84506,0.936075,-0.173334,1.34171,1.01708,-0.151792,0.887647,0.683242,1.72455,1.2818,-1.97765,1.19927,1.5612,-1.91684,-0.586048,-0.263748,-1.24464,0.257946,0.996434,0.247674,1.0623,0.596645,0.349482,2.2781,0.586492,0.907047,0.000437415,0.986248,0.985002,0.964167,0.902331,0.97562,0.966801,0.90412,0.9625,0.954869,0.964329,0,0,0,0,0,0,0.964814,0.898778,0.976629,0.967552,0,0,0,0,0.972528,0.967064,0.937957,0.964614,0.960398,0,0,0,8,10,6,9
-1016.55,1,0.0200999,3,7,0,1181.04,0.768585,1.95938,1.80932,0.831189,-0.193049,1.29862,0.874176,-0.0695474,0.954774,0.568658,1.78392,1.2441,-1.94432,1.214,1.52062,-2.00705,-0.661158,-0.39048,-1.09281,0.138151,0.840523,0.235246,0.949283,0.636371,-0.394078,2.4424,0.402736,0.920004,0.000437415,0.976868,0.973875,0.943214,0.87827,0.960652,0.945077,0.888534,0.948417,0.93571,0.950344,0,0,0,0,0,0,0.947352,0.875872,0.965255,0.949302,0,0,0,0,0.961348,0.950336,0.914922,0.952628,0.940693,0,0,0,8,10,6,9
-920.863,0.995591,0.0128726,8,255,0,1024.88,-0.616097,-2.13984,0.985593,-1.42164,-0.971555,-2.31535,-0.501458,-0.242494,-2.35366,2.1107,-2.1562,-1.14415,2.3377,-1.43579,-1.29101,1.62681,1.38058,0.660545,0.715826,-0.423384,0.138341,0.020491,1.14042e-06,0.0214647,20.4091,5.73531,1,0.996781,0.000437415,0.283308,0.378482,0.303896,0.317219,0.278407,0.33146,0.339441,0.277344,0.326718,0.307882,0,0,0,0,0,0,0.317893,0.317893,0.317893,0.317893,0,0,0,0,0.311249,0.31961,0.320813,0.311074,0.331854,0,0,0,8,10,6,9
-834.405,0.999985,0.00953954,7,127,0,933.448,-0.591449,-0.977689,0.861171,-2.01429,-2.0018,-2.73029,-0.810419,-0.225055,-1.50932,1.46797,-1.14601,0.953134,2.06694,-1.4414,-0.42072,2.03887,1.03631,-0.387285,0.953589,-0.60619,0.146786,0.0131629,5.16271e-06,0.0487193,14.9495,5.16531,1,0.994321,0.000437415,0.314684,0.375516,0.282854,0.283226,0.262045,0.319999,0.338961,0.298116,0.316135,0.30879,0,0,0,0,0,0,0.312693,0.312693,0.312693,0.312695,0,0,0,0,0.294526,0.314216,0.320358,0.306965,0.338471,0,0,0,8,10,6,9
-762.162,0.999798,0.00793132,8,255,0,847.421,-0.810294,-0.0735202,1.22707,-0.305446,0.0737546,0.159984,-0.241669,-0.0436296,-0.0586061,-1.80294,-0.76424,-1.48457,-1.00493,0.662944,0.324482,1.58166,1.53492,-0.611908,-0.470357,-0.518607,0.272978,0.0027665,8.74515e-05,0.0454432,4.04731,4.76716,0.982831,0.991567,0.000437415,0.300704,0.380138,0.287563,0.309224,0.314274,0.291143,0.302423,0.301561,0.310493,0.311106,0,0,0,0,0,0,0.310777,0.310784,0.310785,0.310778,0,0,0,0,0.314463,0.310557,0.312479,0.312334,0.295632,0,0,0,8,10,6,9
-751.331,0.999869,0.00706307,9,511,0,774.149,-1.05836,-0.207548,2.0152,-1.08679,-1.98052,-0.970885,-0.904084,-1.52704,-0.946484,0.974365,0.489964,1.37178,0.940468,-0.924181,0.613944,-0.850818,-1.22764,0.857904,0.747562,0.415142,0.367619,0.00681804,0.000570363,0.031073,6.34274,4.81327,0.998244,0.991944,0.000437415,0.23895,0.415471,0.185179,0.140617,0.191694,0.195528,0.161992,0.193088,0.220701,0.220156,0,0,0,0,0,0,0.220452,0.220368,0.220463,0.220469,0,0,0,0,0.220124,0.220466,0.217285,0.220249,0.230254,0,0,0,8,10,6,9
-734.341,0.999892,0.0066033,9,511,0,762.982,-1.10328,-0.196092,1.10383,-1.51349,-0.137031,-1.29268,-0.605996,0.303454,-0.098772,0.657914,-0.472779,0.115379,0.126216,1.04988,0.405274,-0.0312171,0.347865,0.550289,-1.57238,-0.849577,0.415363,0.183202,0.0263378,0.17289,4.6487,5.31196,0.990517,0.995092,0.000437415,0.224663,0.331526,0.143812,0.228947,0.155441,0.196504,0.262676,0.231752,0.236055,0.201487,0,0,0,0,0,0,0.218383,0.224484,0.219354,0.222392,0,0,0,0,0.19202,0.210711,0.237423,0.225335,0.248432,0,0,0,8,10,6,9
-738.746,0.999713,0.00639153,9,511,0,753.578,-1.36928,-0.027031,1.42032,0.17703,-0.669623,0.188137,0.464792,0.147208,0.179533,0.3065,-1.6153,-0.837025,-0.017089,0.533574,-1.58723,-0.706572,1.36233,-0.306677,-1.73731,2.62074,0.443557,0.0983859,0.423462,0.0596062,5.38187,5.45938,0.995422,0.995762,0.000437415,0.20175,0.323795,0.21666,0.159841,0.217494,0.239006,0.214433,0.216848,0.246366,0.213362,0,0,0,0,0,0,0.236039,0.17811,0.236878,0.258434,0,0,0,0,0.230204,0.233097,0.229778,0.230114,0.231439,0,0,0,8,10,6,9
