# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1220920576
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-725.172,0.999196,0.00246331,10,1023,0,734.583,-1.111,-0.19896,2.44972,-0.104115,0.859263,-1.12501,0.299239,0.453483,-0.169959,0.291473,5.32991,5.0531,0.995179,0.993651,0.125,0.237038,0.40204,0.242073,0.297225,0.191714,0.264292,0.273126,0.23857,8
-729.469,0.998942,0.00248817,6,127,0,732.276,-1.01562,-0.132798,2.44986,-0.0714397,0.788753,-1.04827,0.383482,0.520797,-0.115339,0.308209,5.30545,5.01404,0.99506,0.9934,0.125,0.25797,0.435229,0.261607,0.315935,0.207723,0.28958,0.298364,0.259001,8
-727.534,0.999995,0.00255064,10,1023,0,732.836,-1.23445,0.849364,1.69068,-0.897697,-0.434704,0.18549,0.590267,0.999301,0.244288,0.557829,5.62095,4.97727,0.996392,0.993154,0.125,0.318505,0.427676,0.149922,0.18589,0.243981,0.287987,0.336929,0.250081,8
-727.987,0.999734,0.00265393,9,1023,0,736.206,-1.7512,0.416434,1.69862,-0.507249,-0.237579,0.168123,0.460772,1.1938,0.0848393,0.677936,5.17795,5.16865,0.994392,0.99434,0.125,0.187112,0.354424,0.109575,0.128726,0.162843,0.191727,0.280521,0.155292,8
-722.261,0.999975,0.00278303,8,319,0,731.058,-1.43486,0.473698,1.86385,-0.132016,-0.196727,0.0760181,0.558167,0.92991,0.21855,0.830233,5.02706,5.20092,0.993485,0.994519,0.125,0.260845,0.528112,0.175887,0.168234,0.202337,0.274591,0.340106,0.222109,8
-726.031,0.999999,0.00293934,9,511,0,728.1,-1.6246,1.0246,2.10097,-0.150573,-0.167124,0.389034,0.358866,1.13597,1.04878,0.521601,4.60719,5.28786,0.990119,0.994973,0.125,0.251588,0.370814,0.154056,0.152935,0.194399,0.191947,0.262683,0.25397,8
-730.187,0.999963,0.00311926,9,511,0,734.733,-1.64694,0.779025,2.99783,0.667162,1.18666,0.0382823,0.512447,1.57969,0.626192,0.439372,4.22367,5.39929,0.985567,0.995501,0.125,0.213382,0.418294,0.205248,0.244982,0.163814,0.194382,0.278308,0.202327,8
-729.23,0.999922,0.00332104,9,767,0,739.416,-1.22834,-0.531146,1.40445,-1.91833,-0.858531,-0.663972,-0.210274,0.544009,-0.329043,0.565915,7.10187,4.80291,0.999177,0.991861,0.125,0.178151,0.393281,0.0899742,0.15262,0.16741,0.206306,0.284861,0.195517,8
-728.446,0.999995,0.00354386,9,511,0,735.959,-1.07228,0.790215,1.9498,0.401082,0.306723,-0.641993,0.0313534,0.316456,0.399321,0.465702,3.57954,5.37854,0.972868,0.995407,0.125,0.330865,0.459028,0.29204,0.283039,0.202417,0.257753,0.283959,0.291871,8
-730.118,0.999744,0.0037885,9,511,0,737.524,-1.12153,0.268512,1.80054,-1.4222,1.36617,-0.21814,0.114495,1.48778,0.690951,0.424492,6.15106,4.73789,0.997873,0.991319,0.125,0.26746,0.411634,0.151197,0.367815,0.228972,0.254847,0.379899,0.30402,8
