# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=744051095
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4,g_se,g_sp
-845.426,1,0.0625,4,15,0,1030.66,-0.926583,-0.181928,0.698427,-1.25452,0.677592,-1.75827,-1.7961,0.305587,-1.17085,-0.116429,-0.433716,1.9334,-0.660186,-0.0143169,-0.138675,0.2957,1.12731,1.3105,-2.51276,0.707125,-1.02376,-0.865996,-0.609843,-0.0578393,4.01701,2.12843,-2.31281,1.34674,1.6665,3.93707,-4.43979,-5.97856,-2.90497,-5.59125,0.711014,-0.329162,0.00909006,-0.0970795,1.15966,-0.728303,0.580281,-2.70889,-0.584523,0.685351,-0.696075,1.99537,0.892361,-0.668605,-9.51572,-6.15436,10.2306,0.294233,-27.2721,-0.749115,-2.71214,-15.5526,2.09615,-9.99013,-12.681,0.254106,-8.29548,-15.3976,-1.7308,1.9334,-0.660186,-0.0143169,-0.138675,0.2957,1.12731,1.3105,-2.51276,0.707125,6.44943,1.12242,20.0116,31.9952,-3.70603,14.3979
-845.426,0,10.0182,0,1,1,854.447,-0.926583,-0.181928,0.698427,-1.25452,0.677592,-1.75827,-1.7961,0.305587,-1.17085,-0.116429,-0.433716,1.9334,-0.660186,-0.0143169,-0.138675,0.2957,1.12731,1.3105,-2.51276,0.707125,-1.02376,-0.865996,-0.609843,-0.0578393,4.01701,2.12843,1.25888,-0.0811705,1.06128,0.399218,-0.405845,0.0118418,-1.00808,0.819626,0.503828,-0.63886,-0.598874,-0.943362,-0.341382,0.192123,0.964333,-1.27768,-1.7591,0.0415401,0.539855,-1.19533,0.896094,0.664947,0.396547,1.32117,0.67825,-0.511175,-27.2721,-0.749115,-2.71214,-15.5526,2.09615,-9.99013,-12.681,0.254106,-8.29548,-15.3976,-1.7308,1.9334,-0.660186,-0.0143169,-0.138675,0.2957,1.12731,1.3105,-2.51276,0.707125,6.44943,1.12242,20.0116,31.9952,-3.70603,14.3979
-845.426,0,0.951493,0,1,1,860.519,-0.926583,-0.181928,0.698427,-1.25452,0.677592,-1.75827,-1.7961,0.305587,-1.17085,-0.116429,-0.433716,1.9334,-0.660186,-0.0143169,-0.138675,0.2957,1.12731,1.3105,-2.51276,0.707125,-1.02376,-0.865996,-0.609843,-0.0578393,4.01701,2.12843,-0.330035,-0.691908,-1.48528,0.148377,0.892455,-1.04982,0.0068034,-0.342398,1.32702,0.274535,0.881505,-1.59232,1.7323,-0.452736,-1.34114,-1.71691,0.0641772,1.14198,1.37936,-2.08239,-1.34879,-0.792449,1.09247,-0.999425,-0.0902955,0.238634,-27.2721,-0.749115,-2.71214,-15.5526,2.09615,-9.99013,-12.681,0.254106,-8.29548,-15.3976,-1.7308,1.9334,-0.660186,-0.0143169,-0.138675,0.2957,1.12731,1.3105,-2.51276,0.707125,6.44943,1.12242,20.0116,31.9952,-3.70603,14.3979
-744.168,0.891104,0.0488594,4,15,0,856.578,-0.36461,-0.0780037,1.66586,-1.00302,-0.0687768,-1.28051,-1.21366,-1.10461,-0.634553,0.274122,-0.56602,2.4479,-0.592706,-0.227638,1.07277,0.773675,1.8937,1.49611,-2.11308,0.451235,-0.953783,-0.775783,-1.27814,-2.51202,3.82811,5.76688,3.61262,-0.032601,1.89747,1.64773,-2.19275,1.44867,3.41025,-2.57545,1.13628,0.900223,0.910071,0.330586,0.29495,-0.353844,2.07004,0.720253,0.975028,-0.0495165,1.3622,-0.623881,-1.60755,-0.942489,-2.97667,-4.77675,0.789751,11.5436,28.3182,2.46738,2.47829,7.59003,2.8058,2.33571,1.4391,-2.17544,1.1849,13.7133,-1.27732,2.4479,-0.592706,-0.227638,1.07277,0.773675,1.8937,1.49611,-2.11308,0.451235,-6.03632,3.67743,-7.81434,-4.01854,-3.10666,2.45349
-739.665,0.99799,0.0244432,7,127,0,758.737,-1.40335,0.631057,1.22159,0.0384775,-1.70779,-0.202124,0.140218,0.114491,0.352642,1.38714,0.20485,-1.66629,0.349632,-0.150278,0.082244,0.359815,-1.96857,-1.11947,1.87952,-0.0850102,0.140356,-6.12053,-1.16977,-0.842842,6.57088,5.07698,0.772585,1.77038,-0.189047,-0.379375,-1.92489,0.536282,1.62656,-1.66672,-0.264509,1.05855,-0.862704,1.90018,-0.538852,-0.623362,2.02167,1.89776,0.475615,1.01347,-0.994748,0.675348,1.29728,0.884908,0.524972,-0.589742,0.809414,-2.11187,18.7641,12.2402,6.59865,9.43444,-3.76215,-1.38965,11.9605,-3.93126,7.5596,1.43489,0.228674,-1.66629,0.349632,-0.150278,0.082244,0.359815,-1.96857,-1.11947,1.87952,-0.0850102,19.4936,-0.9645,-0.404135,1.58015,2.36604,0.0274674
-738.095,0.99782,0.0187603,7,255,0,748.98,-1.2017,-0.170251,2.02953,-0.271758,-1.49705,0.0308909,-0.307679,0.790467,-0.125509,1.19237,-0.283528,0.276502,-0.0938325,-0.205517,0.587094,0.0699744,-2.59125,-0.395823,1.08375,-0.817614,-0.747479,-7.32774,-1.02127,-1.33409,5.71777,4.66065,-0.555498,0.672192,-1.08662,0.506866,-1.20715,1.28506,0.523532,0.714714,-0.2476,0.273222,0.502032,-2.38649,0.530249,-0.0254045,-0.377042,0.408514,-0.415916,-1.12427,1.54228,0.563339,0.104204,0.924812,-0.0905135,0.8405,1.72706,-0.556072,-19.2122,-1.95176,0.852282,-6.52135,-1.69423,2.68382,-10.8762,2.35097,-2.57875,-0.366729,-0.281614,0.276502,-0.0938325,-0.205517,0.587094,0.0699744,-2.59125,-0.395823,1.08375,-0.817614,0.0814872,-1.01628,1.74795,-0.79227,1.0508,-1.5409
-730.714,0.999429,0.0157798,8,255,0,748.083,-1.02702,-0.00614819,1.58935,-0.152051,-0.634979,-0.636665,-0.0478689,0.533877,-0.250032,1.12345,0.468594,0.632565,-0.545391,-0.768074,0.493473,-0.24116,1.00503,-2.03474,0.0161528,-0.150867,-0.327519,-6.45664,-0.111674,-1.09182,4.92691,5.26417,-2.2786,-1.38751,-0.771349,0.26826,2.10562,1.11105,-1.09204,1.19712,0.716811,-0.622438,-0.094966,0.58304,-0.344549,-0.565493,0.861111,-0.0304177,-2.38885,-1.33549,1.1927,-0.961322,1.28203,-1.43601,-0.0503478,-0.49275,1.28632,0.886683,-4.17415,-1.27768,2.37519,0.0677286,-0.19116,-7.97138,0.640393,4.41724,-2.70054,0.00813922,0.475708,0.632565,-0.545391,-0.768074,0.493473,-0.24116,1.00503,-2.03474,0.0161528,-0.150867,2.18409,-1.00864,1.4218,2.36962,-0.384253,1.10749
-732.654,0.985614,0.0141973,8,511,0,748.974,0.453846,-0.597389,0.395246,-1.30941,-1.22575,-1.07816,-0.828536,-0.428185,-0.857163,0.759228,0.709489,1.06135,-2.81094,0.630843,0.528172,-0.159264,1.66479,-1.04328,-0.585427,-0.258999,0.0261089,-3.69833,-0.59177,-1.67857,4.48842,5.09005,1.3134,-1.31192,0.701809,-1.87901,-0.916345,0.669723,1.40312,0.69439,-1.77989,-0.188668,-0.328236,-0.354119,-0.237421,0.979506,-0.36208,0.205248,-0.568787,1.81776,-0.184396,0.0827781,0.123701,2.78288,-1.77711,0.613983,0.854358,-1.05528,3.11421,1.28411,4.43389,-7.04887,0.852067,1.31059,-1.73492,1.71794,-1.18358,-0.215575,0.888975,1.06135,-2.81094,0.630843,0.528172,-0.159264,1.66479,-1.04328,-0.585427,-0.258999,4.36918,-0.934142,-1.15723,-2.1223,-1.43863,0.147127
-736.928,0.915736,0.0127775,8,255,0,749.22,-1.53876,0.914622,2.78778,0.359896,-0.972564,0.0861703,0.280998,0.645415,0.722489,0.706089,-1.15065,0.104893,1.61459,-0.310847,0.382366,-0.794608,-1.88587,-0.869133,0.322725,-0.33457,-0.993326,-1.31947,-1.12842,-1.12876,5.76609,5.5163,-1.34303,-0.289641,-1.26144,-0.822178,0.176831,-0.270812,0.173976,0.307622,-0.861276,0.219272,-1.40064,1.3213,-2.30488,0.549783,0.865935,-0.689901,0.77829,-1.78232,-0.488579,-0.51746,-1.74987,0.569201,0.0130705,-1.08197,0.00939955,0.119737,32.9448,2.27459,2.68238,13.1343,-0.424934,3.95225,9.04452,4.29993,6.6462,9.49284,-2.42421,0.104893,1.61459,-0.310847,0.382366,-0.794608,-1.88587,-0.869133,0.322725,-0.33457,2.93373,8.13976,3.04133,5.28846,1.35481,1.44791
-726.462,0.999512,0.00951174,8,255,0,746.202,-1.00948,0.216498,1.15852,-0.289564,-0.168006,-0.292842,-0.200292,0.258401,0.123863,1.70562,0.728003,-0.869042,-0.629849,-0.324737,-0.277285,-1.01581,-0.0281602,0.842594,0.407776,-1.48718,-0.452247,-3.06008,-0.520462,-1.02486,5.41313,5.14947,-0.49356,-0.14952,-2.35082,-1.73105,0.139474,-1.94972,-1.69019,-1.55554,0.156864,0.2727,1.31584,-0.197932,-1.69069,0.278051,-0.414017,0.69102,1.89349,0.963663,-0.281163,0.178248,1.7161,-0.843064,0.679372,0.164248,-1.13926,-2.46458,11.5803,1.82115,-1.29693,5.9193,2.77545,3.22712,2.33816,3.03193,2.82961,2.11463,1.07878,-0.869042,-0.629849,-0.324737,-0.277285,-1.01581,-0.0281602,0.842594,0.407776,-1.48718,-4.82542,-0.289289,-2.33765,0.764463,0.682468,0.0562517
