# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=744051095
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4,g_se,g_sp
-1437.18,1,0.0625,2,3,0,2477.81,-0.865182,0.359989,0.814445,-1.15479,0.743354,1.18629,1.2674,0.870121,0.30274,-0.617398,-0.00017849,0.870023,1.14442,-0.582254,-0.332778,0.992975,-0.368043,1.56832,1.09902,-0.93145,-1.03395,0.450815,-0.809187,2.52581,-1.44772,0.210687,3.03334,0.166774,0.0241403,1.41097,-0.04011,1.14121,8.96258,5.64646,2.18864,9.13408,1.68891,-0.143333,0.969531,-0.870064,-0.139509,1.43412,-0.0666308,1.46651,0.877735,1.84371,1.339,-13.3933,-4.65775,11.9118,11.2475,37.2031,0.221188,0.230482,0.958176,-0.714062,0.735726,1.26379,1.52813,0.880853,13.9574,1.66485,-0.577513,0.870023,1.14442,-0.582254,-0.332778,0.992975,-0.368043,1.56832,1.09902,-0.93145,-0.120198,-0.839512,-1.0913,15.6349,-194.842,-296.205
-1437.18,0,10.0182,0,1,1,1448.83,-0.865182,0.359989,0.814445,-1.15479,0.743354,1.18629,1.2674,0.870121,0.30274,-0.617398,-0.00017849,0.870023,1.14442,-0.582254,-0.332778,0.992975,-0.368043,1.56832,1.09902,-0.93145,-1.03395,0.450815,-0.809187,2.52581,-1.44772,0.210687,-0.703295,-1.20649,0.892265,0.680995,-1.42309,-0.18036,-1.14172,0.217727,-0.276501,0.325028,0.126561,-0.0333334,-1.49662,1.88874,-0.760701,-0.234384,-2.8463,-0.780995,-0.291355,-0.00160001,-0.352236,0.395101,-0.509535,-0.197199,0.819437,0.0260911,0.221188,0.230482,0.958176,-0.714062,0.735726,1.26379,1.52813,0.880853,13.9574,1.66485,-0.577513,0.870023,1.14442,-0.582254,-0.332778,0.992975,-0.368043,1.56832,1.09902,-0.93145,-0.120198,-0.839512,-1.0913,15.6349,-194.842,-296.205
-1437.18,0,0.951493,0,1,1,1445.64,-0.865182,0.359989,0.814445,-1.15479,0.743354,1.18629,1.2674,0.870121,0.30274,-0.617398,-0.00017849,0.870023,1.14442,-0.582254,-0.332778,0.992975,-0.368043,1.56832,1.09902,-0.93145,-1.03395,0.450815,-0.809187,2.52581,-1.44772,0.210687,0.0949192,0.999303,0.882119,0.55141,-0.749304,0.132034,0.463323,-0.970736,-0.364384,0.688332,-0.115452,1.90805,1.12193,0.0592892,-0.274584,0.490149,0.714967,1.64559,-0.472403,-0.826583,-0.415133,1.34439,0.367654,-0.169091,0.70643,-0.701985,0.221188,0.230482,0.958176,-0.714062,0.735726,1.26379,1.52813,0.880853,13.9574,1.66485,-0.577513,0.870023,1.14442,-0.582254,-0.332778,0.992975,-0.368043,1.56832,1.09902,-0.93145,-0.120198,-0.839512,-1.0913,15.6349,-194.842,-296.205
-1104.44,0.468999,0.0488594,4,15,0,1422.21,-0.798414,0.131921,0.780617,-1.01671,0.79226,1.33609,1.29015,0.723218,0.257852,-0.506044,0.129171,0.709571,1.32161,-0.580781,-0.316272,0.929393,-0.271238,1.64222,1.137,-0.830925,-1.09947,0.370161,-0.706308,2.58727,-0.489011,1.49853,0.652411,-2.34505,-0.385069,1.42881,0.461425,1.46674,0.15506,-1.54583,-1.41339,1.0789,1.30633,-1.67863,1.75084,0.0434835,0.184572,-0.696881,1.00509,0.676893,0.333573,1.07057,-0.66137,-0.805881,1.11207,-0.210791,11.903,21.5549,2.39996,0.274458,0.746787,0.606091,0.842055,1.44814,1.96544,0.972919,42.7109,3.16098,0.982623,0.709571,1.32161,-0.580781,-0.316272,0.929393,-0.271238,1.64222,1.137,-0.830925,0.335138,-1.35347,-2.04044,23.4112,40.7788,-108.012
-1025.8,0.998796,0.007318,6,63,0,1114.08,-0.588645,0.142687,0.7922,-1.00725,0.909289,1.39485,1.26924,0.660887,0.228738,-0.661232,-0.129773,0.234866,1.28867,-0.561529,-0.283932,0.879619,-0.0730954,1.84305,0.926815,-1.15365,-0.912852,0.391108,-0.661127,2.39979,-0.566999,2.93549,1.72632,0.0272833,0.018339,0.43988,0.527857,0.221124,-0.114991,-0.456494,6.63241,0.252053,-1.5093,-2.53243,-0.297165,0.155382,0.198093,-0.347119,1.05466,0.886046,-1.1998,-1.59634,1.27301,-0.582897,-0.0126047,-2.05697,1.29825,10.2981,2.0245,0.496123,0.555415,0.294309,1.01811,1.51084,2.10206,2.62752,27.3576,0.358002,2.34048,0.234866,1.28867,-0.561529,-0.283932,0.879619,-0.0730954,1.84305,0.926815,-1.15365,0.473203,-0.763442,-1.64423,17.7318,-0.47426,-8.94811
-955.031,0.998197,0.00534237,9,511,0,1041.4,-0.674355,-0.702189,0.575897,-1.1692,0.563435,1.4724,2.38907,-0.0678234,0.084399,1.30888,-0.357771,0.992036,1.35399,-0.876332,0.485233,0.586859,-0.17262,0.7838,0.424828,-0.938147,-1.32304,0.446042,-0.313027,1.28868,-0.406451,3.90673,-0.19992,-1.83774,-0.520895,-0.163657,-0.988799,-0.209427,1.914,-4.6883,-1.32126,8.31062,-0.501686,1.51883,-0.158438,-0.525606,1.66214,-0.808728,-0.190002,-2.6204,-1.25401,0.710832,-0.966486,-0.922997,0.916221,-5.88284,0.908719,4.26942,0.974196,-0.975112,0.0792926,-0.137464,0.846417,3.36381,3.58405,-8.60554,12.9466,9.96832,-6.77257,0.992036,1.35399,-0.876332,0.485233,0.586859,-0.17262,0.7838,0.424828,-0.938147,2.24724,14.624,-1.88395,6.99277,-3.65272,-8.22708
-812.95,0.999576,0.00434891,9,511,0,964.043,-1.18232,1.29547,0.0322032,1.88409,-1.6817,-2.79734,-3.42374,0.673662,0.900269,1.79957,-0.346358,0.493168,-0.0477169,0.753203,1.29136,0.181006,0.918704,-1.56769,0.630082,-0.217321,-3.10447,-2.96756,-2.81361,-8.38125,13.8147,6.53379,-1.76039,-0.564463,-0.819122,-1.67279,0.863085,3.18596,4.55642,-0.731282,-0.304974,-0.640593,1.99131,1.03579,1.35462,-0.817525,0.592718,0.603665,-0.0978877,0.657916,0.477903,-0.959107,1.07745,2.38101,3.63305,7.94849,-12.9955,0.817168,5.16804,1.41019,-0.690749,2.77182,-1.50236,-2.55001,-3.46605,0.556901,1.02228,1.93985,-0.161956,0.493168,-0.0477169,0.753203,1.29136,0.181006,0.918704,-1.56769,0.630082,-0.217321,-1.16981,-0.756563,0.258547,-1.00661,9.81455,4.55563
-755.055,0.999832,0.00383178,9,511,0,825.564,-1.26654,-1.22631,2.12406,0.0839251,-0.183092,1.49252,1.0719,-0.604285,-0.470217,0.395115,0.0934287,-1.01892,-0.252946,1.39275,0.860798,-2.06964,0.352164,-0.0824576,-1.02037,1.23268,-2.49341,-1.41044,-1.94948,-5.66786,3.88338,4.07809,-0.505987,1.04408,-0.439151,2.23386,-1.49146,-2.17667,-3.0536,0.342728,0.898232,2.42691,-0.72981,0.337683,-0.0884435,0.983582,1.44407,-0.145078,0.986063,-1.60038,0.476079,-0.0244747,-1.78498,-0.806636,-1.04623,-2.44642,9.55108,-1.32643,14.2098,-1.42852,0.981084,1.59472,0.329264,3.01308,2.71356,-0.981883,-0.372802,2.35474,1.88584,-1.01892,-0.252946,1.39275,0.860798,-2.06964,0.352164,-0.0824576,-1.02037,1.23268,-0.121893,0.195552,0.398296,-0.992988,-3.31995,-8.78389
-746.538,0.999893,0.00356085,10,1023,0,766.152,-0.863538,0.515969,2.10921,0.460167,-1.12267,-0.99823,-0.172044,2.23995,0.322839,-0.941212,-0.644624,-0.685373,0.53157,0.237976,0.333886,-0.827914,0.905532,-0.191455,1.00917,-0.0932962,-1.1021,-1.17876,-3.18777,-5.27118,6.92775,6.36118,-0.389685,2.54053,0.485835,-2.42775,-0.200988,-3.50033,0.175717,-0.403767,0.379758,-0.573942,-0.395407,1.01618,0.255085,-1.39181,-0.859461,2.06632,-0.348526,0.0816884,1.02444,-1.23306,-0.990562,0.0999585,0.0601983,1.00616,0.738351,-0.285139,20.8871,1.54329,0.391891,4.22808,-0.632502,-0.652044,-0.0675113,5.63369,1.18404,0.836322,4.23016,-0.685373,0.53157,0.237976,0.333886,-0.827914,0.905532,-0.191455,1.00917,-0.0932962,4.85049,-5.54498,-0.94461,-0.88239,2.7827,4.11225
-748.293,0.999941,0.00343638,10,1023,0,762.731,-1.57403,0.049231,1.77248,-1.57311,-1.91574,-0.26075,-0.0259346,-0.471021,0.261469,1.71614,1.6286,1.52468,0.370917,-0.313841,-0.757229,-0.420422,2.0964,-1.02521,0.818971,-0.7629,-1.01172,-1.10536,-3.51942,-6.73112,5.78795,4.21278,0.133979,0.150682,1.22054,-0.637825,-0.934594,-0.0556005,1.23159,1.21997,1.68061,0.21439,-1.89777,-0.886462,0.488365,0.280161,0.433703,-0.780788,0.644163,-0.0615791,0.912428,0.0037519,1.46182,1.05735,-0.484282,0.284346,2.50851,1.88941,21.7921,0.704581,0.276896,-1.30412,-1.60992,2.92394,6.85509,-2.32507,1.53865,6.31382,4.7595,1.52468,0.370917,-0.313841,-0.757229,-0.420422,2.0964,-1.02521,0.818971,-0.7629,-3.14515,12.3337,-1.88686,-1.01616,1.33174,-7.67182
