# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1220920576
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_sigma.1,g_se,g_sp
-887.195,0.363636,0.125,3,11,1,1107.87,-0.808777,-0.256575,1.78075,1.16528,0.877047,-1.36624,0.666113,1.45303,-0.105353,-2.33722,7.51867,18.1436,12.2378,-1.82464,-3.3899,-0.752337,1.74386,0.323918,-1.91687,0.670559,-0.59874,2.60375,-7.96545,-14.0838,91.8478,0.24377,0.882729,2.60558,1.31214,-0.110479,6.05656,1.82179,0.352163,1.79162,3.49439,17.1435
-887.195,0,3.14992,0,1,1,896.243,-0.808777,-0.256575,1.78075,1.16528,0.877047,-1.36624,0.666113,1.45303,-0.105353,-2.33722,7.51867,18.1436,-0.960927,2.00947,1.62452,0.638978,0.0796354,0.45129,1.2834,1.74781,-1.98466,0.407284,0.794863,-0.661992,91.8478,0.24377,0.882729,2.60558,1.31214,-0.110479,6.05656,1.82179,0.352163,1.79162,3.49439,17.1435
-887.195,1.40173e-149,0.212323,1,3,1,891.482,-0.808777,-0.256575,1.78075,1.16528,0.877047,-1.36624,0.666113,1.45303,-0.105353,-2.33722,7.51867,18.1436,-0.230423,-1.15552,-0.1534,0.901952,0.666535,-0.497111,0.421823,-1.19606,0.111274,0.0374135,-1.63916,1.16072,91.8478,0.24377,0.882729,2.60558,1.31214,-0.110479,6.05656,1.82179,0.352163,1.79162,3.49439,17.1435
-805.312,0.999921,0.00896415,7,127,0,896.013,-1.30112,-0.11368,3.19638,0.829235,0.108802,-0.866509,-0.3275,0.620414,0.93704,-3.02505,7.11841,13.401,-5.16626,-0.309736,-1.32525,0.939509,1.26925,-0.996832,1.3429,1.40786,-1.2426,-0.230448,1.72222,11.8753,-38.7587,-0.311426,2.32292,1.01585,0.202878,-0.733115,-1.13821,0.276766,0.929754,-3.62598,2.93351,12.4002
-765.96,0.999087,0.00541447,8,255,0,810.605,-1.11727,-0.333719,1.6354,0.249026,-0.204229,-1.24567,-0.943124,0.00160931,1.05461,-2.6697,6.63438,10.5513,3.20967,0.235926,2.77195,1.16432,0.480424,0.317983,0.809499,0.917163,0.239066,-1.66378,1.6449,7.90786,-6.66736,-0.408434,0.543537,0.712456,-0.0240178,-0.826928,-1.04948,-0.316378,1.19868,-2.88271,2.38756,9.53474
-757.709,0.999979,0.00390466,8,255,0,769.068,-1.08919,-0.114741,1.1673,0.556351,-0.836755,-1.17071,-1.23398,0.0107377,0.852308,-2.73414,6.74442,9.56646,-0.651282,-0.537199,1.11508,-0.474732,1.30346,-0.341115,0.39033,-0.079614,0.692165,-0.427938,0.324546,4.21842,-1.9246,-0.130115,0.134121,1.04839,-0.671029,-0.715589,-1.22937,-0.255336,0.99517,-2.42384,2.53082,8.52086
-728.023,0.999996,0.00316904,9,511,0,761.076,-1.44741,-0.340416,2.35655,-0.416003,0.561816,-0.706752,0.409775,1.2186,0.417414,-0.359059,5.09634,5.00284,-1.39406,0.979586,0.231222,-1.26802,0.55031,1.25132,0.662876,0.151283,-1.18876,1.71285,-2.1476,-7.08876,-0.212605,-6.67267,7.5766,-2.24353,2.62471,-5.93519,2.83757,5.01061,1.1652,25.6976,0.0786096,0.173185
-729.885,1,0.00278122,10,1023,0,733.373,-1.20282,1.45059,2.18816,0.215074,0.674905,-1.45387,-0.411321,0.468514,0.64442,-2.00213,4.93921,5.19596,-0.240579,0.691675,-0.751304,-0.107236,-0.800433,0.302465,-0.949348,-0.895197,-0.524252,1.66968,0.106075,0.595896,-14.4213,1.68684,0.331594,0.960509,1.03908,-1.19895,-1.50824,-0.156368,0.836899,-4.26676,-0.471934,0.87901
-727.754,0.999898,0.00257795,10,1023,0,735.013,-1.33739,0.983923,2.87309,0.543822,-0.0352011,-1.42047,0.283975,0.259035,0.178166,-0.796756,4.94745,5.55552,-1.87579,-1.91687,0.100187,-0.688273,-1.44896,1.26341,1.21028,0.115195,-1.00284,-0.804268,0.102566,-0.0662981,-4.48959,2.75305,3.98821,3.64631,0.744951,-5.25426,-1.31102,-2.46856,0.146683,10.3357,-0.325053,2.27658
-725.714,0.999998,0.002484,10,1023,0,732.512,-1.21439,0.04503,1.49226,-1.12279,-2.37293,0.203896,-0.00128236,0.539743,0.0257842,-0.23515,4.6832,4.86493,-0.0343545,-1.51789,-2.08675,-0.348659,-0.166265,-1.47727,0.839356,0.871897,-0.532629,-0.518132,0.775473,1.40973,2.17014,-1.02105,3.61146,-6.05449,-3.61559,8.22446,-2.05873,1.83169,0.567282,13.7401,-0.88846,-0.664377
