# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=678216098
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_adjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_adjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,marginal.10.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.9.2,marginal.10.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.9.3,marginal.10.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,marginal.9.4,marginal.10.4,index.1,index.2,index.3,index.4
-746.413,0.999976,0.0013727,11,2047,0,764.533,-1.47742,-0.717901,-1.9864,0.967397,0.938508,1.53888,-0.0676648,-0.414939,0.769432,2.08464,-0.757152,0.545926,-0.292535,0.711914,0.575407,0.177107,-0.405782,-0.565426,0.771457,-1.3665,-1.05869,-1.05948,0.240899,0.0406295,0.196057,0.0875183,7.16819,5.39318,0.99923,0.995473,0.000344454,0.196257,0.152537,0.267989,0.26663,0.295762,0.222083,0.207998,0.258762,0.323777,0.194773,0.242101,0.235995,0,0,0,0,0,0,0,0,0.240303,0.239284,0.26105,0.205643,0,0,0,0,0,0,0.255435,0.229963,0.224694,0.243011,0.264492,0,0,0,0,0,10,12,6,9
-748.035,0.999926,0.00139091,11,2047,0,764.035,-1.32159,1.04299,-0.766543,0.449803,-0.553554,0.132122,-2.15133,-0.231781,-0.566831,1.08829,1.0162,0.17154,0.194274,-1.14536,-0.00120338,-0.584882,0.803474,0.510392,-0.519611,2.07899,1.45824,1.26052,0.0842551,1.12861,0.143641,0.0872985,4.26309,5.34515,0.986117,0.995251,0.000344454,0.252999,0.225386,0.243707,0.228523,0.238827,0.205738,0.233319,0.228326,0.253718,0.252575,0.231357,0.235928,0,0,0,0,0,0,0,0,0.2465,0.220784,0.238146,0.183912,0,0,0,0,0,0,0.243703,0.208978,0.237917,0.232675,0.259351,0,0,0,0,0,10,12,6,9
-743.316,0.999983,0.00143276,11,2047,0,761.646,-0.895259,1.54281,0.678425,-0.368078,-0.840478,-0.368764,-0.0781773,-1.05347,0.191254,0.652478,0.3095,0.381452,-0.270569,-1.04549,0.89115,-0.7693,0.521687,0.107759,1.13431,0.274513,2.139,0.304436,0.024535,0.734343,1.09458,0.153045,5.28518,4.6122,0.994959,0.990168,0.000344454,0.224964,0.221353,0.217036,0.215107,0.217033,0.218226,0.214241,0.219336,0.221245,0.219824,0.253057,0.174057,0,0,0,0,0,0,0,0,0.22182,0.145848,0.221692,0.280619,0,0,0,0,0,0,0.216621,0.224134,0.199632,0.231262,0.24382,0,0,0,0,0,10,12,6,9
-741.021,0.999997,0.00149452,11,2047,0,755.903,-0.54332,0.0408574,-1.80242,-0.227829,-0.571978,-0.448932,-0.141026,-1.07117,-0.820428,0.529607,-1.15689,-0.569508,-1.1636,0.0926821,-1.08529,-0.914289,-0.0393255,-0.753137,0.216753,-0.256989,-1.97367,-0.0297958,0.0955317,0.133676,1.18711,0.301986,6.79226,5.57574,0.998879,0.996226,0.000344454,0.239755,0.209398,0.23515,0.229341,0.231406,0.236631,0.221094,0.22521,0.248287,0.219699,0.235975,0.222084,0,0,0,0,0,0,0,0,0.245009,0.177686,0.199944,0.264463,0,0,0,0,0,0,0.232404,0.249304,0.200734,0.213095,0.288836,0,0,0,0,0,10,12,6,9
-726.198,0.999939,0.00157346,11,2047,0,748.363,-1.56074,-0.461584,-1.62144,0.501906,0.255765,0.141992,0.131013,0.0069616,0.290239,1.47104,0.31887,0.568443,-0.948135,0.812773,-0.576606,-0.654939,0.605561,-0.797448,0.0814504,-0.81739,-0.10416,0.528677,0.842897,0.156035,0.211802,0.646839,5.24644,4.62468,0.994761,0.990288,0.000344454,0.155043,0.0652666,0.28942,0.24945,0.232257,0.230642,0.212937,0.254822,0.475483,0.259341,0.243602,0.204588,0,0,0,0,0,0,0,0,0.23175,0.22307,0.219134,0.218756,0,0,0,0,0,0,0.212093,0.210951,0.198355,0.227932,0.379712,0,0,0,0,0,10,12,6,9
-727.974,0.999635,0.00166763,11,2047,0,741.659,-1.46703,-0.149442,-1.64897,0.340665,-0.0016572,0.416086,0.274692,-0.357767,0.204833,0.810145,-0.503664,0.307426,-0.991524,0.424311,-0.294859,-0.341677,0.972689,-0.345748,0.725535,-1.40344,-0.349011,0.72412,0.886322,0.246495,0.214892,0.139482,5.71673,4.47012,0.99672,0.988684,0.000344454,0.17269,0.0525284,0.243376,0.192128,0.255829,0.232823,0.147966,0.221999,0.327283,0.132443,0.221724,0.172596,0,0,0,0,0,0,0,0,0.201721,0.190477,0.204262,0.199518,0,0,0,0,0,0,0.205633,0.202528,0.189057,0.201007,0.214462,0,0,0,0,0,10,12,6,9
-728.386,0.999991,0.00177468,11,2047,0,734.927,-1.57255,-0.37617,-1.78739,0.43334,0.192844,0.0853664,0.0140294,-0.0651719,-0.0314188,0.767185,-0.89151,-0.231369,0.739499,-0.187218,0.173376,0.348065,-0.964126,0.661112,-0.416388,1.82157,0.285111,-1.34263,0.801801,0.0786604,0.903254,0.904831,4.63582,4.76995,0.990395,0.99159,0.000344454,0.180152,0.0668135,0.294109,0.256287,0.240442,0.230297,0.219387,0.223991,0.351557,0.127424,0.211508,0.224,0,0,0,0,0,0,0,0,0.238828,0.202868,0.188112,0.178766,0,0,0,0,0,0,0.217039,0.206587,0.195409,0.200118,0.334277,0,0,0,0,0,10,12,6,9
-728.471,0.999958,0.00189755,11,2047,0,738.423,-0.82591,-0.269204,-2.06261,-0.0709232,-0.410396,-0.19843,-0.182316,-0.625224,-0.322349,1.07037,-1.11796,0.0636849,0.43673,2.01951,0.0326412,-0.93225,0.0740146,0.170615,-0.678823,-0.483577,-1.00455,0.836774,0.782407,0.0243289,0.378149,0.310743,5.50159,5.22444,0.995936,0.994645,0.000344454,0.240393,0.0724722,0.269706,0.220886,0.250602,0.252966,0.193427,0.232916,0.473056,0.140391,0.226944,0.228482,0,0,0,0,0,0,0,0,0.233025,0.211625,0.22482,0.225846,0,0,0,0,0,0,0.227517,0.228369,0.205729,0.221032,0.30109,0,0,0,0,0,10,12,6,9
-731.613,0.999912,0.0020339,11,2047,0,739.648,-1.60759,-0.158067,-1.55347,0.441622,0.338945,0.0332652,0.370942,-0.0207683,-0.195087,1.09209,-0.258273,0.444755,0.49075,-2.37063,-1.14211,0.682297,0.808991,-0.411927,0.232909,1.6768,0.643743,-0.122017,1.0683,0.0120111,0.179999,0.600194,5.56591,4.99576,0.996188,0.993279,0.000344454,0.168844,0.0440616,0.277053,0.255843,0.199224,0.262338,0.190252,0.163409,0.432414,0.154456,0.207856,0.207943,0,0,0,0,0,0,0,0,0.210612,0.207698,0.199193,0.208603,0,0,0,0,0,0,0.193771,0.226025,0.188935,0.173943,0.306166,0,0,0,0,0,10,12,6,9
-738.035,0.9995,0.00218347,11,2047,0,750.405,-0.937278,0.241377,-2.24404,-0.00755323,-0.211441,0.034124,-0.172901,-0.482197,-0.458454,0.983568,-1.68372,-0.454756,-0.769189,2.65964,1.61785,-0.356588,-0.405878,0.366978,-0.590144,-1.23632,-0.673112,-0.127035,0.543627,0.0116278,0.75129,0.368114,4.24268,5.01079,0.985835,0.993378,0.000344454,0.289076,0.095802,0.262238,0.241485,0.266619,0.245321,0.215696,0.217876,0.377757,0.125521,0.234401,0.233764,0,0,0,0,0,0,0,0,0.239534,0.213438,0.245121,0.218213,0,0,0,0,0,0,0.245098,0.231596,0.212384,0.213817,0.313261,0,0,0,0,0,10,12,6,9
-736.992,0.999709,0.00234363,11,2047,0,752.492,-1.62439,-0.41125,-1.5587,0.438132,0.0879586,0.0792932,0.294633,-0.101098,0.640286,0.311383,-0.840287,0.111616,0.0930227,-2.21373,-2.37882,0.4745,0.00915703,-0.305763,1.12222,0.892594,0.655616,-0.365198,0.577015,1.38118,0.102105,0.43204,4.7689,5.12482,0.991582,0.994088,0.000344454,0.167983,0.0943913,0.247706,0.21207,0.211237,0.232634,0.194448,0.270021,0.23436,0.136208,0.203618,0.199552,0,0,0,0,0,0,0,0,0.203981,0.198329,0.19819,0.20165,0,0,0,0,0,0,0.193625,0.208347,0.181903,0.233635,0.209525,0,0,0,0,0,10,12,6,9
-737.205,0.999986,0.00251852,10,2047,0,752.753,-1.04935,-0.802189,-1.62116,0.0944222,-0.0557863,-0.140636,0.0392537,-0.993782,-0.934017,1.58521,0.541849,-0.202549,-0.33194,-1.41478,-1.32053,0.622202,-0.73689,-0.307699,0.514357,0.205017,-0.890721,-2.73293,0.412062,0.323678,0.0469041,0.183265,4.57558,5.66673,0.989805,0.996553,0.000344454,0.180793,0.136171,0.241799,0.230676,0.224552,0.237672,0.169429,0.172912,0.370229,0.277033,0.220259,0.213273,0,0,0,0,0,0,0,0,0.217766,0.216589,0.215926,0.217333,0,0,0,0,0,0,0.221209,0.226858,0.195785,0.197493,0.279452,0,0,0,0,0,10,12,6,9
-731.997,0.999951,0.00270908,10,1023,0,746.286,-0.830039,-0.319387,-2.5871,0.0146453,0.0574277,-0.295413,-0.188679,0.101148,-0.292427,0.55514,-1.05002,-0.202576,-0.498009,-0.656252,-0.218973,0.81227,0.851319,0.0788182,-1.07441,-0.00324103,-0.171009,1.90751,1.01453,0.567532,0.129894,0.368398,6.06952,4.21823,0.997693,0.985489,0.000344454,0.202153,0.0248312,0.262111,0.270564,0.206093,0.224321,0.279377,0.206588,0.380211,0.107885,0.220659,0.194182,0,0,0,0,0,0,0,0,0.210671,0.21156,0.204311,0.206485,0,0,0,0,0,0,0.196127,0.202168,0.219234,0.196294,0.247873,0,0,0,0,0,10,12,6,9
-730.164,0.999719,0.00291324,10,1023,0,743.833,-1.69121,0.241915,-2.38285,0.546159,0.106749,0.255035,0.175999,-0.954524,0.600842,1.4319,-0.467777,-0.454481,-0.776813,0.161893,-0.220539,-0.8027,-0.576173,-0.0454939,1.25375,-0.508809,0.0781341,-1.75412,0.697433,0.300262,1.14169,0.149273,4.62615,4.86226,0.990303,0.992326,0.000344454,0.224997,0.0448996,0.263711,0.209133,0.226581,0.217157,0.11255,0.2711,0.397327,0.150894,0.213421,0.198268,0,0,0,0,0,0,0,0,0.235388,0.159401,0.182643,0.169953,0,0,0,0,0,0,0.210853,0.208976,0.183425,0.2192,0.240166,0,0,0,0,0,10,12,6,9
