# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=896279109
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,index.1
-853.209,1,0.125,2,3,0,988.781,-1.63395,-0.0310846,-1.18953,0.39439,-0.34397,-0.154252,-1.67814,1.11223,2.21589,2.10156,0.901667,0.891054,0.166667,0.158621,0.049408,0.232313,0.117479,0.141181,0.0293003,6
-853.209,0,10.0182,0,1,1,857.322,-1.63395,-0.0310846,-1.18953,0.39439,-0.34397,-0.154252,-1.67814,1.11223,2.21589,2.10156,0.901667,0.891054,0.166667,0.158621,0.049408,0.232313,0.117479,0.141181,0.0293003,6
-853.209,0,0.951493,0,1,1,856.707,-1.63395,-0.0310846,-1.18953,0.39439,-0.34397,-0.154252,-1.67814,1.11223,2.21589,2.10156,0.901667,0.891054,0.166667,0.158621,0.049408,0.232313,0.117479,0.141181,0.0293003,6
-782.301,0.934791,0.0488594,3,7,0,856.829,-1.01838,-0.0769092,-1.21304,0.0974316,-0.620622,-0.529821,-0.842782,0.470869,2.9613,2.48266,0.950795,0.922918,0.166667,0.258345,0.169446,0.274383,0.212385,0.219625,0.195413,6
-774.76,0.999268,0.0276928,6,63,0,787.017,-1.0968,-0.0752548,-1.30781,0.221748,-0.593024,-0.574705,-0.86506,0.408559,3.15089,2.59887,0.958944,0.930789,0.166667,0.244615,0.163678,0.267725,0.207661,0.208895,0.189967,6
-738.268,0.999953,0.0214517,5,31,0,782.363,-0.910839,-0.42834,-1.49623,0.26325,-1.01162,-0.239101,-1.31775,0.145295,3.56315,5.03751,0.972432,0.993552,0.166667,0.274268,0.244487,0.294716,0.257726,0.279775,0.249309,6
-734.045,0.997049,0.0182277,7,127,0,742.721,-1.19676,0.983437,-1.47247,0.357478,-1.16573,-1.07313,0.481346,0.0356694,6.14267,5.16821,0.997855,0.994338,0.166667,0.238362,0.222825,0.234333,0.224725,0.225301,0.235126,6
-727.839,0.999845,0.0163177,7,127,0,739.104,-1.09111,-1.47601,-0.716593,-1.72667,0.153935,-0.233687,0.715613,0.362645,4.16035,4.78418,0.984638,0.991708,0.166667,0.164327,0.205711,0.152222,0.262061,0.235798,0.303308,6
-728.989,0.999531,0.0153782,6,63,0,729.518,-1.12247,-1.69431,-0.80748,-1.63388,0.260767,-0.217107,0.699112,0.385281,4.12436,4.78104,0.984084,0.991683,0.166667,0.14489,0.192542,0.147798,0.264637,0.230388,0.298779,6
-728.106,0.991781,0.014929,6,63,0,734.623,-1.07913,-0.898187,-0.54827,-1.49153,0.343189,0.0842302,0.428099,0.205407,4.92303,5.39012,0.992776,0.995459,0.166667,0.220352,0.232947,0.200128,0.267248,0.256961,0.270677,6
