# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=896279109
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,index.1
-1004.89,0.4,0.125,2,5,1,1315.44,0.765811,0.882348,1.76781,1.68248,0.461642,1.02606,0.404111,6.03528,-0.863003,2.66909,0.296712,0.935178,0.166667,0.997742,0.999989,0.999982,0.97213,0.99905,0.961012,6
-1004.89,0,3.36522,0,1,1,1009.4,0.765811,0.882348,1.76781,1.68248,0.461642,1.02606,0.404111,6.03528,-0.863003,2.66909,0.296712,0.935178,0.166667,0.997742,0.999989,0.999982,0.97213,0.99905,0.961012,6
-1004.89,0,0.231324,0,1,1,1010.42,0.765811,0.882348,1.76781,1.68248,0.461642,1.02606,0.404111,6.03528,-0.863003,2.66909,0.296712,0.935178,0.166667,0.997742,0.999989,0.999982,0.97213,0.99905,0.961012,6
-983.243,0.998388,0.00987623,5,31,0,1010.52,0.68068,0.652367,1.68218,1.53642,0.474714,1.16428,0.590184,6.32942,-0.469148,3.2777,0.384818,0.963656,0.166667,0.991916,0.999988,0.99997,0.975526,0.999681,0.988064,6
-952.839,0.99964,0.00598102,7,255,0,988.366,0.638583,0.523357,1.69681,0.839471,1.08843,1.02664,0.0442361,1.81166,-0.574775,5.9251,0.360136,0.997336,0.166667,0.830155,0.976168,0.896546,0.931531,0.924037,0.672326,6
-952.76,0.999891,0.00433909,5,31,0,954.108,0.64386,0.531834,1.67074,0.859691,1.08864,1.01635,0.0466517,1.84102,-0.568132,5.94804,0.361668,0.997396,0.166667,0.835205,0.976333,0.90261,0.933892,0.925185,0.67475,6
-948.967,0.999514,0.0035307,8,255,0,963.421,1.01316,0.246445,1.55784,1.15866,0.953343,0.972215,0.280899,1.50858,-0.356545,6.16999,0.411796,0.997913,0.166667,0.799783,0.966537,0.940536,0.92066,0.922715,0.807977,6
-793.799,0.999578,0.00309953,8,255,0,958.036,-0.911145,0.249162,1.06825,-0.103439,1.32361,-1.06832,0.0737486,0.172302,1.0663,6.06941,0.743893,0.997693,0.166667,0.295626,0.325835,0.283134,0.335573,0.250637,0.289372,6
-779.228,0.999999,0.00287219,7,127,0,797.632,-0.860981,0.167998,1.02862,0.0335347,1.31136,-1.02078,0.200843,0.177779,1.32842,6.0577,0.790578,0.997666,0.166667,0.30341,0.336683,0.298381,0.347999,0.260677,0.304645,6
-755.894,0.999997,0.00276985,9,511,0,788.243,-1.34143,-1.62204,-2.55401,-1.54493,0.60776,0.71598,2.58054,0.121412,10.5669,4.50333,0.999974,0.989049,0.166667,0.176773,0.160903,0.178139,0.219661,0.221921,0.263448,6
-754.484,0.999978,0.00274718,9,1023,0,760.906,-1.17302,-1.52634,-2.30512,-0.990201,0.85923,0.46154,2.69019,0.144712,10.2991,4.17935,0.999966,0.984922,0.166667,0.198785,0.181443,0.211432,0.259478,0.248574,0.313519,6
-750.568,0.999999,0.00278143,9,1023,0,760.943,-1.18857,-0.916943,-1.92905,-0.660643,0.432019,0.820144,3.21935,0.108353,10.2819,5.00731,0.999966,0.993356,0.166667,0.216205,0.198199,0.220948,0.241998,0.249796,0.301589,6
-752.381,0.998829,0.00285981,6,63,0,755.698,-1.08997,-0.85749,-1.9301,-0.701922,0.39623,0.778754,3.16264,0.104504,10.2355,5.00025,0.999964,0.993309,0.166667,0.235127,0.215569,0.238063,0.259501,0.267256,0.318763,6
-737.038,0.99999,0.00296326,9,1023,0,758.327,-1.2829,-0.803955,-0.552932,-1.29375,-0.549738,2.12496,2.58132,0.152585,7.29592,5.47917,0.999322,0.995845,0.166667,0.196934,0.203062,0.185382,0.203141,0.277147,0.291311,6
-731.036,0.999918,0.00310801,10,1023,0,743.464,-1.16009,0.099861,-0.215143,-0.508363,2.17565,-0.516366,1.08393,0.15446,5.28249,4.90392,0.994946,0.992637,0.166667,0.241465,0.232666,0.224678,0.304907,0.224463,0.270386,6
-731.951,0.999999,0.0032797,10,1023,0,735.592,-0.99469,-0.980962,-1.62174,-1.0094,-2.84526,-0.494247,0.933629,0.199285,4.92785,5.13825,0.99281,0.994166,0.166667,0.233226,0.211171,0.232214,0.173402,0.251019,0.308182,6
-733.027,0.999417,0.00347781,10,1023,0,739.547,-1.34917,-0.136741,-0.785575,-1.4218,1.9321,-0.750315,1.1637,0.193485,5.42132,4.54309,0.995598,0.989472,0.166667,0.201712,0.182251,0.164617,0.273818,0.18327,0.245267,6
-731.299,0.999856,0.00369364,6,63,0,734.749,-1.27735,-0.135323,-0.787609,-1.45037,1.87261,-0.667652,1.17622,0.195052,5.55364,4.54041,0.996142,0.989444,0.166667,0.213535,0.192946,0.173611,0.286571,0.196616,0.259623,6
-728.727,0.999439,0.00393742,9,511,0,735.712,-1.21431,-0.528262,-1.00298,0.199053,-1.51344,-0.184251,1.14642,0.296186,4.82994,5.6141,0.992076,0.996367,0.166667,0.202495,0.180734,0.239512,0.159417,0.219448,0.294265,6
-726.794,0.999577,0.00419865,9,511,0,733.091,-1.06774,-0.639711,-1.46265,-0.836514,0.465393,-0.727123,0.450865,0.286696,5.59836,4.89258,0.99631,0.992554,0.166667,0.222502,0.18436,0.212894,0.28205,0.218197,0.281207,6
-729.623,0.999321,0.00448351,9,511,0,733.407,-1.12646,0.209554,0.199154,0.197312,0.641879,-0.559269,2.16196,0.0965744,4.60904,5.20175,0.990137,0.994523,0.166667,0.248575,0.248388,0.248354,0.256455,0.234967,0.285432,6
-728.865,0.999993,0.00478654,9,511,0,736.44,-1.16063,-0.224419,-1.04392,-0.625985,-1.35004,-0.72339,1.21306,0.162807,4.57953,5.94199,0.989844,0.99738,0.166667,0.231979,0.209062,0.220536,0.20094,0.217822,0.27625,6
-727.06,0.999977,0.00512093,8,511,0,733.171,-1.06635,-0.409518,-1.48109,-0.435927,-1.42152,-0.840779,0.694053,0.210661,4.86694,5.47321,0.992362,0.99582,0.166667,0.24001,0.201273,0.238997,0.203297,0.223832,0.284929,6
-727.231,0.999875,0.00547751,9,511,0,731.196,-1.21225,-1.01204,-0.0360443,0.211151,-0.38025,-0.397199,2.07624,0.134277,5.19736,5.07743,0.994499,0.993803,0.166667,0.206175,0.22845,0.234353,0.220405,0.220015,0.282224,6
-729.618,0.999646,0.0058549,8,255,0,731.226,-1.258,-1.02926,-0.781977,0.48809,1.0521,0.373631,1.03252,0.397701,4.92314,4.84798,0.992776,0.992217,0.166667,0.158779,0.172359,0.256567,0.301623,0.247981,0.299985,6
-725.966,0.999909,0.00625067,7,127,0,732.655,-1.21661,-0.995607,-0.878489,-0.073462,0.310819,0.350653,1.42711,0.20548,4.77377,5.02192,0.991622,0.993451,0.166667,0.194476,0.198274,0.225884,0.239989,0.241485,0.284273,6
-725.857,0.999904,0.00667353,8,511,0,728.673,-1.21329,-0.336746,-0.711122,0.915856,0.445384,-0.242355,1.34637,0.24324,4.96383,4.89058,0.993062,0.992539,0.166667,0.214974,0.200005,0.270809,0.248812,0.218874,0.291977,6
-729.284,0.999607,0.00711914,8,511,0,734.06,-1.20412,-0.283727,-1.46673,0.561438,-0.267128,-0.495041,1.77743,0.22667,6.02416,4.34694,0.997586,0.987219,0.166667,0.219526,0.177033,0.254102,0.220172,0.21143,0.309763,6
-729.838,0.999905,0.00758148,8,511,0,735.004,-1.34263,-0.145162,-0.859992,0.901736,-0.275983,-0.241838,1.90877,0.296951,6.02027,4.34368,0.997577,0.987178,0.166667,0.200089,0.168261,0.25448,0.193944,0.195534,0.315222,6
-731.048,0.999159,0.00807295,7,127,0,734.182,-1.20269,0.522196,-0.466937,0.992506,-0.301518,-0.0538656,1.47554,0.0798537,6.32601,5.5261,0.998214,0.996034,0.166667,0.238488,0.224441,0.245375,0.226748,0.230235,0.252588,6
