# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=896279109
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_sigma.1,g_se,g_sp
-830.454,1,0.125,1,1,0,872.992,-1.71444,0.674922,0.186726,0.687358,-1.18913,-1.0693,-1.16973,-1.26842,1.63482,2.46541,-0.446113,-0.616214,-0.679127,-0.134899,0.133802,0.0674207,-1.71139,-0.137506,-3.94394,-8.09268,-48.2659,0.708259,-0.0230397,1.02055,-2.64039,-3.72709,-10.3112,14.7544,-41.1951,-10.7803
-830.454,0,10.0182,0,1,1,832.33,-1.71444,0.674922,0.186726,0.687358,-1.18913,-1.0693,-1.16973,-1.26842,1.63482,2.46541,0.947663,-0.307497,0.815945,0.723629,0.273726,0.32769,-0.623709,-0.708019,-0.603577,-0.364296,-48.2659,0.708259,-0.0230397,1.02055,-2.64039,-3.72709,-10.3112,14.7544,-41.1951,-10.7803
-830.454,0,0.951493,0,1,1,838.704,-1.71444,0.674922,0.186726,0.687358,-1.18913,-1.0693,-1.16973,-1.26842,1.63482,2.46541,0.239102,-1.55202,0.54254,-0.520892,-0.232239,-0.642354,-0.826132,-0.861874,-1.81748,-2.87604,-48.2659,0.708259,-0.0230397,1.02055,-2.64039,-3.72709,-10.3112,14.7544,-41.1951,-10.7803
-736.9,0.974297,0.0488594,5,31,0,833.757,-1.12378,0.372908,0.416961,0.793624,-0.916752,-0.919729,0.346222,-1.84072,3.27979,4.36493,5.89976,1.17627,0.277716,0.0795465,-0.765911,-0.26585,-4.27049,1.76392,-6.70532,-9.51168,-1.62397,1.03557,2.40148,1.40125,-1.0392,-1.01804,-2.76721,-0.15975,-7.26494,-4.74322
-734.651,0.991496,0.0310018,7,127,0,744.184,-1.17424,-0.493544,0.448303,0.59254,0.115243,0.826409,1.6491,-2.56479,6.74056,6.19094,-0.75823,0.603446,1.25789,1.00365,-0.875277,-0.605416,-1.519,-0.604762,-3.34807,-0.721985,4.46461,-0.353695,1.18872,0.827333,0.256252,1.41477,0.238489,-2.34479,2.53622,3.80501
-730.737,0.999863,0.0235804,7,127,0,738.42,-1.04912,-0.569343,-1.31788,-0.641036,-0.861059,-0.963042,0.38425,-2.17906,3.80432,5.3241,0.195326,-1.61501,-0.499052,1.87875,1.82918,-0.427161,0.27424,0.0552179,0.395913,-2.27565,1.2992,-0.203941,-0.603139,-0.3086,-0.64732,-0.49299,-1.44641,-3.59009,-4.06827,1.08751
-728.512,0.997522,0.0200821,7,127,0,734.007,-0.986841,-1.39025,-1.59827,-0.592542,-0.499174,-0.219774,0.127362,-1.37221,5.11035,4.53708,-0.310018,0.431979,-0.241572,-0.125266,-0.503421,-0.389996,-0.938724,-2.15733,-2.1359,-0.361583,10.8884,-1.32653,-1.46246,0.197563,0.495582,2.99147,-2.05736,-3.00084,0.124783,-3.88211
-731.833,0.998992,0.0180333,7,127,0,735.409,-1.06094,-0.739842,-1.58709,-1.61981,-0.396998,-2.35322,0.496807,-2.04703,5.25101,5.66342,0.954129,-0.869948,-1.41353,0.196724,1.03455,-0.533488,-0.895176,0.913184,0.112897,-0.666568,-8.35653,-0.379217,-1.04307,-1.35839,0.0259359,-3.04688,-1.34053,-1.87291,0.258918,2.50533
-728.734,0.999991,0.0169658,7,127,0,735.557,-1.06037,-0.310906,-1.78206,-0.634448,-0.623964,-1.51468,1.02081,-1.44185,4.22256,4.72204,0.325514,0.302347,0.957191,1.2407,-0.039278,2.4073,0.536014,1.75951,0.667502,-1.16963,-3.66938,0.470666,-2.58292,-0.0499172,-0.388515,-3.16186,1.25029,2.63211,-2.41533,-1.81142
-727.827,0.99815,0.016502,7,127,0,731.479,-1.05512,-0.201718,-1.79206,-0.60361,-0.777164,-1.42434,0.711221,-1.71137,4.61463,4.7906,0.741381,-0.357921,-0.165958,-0.127332,0.585153,-0.587965,1.31362,0.883823,-1.76282,-0.528765,-1.79434,0.544439,-1.7182,-0.0921671,-0.523253,-1.7825,-0.649506,-2.06593,-1.16533,-1.56903
