# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=307650850
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_sigma.1,g_se,g_sp
-1140.5,1,0.0625,1,1,0,1432.24,-0.934982,1.99855,1.17724,-1.51501,1.06232,-0.772892,-0.669473,-1.1192,-1.01761,0.0715782,1.38325,0.763185,-0.252706,0.897708,2.11998,-0.0870726,-0.59479,-0.505074,-0.139169,-0.174885,1.18456,-0.118828,0.100139,1.34899,-0.00165113,-1.96938,2.64417,23.7529,5.39234,3.22256,4.0569,-1.51952,6.93718,0.824674,0.938765,-0.92512,-0.872472,-1.02562,2.53413,12.0663,-32.7309,-227.591
-1140.5,0,10.0182,0,1,1,1143.63,-0.934982,1.99855,1.17724,-1.51501,1.06232,-0.772892,-0.669473,-1.1192,-1.01761,0.0715782,1.38325,0.763185,-0.252706,0.897708,-0.1357,-0.0230598,-0.858892,-0.634961,0.457563,0.848624,-0.146127,-1.23159,1.1077,0.254138,0.364493,0.318997,-0.53126,-0.899958,5.39234,3.22256,4.0569,-1.51952,6.93718,0.824674,0.938765,-0.92512,-0.872472,-1.02562,2.53413,12.0663,-32.7309,-227.591
-1140.5,0,0.951493,0,1,1,1150.86,-0.934982,1.99855,1.17724,-1.51501,1.06232,-0.772892,-0.669473,-1.1192,-1.01761,0.0715782,1.38325,0.763185,-0.252706,0.897708,-1.40683,0.320815,0.386222,0.456839,-1.76168,1.08372,-0.769579,-1.19341,1.09832,-2.74238,-1.17439,-0.0214719,-0.640286,1.2124,5.39234,3.22256,4.0569,-1.51952,6.93718,0.824674,0.938765,-0.92512,-0.872472,-1.02562,2.53413,12.0663,-32.7309,-227.591
-1039.4,1,0.0488594,3,7,0,1138.65,-0.97151,1.85987,1.22795,-1.46396,1.20575,-0.616788,-0.616922,-1.01558,-1.15417,0.172169,1.37711,0.844544,-0.246903,1.77349,0.336111,1.6099,-0.25911,-0.630268,-1.04724,-1.72767,-0.978504,-1.1085,1.33541,-1.19981,0.210947,0.542636,-2.13853,-13.4509,-4.94226,4.45491,6.1739,-2.73261,9.97221,-5.54325,-16.3865,-1.07507,-1.49922,-5.03659,3.40807,39.7801,-45.167,-27.8137
-906.866,0.856962,0.0333642,3,7,0,1045.56,-0.790141,1.56692,1.06113,-1.02095,0.925677,-0.305248,-0.30461,-0.735902,-1.47665,0.0507579,1.23764,-0.0959895,0.486487,2.39529,1.18024,-2.57071,-1.68648,2.93813,-2.71563,2.15117,3.65374,1.49018,-1.38653,-0.129396,-1.18681,-10.9537,8.55581,5.81476,10.4127,14.6705,8.39922,-8.78828,11.1807,-1.22029,-11.618,-0.469466,-2.65754,-3.33009,5.00952,55.42,-46.6756,-43.6224
-823.312,0.999345,0.0170464,4,15,0,913.825,-0.929697,1.67508,0.862381,-0.865417,0.754161,-0.26779,0.0165371,-0.430441,-1.46044,0.163558,1.31591,-0.816729,1.04772,3.09441,-1.5362,-0.147927,-1.77044,1.55701,-1.59277,0.321383,2.62305,1.99795,0.296203,0.931402,0.218703,-7.44864,7.32669,7.02908,7.39511,8.26285,4.73486,-5.38273,3.63127,-0.561656,-4.11366,0.0588712,-2.19845,-1.96793,2.97864,22.6126,-43.2839,-24.8411
-758.231,1,0.0143682,5,31,0,831.214,-1.31224,1.75854,1.30569,-0.819503,0.492019,-0.108802,0.422269,-0.87374,-1.63292,0.128103,1.52035,-1.71346,2.77485,3.71763,0.213276,0.443685,-1.01005,-0.719326,1.08713,-0.638473,-1.84069,1.47067,0.305246,-0.084758,-0.383113,4.83707,-9.58626,-4.63728,-19.902,3.22843,2.90855,-2.87618,0.306924,-0.577601,-2.32901,-0.73636,-1.918,-1.02691,1.8615,5.05774,-13.107,-9.97409
-745.409,0.997398,0.0129302,6,63,0,765.919,-1.32853,0.984573,1.88927,-0.387439,0.556399,0.297466,0.742854,-0.954618,-1.33371,-0.0343753,1.74219,-2.24212,3.38658,4.4928,-0.0242624,-2.16205,0.352754,1.31797,-0.0686863,0.674177,0.747403,0.0305023,0.994428,-0.0993682,-0.085378,-2.09492,3.67723,3.81411,-30.6533,1.34344,2.83375,-1.57186,0.252409,0.0274792,-1.23405,-0.866984,-1.46998,-0.787859,1.86099,0.315801,-7.7183,-2.0501
-731.75,0.99757,0.0120652,7,127,0,752.409,-1.15313,-0.0749113,-0.165596,-0.380515,0.991672,-0.778346,0.808316,-0.162069,-0.877688,1.30327,-0.179655,-2.4143,5.58368,5.61099,-2.68025,-1.6966,-3.0027,1.11744,-0.599426,-0.65703,-0.0366209,0.80017,1.15356,1.07989,-2.10493,-1.00056,3.32647,0.751038,-0.239117,0.372934,0.636611,-1.05612,1.26459,-0.751232,0.249896,0.0299753,-0.879847,0.787831,-0.0884143,-1.7391,0.913131,2.2193
-730.902,0.999984,0.0116268,8,255,0,737.195,-1.16032,-0.925597,-0.312748,-0.399167,1.2788,-0.45472,0.505752,-0.528608,-1.18841,1.24157,-0.603507,-1.53551,5.51973,5.42519,-0.0595135,-1.8741,-0.589699,0.347778,0.140895,0.878305,-0.665578,-0.804622,-0.436024,-0.235857,-0.874495,2.21144,-0.336679,-0.839667,-0.518597,-0.741269,1.53187,-2.29749,3.17994,-0.660526,-0.28873,-0.18278,-1.41449,0.192113,-0.567075,0.109427,0.806021,1.57431
-727.879,0.999292,0.0115542,8,255,0,735.89,-1.22123,-0.587815,-3.36635,0.244412,0.640524,-0.100299,0.708837,-0.561743,0.788632,1.79632,1.21579,-0.909601,5.50488,5.43747,0.1799,-0.613698,0.461521,0.423806,-1.65595,2.71816,-0.311707,-0.612854,-1.34504,0.26702,0.518014,-0.70789,0.989889,0.993515,10.7635,-1.00583,-2.29006,-2.15546,3.1656,-0.542305,3.04083,-0.248144,1.64675,0.901045,3.09195,-0.0732374,0.842112,1.3336
-726.228,0.998883,0.0116539,8,255,0,733.429,-1.29168,-0.463506,-1.79112,1.90228,0.26613,0.527402,0.932051,-0.362127,0.0781033,0.75335,0.678903,-1.04459,5.06973,5.0484,-0.419205,-1.49441,-2.04401,0.450885,1.13968,-0.327255,-0.665837,-0.342232,0.909808,0.39085,1.81587,0.156258,0.578162,1.00528,15.8703,-0.751598,-0.0967087,4.574,0.0425529,2.39353,2.26532,-0.0330246,0.0213496,-1.22251,1.36677,2.55505,0.0940481,-0.597117
-731.504,0.995838,0.0118889,8,255,0,735.162,-1.31069,-1.41407,-2.27867,1.62551,-0.400548,-0.124908,0.636131,-1.1993,0.468022,2.38602,1.09739,-1.38391,5.01214,5.53061,0.628258,0.0465451,-0.106245,-1.91516,-0.0205266,-0.920325,-0.11385,-0.438236,0.150161,1.25147,-0.463877,0.44992,0.0179828,-0.427518,-25.821,-2.59823,-1.02947,1.49496,-2.05857,-1.19949,-2.33973,-1.18501,0.516149,1.44781,1.60494,-4.90456,-0.393187,2.36248
-725.238,0.999933,0.0121273,8,255,0,736.163,-0.995597,-0.370182,-1.48034,0.539637,-0.338053,-0.169401,-0.0299844,-0.452911,-0.524862,0.34748,-1.10864,0.187481,5.23065,5.50906,-1.83696,1.7953,1.46664,-1.02655,-0.404644,0.23126,-0.623933,-3.03786,0.203624,-0.681649,-0.339263,0.933109,0.447193,-0.722037,-0.642104,-1.33792,1.17898,19.8618,-8.02441,1.26258,-2.88751,-0.0280635,-3.08915,-3.02799,-7.06918,16.0849,0.311257,2.0437
-728.789,0.999527,0.0126194,6,63,0,736.777,-0.86145,-0.105782,-1.93417,-0.665822,0.0139126,-0.282926,-0.105239,-0.774713,-0.349989,0.594504,-0.992532,0.172001,5.17793,5.70665,-0.261521,1.25689,1.29447,0.718638,0.617525,0.953074,0.349848,0.623908,-0.917787,-0.639059,-1.75965,2.43675,0.191727,-0.107336,0.168276,10.5219,-0.105704,-20.9127,11.8697,1.08024,1.17205,-1.49128,-0.725819,0.916458,-5.7047,14.2076,0.200709,2.66223
-723.59,0.994381,0.0131834,7,127,0,741.978,-0.92019,-0.91788,-1.93554,0.299763,-0.718765,-0.402402,-0.255066,-0.669559,-0.508605,0.702425,0.0785887,-0.0425068,5.18921,5.12538,1.1877,2.62276,-0.030797,0.958555,-0.12012,-0.711404,-0.858106,-0.470119,0.0562773,1.21357,-2.04766,4.23258,0.042479,1.58247,-20.733,-7.13917,0.188841,7.28189,-11.1056,-2.84055,-11.8305,-0.372634,-1.43429,0.34531,3.59134,15.3464,0.0661028,0.917348
-727.74,0.999985,0.0136084,7,127,0,730.022,-1.02029,-0.750004,-1.79921,-0.700275,-0.0140351,-0.709382,-0.288495,-1.18786,-0.664666,0.127993,0.0526007,-0.774054,6.10843,5.1294,1.22537,-0.651169,0.171303,0.0972247,0.0272174,-0.586338,0.0541925,0.457771,-0.0580603,0.100142,1.18642,0.300361,-0.7234,0.0849941,-18.9227,-0.328802,0.57562,-5.61804,2.06929,-2.51402,-5.32396,-1.04917,-0.896561,-2.28216,1.17897,0.760002,1.65619,0.699061
-724.016,0.991463,0.0143325,7,127,0,733.331,-1.12047,-0.56261,-2.32979,-0.136367,0.204116,0.218617,0.3284,-0.763049,0.108692,1.33899,-0.911498,-0.649031,6.06923,4.98493,-1.69926,-0.00219197,0.317416,0.943971,-1.92614,0.295696,-2.13318,-1.33844,-0.325704,-1.64024,-0.0839681,0.132072,1.3248,-0.187389,13.9122,-0.527939,-0.586191,-3.91366,2.82235,5.36126,3.26032,-0.488429,0.691047,0.505064,-1.77297,-1.90019,1.70006,-0.950953
-730.086,0.999797,0.0147389,7,127,0,735.423,-1.23175,0.0972444,-1.57135,0.86366,-0.020336,-0.326035,0.19593,-0.512961,-0.762204,0.891508,-1.83794,-0.363382,6.20736,5.92605,-0.590321,-0.213936,-1.18647,0.0524595,1.21725,-0.105586,-0.727621,-0.629661,0.828074,0.73145,-0.230316,2.10776,0.333689,-0.78893,-15.2318,3.49631,0.778358,5.92259,-1.61777,-6.21423,-5.05507,-0.41399,-2.67914,-1.22881,-5.70525,8.25417,1.81326,3.4799
-723.169,0.999997,0.0155679,6,63,0,733.377,-1.15524,-0.348909,-1.82034,0.306461,0.151389,0.156397,0.189902,-0.242867,-0.374991,1.43601,-0.836417,-0.645942,5.93617,5.98216,0.786056,-1.37586,-0.635276,-1.68513,-0.0266624,0.631142,1.39138,0.457187,1.14419,1.02666,2.85728,-0.336056,-0.952072,-0.756357,3.04037,0.251927,0.328184,-1.22248,1.52652,3.46541,-2.16524,0.564522,-0.766017,0.620694,-1.78766,-5.21123,1.47301,3.24736
-726.227,0.997778,0.0164666,7,127,0,731.571,-1.04184,-0.597619,-1.51578,0.356599,-0.271608,-0.40476,-0.170737,-0.110434,-2.00358,0.469594,0.144957,-0.573176,5.91116,5.12512,-0.247067,0.176007,-0.167156,-0.0953159,-1.34128,0.934153,-1.47577,-0.469672,-0.0194775,-0.545243,0.941209,-0.470235,-0.739789,-1.88083,-8.13495,-0.226829,1.27155,1.20211,-0.539999,-1.00767,-5.69773,1.31835,-4.27581,-1.83034,1.68437,0.217181,1.39883,0.481887
-726.667,0.992393,0.0173102,7,127,0,734.379,-1.05353,0.171949,-1.94091,0.171906,-0.458359,-0.784095,0.00165711,-0.00559832,-1.48122,0.934257,-0.421466,-0.375061,5.36615,5.1188,1.38171,-0.454904,1.19662,0.93265,0.111796,-0.314124,-0.28398,0.205583,-2.14999,-1.20383,1.52925,0.320993,1.50211,0.0589607,-11.8965,7.33411,0.245157,-0.586522,-4.0232,-9.1279,-2.29203,1.90379,-4.04964,-0.146126,-0.521364,7.54442,0.470909,0.651341
