# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1883340189
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,index.1,index.2,index.3,index.4
-762.661,1,0.0625,5,31,0,1235.34,-1.28691,0.274573,1.73326,-1.119,-0.048786,0.589697,0.268961,0.665881,0.465208,1.75682,-1.63351,-0.816337,0.25454,-1.04761,-1.78615,0.148255,0.189928,1.26188,0.118022,0.329044,0.0451712,0.507804,3.16726,5.59403,0.959583,0.996294,0.00168979,0.320853,0.358996,0.2865,0.31269,0.328915,0.32071,0.330513,0.316256,0,0,0,0,0.316709,0.327123,0.333418,0.330248,0,0,0.318436,0.284248,0.326871,0.304906,0.457668,0,6,8,6,9
-762.661,0,10.0182,0,1,1,771.671,-1.28691,0.274573,1.73326,-1.119,-0.048786,0.589697,0.268961,0.665881,0.465208,1.75682,-1.63351,-0.816337,0.25454,-1.04761,-1.78615,0.148255,0.189928,1.26188,0.118022,0.329044,0.0451712,0.507804,3.16726,5.59403,0.959583,0.996294,0.00168979,0.320853,0.358996,0.2865,0.31269,0.328915,0.32071,0.330513,0.316256,0,0,0,0,0.316709,0.327123,0.333418,0.330248,0,0,0.318436,0.284248,0.326871,0.304906,0.457668,0,6,8,6,9
-762.661,0,0.951493,0,1,1,776.857,-1.28691,0.274573,1.73326,-1.119,-0.048786,0.589697,0.268961,0.665881,0.465208,1.75682,-1.63351,-0.816337,0.25454,-1.04761,-1.78615,0.148255,0.189928,1.26188,0.118022,0.329044,0.0451712,0.507804,3.16726,5.59403,0.959583,0.996294,0.00168979,0.320853,0.358996,0.2865,0.31269,0.328915,0.32071,0.330513,0.316256,0,0,0,0,0.316709,0.327123,0.333418,0.330248,0,0,0.318436,0.284248,0.326871,0.304906,0.457668,0,6,8,6,9
-747.609,0.99845,0.0488594,6,63,0,770.773,-1.24692,-0.066746,-1.94113,0.911709,-0.240344,-0.196678,-0.410441,-0.240885,-0.110503,0.643228,1.58169,-1.00668,-0.999324,-2.45319,0.112608,0.302319,1.02747,0.955334,0.102108,0.121125,0.37953,0.182313,7.32523,5.1474,0.999342,0.994219,0.00168979,0.23263,0.200501,0.250754,0.229511,0.230293,0.226483,0.225005,0.227741,0,0,0,0,0.2698,0.192764,0.195352,0.182931,0,0,0.224819,0.218165,0.223431,0.227541,0.252325,0,6,8,6,9
-735.689,0.949864,0.0332168,6,63,0,756.454,-0.975024,-0.569969,-1.36396,-0.225476,-1.27914,-0.599579,0.738111,0.226316,-0.412937,0.802822,1.80228,-0.84325,0.465117,0.223674,0.260989,1.06062,0.0754317,0.252784,0.275394,0.489001,0.112616,0.189639,5.19674,4.92027,0.994496,0.992756,0.00168979,0.240519,0.203094,0.258144,0.206877,0.239043,0.311671,0.269881,0.213452,0,0,0,0,0.24804,0.22688,0.24038,0.268498,0,0,0.220198,0.266135,0.247872,0.226255,0.268503,0,6,8,6,9
-733.737,0.982367,0.022383,7,127,0,744.121,-1.31408,-0.543824,-0.808089,0.655999,-0.255892,0.0845085,0.667865,-0.188918,-0.857737,0.287353,-1.43113,0.268929,-0.158178,-0.143753,0.0796185,-1.12023,-0.420842,-0.375219,0.23741,0.442475,0.565245,0.0785002,4.59062,4.81522,0.989955,0.99196,0.00168979,0.195159,0.18558,0.243256,0.206012,0.219406,0.243769,0.236129,0.187378,0,0,0,0,0.24108,0.159902,0.187301,0.2423,0,0,0.21624,0.223998,0.212671,0.204119,0.218916,0,6,8,6,9
-732.409,0.991913,0.0180427,8,255,0,742.561,-0.0597793,-0.611591,-0.408442,-0.38096,-0.346321,-0.10616,0.289423,-1.01264,-0.990068,-0.501222,-0.551972,0.400554,-0.139057,0.937691,-1.17972,0.00181216,-0.69613,0.454766,0.756499,0.903979,0.383563,0.0731127,5.67205,4.97891,0.996571,0.993165,0.00168979,0.177083,0.200558,0.203906,0.208186,0.239659,0.298194,0.227289,0.230849,0,0,0,0,0.216795,0.219037,0.235027,0.263066,0,0,0.23296,0.238105,0.221462,0.221743,0.227899,0,6,8,6,9
-735.899,0.992481,0.0158933,8,255,0,748.558,-0.85395,-1.08342,-0.717714,-0.75182,-0.359181,-0.925811,-0.0256984,0.470233,-0.232555,1.01373,0.558953,1.41674,1.20092,1.0958,-0.0851795,-0.486859,0.0769405,-0.890387,0.589237,0.127984,0.0595698,0.284253,6.04769,5.04764,0.997642,0.993617,0.00168979,0.183442,0.217768,0.214381,0.255674,0.197698,0.294584,0.240207,0.224394,0,0,0,0,0.232129,0.236264,0.230312,0.239815,0,0,0.188353,0.230206,0.255868,0.220046,0.286042,0,6,8,6,9
-740.568,0.997376,0.0146318,8,255,0,747.84,-0.888877,-1.39504,-1.85622,-0.426652,-0.455599,-0.153955,0.432617,-0.903082,0.160919,1.79957,0.0219565,2.35125,0.27615,1.17183,-1.14208,1.15198,0.279929,-0.234034,0.216611,0.0725861,0.300768,0.317937,5.14906,4.96064,0.994229,0.99304,0.00168979,0.22252,0.205933,0.260329,0.259141,0.271688,0.297133,0.249607,0.264051,0,0,0,0,0.244492,0.242916,0.259668,0.294282,0,0,0.23977,0.275103,0.199332,0.258345,0.368633,0,6,8,6,9
-741.574,0.999272,0.0141046,7,127,0,753.588,-1.00726,-1.77293,-1.85189,0.339917,-0.451007,-0.492994,-0.0373468,-0.538141,0.265283,1.71816,-0.218418,2.6012,0.00055218,1.46835,-1.07008,1.51904,0.151443,-0.374996,0.268664,0.0607564,0.268539,0.300414,5.4213,4.54634,0.995598,0.989505,0.00168979,0.183229,0.180104,0.282349,0.241774,0.239734,0.262493,0.227155,0.235684,0,0,0,0,0.248774,0.211789,0.209941,0.230619,0,0,0.204593,0.227556,0.202413,0.243772,0.331734,0,6,8,6,9
