# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=678216098
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_adjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_adjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_beta.20,p_beta.21,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_beta.20,g_beta.21,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4,g_se,g_sp
-746.413,0.999976,0.0013727,11,2047,0,764.533,-1.47742,-0.717901,-1.9864,0.967397,0.938508,1.53888,-0.0676648,-0.414939,0.769432,2.08464,-0.757152,0.545926,-0.292535,0.711914,0.575407,0.177107,-0.405782,-0.565426,0.771457,-1.3665,-1.05869,-1.05948,-1.42338,-3.20326,-1.62935,-2.43591,7.16819,5.39318,-0.81985,-0.129983,0.17926,-1.27237,-0.02565,-0.658861,0.553436,0.54142,0.502787,2.95966,0.316289,-1.37276,-0.710711,-0.365062,-1.68179,-0.134587,0.657322,2.47405,-0.336514,0.831972,0.239045,-0.468432,-1.01271,-0.23313,1.43551,-0.507914,0.0484522,2.71087,4.545,-0.64298,-0.603509,0.399012,2.67231,6.75227,-4.1044,-0.043505,1.35149,0.628345,-0.895621,0.341458,0.15662,0.711914,0.575407,0.177107,-0.405782,-0.565426,0.771457,-1.3665,-1.05869,-1.05948,1.89529,-1.20239,0.92713,-1.36271,3.03645,1.33877
-748.035,0.999926,0.00139091,11,2047,0,764.035,-1.32159,1.04299,-0.766543,0.449803,-0.553554,0.132122,-2.15133,-0.231781,-0.566831,1.08829,1.0162,0.17154,0.194274,-1.14536,-0.00120338,-0.584882,0.803474,0.510392,-0.519611,2.07899,1.45824,1.26052,-2.47391,0.120984,-1.94044,-2.43842,4.26309,5.34515,-2.8423,0.222494,-2.18584,1.3736,0.514657,-0.619096,1.29945,2.01602,0.417561,1.04737,-0.0703516,0.158232,-0.0302275,-0.360855,0.973687,-0.500282,0.41184,-0.259879,0.596493,0.529097,0.201262,-0.0706731,-0.109727,-0.940536,-0.443319,-0.373098,-2.42658,-0.370244,-11.2633,1.68876,-0.0560456,-1.40187,-0.425306,0.382151,-4.71249,0.203575,-0.541531,0.00917446,1.17939,-18.1133,7.25884,-1.14536,-0.00120338,-0.584882,0.803474,0.510392,-0.519611,2.07899,1.45824,1.26052,2.93532,-1.6355,-1.21886,-0.75713,-2.40516,1.52255
-743.316,0.999983,0.00143276,11,2047,0,761.646,-0.895259,1.54281,0.678425,-0.368078,-0.840478,-0.368764,-0.0781773,-1.05347,0.191254,0.652478,0.3095,0.381452,-0.270569,-1.04549,0.89115,-0.7693,0.521687,0.107759,1.13431,0.274513,2.139,0.304436,-3.70765,-0.308779,0.0903698,-1.87702,5.28518,4.6122,-1.30893,0.586762,-0.975435,-1.13605,-0.209843,1.96389,-2.87878,0.358745,-0.433784,0.282839,1.01997,-0.101286,0.363557,-0.753295,-0.454517,-0.264957,0.636105,0.517796,-1.15975,2.19276,0.548229,1.25933,1.20366,1.9074,-0.683677,-1.29328,-1.26759,-0.449573,1.47822,1.73623,0.912896,0.59408,-1.43908,-1.38794,3.43344,-1.37386,1.31338,-0.439595,0.335387,8.75821,-6.90438,-1.04549,0.89115,-0.7693,0.521687,0.107759,1.13431,0.274513,2.139,0.304436,-0.59674,4.72458,0.25335,-0.829113,0.403865,-2.67679
-741.021,0.999997,0.00149452,11,2047,0,755.903,-0.54332,0.0408574,-1.80242,-0.227829,-0.571978,-0.448932,-0.141026,-1.07117,-0.820428,0.529607,-1.15689,-0.569508,-1.1636,0.0926821,-1.08529,-0.914289,-0.0393255,-0.753137,0.216753,-0.256989,-1.97367,-0.0297958,-2.3483,-2.01234,0.17152,-1.19738,6.79226,5.57574,-0.465018,-1.90498,-1.06263,-0.283791,0.158974,0.823367,0.163054,-1.54308,1.36789,-0.0997535,-0.326475,0.69903,-1.15414,1.04284,-0.852837,0.802552,-0.520613,-0.0808433,-1.1428,-0.265481,-2.06965,-0.303564,1.88548,-0.551094,-0.227394,-1.99608,-1.16871,-0.205391,2.76195,0.701475,-1.00832,3.70986,-0.569814,-2.72175,4.70342,-2.09037,-1.06611,-1.03119,-1.0598,-0.574675,-0.716602,0.0926821,-1.08529,-0.914289,-0.0393255,-0.753137,0.216753,-0.256989,-1.97367,-0.0297958,-2.84125,-1.38351,-0.00303435,-0.182251,2.59536,2.06766
-726.198,0.999939,0.00157346,11,2047,0,748.363,-1.56074,-0.461584,-1.62144,0.501906,0.255765,0.141992,0.131013,0.0069616,0.290239,1.47104,0.31887,0.568443,-0.948135,0.812773,-0.576606,-0.654939,0.605561,-0.797448,0.0814504,-0.81739,-0.10416,0.528677,-0.17091,-1.85768,-1.5521,-0.435657,5.24644,4.62468,0.467325,2.45671,-0.0334299,2.63206,2.01577,1.96171,-1.37028,-0.450937,0.255402,-1.09089,0.706423,0.934883,0.834793,0.0535787,0.99824,0.810197,0.150075,0.62049,-0.205497,0.112582,1.98709,0.12641,-2.06185,0.945049,-1.12081,-0.0283782,-2.25375,-0.515848,3.89585,-2.73556,0.378473,7.13661,4.29553,-3.81758,-6.27235,-0.894808,4.86825,5.29526,2.06554,1.63652,-1.16479,0.812773,-0.576606,-0.654939,0.605561,-0.797448,0.0814504,-0.81739,-0.10416,0.528677,2.23904,-0.0314062,-0.127922,4.86435,0.367571,-2.94032
-727.974,0.999635,0.00166763,11,2047,0,741.659,-1.46703,-0.149442,-1.64897,0.340665,-0.0016572,0.416086,0.274692,-0.357767,0.204833,0.810145,-0.503664,0.307426,-0.991524,0.424311,-0.294859,-0.341677,0.972689,-0.345748,0.725535,-1.40344,-0.349011,0.72412,-0.120675,-1.40041,-1.53762,-1.96982,5.71673,4.47012,0.923205,-1.42572,0.126318,0.411782,0.0237268,0.372035,2.53141,0.471286,0.665513,0.799236,1.10368,1.13247,-0.35474,0.872669,-0.629367,-0.703599,-0.444331,-0.973849,-1.05118,0.750621,0.379338,-0.179412,0.568406,-0.680914,-0.125033,2.66187,-0.61883,-0.952645,-8.46507,-0.438838,0.269657,-3.82788,-2.69886,6.12827,-2.8771,-0.987422,0.669419,-2.76479,-2.76999,-0.560226,-1.84885,0.424311,-0.294859,-0.341677,0.972689,-0.345748,0.725535,-1.40344,-0.349011,0.72412,-3.26986,-0.170182,-1.37253,-1.57637,1.09465,-3.74124
-728.386,0.999991,0.00177468,11,2047,0,734.927,-1.57255,-0.37617,-1.78739,0.43334,0.192844,0.0853664,0.0140294,-0.0651719,-0.0314188,0.767185,-0.89151,-0.231369,0.739499,-0.187218,0.173376,0.348065,-0.964126,0.661112,-0.416388,1.82157,0.285111,-1.34263,-0.220895,-2.54262,-0.101752,-0.100007,4.63582,4.76995,0.728019,0.666445,0.0119431,-1.60143,-0.198747,0.420257,-0.514069,-0.451428,-1.75664,-0.61359,0.718361,0.26656,-0.293986,-0.488097,0.273236,0.0923598,-0.303696,-0.377275,-0.687909,-0.21784,0.201665,0.726183,-0.15237,-0.0638027,0.433612,0.431667,0.550228,-1.54076,-1.94845,-0.934493,0.121263,6.3549,4.52044,-0.929041,-8.81016,-0.0704475,-0.50411,0.865446,-3.25376,-0.85825,1.33681,-0.187218,0.173376,0.348065,-0.964126,0.661112,-0.416388,1.82157,0.285111,-1.34263,-0.611793,-0.334587,0.858455,1.54852,-1.07821,-1.75581
-728.471,0.999958,0.00189755,11,2047,0,738.423,-0.82591,-0.269204,-2.06261,-0.0709232,-0.410396,-0.19843,-0.182316,-0.625224,-0.322349,1.07037,-1.11796,0.0636849,0.43673,2.01951,0.0326412,-0.93225,0.0740146,0.170615,-0.678823,-0.483577,-1.00455,0.836774,-0.24538,-3.71609,-0.972468,-1.16879,5.50159,5.22444,-0.263428,-1.01777,-1.8023,-1.03932,0.991217,-0.363195,-0.883745,0.353001,0.471357,1.62513,-0.581099,0.385338,-1.05383,-0.14743,-0.181228,-0.197207,0.965116,-0.698758,0.535511,-1.76604,-0.121308,1.22149,-0.79742,0.00540377,-0.0543061,-0.260618,0.336916,-0.863354,2.62683,4.19455,0.0154709,-0.242911,-1.80703,3.57222,-2.7007,-0.45643,0.571572,1.05311,-3.30889,-0.015476,0.599892,2.01951,0.0326412,-0.93225,0.0740146,0.170615,-0.678823,-0.483577,-1.00455,0.836774,-2.34524,-0.909455,-0.880498,-1.45737,0.788548,0.562169
-731.613,0.999912,0.0020339,11,2047,0,739.648,-1.60759,-0.158067,-1.55347,0.441622,0.338945,0.0332652,0.370942,-0.0207683,-0.195087,1.09209,-0.258273,0.444755,0.49075,-2.37063,-1.14211,0.682297,0.808991,-0.411927,0.232909,1.6768,0.643743,-0.122017,0.0660683,-4.42192,-1.7148,-0.510503,5.56591,4.99576,0.960596,1.27404,-0.860283,-0.340865,-0.209524,-0.0747889,0.536647,-0.413398,-0.597723,-0.265221,1.24351,0.126197,0.690445,1.41956,-0.294516,-0.773806,0.309688,0.0590575,-0.639354,-0.0209178,-0.860124,0.835602,0.268045,-0.504082,-0.277692,1.56561,1.46392,-0.219858,-17.618,-4.29907,0.106262,-3.07585,2.47051,-13.1021,1.17586,-1.71643,-8.51044,0.14842,-2.70105,0.262063,0.481139,-2.37063,-1.14211,0.682297,0.808991,-0.411927,0.232909,1.6768,0.643743,-0.122017,-3.18439,-1.07396,-1.95435,2.35194,0.808074,0.066942
-738.035,0.9995,0.00218347,11,2047,0,750.405,-0.937278,0.241377,-2.24404,-0.00755323,-0.211441,0.034124,-0.172901,-0.482197,-0.458454,0.983568,-1.68372,-0.454756,-0.769189,2.65964,1.61785,-0.356588,-0.405878,0.366978,-0.590144,-1.23632,-0.673112,-0.127035,-0.609491,-4.45436,-0.285964,-0.999362,4.24268,5.01079,1.85735,0.674674,-0.654994,1.38715,-1.25013,0.830682,0.625351,-0.565382,-0.644317,0.490312,-0.269476,-0.0615033,-0.528818,0.409281,1.14785,1.03736,1.2778,-0.197739,-0.969226,1.53243,0.0275994,-0.724559,-0.452795,-1.41408,0.190889,-1.12897,0.552578,1.62472,5.72914,6.13077,-0.34622,1.00427,0.961139,7.32036,-3.27143,0.165316,-0.646131,-0.729729,-3.50312,-0.475038,-0.671391,2.65964,1.61785,-0.356588,-0.405878,0.366978,-0.590144,-1.23632,-0.673112,-0.127035,-0.714718,-1.05437,-0.37552,-1.40312,-2.17898,-0.52065
