# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=896279109
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,index.1
-731.951,0.998782,0.030962,6,63,0,735.33,-1.2767,1.60543,-0.265882,-0.758462,0.0184356,0.00391205,2.07756,0.176491,6.75506,4.36182,0.998836,0.987405,0.166667,0.27025,0.210216,0.196146,0.218668,0.21823,0.286994,6
-737.269,0.964462,0.0324568,7,127,0,744.746,-1.11846,-2.0784,-0.595008,0.493561,1.97992,1.44581,1.65435,0.0520854,4.71314,5.8491,0.991103,0.997126,0.166667,0.226757,0.240589,0.2511,0.265937,0.260542,0.26264,6
-738.93,0.982219,0.0309943,7,127,0,742.903,-1.02262,1.82643,0.817412,-0.912546,-1.75852,-1.95445,-0.341796,0.0671543,5.57951,5.86269,0.99624,0.997164,0.166667,0.289057,0.275334,0.252768,0.242189,0.239783,0.260076,6
-732.219,0.999072,0.031057,7,127,0,743.542,-1.33436,-0.964083,-1.44693,-0.60048,-1.01735,0.387248,2.96145,0.136085,5.16789,4.39413,0.994336,0.987801,0.166667,0.187619,0.177809,0.195278,0.186517,0.217268,0.282651,6
-731.655,0.998784,0.0325373,6,127,0,737.361,-1.32487,1.96458,-0.613569,0.351319,0.178925,-0.470703,1.46812,0.231808,5.62463,5.83083,0.996405,0.997073,0.166667,0.295366,0.187384,0.223839,0.216973,0.192479,0.27199,6
-733.78,0.974786,0.0340334,6,63,0,737.968,-1.63894,-0.997191,0.954736,0.818271,0.784429,1.28635,2.12341,0.366747,6.38833,4.42485,0.998322,0.988166,0.166667,0.118715,0.216057,0.207701,0.205666,0.237366,0.2973,6
-731.249,0.964582,0.0334101,6,63,0,740.19,-1.2766,1.04655,0.556829,-0.139502,0.838963,0.951237,2.36829,0.12647,4.47566,5.81413,0.988745,0.997024,0.166667,0.241543,0.230379,0.215136,0.236766,0.239342,0.273472,6
-727.328,0.997722,0.0319479,6,63,0,734.98,-1.33151,-0.128288,-0.202827,-0.400009,0.156236,0.715944,2.3263,0.249865,4.90487,4.56125,0.992644,0.989659,0.166667,0.203661,0.200657,0.192871,0.215435,0.240011,0.320767,6
-724.968,0.999983,0.0332818,6,63,0,728.808,-1.29535,0.454525,-0.433328,-0.393843,0.483292,-0.0452866,0.883616,0.400288,4.50323,5.3012,0.989048,0.995039,0.166667,0.247235,0.187124,0.18954,0.249385,0.211905,0.280567,6
-730.833,0.973409,0.0348443,6,63,0,733.571,-1.03455,0.323874,-0.933987,-2.01438,0.832476,-1.22298,1.07964,0.14455,4.51735,5.07482,0.9892,0.993787,0.166667,0.271361,0.236936,0.209868,0.286139,0.229466,0.293492,6
-732.193,0.995595,0.034079,6,63,0,737.436,-1.25539,-0.566605,-1.44114,-2.03786,1.34871,0.284039,0.795228,0.22301,4.9367,5.52373,0.992873,0.996025,0.166667,0.200729,0.171253,0.153183,0.277959,0.232894,0.253877,6
-727.115,0.998846,0.0352456,5,31,0,734.595,-1.20664,-0.45873,-0.852855,-1.1584,0.512034,0.331304,0.928734,0.17485,5.13183,4.80225,0.994129,0.991856,0.166667,0.216387,0.204931,0.196363,0.246548,0.240725,0.260331,6
-728.69,0.974977,0.0367238,6,63,0,731.882,-1.3571,0.361878,0.506899,0.580119,-0.306913,0.456438,1.2309,0.224379,5.26795,5.69446,0.994872,0.996647,0.166667,0.218248,0.223851,0.226718,0.193728,0.22189,0.253333,6
-728.668,0.984363,0.0360413,6,127,0,733.854,-1.11932,-0.469148,-0.352214,0.698788,-0.679695,0.194766,0.873989,0.488527,4.33711,5.33968,0.987095,0.995225,0.166667,0.206114,0.215619,0.314764,0.189791,0.264216,0.333511,6
-730.628,0.997365,0.0361997,6,63,0,734.792,-1.23669,0.107078,-0.67276,-1.52988,1.91138,-0.699056,2.11907,0.141151,5.31072,4.82065,0.995086,0.992003,0.166667,0.227659,0.208886,0.189596,0.275499,0.208273,0.281389,6
