# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=744051095
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,index.1,index.2,index.3,index.4
-1437.18,1,0.0625,2,3,0,2477.81,-0.865182,0.359989,0.814445,-1.15479,0.743354,1.18629,1.2674,0.870121,0.30274,-0.617398,-0.00017849,0.870023,1.14442,-0.582254,-0.332778,0.992975,-0.368043,1.56832,1.09902,-0.93145,0.355599,1.56959,0.44522,12.5011,-1.44772,0.210687,0.190353,0.552478,0.000437415,0.887641,0.889575,0.879261,0.889288,0.890983,0.891271,0.889795,0.88738,0.883317,0.894273,0,0,0,0,0,0,0.88288,0.893095,0.894619,0.894871,0,0,0,0,0.999998,0.999999,0.999919,0.91518,0.000177966,0,0,0,8,10,6,9
-1437.18,0,10.0182,0,1,1,1448.83,-0.865182,0.359989,0.814445,-1.15479,0.743354,1.18629,1.2674,0.870121,0.30274,-0.617398,-0.00017849,0.870023,1.14442,-0.582254,-0.332778,0.992975,-0.368043,1.56832,1.09902,-0.93145,0.355599,1.56959,0.44522,12.5011,-1.44772,0.210687,0.190353,0.552478,0.000437415,0.887641,0.889575,0.879261,0.889288,0.890983,0.891271,0.889795,0.88738,0.883317,0.894273,0,0,0,0,0,0,0.88288,0.893095,0.894619,0.894871,0,0,0,0,0.999998,0.999999,0.999919,0.91518,0.000177966,0,0,0,8,10,6,9
-1437.18,0,0.951493,0,1,1,1445.64,-0.865182,0.359989,0.814445,-1.15479,0.743354,1.18629,1.2674,0.870121,0.30274,-0.617398,-0.00017849,0.870023,1.14442,-0.582254,-0.332778,0.992975,-0.368043,1.56832,1.09902,-0.93145,0.355599,1.56959,0.44522,12.5011,-1.44772,0.210687,0.190353,0.552478,0.000437415,0.887641,0.889575,0.879261,0.889288,0.890983,0.891271,0.889795,0.88738,0.883317,0.894273,0,0,0,0,0,0,0.88288,0.893095,0.894619,0.894871,0,0,0,0,0.999998,0.999999,0.999919,0.91518,0.000177966,0,0,0,8,10,6,9
-1104.44,0.468999,0.0488594,4,15,0,1422.21,-0.798414,0.131921,0.780617,-1.01671,0.79226,1.33609,1.29015,0.723218,0.257852,-0.506044,0.129171,0.709571,1.32161,-0.580781,-0.316272,0.929393,-0.271238,1.64222,1.137,-0.830925,0.333047,1.44797,0.493463,13.2934,-0.489011,1.49853,0.380127,0.817355,0.000437415,0.886119,0.888897,0.880005,0.888943,0.890936,0.890778,0.888669,0.886694,0.882862,0.89374,0,0,0,0,0,0,0.881721,0.89299,0.895059,0.894902,0,0,0,0,1,1,0.999792,0.91204,0.000664975,0,0,0,8,10,6,9
-1025.8,0.998796,0.007318,6,63,0,1114.08,-0.588645,0.142687,0.7922,-1.00725,0.909289,1.39485,1.26924,0.660887,0.228738,-0.661232,-0.129773,0.234866,1.28867,-0.561529,-0.283932,0.879619,-0.0730954,1.84305,0.926815,-1.15365,0.401378,1.47862,0.516269,11.0208,-0.566999,2.93549,0.36193,0.949573,0.000437415,0.866733,0.87306,0.853408,0.874106,0.878146,0.877147,0.871852,0.867622,0.862472,0.880578,0,0,0,0,0,0,0.857943,0.881826,0.885814,0.884852,0,0,0,0,0.999999,0.999997,0.997768,0.80994,0.000367926,0,0,0,8,10,6,9
-955.031,0.998197,0.00534237,9,511,0,1041.4,-0.674355,-0.702189,0.575897,-1.1692,0.563435,1.4724,2.38907,-0.0678234,0.084399,1.30888,-0.357771,0.992036,1.35399,-0.876332,0.485233,0.586859,-0.17262,0.7838,0.424828,-0.938147,0.266323,1.56212,0.73123,3.628,-0.406451,3.90673,0.399763,0.98029,0.000437415,0.777782,0.803083,0.768354,0.80284,0.820246,0.837177,0.790445,0.793455,0.903581,0.689811,0,0,0,0,0,0,0.735405,0.832088,0.878211,0.918645,0,0,0,0,0.989951,0.999628,0.523675,0.610843,0.982238,0,0,0,8,10,6,9
-812.95,0.999576,0.00434891,9,511,0,964.043,-1.18232,1.29547,0.0322032,1.88409,-1.6817,-2.79734,-3.42374,0.673662,0.900269,1.79957,-0.346358,0.493168,-0.0477169,0.753203,1.29136,0.181006,0.918704,-1.56769,0.630082,-0.217321,0.0448482,0.0514286,0.0599883,0.000229124,13.8147,6.53379,0.999999,0.998549,0.000437415,0.250193,0.239758,0.255158,0.22608,0.217478,0.212752,0.245019,0.246897,0.243468,0.223811,0,0,0,0,0,0,0.257845,0.219141,0.207925,0.201815,0,0,0,0,0.234183,0.234157,0.234325,0.234334,0.234371,0,0,0,8,10,6,9
-755.055,0.999832,0.00383178,9,511,0,825.564,-1.26654,-1.22631,2.12406,0.0839251,-0.183092,1.49252,1.0719,-0.604285,-0.470217,0.395115,0.0934287,-1.01892,-0.252946,1.39275,0.860798,-2.06964,0.352164,-0.0824576,-1.02037,1.23268,0.0826279,0.244036,0.142349,0.00345525,3.88338,4.07809,0.979834,0.983342,0.000437415,0.226237,0.278204,0.245711,0.241652,0.267869,0.261122,0.235344,0.237339,0.258761,0.244936,0,0,0,0,0,0,0.240728,0.23386,0.279179,0.267312,0,0,0,0,0.252997,0.252724,0.251635,0.251722,0.252284,0,0,0,8,10,6,9
-746.538,0.999893,0.00356085,10,1023,0,766.152,-0.863538,0.515969,2.10921,0.460167,-1.12267,-0.99823,-0.172044,2.23995,0.322839,-0.941212,-0.644624,-0.685373,0.53157,0.237976,0.333886,-0.827914,0.905532,-0.191455,1.00917,-0.0932962,0.332172,0.307662,0.0412637,0.00513755,6.92775,6.36118,0.999021,0.998276,0.000437415,0.280027,0.397608,0.276308,0.184169,0.190458,0.236361,0.408047,0.267285,0.274472,0.292437,0,0,0,0,0,0,0.288107,0.275297,0.276291,0.282949,0,0,0,0,0.281573,0.282406,0.284846,0.282906,0.28163,0,0,0,8,10,6,9
-748.293,0.999941,0.00343638,10,1023,0,762.731,-1.57403,0.049231,1.77248,-1.57311,-1.91574,-0.26075,-0.0259346,-0.471021,0.261469,1.71614,1.6286,1.52468,0.370917,-0.313841,-0.757229,-0.420422,2.0964,-1.02521,0.818971,-0.7629,0.363593,0.331092,0.0296166,0.00119319,5.78795,4.21278,0.996945,0.985411,0.000437415,0.262177,0.399342,0.164587,0.148166,0.240969,0.256926,0.227265,0.277374,0.256641,0.251292,0,0,0,0,0,0,0.251679,0.249821,0.258875,0.260176,0,0,0,0,0.254074,0.254125,0.254027,0.254189,0.254509,0,0,0,8,10,6,9
-740.604,0.999999,0.00340868,9,511,0,757.293,-1.41783,-0.133935,2.13023,-1.07022,-0.910588,-0.44532,-0.103386,0.158526,0.301027,1.13846,1.3824,0.119514,0.239714,-0.464098,-0.238684,-0.248089,1.8386,-0.992539,1.16102,-1.54235,0.505743,0.319706,0.043356,0.0017694,5.83454,6.02813,0.997084,0.997596,0.000437415,0.246246,0.506473,0.169086,0.18073,0.218204,0.249124,0.274706,0.289291,0.265861,0.280546,0,0,0,0,0,0,0.270455,0.271752,0.275554,0.278369,0,0,0,0,0.272567,0.272681,0.272768,0.272815,0.273094,0,0,0,8,10,6,9
-738.632,0.999397,0.00345057,10,1023,0,752.096,-0.42769,-0.215778,1.03329,-0.997246,-0.715621,-1.43124,-0.366004,0.585644,-0.00288447,-1.23887,-1.72475,-0.109324,-0.37385,0.282182,0.0903365,0.290031,-2.20041,1.06272,-1.20703,1.50881,0.511713,0.169929,0.226801,0.0119204,4.0798,5.98415,0.98337,0.997488,0.000437415,0.265499,0.406273,0.195136,0.218739,0.162624,0.2508,0.352496,0.287247,0.276494,0.260785,0,0,0,0,0,0,0.269165,0.28151,0.250806,0.297291,0,0,0,0,0.266732,0.269143,0.271309,0.269969,0.267166,0,0,0,8,10,6,9
-734.256,0.999808,0.00353878,10,1023,0,752.141,-1.41854,-0.0974114,1.91104,0.452478,-1.67088,-0.594054,-0.043037,-0.2321,-0.602121,1.79132,-0.0512831,0.660037,1.10785,0.738741,-0.891248,0.88088,0.34086,-0.485897,-1.5196,0.669384,0.500644,0.119155,0.442286,0.274528,5.72213,4.31645,0.996738,0.986829,0.000437415,0.196061,0.393288,0.241906,0.101067,0.160472,0.200292,0.185867,0.159939,0.230623,0.195987,0,0,0,0,0,0,0.254688,0.122101,0.180235,0.217191,0,0,0,0,0.193431,0.216764,0.208545,0.193103,0.307664,0,0,0,8,10,6,9
-736.983,0.999975,0.0036746,10,1023,0,744.535,-1.12222,0.439202,1.04277,-1.44935,0.20432,0.0555296,-0.135244,0.309969,0.615325,0.745751,0.0868904,1.67848,-0.535267,-0.713987,-0.601895,0.895166,0.824021,1.30555,-0.638008,0.307163,0.415561,0.217162,0.192014,0.238396,6.10612,5.97949,0.997776,0.997476,0.000437415,0.285211,0.338584,0.154537,0.265855,0.254033,0.239389,0.274457,0.300264,0.273462,0.246463,0,0,0,0,0,0,0.234003,0.294572,0.288769,0.281427,0,0,0,0,0.252539,0.244201,0.263944,0.278049,0.284211,0,0,0,8,10,6,9
-737.814,0.99999,0.00384936,10,1023,0,745.47,-1.13266,-0.174065,1.50663,0.763266,-1.27739,-0.595237,-0.297057,0.301662,-0.848499,1.37828,0.634711,0.117477,-0.697298,-1.04449,1.1595,1.03128,0.138084,1.10916,0.059981,1.14319,0.396557,0.035562,0.0615339,0.23527,5.70533,4.28764,0.996683,0.986449,0.000437415,0.23407,0.372234,0.306675,0.165052,0.20559,0.22548,0.26938,0.189738,0.254754,0.24989,0,0,0,0,0,0,0.260663,0.237755,0.245259,0.248588,0,0,0,0,0.231648,0.244109,0.270445,0.221412,0.321964,0,0,0,8,10,6,9
-732.452,0.999963,0.00405743,10,1023,0,749.615,-1.12733,-0.0569396,2.17352,-0.63748,-1.96976,-0.29487,0.118025,-0.334304,-0.401695,1.48105,-0.429666,0.632753,0.0352909,-0.881156,0.583749,-0.332054,-1.21715,-0.400129,-0.199891,0.868932,0.473423,0.0468091,0.0809909,0.120229,4.79349,5.19545,0.991785,0.994489,0.000437415,0.234516,0.467793,0.18886,0.110319,0.214931,0.249687,0.211802,0.206532,0.25541,0.239581,0,0,0,0,0,0,0.248071,0.229424,0.253022,0.259073,0,0,0,0,0.242595,0.251374,0.241767,0.240356,0.281779,0,0,0,8,10,6,9
-730.055,0.99956,0.0042957,9,1023,0,744.199,0.354687,-0.905704,0.870561,-0.744858,-0.679653,-0.730957,-0.655066,-0.516256,-0.675975,0.565916,-0.204169,-0.0604324,0.394523,-0.361207,-0.974192,-0.356169,-1.47448,0.813509,0.51304,-1.62557,1.00788,0.338584,1.46605,0.223499,5.56774,4.82665,0.996195,0.99205,0.000437415,0.160288,0.531092,0.183235,0.193235,0.185333,0.197111,0.220089,0.193811,0.259574,0.216146,0,0,0,0,0,0,0.233893,0.249995,0.237265,0.256252,0,0,0,0,0.231098,0.233881,0.239032,0.233112,0.281758,0,0,0,8,10,6,9
-730.158,0.999964,0.00455716,10,1023,0,744.241,-1.24896,0.882314,2.01198,-0.616088,-0.621855,-0.828284,-0.103411,0.396504,-0.218411,0.60249,0.288362,0.393672,-0.941728,0.0588641,1.28403,0.597628,1.14926,-0.502995,-1.064,1.42829,0.38555,0.485492,0.161367,0.123,4.83758,4.85037,0.992136,0.992235,0.000437415,0.31111,0.410857,0.202374,0.202016,0.18951,0.236095,0.272527,0.228207,0.272235,0.243843,0,0,0,0,0,0,0.258902,0.258728,0.252565,0.274626,0,0,0,0,0.241944,0.258212,0.26983,0.255585,0.27471,0,0,0,8,10,6,9
-728.359,0.999936,0.00485161,10,1023,0,739.622,-1.09279,0.0648642,0.688388,-0.216044,-0.772144,-0.458438,-0.0972393,0.143256,0.054044,0.72323,-0.224188,-0.571569,0.946812,-0.130558,-2.42601,-0.45083,-1.21598,0.754283,0.440115,1.29781,0.673357,0.388848,0.833371,0.241844,5.46913,5.40667,0.995803,0.995533,0.000437415,0.230435,0.311863,0.198941,0.1463,0.174433,0.211854,0.239815,0.22916,0.250498,0.18876,0,0,0,0,0,0,0.237912,0.165245,0.203837,0.255957,0,0,0,0,0.203454,0.217667,0.227512,0.223824,0.252496,0,0,0,8,10,6,9
