# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1883340189
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4,g_se,g_sp
-967.178,0.333333,0.125,1,3,1,1126.1,-0.739951,-1.26523,0.427561,-1.21099,0.216168,-1.36837,1.31084,0.277419,0.190055,1.28941,-0.659521,0.589812,-0.61879,-1.68379,0.73438,-0.989563,0.802732,1.311,0.680981,-0.146787,-0.377105,-1.57586,-0.154022,2.18128,-0.0312875,0.737579,0.930091,-2.34176,1.02204,1.82283,0.501369,-0.192281,-0.764958,-1.09536,-0.191149,-2.79999,0.412287,0.792916,-1.98408,-1.60228,0.789542,-0.476514,-0.401045,-0.341374,0.908984,0.623596,-15.2599,-7.35626,7.79047,-3.02945,9.65955,2.75499,-0.377517,-5.08847,18.0373,4.733,4.1439,0.868828,-0.659521,0.589812,-0.61879,-1.68379,0.73438,-0.989563,0.802732,1.311,33.4641,1.58349,-5.75713,0.15108,-70.3655,-25.9427
-967.178,0,2.98107,0,1,1,985.658,-0.739951,-1.26523,0.427561,-1.21099,0.216168,-1.36837,1.31084,0.277419,0.190055,1.28941,-0.659521,0.589812,-0.61879,-1.68379,0.73438,-0.989563,0.802732,1.311,0.680981,-0.146787,-0.377105,-1.57586,-0.154022,2.18128,2.41618,-0.105922,-2.02714,-1.73733,1.26945,1.65904,0.565194,0.532163,-1.07647,0.336534,-2.09056,0.82983,-0.368361,-0.135547,-0.104323,1.49804,0.0250162,1.49039,1.1271,-1.7622,1.16246,-1.13766,0.264743,0.981968,7.79047,-3.02945,9.65955,2.75499,-0.377517,-5.08847,18.0373,4.733,4.1439,0.868828,-0.659521,0.589812,-0.61879,-1.68379,0.73438,-0.989563,0.802732,1.311,33.4641,1.58349,-5.75713,0.15108,-70.3655,-25.9427
-880.272,0.5,0.197687,1,2,1,967.543,-0.825737,-1.42094,0.329209,-1.38507,0.34096,-1.31803,1.12943,0.568109,0.145178,1.99263,-0.320086,0.469059,-0.405656,-1.31017,0.460233,-0.973728,0.94869,1.33144,0.244299,-0.250927,0.127459,-1.49502,0.930447,2.71296,-1.11766,0.285355,0.32379,-1.84056,-0.458216,-1.66134,1.67558,-2.60876,0.146307,-3.44769,-1.74867,0.657194,-1.11824,-2.01949,1.43226,-0.176345,-0.644555,0.028232,4.29159,-0.151376,1.53557,-0.340231,-10.5035,-1.63517,-15.6977,-5.08188,-1.7576,-27.5296,1.75072,-14.2316,7.66799,-11.5162,-0.816477,1.10866,-0.320086,0.469059,-0.405656,-1.31017,0.460233,-0.973728,0.94869,1.33144,21.0701,-6.86102,41.3575,0.695047,-50.7638,10.667
-745.671,1,0.031338,5,31,0,893.732,-0.590203,-0.685488,-0.991459,-0.34962,-0.395999,-0.0494835,-0.639697,-0.707234,-0.557509,1.67969,-0.755276,-0.13406,-0.605994,-1.71096,1.1071,-0.0103875,-0.358604,1.47209,-3.73285,-0.146782,-1.96892,-2.89763,5.45269,5.63581,-0.497317,-1.55721,2.47656,-2.95059,2.06288,-2.41925,3.50031,2.0874,1.0739,0.906476,0.49713,0.984692,0.145153,0.128819,-0.743969,-1.64556,2.11233,0.23724,6.98548,0.759632,4.67077,1.8411,-10.2483,-7.8279,-26.2164,-0.660147,-0.8918,-4.16383,-0.227027,-0.306184,-1.517,-28.2717,4.40626,1.20282,-0.755276,-0.13406,-0.605994,-1.71096,1.1071,-0.0103875,-0.358604,1.47209,-0.596753,16.3044,0.415422,-1.39039,0.54433,2.74627
-747.353,0.999975,0.020724,7,127,0,759.117,-1.25789,1.01998,0.0792524,-0.36072,-1.81875,0.519874,0.188812,0.186407,-0.556642,0.775477,-2.16799,-1.08933,-1.94116,0.460011,-1.54301,0.0327914,-0.901783,-0.932789,-2.90816,-1.95478,-2.0154,-1.45888,4.65817,4.47536,0.918388,-0.264465,-0.593375,-1.19036,-0.662473,1.43046,-0.943383,-1.03161,0.194124,1.1453,-1.39299,-0.445011,-1.17427,-1.64787,0.716703,-0.00158382,-0.625577,1.26707,-1.04196,0.506986,-0.150986,-2.17388,-0.215581,-0.419711,-22.7233,1.1181,0.329761,-3.43742,-1.91063,0.272717,-1.27419,-2.9114,-3.22014,-0.995292,-2.16799,-1.08933,-1.94116,0.460011,-1.54301,0.0327914,-0.901783,-0.932789,-0.85517,-1.36936,0.316764,-1.00619,-1.29352,-2.71829
-743.394,0.998821,0.0158857,8,255,0,756.199,-0.995248,0.400293,0.532933,-0.683025,-1.30756,0.10115,0.0728025,0.504416,0.531255,0.955599,-1.5543,0.0310326,-1.2455,0.455467,-1.53812,0.693009,-0.714448,-1.59488,-1.79488,-2.28914,-0.911446,-1.38118,4.36372,5.10787,-1.13205,-1.33033,-0.040398,-0.225803,1.26863,-1.60838,0.231323,-0.217033,1.1254,0.457583,1.52474,1.7639,1.54483,-0.169103,0.554506,0.799605,0.550747,-0.481988,1.47085,-0.221016,1.6869,0.398611,0.146756,1.47052,6.04858,1.24534,3.101,-0.933317,-1.39453,2.84722,-1.89892,2.355,2.775,-0.503507,-1.5543,0.0310326,-1.2455,0.455467,-1.53812,0.693009,-0.714448,-1.59488,0.90875,-0.513411,-0.179031,-0.438669,-1.76448,0.0925068
-744.198,0.996191,0.013343,8,255,0,756.961,-0.496771,1.06599,-1.34838,0.738776,0.23707,0.530249,0.273707,-0.944228,-1.027,1.80658,1.36073,0.48793,-0.0635505,1.02938,0.177274,0.809115,-2.58729,0.138538,-4.25214,0.217678,-0.352151,-2.65575,5.74612,4.9778,-1.68328,0.847233,0.760887,-0.92381,-0.519129,-1.79044,-0.389726,0.585792,1.37605,0.503057,-1.2914,0.139442,-1.28945,0.693549,-1.53597,0.888197,-1.30251,-1.60264,0.540418,-1.37748,-0.641831,0.142189,-0.748509,-0.00130113,-12.9427,1.09896,-1.2549,-6.40236,0.205961,-0.427972,-0.609692,-16.5728,-1.27776,1.2976,1.36073,0.48793,-0.0635505,1.02938,0.177274,0.809115,-2.58729,0.138538,-1.13031,14.8522,-6.24268,-1.47731,1.11999,-0.114711
-736.805,0.999866,0.0118515,8,255,0,749.928,-0.0968445,0.292766,-1.60127,-0.0713676,-1.11329,-0.259825,-0.38745,-0.428602,-0.677348,-0.290849,0.62102,-0.0994737,-0.465992,-0.658111,-0.031813,-0.305984,0.714967,0.909767,-2.68926,0.502563,-1.91635,-0.996817,4.85887,4.98881,0.624785,1.24458,-1.29886,0.816766,0.281509,1.53832,0.701135,-0.361259,-0.392507,0.321135,1.44862,0.4793,-0.12211,0.955316,0.174678,0.777229,-2.51816,0.252977,-1.9462,0.149595,0.250763,-1.71076,0.902211,0.847467,9.31602,0.625796,-1.00762,1.16906,-0.723224,1.7005,1.0373,26.1787,-9.52406,-2.93636,0.62102,-0.0994737,-0.465992,-0.658111,-0.031813,-0.305984,0.714967,0.909767,-1.6524,-3.8024,-1.20896,-2.17858,-0.423766,-0.617885
-742.669,0.999929,0.0111354,8,255,0,750.226,-1.01362,0.361378,0.58932,0.455918,-0.815128,-0.510528,-0.143769,-0.358352,-0.40565,1.08903,-1.29484,-0.998724,-0.120686,-0.049017,-1.91432,0.851509,0.115105,0.450486,-3.71497,-0.789507,-1.58554,-3.72372,5.32077,5.51724,0.839522,0.744704,-0.912671,0.695573,-1.42326,-0.641772,-1.69973,0.0820334,0.0805841,-0.433908,0.0284265,-0.629601,-0.587385,-0.766625,-1.02788,0.0966479,0.86491,1.25812,0.077002,1.04836,-0.878107,0.0488776,-0.624167,0.122881,3.58593,0.452914,0.8792,1.40719,-0.586708,-0.554206,-0.51044,-0.886631,2.40933,0.905317,-1.29484,-0.998724,-0.120686,-0.049017,-1.91432,0.851509,0.115105,0.450486,-0.790144,-1.42365,-0.456402,-1.24861,0.474613,1.83987
-742.786,0.99563,0.0108068,8,255,0,752.948,-1.33383,0.0520752,-1.54581,0.122808,-0.362364,-0.355992,-0.179697,0.703689,-0.884702,0.151842,-0.378331,-0.37414,-0.194555,0.403549,1.07108,0.497147,-1.77039,-1.85994,-2.94669,-1.8598,-0.143834,-2.4963,5.7065,5.15565,-1.1653,-0.565492,-0.446624,0.0336952,-0.852509,0.216367,0.674789,-0.197565,0.222393,-0.784301,1.52939,1.21097,0.203167,-0.101127,1.64062,-1.10026,0.550575,0.225811,1.46349,-0.00100647,0.395367,1.65993,-1.51801,1.02131,-21.8989,0.153426,-1.31939,-12.5018,-0.695784,-4.84183,-2.63044,-1.28435,-2.36457,-0.599735,-0.378331,-0.37414,-0.194555,0.403549,1.07108,0.497147,-1.77039,-1.85994,-1.0163,-1.40363,-0.0281484,-0.336111,1.02277,1.02129
