# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=896279109
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,index.1
-830.454,1,0.125,1,1,0,872.992,-1.71444,0.674922,0.186726,0.687358,-1.18913,-1.0693,-1.16973,0.281274,1.63482,2.46541,0.836828,0.921681,0.166667,0.178785,0.159505,0.179299,0.114163,0.117616,0.114716,6
-830.454,0,10.0182,0,1,1,832.33,-1.71444,0.674922,0.186726,0.687358,-1.18913,-1.0693,-1.16973,0.281274,1.63482,2.46541,0.836828,0.921681,0.166667,0.178785,0.159505,0.179299,0.114163,0.117616,0.114716,6
-830.454,0,0.951493,0,1,1,838.704,-1.71444,0.674922,0.186726,0.687358,-1.18913,-1.0693,-1.16973,0.281274,1.63482,2.46541,0.836828,0.921681,0.166667,0.178785,0.159505,0.179299,0.114163,0.117616,0.114716,6
-736.9,0.974297,0.0488594,5,31,0,833.757,-1.12378,0.372908,0.416961,0.793624,-0.916752,-0.919729,0.346222,0.158703,3.27979,4.36493,0.963729,0.987444,0.166667,0.256432,0.257767,0.269368,0.219382,0.219301,0.255625,6
-734.651,0.991496,0.0310018,7,127,0,744.184,-1.17424,-0.493544,0.448303,0.59254,0.115243,0.826409,1.6491,0.0769353,6.74056,6.19094,0.998819,0.997956,0.166667,0.229311,0.242367,0.244411,0.237693,0.247749,0.259732,6
-730.737,0.999863,0.0235804,7,127,0,738.42,-1.04912,-0.569343,-1.31788,-0.641036,-0.861059,-0.963042,0.38425,0.113147,3.80432,5.3241,0.978211,0.995151,0.166667,0.247212,0.23179,0.245706,0.241121,0.239016,0.267834,6
-728.512,0.997522,0.0200821,7,127,0,734.007,-0.986841,-1.39025,-1.59827,-0.592542,-0.499174,-0.219774,0.127362,0.253545,5.11035,4.53708,0.994002,0.989409,0.166667,0.20762,0.199077,0.242857,0.247237,0.260656,0.277971,6
-731.833,0.998992,0.0180333,7,127,0,735.409,-1.06094,-0.739842,-1.58709,-1.61981,-0.396998,-2.35322,0.496807,0.129118,5.25101,5.66342,0.994785,0.996541,0.166667,0.239309,0.219966,0.219242,0.247461,0.203464,0.269572,6
-728.734,0.999991,0.0169658,7,127,0,735.557,-1.06037,-0.310906,-1.78206,-0.634448,-0.623964,-1.51468,1.02081,0.236489,4.22256,4.72204,0.985551,0.991181,0.166667,0.243444,0.185155,0.229629,0.230068,0.194886,0.305985,6
-727.827,0.99815,0.016502,7,127,0,731.479,-1.05512,-0.201718,-1.79206,-0.60361,-0.777164,-1.42434,0.711221,0.180618,4.61463,4.7906,0.990191,0.991761,0.166667,0.251326,0.201203,0.237916,0.232279,0.212089,0.283603,6
