# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=307650850
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,marginal.10.1,index.1
-1140.5,1,0.0625,1,1,0,1432.24,-0.934982,1.99855,1.17724,-1.51501,1.06232,-0.772892,-0.669473,-1.1192,-1.01761,0.0715782,1.38325,2.1451,-0.252706,0.897708,0.437158,0.710478,0.1,0.966173,0.830661,0.0149966,0.793116,0.0695961,0.0854058,0.0343641,0.0423771,0.31401,0.884138,10
-1140.5,0,10.0182,0,1,1,1143.63,-0.934982,1.99855,1.17724,-1.51501,1.06232,-0.772892,-0.669473,-1.1192,-1.01761,0.0715782,1.38325,2.1451,-0.252706,0.897708,0.437158,0.710478,0.1,0.966173,0.830661,0.0149966,0.793116,0.0695961,0.0854058,0.0343641,0.0423771,0.31401,0.884138,10
-1140.5,0,0.951493,0,1,1,1150.86,-0.934982,1.99855,1.17724,-1.51501,1.06232,-0.772892,-0.669473,-1.1192,-1.01761,0.0715782,1.38325,2.1451,-0.252706,0.897708,0.437158,0.710478,0.1,0.966173,0.830661,0.0149966,0.793116,0.0695961,0.0854058,0.0343641,0.0423771,0.31401,0.884138,10
-1039.4,1,0.0488594,3,7,0,1138.65,-0.97151,1.85987,1.22795,-1.46396,1.20575,-0.616788,-0.616922,-1.01558,-1.15417,0.172169,1.37711,2.32692,-0.246903,1.77349,0.438586,0.854891,0.1,0.966309,0.868279,0.0123945,0.862259,0.0826613,0.0826378,0.0344003,0.0251563,0.361032,0.903167,10
-906.866,0.856962,0.0333642,3,7,0,1045.56,-0.790141,1.56692,1.06113,-1.02095,0.925677,-0.305248,-0.30461,-0.735902,-1.47665,0.0507579,1.23764,0.908474,0.486487,2.39529,0.619278,0.916467,0.1,0.653251,0.543359,0.152175,0.5127,0.255888,0.255998,0.188668,0.10606,0.322124,0.582787,10
-823.312,0.999345,0.0170464,4,15,0,913.825,-0.929697,1.67508,0.862381,-0.865417,0.754161,-0.26779,0.0165371,-0.430441,-1.46044,0.163558,1.31591,0.441875,1.04772,3.09441,0.740337,0.956661,0.1,0.452761,0.366182,0.212135,0.355156,0.259604,0.284471,0.24603,0.171501,0.297878,0.413812,10
-758.231,1,0.0143682,5,31,0,831.214,-1.31224,1.75854,1.30569,-0.819503,0.492019,-0.108802,0.422269,-0.87374,-1.63292,0.128103,1.52035,0.180242,2.77485,3.71763,0.941302,0.976285,0.1,0.269871,0.254093,0.188475,0.227311,0.208853,0.22511,0.186984,0.167067,0.215996,0.261495,10
-745.409,0.997398,0.0129302,6,63,0,765.919,-1.32853,0.984573,1.88927,-0.387439,0.556399,0.297466,0.742854,-0.954618,-1.33371,-0.0343753,1.74219,0.106233,3.38658,4.4928,0.967282,0.988935,0.1,0.227244,0.244562,0.202669,0.219355,0.214682,0.222766,0.193107,0.186909,0.208798,0.241686,10
-731.75,0.99757,0.0120652,7,127,0,752.409,-1.15313,-0.0749113,-0.165596,-0.380515,0.991672,-0.778346,0.808316,-0.162069,-0.877688,1.30327,-0.179655,0.0894296,5.58368,5.61099,0.996255,0.996356,0.1,0.238698,0.237227,0.233767,0.25646,0.227454,0.253346,0.237284,0.225897,0.26181,0.237,10
-730.902,0.999984,0.0116268,8,255,0,737.195,-1.16032,-0.925597,-0.312748,-0.399167,1.2788,-0.45472,0.505752,-0.528608,-1.18841,1.24157,-0.603507,0.215345,5.51973,5.42519,0.996009,0.995615,0.1,0.204299,0.22659,0.223345,0.292157,0.221277,0.258955,0.218548,0.195252,0.290501,0.215805,10
-727.879,0.999292,0.0115542,8,255,0,735.89,-1.22123,-0.587815,-3.36635,0.244412,0.640524,-0.100299,0.708837,-0.561743,0.788632,1.79632,1.21579,0.402685,5.50488,5.43747,0.99595,0.995668,0.1,0.188783,0.0706457,0.24549,0.276217,0.220695,0.28175,0.190396,0.288298,0.378038,0.324832,10
-726.228,0.998883,0.0116539,8,255,0,733.429,-1.29168,-0.463506,-1.79112,1.90228,0.26613,0.527402,0.932051,-0.362127,0.0781033,0.75335,0.678903,0.351837,5.06973,5.0484,0.993755,0.993621,0.1,0.18927,0.127654,0.349238,0.231822,0.248594,0.276127,0.194804,0.220251,0.263738,0.258684,10
-731.504,0.995838,0.0118889,8,255,0,735.162,-1.31069,-1.41407,-2.27867,1.62551,-0.400548,-0.124908,0.636131,-1.1993,0.468022,2.38602,1.09739,0.250596,5.01214,5.53061,0.993387,0.996052,0.1,0.159085,0.132192,0.288364,0.196066,0.207183,0.240256,0.166418,0.232651,0.328989,0.261983,10
-725.238,0.999933,0.0121273,8,255,0,736.163,-0.995597,-0.370182,-1.48034,0.539637,-0.338053,-0.169401,-0.0299844,-0.452911,-0.524862,0.34748,-1.10864,1.20621,5.23065,5.50906,0.994678,0.995966,0.1,0.191218,0.0583493,0.414673,0.197284,0.231488,0.262742,0.176259,0.16401,0.359747,0.0884394,10
-728.789,0.999527,0.0126194,6,63,0,736.777,-0.86145,-0.105782,-1.93417,-0.665822,0.0139126,-0.282926,-0.105239,-0.774713,-0.349989,0.594504,-0.992532,1.18768,5.17793,5.70665,0.994392,0.996687,0.1,0.271488,0.0407529,0.160807,0.300498,0.231925,0.271616,0.144111,0.21804,0.461236,0.11504,10
-723.59,0.994381,0.0131834,7,127,0,741.978,-0.92019,-0.91788,-1.93554,0.299763,-0.718765,-0.402402,-0.255066,-0.669559,-0.508605,0.702425,0.0785887,0.958384,5.18921,5.12538,0.994455,0.994091,0.1,0.141867,0.05868,0.346853,0.166721,0.213183,0.237825,0.173376,0.196608,0.438563,0.30051,10
-727.74,0.999985,0.0136084,7,127,0,730.022,-1.02029,-0.750004,-1.79921,-0.700275,-0.0140351,-0.709382,-0.288495,-1.18786,-0.664666,0.127993,0.0526007,0.46114,6.10843,5.1294,0.997781,0.994115,0.1,0.203242,0.135875,0.206981,0.263711,0.206293,0.239881,0.172493,0.209689,0.276624,0.269721,10
-724.016,0.991463,0.0143325,7,127,0,733.331,-1.12047,-0.56261,-2.32979,-0.136367,0.204116,0.218617,0.3284,-0.763049,0.108692,1.33899,-0.911498,0.522552,6.06923,4.98493,0.997692,0.993206,0.1,0.195532,0.0880322,0.232951,0.266236,0.267719,0.279114,0.17958,0.256609,0.396332,0.168433,10
-730.086,0.999797,0.0147389,7,127,0,735.423,-1.23175,0.0972444,-1.57135,0.86366,-0.020336,-0.326035,0.19593,-0.512961,-0.762204,0.891508,-1.83794,0.69532,6.20736,5.92605,0.99799,0.997338,0.1,0.237917,0.0891267,0.347232,0.223412,0.188705,0.250581,0.169606,0.146574,0.351633,0.0751805,10
-723.169,0.999997,0.0155679,6,63,0,733.377,-1.15524,-0.348909,-1.82034,0.306461,0.151389,0.156397,0.189902,-0.242867,-0.374991,1.43601,-0.836417,0.524168,5.93617,5.98216,0.997365,0.997483,0.1,0.207819,0.108186,0.270004,0.254286,0.254784,0.258132,0.217118,0.205577,0.400706,0.168869,10
-726.227,0.997778,0.0164666,7,127,0,731.571,-1.04184,-0.597619,-1.51578,0.356599,-0.271608,-0.40476,-0.170737,-0.110434,-2.00358,0.469594,0.144957,0.563732,5.91116,5.12512,0.997298,0.99409,0.1,0.201212,0.130524,0.301364,0.232374,0.219255,0.242671,0.248973,0.102355,0.314942,0.276854,10
-726.667,0.992393,0.0173102,7,127,0,734.379,-1.05353,0.171949,-1.94091,0.171906,-0.458359,-0.784095,0.00165711,-0.00559832,-1.48122,0.934257,-0.421466,0.687247,5.36615,5.1188,0.99535,0.994052,0.1,0.281839,0.0841374,0.281833,0.202856,0.169047,0.258766,0.257811,0.111898,0.398561,0.206987,10
-730.056,0.999231,0.0179157,7,127,0,732.594,-1.21799,-0.0714196,-1.90282,1.55557,-0.391086,-0.83024,0.793334,-1.66876,1.80568,1.01249,-0.188296,0.291084,4.97679,5.21867,0.993151,0.994615,0.1,0.224649,0.14531,0.317521,0.208857,0.18852,0.271493,0.153978,0.333503,0.284293,0.218779,10
-727.356,0.999371,0.0189191,7,127,0,735.712,-1.19521,-0.367644,-2.32959,0.890349,-0.737772,-0.0684849,0.401638,0.642572,0.25934,-0.0384336,-0.0422492,0.298036,4.60265,4.74892,0.990074,0.991413,0.1,0.213362,0.1313,0.282954,0.195432,0.228708,0.254357,0.268215,0.246398,0.230292,0.23009,10
-731.471,0.965953,0.0199806,6,63,0,736.609,-1.11914,0.0886881,-2.46366,0.873815,-0.576332,0.299794,0.247327,0.532859,0.436742,-0.917504,0.177938,0.452236,4.63257,4.9179,0.990364,0.992739,0.1,0.25369,0.0968003,0.32652,0.201045,0.272186,0.267511,0.29356,0.284627,0.1774,0.261407,10
-730.215,0.999447,0.0191715,7,127,0,737.153,-1.08529,-1.12393,-2.25379,0.503159,0.604182,-0.7685,0.758234,0.306498,-1.72896,1.16734,-1.12708,0.372583,5.4025,5.1789,0.995515,0.994397,0.1,0.181823,0.127304,0.289499,0.297302,0.202359,0.309431,0.274663,0.150655,0.342909,0.181648,10
-732.452,0.990238,0.0202474,7,127,0,740.691,-0.880936,-0.567329,-1.72148,0.167467,-0.976568,-0.160067,-0.574011,-1.4317,-1.02793,1.05457,0.64308,0.480904,6.50082,6.20331,0.9985,0.997981,0.1,0.239802,0.153319,0.30994,0.205777,0.277296,0.239216,0.172295,0.201769,0.407626,0.36085,10
-729.609,0.999876,0.0208237,7,127,0,737.43,-1.12308,-1.23669,-2.76078,-0.0681717,-0.127631,-1.15269,0.476689,-1.77851,-0.299594,0.545327,0.863396,0.310897,5.75458,4.93405,0.996842,0.992854,0.1,0.1813,0.12117,0.241536,0.238166,0.185209,0.273909,0.157624,0.228602,0.278174,0.298458,10
-726.337,0.999774,0.0219923,7,127,0,735.23,-0.887815,-0.395641,-2.60554,0.0679696,-0.566806,-0.0433196,-0.164339,-0.88857,0.178091,1.0706,-1.61167,0.791627,4.31512,5.76277,0.986811,0.996867,0.1,0.231295,0.0497162,0.302798,0.208084,0.284529,0.265435,0.169211,0.321512,0.489926,0.103062,10
-723.513,0.972455,0.0232011,6,63,0,731.115,-1.35828,-0.433173,-1.83911,0.588215,0.602461,-0.401078,0.540635,-0.57945,-0.2308,1.07892,-0.365025,0.541907,4.83449,5.28242,0.992112,0.994946,0.1,0.16896,0.0866765,0.261243,0.262735,0.171416,0.256297,0.15812,0.184922,0.3157,0.174209,10
-721.969,0.999834,0.0226928,6,63,0,725.879,-1.24175,-0.0373773,-1.68829,0.269149,-0.172806,0.0802023,0.549378,-0.814407,-0.041115,1.37333,-0.00613078,0.940453,4.85433,5.49918,0.992266,0.995927,0.1,0.218079,0.0557505,0.271184,0.197141,0.237521,0.326275,0.118401,0.21748,0.51245,0.223131,10
-723.224,0.999875,0.0239178,6,63,0,728.551,-1.36243,0.101905,-2.3224,0.67765,0.468872,-0.00530381,0.366,-0.678158,-0.841095,0.82563,0.240027,0.658268,4.6804,5.76323,0.99081,0.996869,0.1,0.214949,0.0525907,0.285701,0.258499,0.20328,0.245733,0.140779,0.128298,0.305988,0.230689,10
-722.701,0.996927,0.0251891,6,127,0,728.968,-1.55853,0.0695633,-0.682095,0.886353,0.287451,0.592125,0.912512,-0.150744,0.0189373,1.65913,0.45828,0.810884,5.94345,5.11565,0.997384,0.994034,0.1,0.18211,0.107972,0.301578,0.209915,0.253812,0.306064,0.156995,0.176075,0.44691,0.233811,10
-722.396,0.998284,0.0262959,6,127,0,728.859,-1.13165,-0.154497,-1.85593,0.104378,0.355783,-0.117837,0.462501,-0.779857,-0.328924,0.813581,-0.073797,0.702855,4.91309,5.81806,0.992704,0.997035,0.1,0.224394,0.0804611,0.257636,0.292849,0.22891,0.308619,0.157125,0.203779,0.363588,0.23442,10
-720.721,0.996044,0.0275286,5,63,0,727.505,-1.22243,-0.212388,-1.67556,0.50172,0.0295617,-0.0313769,0.409421,-0.344597,-0.609212,1.66219,0.309237,0.489085,4.90535,5.2105,0.992648,0.994571,0.1,0.209771,0.114871,0.273478,0.23006,0.224823,0.264601,0.199253,0.179405,0.399038,0.255178,10
-719.391,0.985723,0.0286257,5,63,0,725.492,-1.10365,-0.0262531,-1.35905,0.0732365,-0.109798,-0.25973,0.0135582,-0.41315,0.0420494,0.248008,-0.369503,1.7523,4.9717,5.59234,0.993116,0.996288,0.1,0.240553,0.0297391,0.273822,0.214831,0.173823,0.253527,0.138524,0.263091,0.338707,0.147905,10
-724.601,0.90987,0.028954,6,63,0,731.3,-1.19328,-0.674379,-1.67796,0.729231,-0.00709333,-0.178773,0.169665,-0.176636,-0.312105,1.87093,0.345686,0.371495,5.74684,5.84643,0.996817,0.997118,0.1,0.190957,0.139839,0.284475,0.232203,0.221027,0.244115,0.221164,0.212617,0.377956,0.256382,10
-722.061,0.999675,0.0240577,6,63,0,732.298,-1.23256,-0.0598809,-0.757196,0.10253,-0.000516366,0.065294,0.0670495,-0.0353012,0.109027,1.08143,-0.45613,0.891926,4.75735,4.39214,0.991485,0.987777,0.1,0.216536,0.129215,0.242117,0.225653,0.236075,0.236357,0.220278,0.243182,0.433398,0.162548,10
-724.578,0.99195,0.0252432,7,127,0,729.581,-1.14669,-0.904409,-2.61149,0.728014,0.0995696,-0.33804,0.511623,-0.781989,-0.133315,2.10013,-1.25274,0.413208,5.42443,4.82104,0.995612,0.992006,0.1,0.179402,0.097459,0.3003,0.248701,0.216467,0.281853,0.18697,0.231159,0.430723,0.159181,10
-727.754,0.986691,0.0259472,6,127,0,733.487,-1.16647,-0.152275,-2.67056,0.233645,-0.411791,-0.118218,0.268134,0.435948,-0.0339625,2.31702,1.35573,0.426519,4.65072,5.55875,0.990536,0.996161,0.1,0.225934,0.0906675,0.256009,0.207164,0.228484,0.258821,0.272787,0.234881,0.455564,0.357043,10
-725.458,0.99689,0.0263027,6,63,0,732.641,-1.455,0.107544,-1.85804,1.58371,0.757459,0.202792,0.668177,-0.641563,0.231737,1.63731,-1.15729,0.489864,4.88774,4.67081,0.992518,0.990722,0.1,0.197449,0.0858662,0.336441,0.25276,0.204947,0.244589,0.145632,0.207267,0.342328,0.116922,10
-728.65,0.993328,0.0273442,6,63,0,734.615,-1.46999,0.77854,-1.82034,0.803116,0.99787,1.14504,1.08863,-1.30752,1.00875,1.27591,-0.0829473,0.405342,5.00222,4.54033,0.993322,0.989443,0.1,0.239683,0.0990474,0.241503,0.256257,0.267791,0.263331,0.119204,0.257098,0.278319,0.181887,10
