# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=307650850
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,marginal.10.1,index.1
-726.631,0.991299,0.0176251,7,127,0,733.732,-1.65648,-0.293727,-2.72545,0.859544,0.262593,0.847892,0.641588,-0.0615165,0.491285,1.95461,0.530318,0.757756,4.14743,4.79719,0.984441,0.991815,0.1,0.132498,0.0236212,0.267929,0.18885,0.266201,0.236798,0.154061,0.216835,0.45627,0.2219,10
-725.12,0.999888,0.0179853,7,127,0,735.615,-1.0155,-0.324127,-1.68245,0.391222,-0.356205,-0.39606,0.0972536,-1.28316,-1.65751,1.18827,-0.77037,0.545486,6.37489,4.95496,0.998299,0.993001,0.1,0.232846,0.12639,0.309577,0.229735,0.225911,0.276387,0.152458,0.127901,0.409189,0.192208,10
-725.451,0.993446,0.0188977,7,127,0,736.976,-1.20325,-0.473681,-2.61757,0.170716,0.1296,-0.401826,0.746917,0.643553,0.0360511,1.0027,-1.21704,0.418286,5.23266,4.95001,0.994689,0.992967,0.1,0.197596,0.0912768,0.243821,0.240664,0.202405,0.290939,0.282101,0.233586,0.313494,0.152863,10
-725.873,0.98692,0.0195088,7,127,0,731.866,-1.01822,-0.80494,-3.23001,0.674801,-0.522637,-0.584783,-0.318448,0.221572,-0.337671,1.15195,-0.48489,0.647948,5.55033,5.11091,0.996129,0.994006,0.1,0.176568,0.0426519,0.358707,0.204751,0.198273,0.227136,0.294288,0.224957,0.432463,0.208763,10
-727.644,0.999805,0.0197791,7,127,0,733.458,-1.19336,-0.519761,-1.82859,-0.295948,0.23515,-0.439155,0.377937,-0.581048,-0.228442,-0.227211,-0.00732168,0.540197,6.00465,5.6793,0.997539,0.996596,0.1,0.186315,0.101455,0.205343,0.256101,0.193006,0.27107,0.181348,0.211357,0.211468,0.231953,10
-728.235,0.991891,0.0208677,7,127,0,734.637,-1.17468,-0.627083,-1.22296,0.567714,-0.859278,-0.610716,0.10983,-0.0523649,-0.0443061,1.34312,-1.28983,0.612902,4.8769,4.44664,0.992437,0.988418,0.1,0.173788,0.127391,0.304338,0.154292,0.175233,0.248363,0.230273,0.23115,0.413025,0.122904,10
-724.579,0.99999,0.0215157,6,63,0,732.256,-1.25232,-0.663253,-1.80194,0.00255766,0.5492,0.0724906,0.607776,0.0161945,0.0288305,1.15618,-0.297651,0.547787,4.10409,5.66909,0.983763,0.996561,0.1,0.165807,0.0962675,0.222541,0.278588,0.229239,0.285082,0.223836,0.225041,0.350013,0.195388,10
-723.605,0.995907,0.022728,6,63,0,728.379,-1.24116,-0.894265,-1.7446,0.509185,0.479407,-0.214247,0.328664,-0.0610912,0.344669,1.03857,0.0871039,0.555939,4.12483,5.53346,0.984091,0.996063,0.1,0.149527,0.0987627,0.277263,0.273957,0.204197,0.257608,0.218382,0.259313,0.339892,0.232771,10
-726.969,0.985051,0.023722,6,63,0,731.554,-1.4881,0.67081,-0.806681,0.688299,0.04585,0.602997,0.740813,-1.14832,-0.385499,1.77187,-0.111549,0.755394,4.40199,4.64085,0.987895,0.990443,0.1,0.272618,0.109343,0.275246,0.189468,0.26258,0.283229,0.0866266,0.144389,0.462658,0.171879,10
-727.833,0.993501,0.0239939,7,127,0,734.712,-1.05276,-1.02665,-3.33308,0.0645302,-1.20205,-0.305542,-0.0568434,-0.109806,0.0180281,0.349617,-0.686308,0.496787,6.01151,4.95036,0.997556,0.992969,0.1,0.173246,0.062468,0.26489,0.161119,0.230666,0.253316,0.248372,0.260416,0.293369,0.198816,10
-725.556,0.992523,0.0248686,6,63,0,733.605,-0.90961,-0.570462,-2.76099,0.53418,0.184856,-0.589596,-0.0470799,-1.54121,-0.945332,0.526747,-0.170866,0.723468,5.18494,5.32451,0.994431,0.995153,0.1,0.210432,0.0518037,0.372117,0.31521,0.208142,0.28016,0.116641,0.168888,0.370861,0.262459,10
-725.018,0.992332,0.025697,6,127,0,732.536,-1.15878,-0.575951,-1.09689,0.35602,0.395839,-0.128664,0.473139,-0.620511,1.0401,1.9592,-0.256374,0.497313,4.25157,4.83197,0.985958,0.992092,0.1,0.19074,0.153907,0.272549,0.276492,0.227449,0.284248,0.187342,0.344901,0.454018,0.216483,10
-727.619,0.948384,0.0265305,6,127,0,736.917,-0.922433,-0.32843,-3.51994,0.167581,0.0345611,-0.418455,0.203898,-1.46771,-1.16274,0.39586,0.0104908,0.612214,5.70354,5.21699,0.996677,0.994606,0.1,0.245362,0.0440497,0.305798,0.288789,0.235301,0.310538,0.139316,0.163245,0.336243,0.285772,10
-723.683,0.996004,0.0242264,7,127,0,736.251,-1.17489,-0.394726,-2.3285,0.610144,-0.271571,0.136614,0.24503,0.355032,-0.888357,2.03409,-0.103595,0.514492,5.06156,5.74194,0.993704,0.996802,0.1,0.201334,0.0852635,0.297135,0.211716,0.248878,0.259451,0.270472,0.163564,0.467952,0.226498,10
-728.964,0.986888,0.0252728,6,127,0,734.846,-1.13189,-0.656586,-1.31546,0.103367,-0.141489,-1.048,-0.106565,-0.482747,0.305442,0.0555664,0.599443,0.231321,5.28235,4.44712,0.994945,0.988423,0.1,0.216909,0.192137,0.248248,0.237829,0.201924,0.239296,0.223817,0.257074,0.24619,0.270275,10
-735.805,0.998041,0.0256974,7,127,0,742.436,-1.15027,0.109742,-1.50897,0.790094,-0.579306,0.303888,0.639939,-2.0456,-2.02625,1.27315,0.495783,0.25796,7.28423,6.00327,0.999314,0.997535,0.1,0.245648,0.176605,0.279598,0.214214,0.255046,0.271863,0.157367,0.15803,0.305371,0.264565,10
-728.601,0.958138,0.0269254,6,127,0,742.756,-1.55593,0.328605,-1.57097,2.17349,0.439791,0.389537,1.17992,-1.18996,-0.0390435,1.58272,-0.323695,0.350477,5.26556,4.83167,0.99486,0.99209,0.1,0.191428,0.108465,0.311275,0.197532,0.194755,0.241882,0.122069,0.172272,0.268702,0.158508,10
-728.948,0.988033,0.0253165,6,63,0,736.418,-1.47643,0.427128,-0.565637,0.801822,1.36514,0.981016,1.33439,-0.058136,-0.530225,1.24015,0.224267,0.455495,4.87921,5.55274,0.992454,0.996138,0.1,0.217231,0.150067,0.247647,0.298466,0.263165,0.295541,0.181992,0.152136,0.286683,0.20193,10
-724.352,0.999954,0.0258072,7,127,0,734.264,-1.15917,-0.256074,-1.69192,0.472557,-0.0589314,-0.0956616,0.378819,-1.5882,0.710316,2.11316,0.348245,0.392881,5.54487,5.1933,0.996108,0.994477,0.1,0.221012,0.138967,0.274181,0.234634,0.232053,0.266913,0.143915,0.293156,0.418496,0.264569,10
-725.501,0.979426,0.0271409,6,63,0,731.279,-1.3335,-0.274029,-2.50409,0.269897,0.218759,0.278948,0.273747,0.280731,-0.87348,0.543862,-0.341729,0.799184,3.81104,5.05117,0.978354,0.993639,0.1,0.174725,0.0343988,0.246419,0.238909,0.247765,0.246991,0.24803,0.115928,0.289286,0.16706,10
-721.132,0.999617,0.0270189,6,63,0,728.569,-1.03404,-0.432718,-1.82196,0.442089,-0.395724,-0.284119,-0.0154275,-0.4291,-0.108834,1.53281,0.172998,0.60351,5.80524,5.43437,0.996997,0.995655,0.1,0.214976,0.105873,0.317078,0.218768,0.230497,0.260504,0.215345,0.249792,0.472783,0.282999,10
-723.105,0.974675,0.0283504,6,63,0,731.349,-1.12814,-0.456005,-2.19804,0.233001,-0.106628,-0.117688,-0.133669,-0.328466,-0.354529,1.74813,0.53637,0.60001,6.08937,5.33021,0.997738,0.99518,0.1,0.197538,0.0796591,0.27124,0.23288,0.231696,0.229994,0.20995,0.207368,0.480198,0.308676,10
-720.271,0.987988,0.0278628,6,63,0,730.156,-1.10195,-0.183766,-1.21076,0.229548,-0.144518,-0.0525662,0.247774,-0.403292,0.368966,0.646957,-0.68451,1.09459,4.76485,5.64862,0.991548,0.99649,0.1,0.213645,0.08112,0.299289,0.220951,0.238761,0.30349,0.176044,0.332238,0.402804,0.135732,10
-718.687,0.999184,0.0283392,6,63,0,724.116,-0.720912,-0.59549,-2.76884,-0.117516,-0.343849,-0.513237,-0.202385,-0.807714,-0.177369,0.127824,-0.564941,1.10136,4.60091,4.71437,0.990057,0.991114,0.1,0.20153,0.0225236,0.299362,0.249812,0.216502,0.280131,0.16652,0.285721,0.358903,0.206998,10
