# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1220920576
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-1232.67,0.0842266,0.125,3,12,1,1245.72,-1.4633,1.16348,-1.39392,-1.35748,-1.13789,-0.0330255,0.637732,-0.719652,-1.90497,5.25199,-1.74286,1.60442,0.14895,0.832635,0.125,0.990504,0.000153121,0.000185413,0.000587234,0.162908,0.868306,0.00525712,1.04575e-05,8
-1232.67,0,1.89527,0,1,1,1235.57,-1.4633,1.16348,-1.39392,-1.35748,-1.13789,-0.0330255,0.637732,-0.719652,-1.90497,5.25199,-1.74286,1.60442,0.14895,0.832635,0.125,0.990504,0.000153121,0.000185413,0.000587234,0.162908,0.868306,0.00525712,1.04575e-05,8
-1038.33,0.33411,0.109896,2,3,0,1182.81,-1.4583,1.04403,-1.60902,-1.36288,-1.00578,0.0470846,0.451668,-0.602594,-2.20309,5.22384,-0.585529,2.02329,0.357661,0.883221,0.125,0.981935,5.2033e-05,0.000188209,0.00121433,0.229288,0.711183,0.00989136,2.33647e-06,8
-1006.63,0.999063,0.0103708,4,15,0,1042.71,-1.60979,0.959803,-1.52708,-1.31986,-0.987695,0.127628,0.275315,-0.709425,-2.14648,4.99608,-0.339314,2.15923,0.415976,0.896528,0.125,0.960284,9.71438e-05,0.000273499,0.00143609,0.274452,0.441693,0.0057423,4.4005e-06,8
-870.315,0.999796,0.00631489,6,63,0,1011.54,-1.80025,0.391763,-1.32871,-1.18194,-0.726229,0.158881,0.181367,-0.668909,-2.02212,2.39767,1.37347,2.29509,0.79794,0.90847,0.125,0.297146,0.00678628,0.00962095,0.0281541,0.194771,0.203366,0.0321686,0.00129412,8
-768.594,0.999908,0.00459429,7,127,0,877.7,-1.29871,0.208481,-1.49446,-0.561553,-0.872323,-0.247672,0.446645,-0.161377,-2.43579,0.294746,3.45434,2.94258,0.96936,0.949912,0.125,0.224913,0.149415,0.187822,0.174247,0.202344,0.237387,0.20648,0.117466,8
-738.568,0.999936,0.00374431,8,255,0,776.835,-0.790384,-0.62386,-0.0108456,-2.06335,-0.822101,-0.361152,-1.80687,0.388562,-0.843856,0.154949,4.64558,6.77568,0.990487,0.99886,0.125,0.291719,0.311725,0.247852,0.285413,0.3002,0.255335,0.325156,0.284726,8
-733.598,0.999986,0.00329459,9,511,0,741.907,-1.15064,-0.403341,1.71422,-1.08253,-0.203871,-2.53827,-0.29746,-0.233206,-0.115002,0.516397,4.86096,3.8654,0.992316,0.979476,0.125,0.204415,0.434031,0.153208,0.221677,0.0786091,0.213451,0.219075,0.229696,8
-729.034,0.999987,0.00305866,9,511,0,742.121,-0.877138,0.29992,1.33529,-0.704608,0.194149,-1.92953,-1.67836,0.739336,0.0171823,0.192709,4.52961,5.28179,0.98933,0.994942,0.125,0.305904,0.349823,0.266408,0.301593,0.222877,0.231373,0.324173,0.294459,8
-729.979,0.999983,0.00295046,10,1023,0,734.396,-1.00976,-1.58988,2.07429,-0.393028,-1.81102,-0.116101,-0.670257,0.118158,-0.34332,0.159309,5.84654,4.99694,0.997118,0.993287,0.125,0.220451,0.336417,0.254953,0.214457,0.263423,0.246655,0.270728,0.25646,8
-729.663,0.999888,0.00292644,10,1023,0,736.132,-1.24537,1.89709,1.94155,-1.37595,-0.267737,-1.23288,-0.177281,-0.0218616,-0.225067,0.174202,4.69917,4.77653,0.990979,0.991645,0.125,0.286,0.287584,0.184664,0.215513,0.188446,0.218189,0.222842,0.216772,8
-730.779,0.999872,0.00296187,10,1023,0,738.223,-1.39896,-1.50691,2.43818,0.271353,-1.60206,0.187093,0.61913,1.43063,0.296887,0.311277,5.88611,5.25491,0.99723,0.994805,0.125,0.13377,0.345244,0.211736,0.130375,0.207391,0.230367,0.278154,0.213065,8
-727.012,0.999605,0.00304354,10,1023,0,737.627,-1.24363,1.72778,1.85032,-0.943716,-0.0132923,-0.76981,0.254196,-0.0408757,0.77867,0.257814,5.63442,4.86548,0.99644,0.992351,0.125,0.310415,0.317217,0.184383,0.22321,0.191221,0.235395,0.22198,0.260595,8
-726.647,0.999688,0.00316045,10,1023,0,733.774,-0.980636,0.394362,1.80465,-0.957492,-1.41612,-2.12674,-1.15201,1.1858,-0.276272,0.317874,4.9538,5.0477,0.992993,0.993617,0.125,0.298327,0.399635,0.216701,0.192976,0.160209,0.206389,0.353497,0.255697,8
-724.964,0.999878,0.00331054,9,511,0,731.258,-1.42879,-0.164565,1.86893,-0.931907,-0.942273,0.28262,0.348248,0.58924,-0.342598,0.638378,5.34642,5.85799,0.995257,0.997151,0.125,0.177432,0.441346,0.116737,0.116057,0.222983,0.230326,0.258721,0.161448,8
