# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=896279109
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_sigma.1,g_se,g_sp
-853.209,1,0.125,2,3,0,988.781,-1.63395,-0.0310846,-1.18953,0.39439,-0.34397,-0.154252,-1.67814,0.106365,2.21589,2.10156,1.33465,-3.67947,0.171573,-3.75642,-0.747315,2.1638,1.55586,-7.70566,13.2139,-0.194618,-17.3907,1.4326,-5.68989,4.2021,-2.43532,-0.614625,-17.4226,34.1334,-21.2097,-1.02225
-853.209,0,10.0182,0,1,1,857.322,-1.63395,-0.0310846,-1.18953,0.39439,-0.34397,-0.154252,-1.67814,0.106365,2.21589,2.10156,-0.796176,-1.51613,0.555397,-0.355395,1.04373,-0.0298037,-0.996546,-1.07369,-1.23001,0.329818,-17.3907,1.4326,-5.68989,4.2021,-2.43532,-0.614625,-17.4226,34.1334,-21.2097,-1.02225
-853.209,0,0.951493,0,1,1,856.707,-1.63395,-0.0310846,-1.18953,0.39439,-0.34397,-0.154252,-1.67814,0.106365,2.21589,2.10156,-0.311432,0.993745,-0.371054,-1.51323,0.681955,-0.49804,1.4179,0.84765,0.0466839,0.197947,-17.3907,1.4326,-5.68989,4.2021,-2.43532,-0.614625,-17.4226,34.1334,-21.2097,-1.02225
-782.301,0.934791,0.0488594,3,7,0,856.829,-1.01838,-0.0769092,-1.21304,0.0974316,-0.620622,-0.529821,-0.842782,-0.753175,2.9613,2.48266,4.58916,-0.478296,0.332965,-1.56986,-0.995343,-1.57568,5.6649,-6.50716,4.87752,4.84697,11.4297,3.27509,0.4985,2.36401,1.29719,4.37999,-9.1391,0.558177,-8.97234,-52.1254
-774.76,0.999268,0.0276928,6,63,0,787.017,-1.0968,-0.0752548,-1.30781,0.221748,-0.593024,-0.574705,-0.86506,-0.895118,3.15089,2.59887,1.15421,0.138236,0.859635,-0.998572,-0.189154,0.595054,-0.286678,1.36641,-2.16447,-3.79509,0.830802,2.35398,-0.530247,2.09751,0.700005,2.43561,-9.46342,3.56604,-8.07357,-42.8677
-738.268,0.999953,0.0214517,5,31,0,782.363,-0.910839,-0.42834,-1.49623,0.26325,-1.01162,-0.239101,-1.31775,-1.92899,3.56315,5.03751,0.993657,1.04248,0.384697,0.201286,0.948793,-0.198428,-0.54925,3.22433,-2.39693,-8.27909,15.0866,0.4006,-0.164171,0.9611,-0.402952,2.02348,-4.7235,0.312065,-4.76502,-0.501832
-734.045,0.997049,0.0182277,7,127,0,742.721,-1.19676,0.983437,-1.47247,0.357478,-1.16573,-1.07313,0.481346,-3.33346,6.14267,5.16821,-0.986025,0.352453,0.810831,-0.410368,0.676456,-0.436593,2.85644,-0.726012,2.21141,1.0976,-15.1841,1.08757,-1.27836,0.454236,-1.15542,-1.01154,-0.484475,-1.65617,1.71691,0.816518
-727.839,0.999845,0.0163177,7,127,0,739.104,-1.09111,-1.47601,-0.716593,-1.72667,0.153935,-0.233687,0.715613,-1.01433,4.16035,4.78418,1.21086,0.0690212,3.08555,0.083151,0.145032,1.20609,-1.59392,-1.81025,2.00949,-0.448883,4.98077,-2.96506,-0.28343,-1.92236,2.13471,1.36597,0.588692,1.42825,-2.47125,-1.73739
-728.989,0.999531,0.0153782,6,63,0,729.518,-1.12247,-1.69431,-0.80748,-1.63388,0.260767,-0.217107,0.699112,-0.953784,4.12436,4.78104,-0.494702,0.504479,0.219093,-0.631562,-0.207229,-0.00043335,0.00830193,0.140343,-0.169203,-0.141993,-3.10969,-3.95579,-1.52379,-1.90718,2.49909,0.877884,-0.148749,3.99508,-2.76537,-1.38826
-728.106,0.991781,0.014929,6,63,0,734.623,-1.07913,-0.898187,-0.54827,-1.49153,0.343189,0.0842302,0.428099,-1.58276,4.92303,5.39012,-1.22541,-2.11202,-0.544556,-0.649858,0.195631,-0.287973,-0.179987,0.913206,-1.99687,-1.17389,11.5178,-0.694923,0.968678,-1.23081,1.61713,2.21626,-2.37132,-2.77937,-0.259586,1.18348
