# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=307650850
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_sigma.1,g_se,g_sp
-888.461,1,0.125,2,3,0,1132.51,-0.287648,-0.178536,-1.04752,0.86258,0.38953,-0.526906,1.16636,-0.285243,-0.281912,1.40755,0.35802,0.542849,0.470468,4.98393,-0.468225,-1.57599,-0.777601,2.25475,-3.017,-5.77435,5.23225,-1.71935,-0.238035,-0.700178,0.0999495,12.5059,-1.54113,-15.7351,51.1176,3.83578,3.16121,18.8864,23.2759,-27.4378,59.4908,1.06387,-1.74774,2.64288,7.15608,106.465,45.1137,-0.934434
-888.461,0,10.0182,0,1,1,896.991,-0.287648,-0.178536,-1.04752,0.86258,0.38953,-0.526906,1.16636,-0.285243,-0.281912,1.40755,0.35802,0.542849,0.470468,4.98393,-0.533374,-0.87333,1.22497,-2.38785,0.30508,-0.216838,0.544244,-0.0440636,-1.93145,-1.54975,-0.531424,-1.11376,0.497905,0.684823,51.1176,3.83578,3.16121,18.8864,23.2759,-27.4378,59.4908,1.06387,-1.74774,2.64288,7.15608,106.465,45.1137,-0.934434
-888.461,0,0.951493,0,1,1,894.916,-0.287648,-0.178536,-1.04752,0.86258,0.38953,-0.526906,1.16636,-0.285243,-0.281912,1.40755,0.35802,0.542849,0.470468,4.98393,-0.528015,-0.326772,-0.761315,-2.03434,-1.61933,-0.343372,-0.189113,-0.404962,1.25666,-1.29034,-1.07515,-0.0357477,-0.067967,0.679191,51.1176,3.83578,3.16121,18.8864,23.2759,-27.4378,59.4908,1.06387,-1.74774,2.64288,7.15608,106.465,45.1137,-0.934434
-835.049,1,0.0488594,3,7,0,890.833,-0.647051,-0.238471,-1.17619,0.990345,0.212878,-0.390447,0.948232,-0.196641,-0.178353,1.23865,0.302435,0.119476,0.294362,5.05512,-4.7918,-0.498702,-1.41561,0.782841,-2.10384,2.44127,-4.11235,0.890443,1.15078,-1.7824,-0.721985,-7.20784,-0.358549,0.739516,6.16625,-3.92667,1.6382,6.41106,-0.691419,-17.4362,23.4768,0.00217512,-1.86883,0.141899,1.4434,30.1388,-64.7984,0.108991
-794.648,0.991433,0.0333642,3,7,0,842.003,-0.771975,-0.342233,-1.27523,0.935744,0.275255,-0.535402,0.55041,0.0364361,-0.111046,1.20776,0.297765,-0.0595457,0.813823,5.1104,1.2448,0.520235,0.845204,0.891356,-0.368951,-0.0976398,4.06356,-1.68284,-0.588943,0.247476,0.149295,2.90548,-7.92876,-0.391905,10.0381,-2.59721,1.61948,7.8564,3.33825,-14.3505,12.1178,1.52167,-0.701942,0.406528,2.01414,17.7681,-50.2828,0.166676
-740.31,0.999742,0.0254536,4,15,0,804.432,-1.0205,-0.0976684,-1.42786,0.572936,-0.0447545,-0.523117,-0.0172846,-0.0590775,0.181987,1.62018,0.430858,-0.468242,2.27262,5.46132,-1.29448,0.933475,-0.835193,-2.10575,-1.51547,1.11715,-2.26877,-0.576683,1.2171,1.63071,0.291758,-2.34211,9.99503,1.38852,-4.07223,2.34789,1.30432,1.99727,-0.129082,-5.69296,-7.28981,1.20005,0.917824,1.66288,2.40714,0.116254,-18.8719,1.74365
-722.607,1,0.0217142,5,31,0,744.618,-1.31603,-0.250911,-1.44652,0.00198934,0.0386701,0.215859,0.390598,0.245978,0.208678,0.838166,-0.088294,0.0514187,3.77531,4.80985,0.684191,0.398029,0.309461,0.173435,-0.403759,-1.53109,-0.932789,-0.111303,0.217951,1.76452,1.37934,-1.92189,-5.41698,1.33391,-2.27919,-3.56917,0.711321,-10.768,-3.18902,5.83677,7.96931,3.04371,1.00436,-1.13899,-0.760112,1.04766,-4.27278,-1.50866
-721.773,0.999047,0.0196753,6,63,0,727.675,-1.24451,-0.458829,-1.56813,0.59072,0.13244,0.165188,0.108697,0.035093,0.229264,0.808832,0.178545,0.130152,3.91036,5.19206,-0.0356558,-0.233194,0.509801,-1.86652,-0.332572,1.70662,-0.0514132,1.1299,0.159239,0.0123423,-0.797126,0.10351,-1.02034,-1.41053,4.48248,-7.63387,0.384282,10.0927,2.10573,7.51754,-11.6102,2.15961,1.87928,-0.461031,2.31083,5.99095,-3.4299,0.455764
-725.89,0.965424,0.0185294,7,127,0,731.898,-0.9947,-0.337528,-1.74652,0.17827,-0.354077,-0.512492,0.150979,-1.27597,-0.790094,1.29497,-0.804026,-0.0737662,6.89736,5.41781,-1.49147,-1.81982,-1.1088,0.585176,-0.359329,1.17641,-0.594782,-0.18877,0.243368,-0.0217744,-0.114386,1.04141,0.641695,1.19889,2.25124,1.49514,0.652918,1.81264,-4.19065,-8.37286,12.4207,-2.91792,-3.14358,4.20843,-3.14621,12.2609,2.72589,1.60453
-726.818,0.989175,0.016166,7,127,0,733.485,-1.07318,-0.635789,-2.74452,0.54681,0.120508,-0.620017,0.598826,-0.0353153,-0.674132,0.0434304,-0.112561,-0.645085,4.43375,4.97207,-0.783047,-0.269047,-0.378022,0.791235,-0.404797,-0.864505,-0.488928,1.10617,1.39286,0.303328,1.07758,-0.0787519,-2.3837,-0.790685,21.0485,-0.637712,-1.26938,1.96737,2.59633,-3.73004,11.5154,1.29815,-1.23819,-2.98,0.570813,5.14274,-1.29295,-1.1052
