# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1883340189
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,index.1,index.2,index.3,index.4
-967.178,0.333333,0.125,1,3,1,1126.1,-0.739951,-1.26523,0.427561,-1.21099,0.216168,-1.36837,1.31084,0.277419,0.190055,1.28941,-0.659521,0.589812,-0.61879,-1.68379,0.73438,-0.989563,0.802732,1.311,1.97581,0.863478,0.685844,0.20683,-0.154022,2.18128,0.46157,0.898556,0.00168979,0.0417209,0.482932,0.046071,0.391687,0.0344831,0.824484,0.367671,0.358302,0,0,0,0,0.313878,0.438507,0.300323,0.52924,0,0,0.320012,0.388714,0.362047,0.3598,0.38816,0,6,8,6,9
-967.178,0,2.98107,0,1,1,985.658,-0.739951,-1.26523,0.427561,-1.21099,0.216168,-1.36837,1.31084,0.277419,0.190055,1.28941,-0.659521,0.589812,-0.61879,-1.68379,0.73438,-0.989563,0.802732,1.311,1.97581,0.863478,0.685844,0.20683,-0.154022,2.18128,0.46157,0.898556,0.00168979,0.0417209,0.482932,0.046071,0.391687,0.0344831,0.824484,0.367671,0.358302,0,0,0,0,0.313878,0.438507,0.300323,0.52924,0,0,0.320012,0.388714,0.362047,0.3598,0.38816,0,6,8,6,9
-880.272,0.5,0.197687,1,2,1,967.543,-0.825737,-1.42094,0.329209,-1.38507,0.34096,-1.31803,1.12943,0.568109,0.145178,1.99263,-0.320086,0.469059,-0.405656,-1.31017,0.460233,-0.973728,0.94869,1.33144,1.27673,0.778079,1.13594,0.224244,0.930447,2.71296,0.717166,0.937787,0.00168979,0.0815726,0.337434,0.0846,0.339891,0.0904922,0.523441,0.295558,0.252507,0,0,0,0,0.157919,0.457789,0.166736,0.609033,0,0,0.227193,0.297108,0.280108,0.267669,0.324283,0,6,8,6,9
-745.671,1,0.031338,5,31,0,893.732,-0.590203,-0.685488,-0.991459,-0.34962,-0.395999,-0.0494835,-0.639697,-0.707234,-0.557509,1.67969,-0.755276,-0.13406,-0.605994,-1.71096,1.1071,-0.0103875,-0.358604,1.47209,0.0239246,0.863482,0.139607,0.0551537,5.45269,5.63581,0.995733,0.996445,0.00168979,0.227512,0.22623,0.228926,0.22873,0.230194,0.227704,0.218503,0.241371,0,0,0,0,0.227624,0.226489,0.235067,0.22059,0,0,0.23031,0.224595,0.223948,0.225385,0.247634,0,6,8,6,9
-747.353,0.999975,0.020724,7,127,0,759.117,-1.25789,1.01998,0.0792524,-0.36072,-1.81875,0.519874,0.188812,0.186407,-0.556642,0.775477,-2.16799,-1.08933,-1.94116,0.460011,-1.54301,0.0327914,-0.901783,-0.932789,0.0545763,0.141595,0.133268,0.232496,4.65817,4.47536,0.990605,0.988742,0.00168979,0.229736,0.220808,0.216719,0.203558,0.224959,0.221835,0.227248,0.209362,0,0,0,0,0.217607,0.186401,0.238199,0.230304,0,0,0.232839,0.219406,0.219311,0.19123,0.243593,0,6,8,6,9
-743.394,0.998821,0.0158857,8,255,0,756.199,-0.995248,0.400293,0.532933,-0.683025,-1.30756,0.10115,0.0728025,0.504416,0.531255,0.955599,-1.5543,0.0310326,-1.2455,0.455467,-1.53812,0.693009,-0.714448,-1.59488,0.166147,0.101353,0.401943,0.251281,4.36372,5.10787,0.987429,0.993987,0.00168979,0.276174,0.28056,0.241963,0.223588,0.266437,0.265525,0.260252,0.260771,0,0,0,0,0.242754,0.19973,0.305034,0.302632,0,0,0.247649,0.246337,0.266817,0.268126,0.289338,0,6,8,6,9
-744.198,0.996191,0.013343,8,255,0,756.961,-0.496771,1.06599,-1.34838,0.738776,0.23707,0.530249,0.273707,-0.944228,-1.027,1.80658,1.36073,0.48793,-0.0635505,1.02938,0.177274,0.809115,-2.58729,0.138538,0.0142338,1.24319,0.703174,0.0702461,5.74612,4.9778,0.996815,0.993158,0.00168979,0.211305,0.205659,0.210533,0.209354,0.210042,0.20944,0.216335,0.199467,0,0,0,0,0.232502,0.175574,0.207396,0.17933,0,0,0.215903,0.21288,0.198947,0.198026,0.231403,0,6,8,6,9
-736.805,0.999866,0.0118515,8,255,0,749.928,-0.0968445,0.292766,-1.60127,-0.0713676,-1.11329,-0.259825,-0.38745,-0.428602,-0.677348,-0.290849,0.62102,-0.0994737,-0.465992,-0.658111,-0.031813,-0.305984,0.714967,0.909767,0.0679313,1.65295,0.147143,0.369052,4.85887,4.98881,0.992301,0.993232,0.00168979,0.240869,0.218304,0.236411,0.223969,0.234126,0.232587,0.260328,0.189242,0,0,0,0,0.236948,0.210545,0.23201,0.228706,0,0,0.240359,0.231931,0.229258,0.213557,0.238292,0,6,8,6,9
-742.669,0.999929,0.0111354,8,255,0,750.226,-1.01362,0.361378,0.58932,0.455918,-0.815128,-0.510528,-0.143769,-0.358352,-0.40565,1.08903,-1.29484,-0.998724,-0.120686,-0.049017,-1.91432,0.851509,0.115105,0.450486,0.0243561,0.454069,0.204838,0.0241439,5.32077,5.51724,0.995135,0.995999,0.00168979,0.232828,0.23382,0.233239,0.227759,0.229064,0.230642,0.23259,0.228786,0,0,0,0,0.250142,0.204533,0.214871,0.227816,0,0,0.229566,0.231133,0.230215,0.230013,0.236454,0,6,8,6,9
-742.786,0.99563,0.0108068,8,255,0,752.948,-1.33383,0.0520752,-1.54581,0.122808,-0.362364,-0.355992,-0.179697,0.703689,-0.884702,0.151842,-0.378331,-0.37414,-0.194555,0.403549,1.07108,0.497147,-1.77039,-1.85994,0.0525133,0.155703,0.866032,0.0823897,5.7065,5.15565,0.996687,0.994266,0.00168979,0.195394,0.182641,0.195974,0.192023,0.192075,0.193504,0.207366,0.169848,0,0,0,0,0.223572,0.159223,0.159961,0.1815,0,0,0.187765,0.189972,0.20133,0.181262,0.194177,0,6,8,6,9
-747.622,0.99988,0.0105914,9,511,0,754.882,-1.16294,-0.68763,-0.0656041,0.313586,0.545197,0.402755,1.34932,0.199545,-0.297781,0.373734,0.528929,-0.554509,1.57379,-0.0913834,1.22166,0.831042,-1.06384,-2.7815,0.0550272,0.0287357,0.133792,0.0395823,4.49318,4.99169,0.988939,0.993252,0.00168979,0.247844,0.254276,0.25825,0.260698,0.259191,0.269311,0.260411,0.25767,0,0,0,0,0.253549,0.259457,0.255813,0.280648,0,0,0.25867,0.265915,0.257132,0.253393,0.25845,0,6,8,6,9
-743.932,0.998781,0.0107037,9,511,0,760.278,-1.20816,-0.585948,-0.823302,-0.368724,-0.861815,-0.905396,0.246007,0.861229,1.6715,0.608501,-1.58019,-1.5126,-1.50816,-0.682962,-0.539073,-1.51184,1.11502,0.257069,0.36262,0.0730719,0.0237014,0.143621,5.62431,4.80783,0.996404,0.991901,0.00168979,0.219028,0.204695,0.232765,0.202436,0.199902,0.274791,0.220194,0.230452,0,0,0,0,0.224972,0.222956,0.222779,0.227504,0,0,0.191401,0.218169,0.233533,0.254884,0.227132,0,6,8,6,9
-743.645,0.999949,0.0109189,8,255,0,758.473,-1.09334,0.101048,0.799353,-1.59535,0.243375,-0.457851,1.34156,-0.702131,-0.887414,-0.332297,0.412101,-1.93721,-0.552142,0.14034,0.145813,0.592048,-2.04828,-0.542013,0.199838,0.0793633,0.100109,0.0639308,4.64159,5.25096,0.99045,0.994785,0.00168979,0.232317,0.258052,0.17749,0.237414,0.213044,0.27927,0.241341,0.23868,0,0,0,0,0.221644,0.254818,0.241794,0.276115,0,0,0.236007,0.257213,0.233223,0.231126,0.237447,0,6,8,6,9
-743.634,0.997103,0.0112866,8,255,0,755.89,-1.4288,-1.10783,-0.512778,0.882422,-0.807779,-1.67721,0.955719,1.18106,-0.0469939,-0.564961,-0.531562,-1.48524,0.787952,-0.579998,0.109207,0.556224,-0.0728749,1.23551,0.15129,0.113152,0.151987,0.0125316,5.89554,4.5148,0.997256,0.989173,0.00168979,0.181421,0.195106,0.230193,0.188227,0.169034,0.232152,0.208499,0.186662,0,0,0,0,0.219695,0.178991,0.160458,0.221602,0,0,0.195616,0.200814,0.201263,0.198822,0.197799,0,6,8,6,9
-736.149,0.994957,0.011646,8,255,0,752.18,0.100617,0.521391,0.136626,0.653927,-0.780349,-0.552589,0.806917,-0.669822,-0.680005,0.121369,1.43903,0.688822,-0.398081,-0.166377,-0.719472,-0.207967,0.426526,-0.540428,0.183893,2.11934,0.180426,0.0424966,5.36606,5.17288,0.995349,0.994364,0.00168979,0.230366,0.218091,0.234704,0.190764,0.197299,0.239781,0.219569,0.21591,0,0,0,0,0.232804,0.189886,0.196275,0.237758,0,0,0.21525,0.225124,0.214413,0.214341,0.220105,0,6,8,6,9
-736.83,0.98512,0.0120015,8,255,0,746.432,0.0548321,-0.0410861,-0.255562,0.328341,-0.81142,-0.413855,0.777554,-0.557506,-0.52407,0.716357,-0.441756,1.59564,0.3352,0.896591,0.0704987,-0.976439,-0.206812,-0.268565,0.242965,2.35079,0.0565518,0.0446832,5.00491,5.35221,0.99334,0.995285,0.00168979,0.226045,0.217063,0.242123,0.194999,0.210602,0.262697,0.220612,0.234374,0,0,0,0,0.229226,0.218076,0.22192,0.233728,0,0,0.22341,0.232747,0.222302,0.22256,0.232261,0,6,8,6,9
-735.265,0.99917,0.0120482,8,255,0,748.959,-0.458814,0.185626,0.0787299,-0.269978,0.0840432,-0.287972,0.829324,-0.715233,-0.758452,0.770435,-0.658102,1.56703,0.338505,0.547706,0.222372,-0.18103,0.00960425,-1.26688,0.70614,1.03891,0.0409512,0.0925385,4.75003,5.40852,0.991423,0.995542,0.00168979,0.250323,0.236439,0.194923,0.237116,0.192939,0.344609,0.255657,0.247348,0,0,0,0,0.250453,0.253138,0.250317,0.258851,0,0,0.248238,0.267698,0.241048,0.240329,0.266648,0,6,8,6,9
-742.822,0.99626,0.0126692,8,255,0,751.327,-0.500577,-1.13967,-1.86508,-0.481337,-0.75486,-0.268569,1.50224,-1.94695,-2.58695,0.0543492,-0.0416145,-0.654716,-1.74051,-0.0125308,-0.45169,-0.449896,1.03928,-0.309707,0.213476,0.229524,0.200409,0.0502337,5.10749,4.75431,0.993985,0.991459,0.00168979,0.213082,0.188404,0.237438,0.227093,0.245705,0.321631,0.255825,0.229318,0,0,0,0,0.232269,0.222763,0.239854,0.309208,0,0,0.247471,0.264104,0.232359,0.226766,0.250452,0,6,8,6,9
-736.375,0.984278,0.0132318,8,255,0,750.236,-1.21938,0.214843,-0.00591889,0.146311,0.0515028,0.0869179,0.572216,-0.0764138,-0.036671,0.885355,0.392978,-0.278049,0.30774,-0.185969,-0.669045,-0.467663,0.248321,-1.05655,0.519314,3.33309,0.109591,0.0476402,5.3633,4.89123,0.995336,0.992544,0.00168979,0.218616,0.199679,0.212602,0.204483,0.207489,0.251933,0.208476,0.231122,0,0,0,0,0.217318,0.215561,0.216216,0.225337,0,0,0.216792,0.220731,0.215478,0.215797,0.2233,0,6,8,6,9
-736.262,0.999546,0.0133506,8,255,0,743.191,-1.37235,0.14082,0.0776049,-0.0812835,0.57287,0.322248,1.04176,0.593835,0.0381679,1.75246,-1.54897,1.28443,-0.0503777,0.329766,0.0701824,-0.817262,-0.781147,0.503352,0.430657,0.128912,0.0971009,0.0750302,5.17013,5.22516,0.994348,0.994649,0.00168979,0.23439,0.229543,0.217675,0.26938,0.248689,0.310878,0.264202,0.250596,0,0,0,0,0.25151,0.263581,0.258913,0.272456,0,0,0.253132,0.263409,0.25698,0.249148,0.273819,0,6,8,6,9
-738.21,0.989416,0.0141201,8,255,0,753.159,-0.933697,-0.466033,-1.06139,-0.803443,-0.37904,-0.581491,0.388199,-0.109313,-0.986284,0.816382,1.67109,-0.550978,-0.771255,1.36409,-1.53899,-0.653799,0.954007,0.437917,0.351802,0.360118,0.0138629,0.0299666,4.79335,5.38926,0.991783,0.995455,0.00168979,0.218633,0.18508,0.199107,0.223884,0.211801,0.273993,0.246014,0.192465,0,0,0,0,0.222693,0.223703,0.223221,0.225538,0,0,0.221017,0.226012,0.223439,0.218955,0.228243,0,6,8,6,9
-733.411,0.999604,0.0144997,8,255,0,747.614,-1.37363,-0.680551,-0.137563,-0.266761,-0.478651,-0.1189,0.537042,0.868307,0.383352,-0.813701,-0.896679,-0.0841055,-0.466577,0.400032,-0.116001,-0.379768,0.950539,-0.387484,0.617332,0.492087,0.573123,0.0141663,5.4062,4.9142,0.995531,0.992712,0.00168979,0.178415,0.232434,0.218626,0.197272,0.234478,0.313861,0.254613,0.212748,0,0,0,0,0.222738,0.20269,0.237533,0.31082,0,0,0.23583,0.237474,0.238307,0.237088,0.234098,0,6,8,6,9
-738.89,0.994342,0.0153505,8,255,0,747.251,-1.08533,-0.276241,-1.48814,-0.160538,-0.74252,-0.443705,0.380332,1.62618,0.523269,-0.484204,0.194761,-0.530723,-1.13077,0.757589,-1.49699,-0.620258,1.86469,-0.289272,0.351737,0.111834,0.706348,0.0162606,5.36964,5.08574,0.995366,0.993854,0.00168979,0.232317,0.16557,0.239572,0.204639,0.222088,0.275476,0.233372,0.212398,0,0,0,0,0.231142,0.166616,0.197776,0.305027,0,0,0.221941,0.224221,0.227699,0.224618,0.221829,0,6,8,6,9
-745.334,0.993151,0.0160025,8,255,0,760.788,0.73415,0.133652,-0.0421294,-0.536236,0.284679,-0.4203,0.327993,-1.0145,-0.909874,1.73673,-0.315792,1.01387,0.824993,-0.884598,1.56942,0.756752,-2.18653,-0.0609346,0.141082,1.92005,0.0182742,0.0626744,4.77432,5.01438,0.991627,0.993402,0.00168979,0.244972,0.240425,0.227955,0.248925,0.230839,0.250066,0.226264,0.263312,0,0,0,0,0.240919,0.243665,0.241305,0.243811,0,0,0.239552,0.24818,0.232849,0.234019,0.264979,0,6,8,6,9
