# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1883340189
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4,g_se,g_sp
-762.661,1,0.0625,5,31,0,1235.34,-1.28691,0.274573,1.73326,-1.119,-0.048786,0.589697,0.268961,0.665881,0.465208,1.75682,-1.63351,-0.816337,0.25454,-1.04761,-1.78615,0.148255,0.189928,1.26188,-2.13689,-1.11156,-3.0973,-0.67766,3.16726,5.59403,-5.84029,-3.65225,-0.782465,5.96116,-0.119005,-1.51765,1.20893,-2.57449,-1.55078,-1.15516,0.367374,-1.35895,-1.11226,-1.14169,0.408691,-0.423022,-0.537879,-0.0895285,-8.02199,-10.8575,-16.1758,-15.9793,8.99431,7.89476,74.6746,1.34779,5.62385,2.17098,1.22189,10.5771,6.82389,32.2898,15.9432,4.55276,-1.63351,-0.816337,0.25454,-1.04761,-1.78615,0.148255,0.189928,1.26188,7.17606,14.6761,-3.94632,23.2115,-3.47012,1.28642
-762.661,0,10.0182,0,1,1,771.671,-1.28691,0.274573,1.73326,-1.119,-0.048786,0.589697,0.268961,0.665881,0.465208,1.75682,-1.63351,-0.816337,0.25454,-1.04761,-1.78615,0.148255,0.189928,1.26188,-2.13689,-1.11156,-3.0973,-0.67766,3.16726,5.59403,0.537701,0.243724,-0.254085,-0.962628,0.0147594,0.24658,-1.91166,-1.20925,-0.422031,-0.327311,-0.0786559,-0.247855,1.05641,0.357599,2.03518,0.115576,-0.433911,1.19399,0.914604,-0.0111628,0.301662,-0.434794,-1.06661,-1.37212,74.6746,1.34779,5.62385,2.17098,1.22189,10.5771,6.82389,32.2898,15.9432,4.55276,-1.63351,-0.816337,0.25454,-1.04761,-1.78615,0.148255,0.189928,1.26188,7.17606,14.6761,-3.94632,23.2115,-3.47012,1.28642
-762.661,0,0.951493,0,1,1,776.857,-1.28691,0.274573,1.73326,-1.119,-0.048786,0.589697,0.268961,0.665881,0.465208,1.75682,-1.63351,-0.816337,0.25454,-1.04761,-1.78615,0.148255,0.189928,1.26188,-2.13689,-1.11156,-3.0973,-0.67766,3.16726,5.59403,0.148802,1.94395,1.16648,-0.235718,0.542481,-0.960125,-0.839205,0.621262,-0.0737121,-0.715829,-1.22419,-1.62963,0.252128,-1.22554,1.28553,0.658847,-0.194398,-1.84912,-2.47449,0.615424,-0.631322,1.32458,0.200009,-0.625975,74.6746,1.34779,5.62385,2.17098,1.22189,10.5771,6.82389,32.2898,15.9432,4.55276,-1.63351,-0.816337,0.25454,-1.04761,-1.78615,0.148255,0.189928,1.26188,7.17606,14.6761,-3.94632,23.2115,-3.47012,1.28642
-747.609,0.99845,0.0488594,6,63,0,770.773,-1.24692,-0.066746,-1.94113,0.911709,-0.240344,-0.196678,-0.410441,-0.240885,-0.110503,0.643228,1.58169,-1.00668,-0.999324,-2.45319,0.112608,0.302319,1.02747,0.955334,-2.28172,-2.11093,-0.968821,-1.70203,7.32523,5.1474,-3.89654,-0.588153,-2.4136,-0.796096,-0.428415,-1.18072,-1.26389,-0.897034,-1.18138,-0.377303,1.56843,0.85882,-0.212977,1.1506,1.78247,-0.160958,-0.23292,-1.30247,1.14698,-0.0808072,-0.133124,-0.0290182,2.03684,1.95264,18.8629,0.537592,-1.06019,10.0828,0.470727,0.735425,-1.29194,2.4331,2.54947,-0.321026,1.58169,-1.00668,-0.999324,-2.45319,0.112608,0.302319,1.02747,0.955334,-1.86829,-1.31159,7.59394,-2.56871,3.22495,-0.0383848
-735.689,0.949864,0.0332168,6,63,0,756.454,-0.975024,-0.569969,-1.36396,-0.225476,-1.27914,-0.599579,0.738111,0.226316,-0.412937,0.802822,1.80228,-0.84325,0.465117,0.223674,0.260989,1.06062,0.0754317,0.252784,-1.28955,-0.715392,-2.18377,-1.66263,5.19674,4.92027,-1.47008,0.474677,-1.28463,1.49825,0.35075,-1.56741,-0.0392667,-0.603042,0.653101,-0.692456,0.943736,-0.732024,-1.28972,-2.76909,0.00982305,-0.129264,1.08665,0.931392,-2.3718,-1.5644,0.904726,1.32,2.81616,-0.0963928,25.7519,0.546486,-0.440202,3.2508,-1.27791,2.06757,6.76644,14.2381,0.948523,-0.275351,1.80228,-0.84325,0.465117,0.223674,0.260989,1.06062,0.0754317,0.252784,-2.42286,1.67665,-1.62788,1.35275,0.415232,-1.47428
-733.737,0.982367,0.022383,7,127,0,744.121,-1.31408,-0.543824,-0.808089,0.655999,-0.255892,0.0845085,0.667865,-0.188918,-0.857737,0.287353,-1.43113,0.268929,-0.158178,-0.143753,0.0796185,-1.12023,-0.420842,-0.375219,-1.43796,-0.815371,-0.570495,-2.54465,4.59062,4.81522,-2.29612,-1.40296,-0.675622,-0.549951,-0.772065,0.0837342,0.516988,0.319505,-0.219767,0.714791,-1.26141,1.56924,-0.841503,-0.239285,-0.883626,-0.0629586,0.829195,0.24946,-0.818407,0.184758,-0.538476,0.449609,-0.788534,1.75136,7.70391,-0.223854,0.0111287,7.39707,-0.00784381,1.09723,-0.270986,5.03935,-1.73959,-0.324746,-1.43113,0.268929,-0.158178,-0.143753,0.0796185,-1.12023,-0.420842,-0.375219,-2.52795,-0.728942,3.76817,-0.613639,-1.09494,-1.67494
-732.409,0.991913,0.0180427,8,255,0,742.561,-0.0597793,-0.611591,-0.408442,-0.38096,-0.346321,-0.10616,0.289423,-1.01264,-0.990068,-0.501222,-0.551972,0.400554,-0.139057,0.937691,-1.17972,0.00181216,-0.69613,0.454766,-0.279054,-0.100949,-0.958251,-2.61575,5.67205,4.97891,0.871948,-1.09267,-1.54687,-1.04935,1.95887,0.162124,0.196085,1.08642,0.531827,0.54906,1.58574,-0.362943,0.192347,-0.058061,0.176677,1.1463,0.583131,0.28456,-0.498788,0.0663006,-1.6729,0.271803,0.152376,-1.26048,-11.751,-3.55482,-2.43705,-6.42767,-2.32233,3.04504,-2.69818,-17.8896,4.69834,-1.23388,-0.551972,0.400554,-0.139057,0.937691,-1.17972,0.00181216,-0.69613,0.454766,1.47529,10.747,1.94181,0.19596,1.00492,-0.0365709
-735.899,0.992481,0.0158933,8,255,0,748.558,-0.85395,-1.08342,-0.717714,-0.75182,-0.359181,-0.925811,-0.0256984,0.470233,-0.232555,1.01373,0.558953,1.41674,1.20092,1.0958,-0.0851795,-0.486859,0.0769405,-0.890387,-0.528926,-2.05585,-2.82061,-1.25789,6.04769,5.04764,-0.180236,1.15081,0.299471,0.124997,-0.896914,0.568014,-1.52039,0.388013,-1.88659,-1.79811,-0.750122,-0.018001,-0.516106,0.643147,-1.20829,0.152133,-0.752241,0.750671,1.67061,1.98339,1.02514,-0.808225,0.838502,-0.697219,-5.1108,-2.44237,2.30339,-0.0134331,2.49776,-8.46393,-2.16477,2.68009,-1.00547,-0.520212,0.558953,1.41674,1.20092,1.0958,-0.0851795,-0.486859,0.0769405,-0.890387,1.10717,-1.48439,-0.655212,2.51393,1.61222,0.0835861
-740.568,0.997376,0.0146318,8,255,0,747.84,-0.888877,-1.39504,-1.85622,-0.426652,-0.455599,-0.153955,0.432617,-0.903082,0.160919,1.79957,0.0219565,2.35125,0.27615,1.17183,-1.14208,1.15198,0.279929,-0.234034,-1.52965,-2.62298,-1.20142,-1.1459,5.14906,4.96064,-0.855181,0.569848,0.0065061,0.493679,-0.957743,-0.476449,0.551363,-0.41405,-0.0994548,0.475684,-0.652147,-0.162638,-1.2525,-0.545693,-0.639886,1.32832,0.0899999,0.90961,-0.667577,-0.31285,1.89873,0.285108,-1.31587,0.316735,2.65487,-1.29856,-2.18585,-0.833212,0.605329,2.25339,3.76674,-4.51452,1.29313,1.33348,0.0219565,2.35125,0.27615,1.17183,-1.14208,1.15198,0.279929,-0.234034,-2.10791,-0.28074,-0.266916,3.40747,0.149499,-0.587483
-741.574,0.999272,0.0141046,7,127,0,753.588,-1.00726,-1.77293,-1.85189,0.339917,-0.451007,-0.492994,-0.0373468,-0.538141,0.265283,1.71816,-0.218418,2.6012,0.00055218,1.46835,-1.07008,1.51904,0.151443,-0.374996,-1.31429,-2.80088,-1.31476,-1.20259,5.4213,4.54634,0.0179656,1.08512,-0.336976,-2.71411,0.0624108,1.19353,1.61461,-1.76329,-0.14624,0.450826,0.832478,-0.528543,0.990103,-0.85669,-0.41056,-1.10289,0.483059,0.453131,-0.91479,0.583343,0.303701,0.319801,-0.900297,1.14336,2.07887,-1.94243,-1.98183,2.37907,0.872508,-0.0207006,-1.15262,-1.6294,2.26435,1.1626,-0.218418,2.6012,0.00055218,1.46835,-1.07008,1.51904,0.151443,-0.374996,-1.21343,-0.620383,-0.471232,-0.187344,0.651305,-3.42641
-742.736,0.996989,0.0139887,8,255,0,756.656,-0.856451,-0.317145,-0.921276,-1.04846,-1.26008,-0.879386,0.905187,-0.427311,-1.12168,0.606108,2.30403,2.30739,0.196262,-0.101972,-0.147364,0.336832,0.282161,0.784732,-1.45196,-3.15395,-1.52165,-3.1083,5.87586,5.71911,0.718704,-1.64502,-1.8085,-0.313432,0.0829143,0.755848,1.04578,-0.574982,0.666967,1.13722,-0.972082,1.98922,-0.0626765,1.57557,-1.07677,1.4874,0.0681686,-0.646909,-0.566822,-0.380207,0.946574,1.2148,0.538013,-1.7884,-8.11683,0.200367,-0.550717,-3.67506,-1.84927,-1.36953,0.653293,-0.901088,-1.10248,0.211116,2.30403,2.30739,0.196262,-0.101972,-0.147364,0.336832,0.282161,0.784732,-1.06729,-0.989307,2.33505,-0.603326,1.34635,2.70172
-734.23,0.997854,0.0140042,8,255,0,748.543,-1.92739,-0.259715,-0.197971,0.647363,0.380688,0.097734,0.915606,0.558793,-0.0632723,0.239398,-0.170514,-1.38738,-0.362862,-0.175701,-1.12901,0.41973,-0.0109447,-0.042875,-0.787274,-0.27258,-1.03398,-1.50345,4.70864,4.67103,2.08611,1.62195,-1.45557,1.64657,-0.679754,-0.509915,-0.435951,-0.137935,0.575484,-0.518247,2.30468,2.12202,0.143056,-0.13002,-0.321704,0.404917,0.28376,0.787278,-0.10476,-1.26047,-0.221789,-0.953882,0.964847,-0.985964,4.92994,-0.692084,0.331335,4.23584,2.77684,0.199169,3.04424,12.433,-5.96439,-1.74016,-0.170514,-1.38738,-0.362862,-0.175701,-1.12901,0.41973,-0.0109447,-0.042875,0.130158,5.87101,1.19279,2.33682,-0.80337,-2.39249
