# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1883340189
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4,g_se,g_sp
-1069.64,1,0.0625,4,15,0,2127.91,-1.28048,0.967691,-0.0974008,-1.89807,-0.527023,0.801819,-0.581835,-0.607287,1.46217,1.01499,-0.539413,1.4932,-1.9777,0.389122,1.35524,-1.65004,0.467625,-1.66841,-1.45513,-1.54236,-0.520759,-0.583689,1.04487,0.809915,-0.389026,1.00652,-0.148889,-0.381853,0.341495,0.520385,1.52716,-0.462918,-0.710185,0.180673,-0.781173,0.350942,-1.1526,-0.324969,-0.897383,1.04044,-0.535732,0.772733,1.52611,-0.701419,-0.10598,-1.46618,-0.33498,45.8443,29.159,1.8661,1.44425,11.0303,1.24555,10.8759,4.89251,6.81878,10.254,0.785087,-0.539413,1.4932,-1.9777,0.389122,1.35524,-1.65004,0.467625,-1.66841,-0.0259145,-0.0797278,-22.8086,8.76404,-32.934,-314.464
-1069.64,0,10.0182,0,1,1,1081.97,-1.28048,0.967691,-0.0974008,-1.89807,-0.527023,0.801819,-0.581835,-0.607287,1.46217,1.01499,-0.539413,1.4932,-1.9777,0.389122,1.35524,-1.65004,0.467625,-1.66841,-1.45513,-1.54236,-0.520759,-0.583689,1.04487,0.809915,0.426984,-0.836135,-0.523245,0.766906,-0.629793,-1.18869,-1.10422,-0.307537,-0.982886,0.264358,0.0133695,1.83952,0.745868,-1.7937,-1.48051,1.11516,-0.0071655,0.60692,-0.718059,2.21892,-0.245828,-1.0093,-0.0268784,-1.1324,29.159,1.8661,1.44425,11.0303,1.24555,10.8759,4.89251,6.81878,10.254,0.785087,-0.539413,1.4932,-1.9777,0.389122,1.35524,-1.65004,0.467625,-1.66841,-0.0259145,-0.0797278,-22.8086,8.76404,-32.934,-314.464
-1069.64,0,0.951493,0,1,1,1079.52,-1.28048,0.967691,-0.0974008,-1.89807,-0.527023,0.801819,-0.581835,-0.607287,1.46217,1.01499,-0.539413,1.4932,-1.9777,0.389122,1.35524,-1.65004,0.467625,-1.66841,-1.45513,-1.54236,-0.520759,-0.583689,1.04487,0.809915,1.30864,-0.689708,-0.770566,-0.38183,-0.337163,-0.0624828,-1.0206,0.00095244,-1.18134,0.126869,-0.594022,-0.865067,-1.18008,-1.00404,-0.0772335,0.544329,0.841156,-2.10935,1.56309,0.172023,-1.40418,0.339902,0.59348,0.616241,29.159,1.8661,1.44425,11.0303,1.24555,10.8759,4.89251,6.81878,10.254,0.785087,-0.539413,1.4932,-1.9777,0.389122,1.35524,-1.65004,0.467625,-1.66841,-0.0259145,-0.0797278,-22.8086,8.76404,-32.934,-314.464
-794.071,1,0.0488594,5,31,0,1052.72,-0.707231,0.778153,-0.0570474,-1.90413,-0.825198,0.44361,-0.205199,-0.435967,1.58628,1.13555,-0.548844,1.33265,-2.08857,0.234409,1.26698,-1.56097,0.217145,-1.57258,-1.48728,-1.4392,-1.20308,-0.58978,2.01421,4.26595,8.38387,-0.874963,0.28752,3.87318,-0.992612,-0.854336,3.28816,3.15143,0.376552,0.864142,0.0283859,-0.827049,-0.201826,-0.66816,-0.520267,0.559727,-1.06182,0.58907,-0.435728,-0.367658,-10.501,0.189154,9.8724,14.0171,9.84537,2.80393,2.93907,-2.8561,-0.041013,5.91728,-8.76665,-10.4724,25.4214,-0.523102,-0.548844,1.33265,-2.08857,0.234409,1.26698,-1.56097,0.217145,-1.57258,2.97356,9.02039,1.55836,30.8227,-18.7826,-4.22295
-750.066,0.996711,0.0333642,5,31,0,807.572,-0.955727,0.965181,-0.241844,-1.01265,-0.0518573,-0.792412,0.401629,0.465738,-1.2663,2.65319,-0.563446,1.47411,-2.34669,-0.446673,1.12183,-1.79835,0.834521,-1.5312,-2.68187,-3.07541,-1.6904,-2.61045,4.78758,5.32937,-0.342861,0.2812,0.578474,-2.74661,-0.829662,2.04805,-1.29191,-1.49603,4.75966,-1.60715,-0.183217,0.319211,-0.457092,0.893025,0.634968,-0.28892,-0.652525,-0.623608,1.36299,2.20475,1.79871,2.97184,-6.94475,-1.8575,-0.531059,1.26868,0.398887,-2.05588,0.70885,-0.59572,-0.154072,0.756948,-1.27561,2.2268,-0.563446,1.47411,-2.34669,-0.446673,1.12183,-1.79835,0.834521,-1.5312,-1.79323,-1.31519,0.347483,-1.07449,-0.69538,1.1825
-748.112,0.999372,0.0258573,7,127,0,761.802,-1.71296,-1.58789,0.241314,0.826385,-0.340674,0.652437,0.318069,-0.469237,0.332453,-0.893176,-1.46468,-0.341711,-0.722563,-0.138208,1.52208,0.43554,-1.52141,0.208096,-1.1944,-1.59443,-0.389749,-1.13646,5.2582,5.07212,0.134746,0.749208,2.20235,-0.101239,0.477385,-0.89708,-0.812196,-0.308734,0.406686,0.186102,-0.535217,1.48086,-2.33298,-0.44405,1.09255,-1.80694,0.863991,-1.53538,-0.224318,-1.26159,-0.416273,1.14238,-0.370888,-1.0065,0.657021,-3.09777,3.12664,4.55682,-1.88068,8.20322,-3.29609,-4.27937,4.1121,-4.80054,-1.46468,-0.341711,-0.722563,-0.138208,1.52208,0.43554,-1.52141,0.208096,4.66746,1.03288,2.37124,6.44496,0.366599,0.328738
-748.073,0.983778,0.022043,7,127,0,759.106,-0.968213,-1.10247,-1.3123,-0.733983,-0.730408,-1.00455,0.531078,0.768164,-0.691276,2.83233,0.637559,-0.528712,0.0509171,1.28651,-0.890221,0.80087,-1.58894,-1.08846,-3.56313,-3.21409,-1.71001,-2.70776,5.02486,5.06583,-0.739826,-1.3524,0.950258,1.14582,-0.031438,0.56349,0.619421,-0.641722,0.919023,-2.261,-1.62759,-0.239503,-0.748373,-0.407404,1.7385,0.278985,-1.2247,0.437777,0.318689,0.504159,1.03653,0.832266,0.217826,-0.090708,12.2054,-0.990897,-0.979663,0.606866,-0.183366,-0.717222,1.13547,1.64846,-0.2774,2.47842,0.637559,-0.528712,0.0509171,1.28651,-0.890221,0.80087,-1.58894,-1.08846,-2.20722,-0.998363,-2.02864,-0.972894,-0.0366328,-0.357995
-742.417,0.999217,0.0189944,7,255,0,755.853,-0.680154,-0.906101,-0.619601,-0.164472,-0.766353,-0.105178,-0.731884,-1.36083,-0.5159,0.100927,-0.607176,1.02478,1.40393,0.991297,1.01491,-0.780384,-1.06913,0.352943,-1.97321,-2.96196,-1.5124,-0.725687,4.91457,5.2233,0.976641,0.881324,0.777203,1.44855,0.303061,-0.609957,-0.981274,0.866182,0.617882,-2.02197,-0.694383,0.622457,0.0744524,-1.20292,0.98451,-0.873831,1.49958,1.12432,2.05285,0.798101,0.55551,0.648194,0.331058,-1.59218,-5.6889,-0.590412,0.496433,-1.24826,-0.53167,5.66503,-3.90517,-8.86109,1.27441,-1.85199,-0.607176,1.02478,1.40393,0.991297,1.01491,-0.780384,-1.06913,0.352943,0.665767,-0.321811,-0.675597,7.04904,-0.429655,0.998144
-738.872,0.999453,0.0178917,7,127,0,750.23,-0.871792,-0.770969,-0.771696,0.0942471,-0.351352,-0.810948,-0.597836,-1.12835,-0.0241861,0.663334,-0.328906,0.913703,1.52113,0.784948,0.978417,0.0286812,-0.126907,0.716831,-1.62472,-2.95837,-1.00517,-1.64046,5.20426,4.91399,-0.246008,-0.319068,0.583955,-0.388565,-0.688427,1.31732,-1.66216,-1.45087,-0.128492,-1.26116,-0.634613,0.468485,0.18913,0.619383,0.340429,-1.57425,-1.87744,-0.514459,-0.538656,-0.125439,-1.06463,1.98429,-0.534868,0.538572,0.382741,-0.0952325,1.2606,1.95591,0.880508,-1.7628,-4.7466,-1.76493,1.93075,-0.341381,-0.328906,0.913703,1.52113,0.784948,0.978417,0.0286812,-0.126907,0.716831,-0.876198,-0.607662,0.148145,-0.945469,0.232256,-0.834294
-741.467,0.993703,0.0173775,6,127,0,746.971,-0.878386,-1.27585,-1.20559,0.0129723,-0.182375,-0.871052,-0.446247,-1.5605,-0.344697,0.994957,-0.0243298,1.14896,1.91498,0.743527,0.905441,0.0375158,-0.200022,1.1295,-1.35339,-3.15224,-0.62839,-2.21444,4.80132,5.23371,-0.298782,0.918073,1.08886,0.746837,0.039186,-0.442968,-1.67478,0.460699,0.868933,-0.678099,-0.679374,-0.245668,-0.413321,0.269298,0.377777,-0.0105715,0.113888,-0.64267,-0.743361,0.284156,-0.412522,0.89881,0.773165,-0.600359,-18.3651,-1.34959,-0.680853,-6.27286,1.41391,-4.03624,-7.31085,-3.02164,-0.308443,0.18445,-0.0243298,1.14896,1.91498,0.743527,0.905441,0.0375158,-0.200022,1.1295,1.65857,0.38572,1.55416,-0.284328,-0.850796,1.20534
