# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1220920576
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_sigma.1,g_se,g_sp
-1011.92,0.666728,0.125,2,3,0,1068.52,1.24154,-1.01061,1.83428,0.982963,-1.42229,-0.29903,1.10321,0.0956311,1.32242,2.02158,-0.682533,2.51845,2.26309,-0.0322798,-0.867124,-0.907701,0.797347,1.26668,-1.07474,-0.823403,-0.0789224,-0.549769,0.551595,10.0903,-1.25796,-1.88012,1.83426,1.00623,-1.42504,-18.9903,1.14319,0.723401,1.32318,13.1501,-50.2316,-25.0918
-1011.92,0,5.46549,0,1,1,1015.95,1.24154,-1.01061,1.83428,0.982963,-1.42229,-0.29903,1.10321,0.0956311,1.32242,2.02158,-0.682533,2.51845,-0.579382,0.635504,-0.0314355,-0.621697,0.172109,-0.905394,0.672455,0.0548156,-0.807569,1.62048,1.2554,0.87962,-1.25796,-1.88012,1.83426,1.00623,-1.42504,-18.9903,1.14319,0.723401,1.32318,13.1501,-50.2316,-25.0918
-1011.92,0,0.433765,0,1,1,1015.8,1.24154,-1.01061,1.83428,0.982963,-1.42229,-0.29903,1.10321,0.0956311,1.32242,2.02158,-0.682533,2.51845,-0.151398,0.680065,0.952187,0.39841,-0.547043,1.21281,1.49808,0.2034,0.0326431,0.1213,0.196277,-1.44806,-1.25796,-1.88012,1.83426,1.00623,-1.42504,-18.9903,1.14319,0.723401,1.32318,13.1501,-50.2316,-25.0918
-950.101,0.97899,0.0201032,5,31,0,1022.4,1.71158,0.25929,1.51918,0.774256,-2.11154,-0.537233,0.238933,-0.26446,1.27101,1.20715,-0.606871,4.24175,0.854241,6.68431,-1.16654,-0.806243,-1.53552,-2.64206,-4.12176,-0.820526,-0.382161,-5.68531,-0.937774,6.06889,6.41415,2.90772,1.47053,1.85913,-3.01641,-3.44657,21.4629,-5.72794,1.36527,13.9062,-46.485,-3.77277
-881.395,0.981409,0.0121247,5,31,0,956.713,0.640725,-0.335055,1.47403,0.42214,-2.11578,-0.486633,-1.00248,-0.198993,1.12938,0.599074,0.317151,3.9118,5.23767,3.22023,0.399813,2.57704,-0.518894,1.77956,3.53643,-0.00508244,0.8887,6.21839,-7.11205,0.225913,-18.0325,5.98595,2.63928,18.7472,-4.08029,13.4597,-81.4532,3.97199,5.62262,90.4201,-46.4057,-3.9089
-833.638,0.999917,0.00859093,5,31,0,886.517,0.239655,-0.286159,1.48636,-0.0145943,-1.93683,-0.680217,-0.392262,0.00316644,0.878061,0.149164,0.724802,4.0754,6.94585,0.351718,0.264506,4.21252,-1.36754,2.16036,-2.49582,-0.668859,2.24398,3.08411,-2.86818,-1.89421,80.0752,6.58875,5.30549,15.7695,-2.70761,8.33603,41.8885,6.37523,10.1798,-9.39779,3.12609,-11.7294
-770.9,0.999975,0.00712099,6,63,0,841.857,-0.971198,-0.119037,1.2586,-0.140715,-1.71131,-0.545031,-0.427499,-0.604592,0.251019,-0.232999,1.47119,4.11245,2.36128,-0.751514,1.14478,1.31103,-1.21223,-0.577759,-2.23962,1.42905,3.10561,3.76794,-9.96436,-0.866516,-43.4809,-2.43131,-0.786133,2.35343,-2.35496,-1.86729,-23.8531,-8.79337,2.01995,14.3744,-46.6178,-3.218
-754.252,0.999997,0.00633361,5,31,0,772.822,-0.731223,-0.0997454,1.16017,-0.316056,-1.75918,-0.503121,-0.266127,-0.571843,0.216048,-0.286275,1.76155,4.20843,2.65669,0.185864,-0.886522,-1.71573,-0.293519,0.322186,1.81061,0.692446,-0.481332,-0.763461,4.49346,1.16842,18.4389,1.37452,1.44953,3.9571,-2.06238,2.85993,6.45265,-5.63405,3.86065,-0.675342,-24.4142,-7.33205
-742.477,0.999933,0.00591749,6,63,0,757.4,-1.02784,0.036182,1.16124,-0.151784,-1.79602,-0.469164,-0.123132,-0.514711,0.112535,-0.400738,2.16592,4.55563,-1.8742,0.615125,0.0599394,0.471289,0.036004,0.0268602,0.42196,0.905746,-0.746935,-0.536704,4.3741,2.17959,-12.7542,-0.232287,-1.83501,2.64257,-2.26315,0.142206,-2.78158,-6.58443,1.31223,-0.104758,-22.0915,-2.60224
-723.268,0.999984,0.00572541,8,255,0,751.19,-1.2208,-0.0346192,0.492339,-0.559492,-0.160966,-0.198298,0.13781,0.733792,-0.425289,-0.167695,5.58934,5.6397,-1.95541,-0.501737,-1.31132,0.267498,-2.65839,-0.358756,0.789093,0.212332,-0.716725,1.99622,-6.04226,-1.05203,-3.31907,-2.42514,-9.75884,-2.54093,1.30253,1.5025,7.81783,5.2002,-2.88718,0.79989,0.909741,2.38811
