# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=678216098
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_beta.20,p_beta.21,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_beta.20,g_beta.21,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4,g_se,g_sp
-1649.8,0.333333,0.125,1,3,1,2077.09,-0.0234721,1.58754,-0.385039,0.0988197,-1.73464,1.6652,1.33443,0.382542,-1.62642,1.85943,0.892222,1.63798,0.334073,0.00733545,-0.0198835,0.319431,1.13863,0.821369,-0.959712,-1.435,-1.29542,-1.4592,0.370569,-1.6905,1.5431,0.103433,-3.07954,2.85826,0.966035,-2.09347,-2.35192,5.3068,-0.886314,-0.9223,0.50347,-0.392802,-0.8378,0.305957,0.2455,0.569279,1.0909,-0.0433424,-0.34692,-1.17807,-1.33092,1.63275,-1.38647,-1.79673,-0.430589,0.400002,-1.34402,1.27323,2.52708,0.0547451,11.4129,-25.6833,4.34886,2.0165,-0.455398,22.0069,-0.270716,2.41691,4.08457,1.50744,1.19953,2.19157,1.01763,2.37199,0.406437,0.00733545,-0.0198835,0.319431,1.13863,0.821369,-0.959712,-1.435,-1.29542,-1.4592,1.71445,0.410898,5.70037,-1.35931,-370.66,23.1518
-1649.8,0,2.98107,0,1,1,1667.5,-0.0234721,1.58754,-0.385039,0.0988197,-1.73464,1.6652,1.33443,0.382542,-1.62642,1.85943,0.892222,1.63798,0.334073,0.00733545,-0.0198835,0.319431,1.13863,0.821369,-0.959712,-1.435,-1.29542,-1.4592,0.370569,-1.6905,1.5431,0.103433,-3.07954,2.85826,0.431848,-2.03549,0.0394235,0.735897,-1.58124,-0.429475,-0.0261476,-0.819054,-0.291785,-0.408873,0.915573,-1.34922,1.62655,-0.0739803,-1.19547,-2.28799,-1.30106,-0.259861,-0.400384,1.19226,-0.670112,-1.02261,-1.42859,-1.27804,0.469328,-1.17023,0.519172,2.13903,4.34886,2.0165,-0.455398,22.0069,-0.270716,2.41691,4.08457,1.50744,1.19953,2.19157,1.01763,2.37199,0.406437,0.00733545,-0.0198835,0.319431,1.13863,0.821369,-0.959712,-1.435,-1.29542,-1.4592,1.71445,0.410898,5.70037,-1.35931,-370.66,23.1518
-1649.8,0,0.197687,0,1,1,1660.46,-0.0234721,1.58754,-0.385039,0.0988197,-1.73464,1.6652,1.33443,0.382542,-1.62642,1.85943,0.892222,1.63798,0.334073,0.00733545,-0.0198835,0.319431,1.13863,0.821369,-0.959712,-1.435,-1.29542,-1.4592,0.370569,-1.6905,1.5431,0.103433,-3.07954,2.85826,1.93232,0.849076,0.372028,0.077513,0.367755,0.688579,0.847866,-0.322501,-1.11835,-1.63444,-0.658412,0.193423,1.60693,-0.165911,-1.92439,-0.127697,-0.260968,-0.585985,0.0163831,0.477635,0.00689549,1.75867,-0.407948,-0.00104896,0.37361,-0.003266,-0.179117,-0.700982,4.34886,2.0165,-0.455398,22.0069,-0.270716,2.41691,4.08457,1.50744,1.19953,2.19157,1.01763,2.37199,0.406437,0.00733545,-0.0198835,0.319431,1.13863,0.821369,-0.959712,-1.435,-1.29542,-1.4592,1.71445,0.410898,5.70037,-1.35931,-370.66,23.1518
-1021.35,0.999897,0.00826876,5,31,0,1659.19,0.1155,1.63758,-0.387827,0.296954,-1.60145,1.80324,1.37688,0.104498,-1.58062,1.87887,0.884245,1.79702,0.432661,-0.056672,-0.115673,0.548111,1.20704,0.912258,-1.07188,-1.24464,-1.14054,-1.63604,0.383333,-1.50514,1.58849,0.129466,-0.164307,2.71429,1.33504,0.246472,-0.0597803,3.06075,1.39762,0.872307,0.34841,-2.04692,0.697034,0.0295069,-0.127346,1.15603,0.708812,-0.481459,-0.718474,1.69721,0.438625,0.628563,-0.779325,1.52552,1.24963,-1.2322,-0.337682,1.57036,0.244265,-0.09867,35.2447,-0.195197,8.43986,3.79965,2.30825,42.4752,-4.03556,6.42053,5.99519,3.56243,2.2094,2.44263,1.68168,2.81798,1.2596,-0.056672,-0.115673,0.548111,1.20704,0.912258,-1.07188,-1.24464,-1.14054,-1.63604,12.4983,1.41446,18.8467,2.89482,101.201,-33.6748
-766.027,0.999289,0.00496507,8,511,0,1033.86,-0.707232,1.45916,-1.42245,-1.65056,0.257511,0.0378287,-0.990336,-0.70893,0.399009,1.47823,0.290382,0.513125,1.05247,-0.292042,-1.40923,0.866918,1.12277,1.26041,-0.195878,-0.73706,-0.984658,-0.577826,-2.80678,-1.41683,-1.73456,-1.73133,2.60093,6.52965,4.04775,1.41419,1.72182,3.58175,-2.96907,5.53127,4.51708,1.62135,-3.29868,0.864484,1.22381,2.02697,0.400445,0.264724,1.52527,-0.189139,0.535948,-0.0937946,-1.44637,-1.0622,-0.598781,-1.86986,6.92559,0.542909,8.05757,4.32311,-15.5018,-6.29756,36.8828,2.18077,-0.843714,2.27041,1.46154,3.6226,0.504395,1.07179,3.27657,0.722377,0.442631,4.65058,6.02991,-0.292042,-1.40923,0.866918,1.12277,1.26041,-0.195878,-0.73706,-0.984658,-0.577826,-0.533807,6.60412,-7.73343,-2.7829,-9.98414,4.40001
-748.249,1,0.00356925,9,511,0,774.156,-1.1935,0.979668,-1.28445,0.39321,-0.641221,0.0843499,-0.254076,0.170923,-0.210673,0.0523114,-1.101,0.642243,0.178546,-1.33616,-1.18654,-0.699712,1.17734,1.10887,0.0906426,-1.15059,-0.849845,-0.265915,-3.03205,-2.57307,-2.16292,-1.22396,6.87237,4.1538,-1.63212,1.39101,-0.691425,-2.93392,0.800846,0.486378,-1.79255,-0.0939297,0.914159,0.295122,0.85715,-0.603104,1.86737,0.294743,-1.0046,1.27748,0.69337,0.87654,-0.257526,-0.280942,-0.692345,-0.513676,-0.0325936,0.844967,0.253109,-0.779447,-4.36976,1.78143,11.4881,1.34821,-0.855003,1.17874,-0.354158,1.12761,0.856082,3.38678,0.613299,-2.27435,-1.03925,1.00584,0.782567,-1.33616,-1.18654,-0.699712,1.17734,1.10887,0.0906426,-1.15059,-0.849845,-0.265915,-1.25375,-0.582334,-0.626139,-0.736278,2.70354,-7.72756
-744.478,0.999974,0.00288999,10,1023,0,764.383,-1.07504,-0.800723,-0.670651,0.403421,0.449991,0.784126,0.731925,-2.64972,0.193864,2.32317,-0.603113,-0.836577,-0.736657,0.233341,-0.706176,1.03376,-0.11208,1.10548,1.12662,-0.241412,0.889188,-0.89349,-0.696983,-0.819647,-1.09094,-3.22312,5.32499,6.35732,-1.41356,1.30546,1.03823,1.45508,-0.86449,-1.93076,-0.063171,-0.771722,0.518962,-1.0318,-1.96858,0.580949,0.220144,-1.36202,-1.1287,-0.79389,1.19185,1.01541,-0.00866474,-1.13373,-0.93182,-0.187915,1.75882,-1.51344,-0.225768,1.15956,2.4286,1.07967,12.1699,-3.53613,2.43398,-0.890294,2.39459,10.3276,3.86565,-3.96978,0.418706,2.20924,-1.51757,-0.144437,4.40676,0.233341,-0.706176,1.03376,-0.11208,1.10548,1.12662,-0.241412,0.889188,-0.89349,11.3736,-4.92737,1.97116,-1.40447,0.551859,4.22614
-734.724,0.999884,0.00253228,10,1023,0,753.382,-1.08679,-0.482073,-3.04899,-0.406531,0.0465831,-0.138042,-0.0550299,0.302863,-0.442519,0.655233,-0.106012,0.600098,-0.00406133,0.552386,-0.50594,-0.415294,0.516567,-0.699559,-0.128271,1.11894,-0.352556,2.49778,0.170835,-1.38808,-1.40691,-0.840779,5.43588,5.30341,0.692531,0.151328,0.0710991,0.258318,-2.25015,-0.194461,0.138288,0.769418,-0.358508,2.60865,0.888219,-1.80591,1.02246,0.422437,-0.904134,0.952395,0.0481459,0.93645,1.14208,0.105723,0.820699,-0.136418,0.270591,0.645495,0.305464,-2.28375,1.13112,-2.67057,-22.5803,-5.66009,-2.62571,-22.6256,5.84442,-5.38419,-10.2555,8.19854,-8.23171,-3.62894,0.661138,-4.71037,-0.0573496,0.552386,-0.50594,-0.415294,0.516567,-0.699559,-0.128271,1.11894,-0.352556,2.49778,10.9699,-3.93703,1.51859,1.11767,0.545021,1.56153
-734.684,0.99999,0.00234422,11,2047,0,746.437,-1.44195,0.180535,-0.350558,0.853474,0.519703,0.35784,0.808793,-0.514181,-0.126015,2.89983,0.299295,-0.49431,-0.481171,-0.184964,0.855077,-0.46493,-1.00673,0.217635,0.824695,1.0564,0.594328,-1.02104,-0.921405,-0.477084,-1.22755,-3.00458,4.76394,4.83124,-0.865695,-0.70796,1.24674,0.0463687,1.83901,-0.14511,-0.335614,-1.26718,0.329861,0.521557,-0.921459,0.814013,-0.387288,0.54407,-0.0221699,-0.828477,-0.0702094,-0.700561,0.416535,2.09589,-0.016502,2.33194,0.650069,-0.767148,-0.667783,0.517792,0.133349,-0.556363,-24.017,0.171969,2.06744,-7.55739,-0.410695,-2.5304,-4.08015,-0.760856,-1.00912,2.11527,0.205178,-13.8822,-1.10318,-0.184964,0.855077,-0.46493,-1.00673,0.217635,0.824695,1.0564,0.594328,-1.02104,-9.70763,6.53765,-6.061,-2.05484,-1.01793,-0.623162
-739.556,0.99999,0.00225841,11,2047,0,755.315,-1.64601,-0.77354,-2.25937,0.706362,0.0834422,0.56348,0.396973,-0.831354,-0.906698,1.80029,-1.41664,-0.41513,-0.227119,-0.244669,-0.393992,-0.951319,1.44427,-0.807016,-1.19929,-1.51993,0.34339,-1.24222,-1.10634,-1.03919,-0.327972,-1.02347,5.21792,5.17606,-1.01206,-0.834567,-2.63921,0.0229288,0.0721327,-1.46716,0.0137283,-1.05557,-1.92942,-1.03256,0.342156,0.603208,0.206652,0.454511,-0.789023,1.43183,0.085444,0.407241,-0.0560816,-0.0858753,-1.07948,2.41572,-0.0979674,-0.843879,-0.521673,0.246236,1.37581,-1.11168,-24.3304,-1.92873,-0.886101,-15.7512,-1.65372,3.37963,-2.1619,-6.07246,-8.10802,0.703272,-2.15408,-10.2277,1.56103,-0.244669,-0.393992,-0.951319,1.44427,-0.807016,-1.19929,-1.51993,0.34339,-1.24222,-5.35281,3.02109,-11.2068,11.5185,0.103329,1.28902
