# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=896279109
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_sigma.1,g_se,g_sp
-1004.89,0.4,0.125,2,5,1,1315.44,0.765811,0.882348,1.76781,1.68248,0.461642,1.02606,0.404111,1.79762,-0.863003,2.66909,1.37098,-0.138469,0.582956,-0.490933,0.812794,-0.382478,-3.81312,-0.760617,-2.40767,-24.4314,0.790327,1.00823,1.76946,1.68311,2.2171,1.16579,-1.47126,5.34621,-71.1278,-40.4708
-1004.89,0,3.36522,0,1,1,1009.4,0.765811,0.882348,1.76781,1.68248,0.461642,1.02606,0.404111,1.79762,-0.863003,2.66909,-0.492306,-0.205923,-0.701069,1.63421,-0.458739,0.154524,0.578669,0.894726,2.04509,0.139177,0.790327,1.00823,1.76946,1.68311,2.2171,1.16579,-1.47126,5.34621,-71.1278,-40.4708
-1004.89,0,0.231324,0,1,1,1010.42,0.765811,0.882348,1.76781,1.68248,0.461642,1.02606,0.404111,1.79762,-0.863003,2.66909,0.332467,-0.860836,-0.453341,-0.0164271,0.978745,-0.953404,0.0840528,-1.85191,-2.12034,-0.459284,0.790327,1.00823,1.76946,1.68311,2.2171,1.16579,-1.47126,5.34621,-71.1278,-40.4708
-983.243,0.998388,0.00987623,5,31,0,1010.52,0.68068,0.652367,1.68218,1.53642,0.474714,1.16428,0.590184,1.84521,-0.469148,3.2777,-0.658543,-1.55886,-0.677563,-1.04994,-0.198943,0.777157,1.0309,-0.339626,3.24682,6.14481,2.24582,1.9123,1.68714,1.53889,5.51052,1.30815,4.04957,10.7633,56.1764,-21.5061
-952.839,0.99964,0.00598102,7,255,0,988.366,0.638583,0.523357,1.69681,0.839471,1.08843,1.02664,0.0442361,0.594242,-0.574775,5.9251,0.232645,1.19404,0.582843,1.75824,-0.403889,1.22533,-0.520518,5.28259,-2.51847,-5.47349,-0.724146,4.28553,4.08547,2.55569,4.11681,7.75908,-20.0524,17.5934,-44.8501,3.23616
-952.76,0.999891,0.00433909,5,31,0,954.108,0.64386,0.531834,1.67074,0.859691,1.08864,1.01635,0.0466517,0.610319,-0.568132,5.94804,-0.135929,-0.0753416,0.642894,-0.363341,0.0925047,0.39938,-0.54069,0.079097,-1.22386,-0.402193,-0.339326,4.39002,4.11309,2.54898,4.133,7.88689,-19.6681,17.8031,-42.2069,3.29282
-948.967,0.999514,0.0035307,8,255,0,963.421,1.01316,0.246445,1.55784,1.15866,0.953343,0.972215,0.280899,0.41117,-0.356545,6.16999,1.58945,-2.34762,-1.12682,1.88962,-1.28388,-0.946003,1.6667,-2.87695,0.898461,1.27446,20.0128,5.46189,5.52327,2.45276,5.34356,9.77127,5.27912,23.6148,31.4475,3.70404
-793.799,0.999578,0.00309953,8,255,0,958.036,-0.911145,0.249162,1.06825,-0.103439,1.32361,-1.06832,0.0737486,-1.75851,1.0663,6.06941,-10.8918,-0.59323,-2.6685,-2.98433,-0.283109,-5.15121,-0.140906,-7.4782,10.4745,-1.0914,-29.315,0.393012,2.55446,0.160739,1.88021,-2.72524,-5.6142,2.85583,-58.8741,3.9053
-779.228,0.999999,0.00287219,7,127,0,797.632,-0.860981,0.167998,1.02862,0.0335347,1.31136,-1.02078,0.200843,-1.72721,1.32842,6.0577,-1.24346,1.0296,0.616056,-1.6891,0.241333,-0.681406,-1.7727,-0.26765,-5.21015,0.295754,-3.07447,0.638193,3.51762,0.477173,2.50245,-1.7847,-4.02266,3.32537,-40.6282,3.58929
-755.894,0.999997,0.00276985,9,511,0,788.243,-1.34143,-1.62204,-2.55401,-1.54493,0.60776,0.71598,2.58054,-2.10856,10.5669,4.50333,-1.84705,0.499367,1.5277,0.692172,2.33819,-0.965142,-1.77843,1.51396,-6.58873,1.72022,-22.4225,-1.92326,-3.51056,-1.46721,0.634651,0.96513,0.925042,-2.14443,6.56156,-2.50964
-754.484,0.999978,0.00274718,9,1023,0,760.906,-1.17302,-1.52634,-2.30512,-0.990201,0.85923,0.46154,2.69019,-1.93301,10.2991,4.17935,-0.805912,0.577584,1.30944,2.15062,0.719305,-1.16442,-0.00337363,0.33688,-1.85727,-0.290405,22.6787,-1.54339,-2.64713,-0.69483,1.77426,1.97962,3.7724,4.06484,6.29416,-7.92476
-750.568,0.999999,0.00278143,9,1023,0,760.943,-1.18857,-0.916943,-1.92905,-0.660643,0.432019,0.820144,3.21935,-2.22236,10.2819,5.00731,-1.35115,-1.90311,-1.51329,-1.01537,1.30229,-0.773038,-1.04009,0.475125,1.20454,-2.63264,14.4136,-0.819697,-1.94357,-0.420231,0.75617,1.82207,3.26068,-0.0168103,6.27641,-0.737882
-752.381,0.998829,0.00285981,6,63,0,755.698,-1.08997,-0.85749,-1.9301,-0.701922,0.39623,0.778754,3.16264,-2.25853,10.2355,5.00025,2.15397,-0.487326,-0.0833628,0.290407,0.344436,0.481349,0.716757,0.464467,0.764067,-0.0424515,35.8746,-0.572812,-1.51198,-0.39813,0.977346,2.2816,3.93504,1.68354,6.23085,-1.29105
-737.038,0.99999,0.00296326,9,1023,0,758.327,-1.2829,-0.803955,-0.552932,-1.29375,-0.549738,2.12496,2.58132,-1.88003,7.29592,5.47917,-2.3056,0.523774,2.13251,-0.201316,-0.830263,-0.202302,-1.74844,-0.417054,-5.33149,-0.121553,7.96638,-0.981927,-0.473696,-1.18374,-1.00799,4.68872,1.87584,2.98826,3.18278,1.65131
-731.036,0.999918,0.00310801,10,1023,0,743.464,-1.16009,0.099861,-0.215143,-0.508363,2.17565,-0.516366,1.08393,-1.86782,5.28249,4.90392,0.389258,-0.725311,-0.140885,-1.14644,0.343226,3.43078,0.134579,-0.778564,3.07515,-0.93628,13.4561,0.602768,1.00412,-0.147543,4.0356,-0.258994,-0.858757,0.566898,0.473697,-1.31267
-731.951,0.999999,0.0032797,10,1023,0,735.592,-0.99469,-0.980962,-1.62174,-1.0094,-2.84526,-0.494247,0.933629,-1.61302,4.92785,5.13825,0.758179,0.456149,-0.203409,-0.540805,0.807273,-2.07033,0.758024,0.642955,0.30606,0.383518,9.92228,-0.519375,-1.13666,-0.495246,-4.2879,1.27873,1.31807,1.02815,-0.255134,0.155212
-733.027,0.999417,0.00347781,10,1023,0,739.547,-1.34917,-0.136741,-0.785575,-1.4218,1.9321,-0.750315,1.1637,-1.64255,5.42132,4.54309,0.377022,0.548265,3.02361,1.4576,0.599354,0.246117,0.476125,-0.392574,-0.488362,-0.538544,-27.6377,-0.18986,-1.41955,-1.40709,3.44243,-2.53733,-2.97368,-0.877851,0.481493,-1.94729
-731.299,0.999856,0.00369364,6,63,0,734.749,-1.27735,-0.135323,-0.787609,-1.45037,1.87261,-0.667652,1.17622,-1.63449,5.55364,4.54041,2.15046,0.0211394,0.0691598,-0.138239,-0.689964,0.804063,0.275826,0.123784,1.01209,0.111062,-12.2364,0.0297551,-0.941211,-1.36721,3.76037,-1.73196,-1.87945,-0.175457,0.805426,-2.77039
-728.727,0.999439,0.00393742,9,511,0,735.712,-1.21431,-0.528262,-1.00298,0.199053,-1.51344,-0.184251,1.14642,-1.21677,4.82994,5.6141,1.43494,0.306642,-0.690637,-1.30601,2.7407,-0.464208,0.998838,0.362461,0.658196,-0.585886,-19.3328,-0.768667,-2.55653,1.03297,-4.36219,-0.428271,-0.167215,3.99775,-0.775276,2.62054
-726.794,0.999577,0.00419865,9,511,0,733.091,-1.06774,-0.639711,-1.46265,-0.836514,0.465393,-0.727123,0.450865,-1.24933,5.59836,4.89258,2.01089,0.087651,0.715629,-0.852938,1.21686,-0.659333,1.04347,1.34727,0.226946,-1.56006,-0.419724,-0.21561,-2.43601,-0.296744,2.9806,-0.737192,-1.859,0.123993,0.938201,-0.942711
-729.623,0.999321,0.00448351,9,511,0,733.407,-1.12646,0.209554,0.199154,0.197312,0.641879,-0.559269,2.16196,-2.33744,4.60904,5.20175,1.1856,0.239012,0.921052,0.0269376,-1.9738,0.607057,-0.961997,0.12752,-0.0293247,0.223811,17.7121,0.566808,1.26544,0.505069,1.08704,-0.176078,1.42163,-2.08461,-0.923222,0.198384
-728.865,0.999993,0.00478654,9,511,0,736.44,-1.16063,-0.224419,-1.04392,-0.625985,-1.35004,-0.72339,1.21306,-1.81519,4.57953,5.94199,-0.758553,0.61987,0.961535,0.809249,0.979113,-1.1958,2.44856,1.32368,-0.942727,1.25916,-13.8568,0.0864079,-0.849781,-0.29888,-1.96888,-0.997154,-0.793417,-2.71484,-1.42527,3.36664
-727.06,0.999977,0.00512093,8,511,0,733.171,-1.06635,-0.409518,-1.48109,-0.435927,-1.42152,-0.840779,0.694053,-1.55751,4.86694,5.47321,0.698835,0.658313,1.30718,-0.607379,-0.0340176,0.357406,1.70202,-1.27421,-1.03931,1.8689,-6.25149,0.190645,-1.53213,0.155991,-2.09138,-0.714389,-0.99581,-1.54444,-0.56389,1.83483
-727.231,0.999875,0.00547751,9,511,0,731.196,-1.21225,-1.01204,-0.0360443,0.211151,-0.38025,-0.397199,2.07624,-2.00785,5.19736,5.07743,0.826801,-0.0351101,-1.13553,-0.186307,-1.73992,-1.00007,0.00870459,0.211302,-0.297687,1.32667,-0.587274,-1.04006,0.861156,0.57244,-0.432238,-0.385203,0.969677,-3.07591,0.207504,-0.00792378
-729.618,0.999646,0.0058549,8,255,0,731.226,-1.258,-1.02926,-0.781977,0.48809,1.0521,0.373631,1.03252,-0.922054,4.92314,4.84798,-0.275905,-0.994689,0.189272,0.307841,-0.489561,-0.32318,1.0735,-0.623752,0.214081,-0.295905,10.5825,-2.83899,-3.26887,1.91564,5.6201,3.7112,0.705014,9.61671,-0.243944,-1.35399
-725.966,0.999909,0.00625067,7,127,0,732.655,-1.21661,-0.995607,-0.878489,-0.073462,0.310819,0.350653,1.42711,-1.58241,4.77377,5.02192,-0.830083,0.689229,0.625123,-1.26599,-1.987,-0.778058,0.556901,-2.26183,-0.104597,0.480148,0.181708,-1.27222,-0.987042,0.405861,0.801261,1.62119,-0.140694,-2.09845,-0.723117,-0.297119
-725.857,0.999904,0.00667353,8,511,0,728.673,-1.21329,-0.336746,-0.711122,0.915856,0.445384,-0.242355,1.34637,-1.41371,4.96383,4.89058,0.389345,1.23797,1.23612,0.394399,-0.475586,-0.693618,-0.749731,-0.853689,0.439511,0.271905,3.42278,-0.167906,-0.682006,1.92626,1.37164,-0.253013,0.350085,-0.835176,-0.243284,-1.11115
-729.284,0.999607,0.00711914,8,511,0,734.06,-1.20412,-0.283727,-1.46673,0.561438,-0.267128,-0.495041,1.77743,-1.48426,6.02416,4.34694,-0.0641267,0.154246,-0.426121,-1.13438,-1.28349,0.00575647,-0.300942,-1.96723,1.55335,0.187307,4.93815,0.0776686,-2.35502,1.38733,-0.17156,-0.646483,2.92658,2.98268,1.61219,-5.14754
-729.838,0.999905,0.00758148,8,511,0,735.004,-1.34263,-0.145162,-0.859992,0.901736,-0.275983,-0.241838,1.90877,-1.21419,6.02027,4.34368,-0.0287634,0.54343,2.66426,1.04221,0.0955511,1.17149,-0.0212231,0.173613,-0.226563,0.621723,-4.89225,-0.208316,-2.60782,1.98835,-1.24187,-1.76033,4.06346,6.53568,1.57864,-4.45635
-731.048,0.999159,0.00807295,7,127,0,734.182,-1.20269,0.522196,-0.466937,0.992506,-0.301518,-0.0538656,1.47554,-2.52756,6.32601,5.5261,0.0274636,0.401558,0.710222,-0.67851,0.222869,0.299401,-1.04256,-1.13493,-0.630225,1.49312,-7.07749,0.74815,-0.0226341,1.24206,-0.269116,0.171621,-0.171283,-3.21379,1.98953,2.02071
-730.576,0.999291,0.00857023,8,255,0,733.776,-1.1951,-0.0866769,-0.535278,0.969298,-0.423362,-0.0825086,1.16582,-2.50123,5.81653,5.77733,-0.819341,-1.50248,-0.183086,-0.327231,-0.231396,-0.151012,-0.701273,0.651617,-1.52843,0.0399623,-9.8121,0.0790661,-0.0933075,1.22772,-0.407973,0.148507,-0.653174,-3.06466,1.24665,2.86424
-728.075,0.999948,0.00909242,8,383,0,734.272,-1.08796,-1.11346,-2.00392,0.0930803,-0.926139,-0.719583,0.987818,-1.51653,5.8893,4.9814,-0.853808,0.879578,0.978188,1.39935,0.220146,0.700831,0.000916579,-2.23197,0.587272,1.45254,-4.34575,-1.08234,-3.07972,0.882034,-1.12732,-0.413862,0.424006,0.823454,1.38122,-0.316888
-730.936,0.999486,0.00965373,8,255,0,732.722,-1.05956,-1.18055,-1.43004,-0.219187,-2.46943,-0.636832,0.430319,-1.63663,5.55272,5.45028,-0.0885694,0.374557,1.35353,-0.645896,-0.375943,-0.16137,-0.342346,0.257291,-0.905625,-0.0699964,-10.739,-1.05995,-1.13198,0.416852,-3.82268,0.137128,-1.92904,0.320206,0.807684,1.85661
-728.636,0.995504,0.0102263,8,511,0,735.041,-1.2803,-0.725471,-0.88164,0.904447,-0.336097,-0.835431,1.53739,-1.86327,4.90337,4.7951,-1.15186,0.922545,0.915468,-0.122514,2.96268,0.261613,0.374137,0.150974,-0.606071,-0.636116,-24.5067,-0.845155,-1.02109,1.37477,-0.627986,-1.82149,-0.999772,-3.18839,-0.649104,-0.709545
-726.389,0.999693,0.010708,7,191,0,731.249,-1.4107,0.226801,0.0213808,0.946113,0.312857,-0.0598296,0.870652,-0.767965,5.07168,5.10432,-0.426145,-0.944267,-0.723819,1.0777,-0.501804,-1.67178,0.176523,-1.82421,-0.280763,-0.691193,-20.2315,0.430486,-0.286612,2.93458,0.0876504,-3.83616,-5.74399,-4.2187,-0.203999,0.689997
-726.745,0.996754,0.0113267,8,255,0,729.835,-0.982639,-0.915918,-0.787681,-2.17556,-0.529384,-0.799853,0.714279,-1.1471,5.37504,5.19228,1.6134,-0.297831,-0.125471,0.637514,-0.26633,0.760466,0.977598,-0.903162,0.782661,-0.18586,16.3001,-0.61268,1.10733,-2.28733,0.254835,-0.33911,2.87111,-1.45278,0.654807,0.229033
-725.995,0.998743,0.0118774,8,255,0,730.869,-1.32616,0.363593,0.204985,0.236198,0.542398,0.203502,1.47006,-0.887986,4.24342,5.17651,-0.608144,-0.424255,0.430604,0.997204,-2.08973,-0.671227,-0.500253,0.766355,1.51825,0.239911,20.9146,1.3395,2.29444,1.17169,1.94379,0.428647,4.99435,6.40242,-1.86952,0.0415718
-727.662,0.999907,0.0125078,8,255,0,730.785,-0.930136,-0.254726,-0.99434,-1.68319,-0.940241,-0.958179,0.710657,-0.857688,5.19421,5.25274,-0.50012,-0.277209,0.25039,-0.0126006,1.16004,0.0805289,-0.516321,-0.293389,-1.96181,0.55119,17.3242,1.88368,-0.538349,-1.77362,-1.83538,-2.48782,8.37389,6.33149,0.358529,0.619058
-723.872,0.997352,0.0131982,6,127,0,734.243,-1.09724,-0.36532,-0.709089,-1.1254,-0.154508,-0.414862,0.7839,-0.993117,4.61692,5.27873,1.31871,-0.313614,1.25796,1.7594,2.31111,2.15632,-0.408977,-1.4745,-1.36398,-0.181061,5.36179,0.185595,-0.512661,-0.947802,0.636802,-0.308657,1.354,-0.889417,-1.06027,0.842759
-731.09,0.99061,0.0138223,7,127,0,732.579,-1.12403,-0.690532,-0.200442,-1.23768,-0.788303,-0.47056,0.388097,-0.661745,3.69317,6.04158,-0.939158,0.310566,-0.270089,-0.194375,0.487782,-0.454586,0.830908,-0.204048,0.647553,-0.540961,-25.6472,-2.16362,2.14922,-1.77356,-4.68248,-4.01188,-5.16982,3.30462,-5.44997,3.78299
-729.203,0.999935,0.0142185,8,255,0,736.104,-0.967093,-1.35171,-1.58587,0.268401,-0.763483,-0.955613,-0.00901931,-0.853292,4.88911,4.77811,0.726322,0.103445,1.5183,-1.21813,-0.455641,0.483574,0.21701,0.221383,-2.30107,1.90815,-23.4821,-2.58551,-5.20176,2.51757,-1.15178,-2.96071,-4.60673,9.6858,-0.667234,-0.652487
-726.447,0.999862,0.0149632,7,127,0,733.261,-1.05424,0.111508,-1.57184,-0.883293,-0.179316,-0.751178,0.418594,-1.40634,5.30336,4.87219,1.93307,-1.69357,-0.960316,1.77708,-0.422671,-0.265413,-1.27569,0.294159,-0.496718,-0.855861,1.41996,1.43565,-1.99302,-0.363166,0.820572,-0.30955,-1.83974,-1.86106,0.426906,-1.16191
-726.899,0.999855,0.0157289,7,255,0,729.295,-1.15351,-0.768765,-0.292008,0.634194,-1.14745,-0.387054,1.19622,-1.61392,5.33375,5.37751,-0.308217,-0.766895,1.35107,0.211304,0.596323,0.997303,0.10501,-0.185713,-0.466322,0.79112,0.666427,-0.700345,1.03996,1.39856,-1.82881,-0.0804998,-0.231373,-1.80222,0.478899,1.34247
-724.678,0.999737,0.016518,7,127,0,728.179,-1.14675,-0.825769,-0.617434,-0.59473,-0.891036,-0.234986,0.883913,-1.13439,5.39632,4.80526,0.225802,-0.5926,0.800675,1.50358,-1.75086,0.135871,0.575112,-0.297061,0.29442,0.329205,-1.58765,-1.15226,-0.00216713,-0.0506362,-2.21427,0.650001,0.347495,-0.615303,0.581197,-1.45097
-724.692,0.999452,0.0173259,7,127,0,727.428,-1.12778,-0.617608,-0.684514,-0.841103,0.298127,-0.420357,0.63004,-0.954167,5.29857,4.60851,-0.0384925,-0.790445,-0.405309,0.215687,-1.50778,-0.106178,1.15081,0.475689,0.319852,-0.834848,3.52025,-0.688916,-0.502044,-0.446833,2.86033,-0.505128,-0.562721,-0.979342,0.433585,-3.00637
-729.48,0.994205,0.0181446,7,127,0,732.259,-1.11268,-0.689693,-0.915175,0.915375,-1.33467,-0.513153,0.946574,-1.11826,4.82785,5.92062,-0.646371,-0.361694,-0.308626,-0.177358,0.108871,1.2323,-1.59041,0.791041,0.227994,0.379812,-5.49129,-0.812078,-1.51084,2.7182,-3.78051,-1.04454,1.40788,5.58037,-0.632314,3.28556
-729.662,0.988077,0.0187458,8,255,0,734.715,-1.05436,-0.863634,-1.03349,-0.11664,-0.441411,-0.851629,-0.304475,-1.3794,4.43885,5.58964,-0.814606,-0.140248,-0.268327,-2.00829,1.47617,-0.581706,-0.643339,0.488556,-0.082518,-1.46284,-19.6248,-0.687492,-0.541608,0.716013,-0.0298882,-1.11277,-6.63024,0.460913,-1.95052,2.4538
-728.665,0.996199,0.0190708,6,63,0,733.717,-0.969026,-0.957152,-1.36549,-0.142347,-0.530415,-1.25383,1.16296,-1.32587,4.8466,4.66741,0.204156,-0.0320074,0.303982,0.265624,0.174459,0.17481,-2.59221,-0.282732,-0.986116,1.43675,26.0822,-0.431758,-0.70467,0.933068,0.485337,-1.55,5.3658,2.42758,-0.250204,-3.25056
-729.589,0.995532,0.0197729,7,127,0,732.926,-1.19207,-0.801672,-0.530431,0.290017,-0.29606,-0.289263,-0.00234565,-1.1357,5.86142,5.29581,0.495521,0.544511,0.439169,-0.278678,0.0652625,0.788173,1.20892,1.43001,0.413327,1.24828,-29.2972,-1.37894,-0.287222,1.35602,-0.628932,-0.605036,-9.11295,0.175392,1.24655,1.67241
-724.886,0.999537,0.0204541,7,127,0,731.295,-1.0266,-0.6737,-0.765446,-0.604248,-0.144141,-0.337447,0.573376,-0.936617,6.09974,5.13081,-1.5779,-0.456536,0.419889,1.72811,-0.0915303,0.347632,-2.30717,-1.11851,0.0526818,0.500427,17.5531,-0.379619,0.155784,0.241165,1.59262,1.90913,1.81164,-2.32061,1.75251,-0.138062
-727.557,0.999756,0.0213453,6,63,0,729.922,-1.2139,-0.514228,-1.18092,-0.564283,-0.0610317,-0.0716861,1.40953,-1.32942,6.73071,4.67102,-1.27904,0.462837,-0.167191,0.0963221,0.0453106,0.293878,1.11305,-1.01556,0.561307,-0.412321,0.702946,-0.492145,-2.30943,-0.14428,0.185659,0.640495,1.64433,0.613801,2.51954,-2.38895
-727.937,0.993838,0.0222696,6,127,0,731.131,-1.18112,-0.35068,-1.25602,0.339009,0.677492,0.401467,1.08408,-1.60457,5.8155,5.48047,-0.868724,-0.31531,-0.813983,-0.811345,-0.334283,0.185192,-0.0642719,-0.254611,1.87708,-0.688588,3.91352,-0.0985184,-1.67944,0.980962,1.74373,2.10865,-1.13613,-1.13713,1.29984,1.6912
-728,0.998577,0.0228991,7,127,0,729.652,-1.20264,-0.596898,-1.1858,0.327644,0.666743,0.406889,0.987145,-1.62424,5.61252,5.56695,0.487846,1.15827,-0.495034,0.155307,0.231886,0.196856,0.330985,-0.0358838,1.09746,-0.220745,-3.61203,-0.57978,-1.641,0.917328,1.55449,1.81933,-1.93944,-1.80253,0.944727,2.12256
-730.53,0.999786,0.0237924,7,127,0,734.253,-1.14073,-1.25323,-1.81825,-1.78231,0.989598,-0.853603,1.57076,-1.85297,5.04138,4.63391,0.294823,-0.446841,-1.23453,0.742611,1.60156,1.06613,-0.613501,-0.644556,0.767216,-0.0303461,2.9687,-1.22132,-1.95873,-1.5947,2.14147,-0.7963,0.926785,-0.882723,-0.0797727,-2.78635
-727.018,0.996177,0.0247722,7,127,0,735.189,-1.17906,-0.275377,0.157968,0.981417,-0.722589,-0.126459,1.2433,-1.35785,4.98184,5.3677,-0.297222,1.3029,1.17519,1.08176,-1.37186,1.07608,-0.599865,1.904,2.07554,-0.819415,11.0241,0.0419026,2.66104,2.16916,-1.51355,0.487694,0.55082,0.363825,-0.133293,1.12441
-729.051,0.966884,0.0255629,4,31,0,730.862,-1.14433,-0.417723,0.305897,1.32329,-0.722472,-0.0644615,1.3486,-1.42848,4.95256,5.46546,1.43022,-0.431956,0.264471,0.901582,0.277006,0.299114,0.572118,-0.0372722,-0.0526926,0.0906685,21.6592,-0.108714,3.34209,2.62633,-1.2025,1.13217,1.44914,2.16891,-0.0911082,1.36208
