# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=744051095
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4,g_se,g_sp
-737.811,0.997763,0.0063409,9,511,0,753.947,-0.56174,-1.25728,1.29567,-1.42688,-1.66262,-0.978995,-1.67385,-0.938082,-0.335047,1.14712,1.18291,-0.706214,-0.796304,0.0705121,0.728369,1.25809,-1.63897,-1.05636,0.939391,-0.823354,-1.38027,-1.91101,-1.1906,-2.0494,5.20318,4.79215,-2.06553,-0.942329,-0.40002,1.0693,-1.01446,-1.18968,0.0859958,-0.919073,0.25585,-1.42125,1.354,1.09437,0.264013,-0.580272,1.43618,0.350693,-0.919335,0.647496,1.52804,-2.48857,-1.70416,-0.0332272,0.0517421,-0.718162,-0.939867,0.842053,-16.38,-1.94425,-0.796216,-6.34746,-0.945811,1.11764,-5.98369,-2.29796,0.183909,-2.47553,1.6769,-0.706214,-0.796304,0.0705121,0.728369,1.25809,-1.63897,-1.05636,0.939391,-0.823354,0.93761,-3.51866,6.47191,-0.384005,0.0960127,-1.04514
-739.641,0.999577,0.00636915,9,511,0,754.157,-0.365336,-0.415027,-0.0479528,-0.839839,-1.39787,-0.80125,-1.10792,-0.363671,-0.992355,1.66089,-0.408792,0.774878,-0.318078,-0.0295072,0.673383,3.61875,1.43795,1.54153,1.00654,1.30109,-0.252172,-1.95173,-2.21833,-1.52481,4.99032,5.49907,0.285282,-0.269198,-0.258517,1.35436,0.949295,2.50929,0.305723,-0.0291161,1.62207,-1.21986,-1.24199,0.872953,0.748851,-0.0777044,-0.609406,-0.567451,1.95474,1.38133,-0.758684,1.09632,-1.13673,0.318413,-0.109283,-1.24594,-0.115774,1.23398,11.2522,4.45162,-4.57023,4.98739,-0.323739,8.05592,-8.33694,3.73124,-0.954013,3.20121,-0.485525,0.774878,-0.318078,-0.0295072,0.673383,3.61875,1.43795,1.54153,1.00654,1.30109,-6.3718,2.04133,-2.05622,-2.59134,-0.116087,1.68756
-740.928,0.997179,0.00652365,9,511,0,750.37,-1.71024,0.0135882,1.5435,0.965587,-0.336565,0.0188528,-0.0714416,0.306187,-0.243174,0.924151,0.0140995,-0.86529,0.496931,0.0661907,-0.372861,-3.59316,-1.57889,-1.43007,-1.29655,-1.27304,-0.828743,-1.47633,-0.765962,-0.986421,5.17867,5.50716,0.24721,1.76613,1.27499,0.605104,0.107429,-0.55614,0.740979,0.479003,0.385304,-0.840541,-0.730219,-0.449061,0.99388,0.206954,1.77494,0.460508,-0.680075,0.770539,-1.56893,0.273222,-0.276041,-1.60636,0.336913,-0.425194,0.106243,0.274188,19.8598,-0.0333609,-1.00887,18.8319,0.277233,4.17914,4.16933,4.06921,0.16894,4.3431,0.55503,-0.86529,0.496931,0.0661907,-0.372861,-3.59316,-1.57889,-1.43007,-1.29655,-1.27304,0.779769,3.29061,10.8159,-0.284071,0.337487,1.58424
-731.206,0.998777,0.00670027,9,511,0,753.408,-1.3531,0.0529377,1.52758,-0.447831,-1.07556,-0.959378,-0.469963,0.108416,-0.584217,0.886258,0.481261,0.0695328,0.431601,1.52983,0.246169,1.99867,-0.220315,-0.715473,-0.63395,-0.145415,-1.14498,-0.736681,-1.29408,-1.97226,4.71645,4.44154,-0.962794,-1.07306,0.970411,0.596194,-1.14829,-0.806175,-1.84497,-2.32397,-1.27415,-0.499751,-0.440167,0.866665,-0.58254,-0.342438,0.334562,3.29129,1.64385,1.58171,1.43139,1.31963,1.5536,-0.412308,-0.300843,-1.56799,1.21075,-0.665974,-19.0804,-0.138582,-1.49891,-4.08007,-0.483648,-1.99407,-3.25618,-0.948309,-1.42553,-6.86607,-1.24313,0.0695328,0.431601,1.52983,0.246169,1.99867,-0.220315,-0.715473,-0.63395,-0.145415,-5.3559,-7.34377,1.53051,-0.285376,-1.10838,-3.40764
-735.426,0.999759,0.00696975,8,255,0,748.044,-1.07123,0.247122,1.39233,-1.00178,-0.770848,-0.862788,-0.374188,0.226036,-0.169437,0.881764,0.400962,-0.379922,0.370932,1.80831,0.626394,2.39057,-0.408473,-0.483695,-0.935732,-0.197325,-1.36666,-0.951198,-1.41923,-1.46292,4.6519,4.22065,-0.317267,0.649131,-0.36716,-2.33302,1.12216,0.368532,-0.0938642,0.203998,1.45887,-0.504984,-0.486618,-1.6664,-0.281179,0.822973,1.36909,1.17872,-0.664387,0.949868,-1.02822,-0.172022,0.195673,-1.22537,-0.0494636,2.06911,-0.127221,0.0553876,12.6337,0.75117,-1.12859,1.67187,0.432468,-0.109116,4.12221,2.52527,1.37882,3.98856,1.61333,-0.379922,0.370932,1.80831,0.626394,2.39057,-0.408473,-0.483695,-0.935732,-0.197325,-7.86411,3.47135,-3.59816,-0.735579,-0.89452,-7.21757
-739.404,0.999293,0.00731382,9,511,0,746.078,-0.510964,-0.367363,0.693592,-0.141738,-1.00865,-1.1005,-0.603152,0.467322,-0.799235,-0.531058,-0.910815,0.222406,-0.190378,-1.78839,-0.534547,-2.44302,0.303326,0.308164,0.608964,0.426806,-1.55655,-0.619945,-0.438042,-1.98817,4.92666,4.1921,-0.333248,0.120235,-0.442482,-0.463285,-0.520509,-0.839366,1.0986,-0.574148,-0.0301775,-0.399801,0.384881,-0.809772,0.921683,0.280299,0.513087,-0.0152687,-0.556196,-0.908477,-1.69478,1.10385,0.274154,0.464497,-0.832836,0.886048,1.01177,0.354139,8.30112,-0.258733,-2.13594,10.2734,-0.718574,-3.21759,1.40975,1.81075,-0.249788,3.21787,-0.940698,0.222406,-0.190378,-1.78839,-0.534547,-2.44302,0.303326,0.308164,0.608964,0.426806,-5.91484,-2.96825,1.76284,0.220844,-0.283599,-6.92139
-734.364,0.999963,0.0076959,8,511,0,751.957,-1.029,0.553508,1.80002,0.205326,-1.108,-0.870284,-0.732941,-0.203713,-0.172372,1.09722,-0.496318,-0.152076,0.201914,1.20698,0.602495,0.765601,0.124392,0.407524,0.072019,0.713407,-0.718189,-2.42773,-1.64833,-2.94917,5.01542,5.8791,-0.751085,0.184354,-0.904935,-0.807207,-0.769846,1.50156,-1.18671,1.17194,-1.1384,-1.09585,-1.16657,0.198828,-0.157424,-1.60163,-0.43569,-2.34512,0.330237,0.385555,0.631355,0.560514,-2.98071,0.261879,0.814112,0.484302,-0.827161,1.95105,4.96855,4.48146,2.42375,6.55646,-0.434384,0.247524,-7.97814,-1.82623,0.791195,0.934915,-0.202367,-0.152076,0.201914,1.20698,0.602495,0.765601,0.124392,0.407524,0.072019,0.713407,8.12566,-0.799528,-0.68195,-1.79103,-0.0957507,3.05787
-734.143,0.997009,0.00813917,8,511,0,744.042,-1.20695,0.080032,2.15171,-0.426,-1.24942,-0.413802,0.224964,0.903236,-0.271765,0.894452,-1.79239,-0.19076,0.826252,0.782893,-0.568671,-0.336848,0.0639244,0.921515,0.0146695,0.649093,-1.25751,-2.22757,-1.31678,-3.02249,4.13342,5.31669,1.11388,0.726766,-0.469123,1.45593,-0.1547,-0.249765,-0.81636,-1.25721,0.108756,0.740362,0.812087,-0.0368795,-0.441571,0.918624,1.27998,1.29623,0.109023,-0.252462,0.0822475,0.383431,-1.96376,-0.303874,-0.8208,-0.425237,0.141111,1.6514,-17.7903,-0.901616,-0.592711,-4.89889,-0.896687,-0.173213,-0.414015,0.0649395,-0.733914,-0.604174,-2.50347,-0.19076,0.826252,0.782893,-0.568671,-0.336848,0.0639244,0.921515,0.0146695,0.649093,-8.31799,-0.580516,1.28765,-1.14016,-3.08566,1.4391
-733.493,0.99914,0.00854925,9,511,0,746.816,-0.776024,0.0687753,0.865193,-0.186019,-0.806493,-0.421345,-0.150439,0.135576,-0.158705,-0.476436,-1.53895,0.175969,0.800477,1.27105,-0.995114,-1.30046,0.676124,-0.620684,-0.0197794,0.7376,-0.877761,-1.67737,-0.0184923,-2.29937,6.61325,4.48936,0.0597711,-1.02137,1.63673,1.59097,-1.08835,0.0118532,0.943054,1.63923,-0.397742,1.76467,-1.63566,-0.346423,0.459559,0.094002,-0.0204143,0.461531,-0.373573,1.52069,0.0308015,0.28858,-0.228361,-0.0463751,-1.13754,-1.10997,-1.91894,-0.573925,1.31237,0.236915,-3.72533,5.07497,-0.944383,0.0585031,2.87896,-0.726862,0.453545,-0.821418,-1.63568,0.175969,0.800477,1.27105,-0.995114,-1.30046,0.676124,-0.620684,-0.0197794,0.7376,-6.75047,-0.896279,0.417718,-0.472735,2.37315,-3.94621
-737.952,0.998826,0.00905176,9,511,0,753.647,-1.37464,0.209536,1.9632,-1.04876,-1.07101,-0.972987,-0.416054,0.655794,-0.193166,2.28845,0.778088,0.440871,-0.408133,-0.01015,0.308601,0.0268411,0.264621,1.18624,0.387295,0.211565,-1.45906,-1.87287,-4.65417,-2.69804,3.86671,4.60704,0.625525,-1.14308,-0.423516,-0.243287,2.07122,0.920968,0.715822,-2.32248,-0.529248,1.86856,-0.394692,-0.638188,-0.71068,-1.70791,1.06403,1.73248,-1.15378,-0.239003,-0.325075,-1.18863,-0.756239,0.953075,-0.885654,-0.0298121,0.220017,-1.1389,0.564238,0.36319,-0.117708,-0.46459,-0.625107,-0.224142,0.305264,0.74895,0.154804,2.31365,0.636481,0.440871,-0.408133,-0.01015,0.308601,0.0268411,0.264621,1.18624,0.387295,0.211565,-7.26203,0.0494532,-1.00533,-1.54974,-3.82513,-3.07939
