# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1220920576
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-956.053,1,0.125,1,1,0,1733.87,0.663999,-0.484877,-1.14082,-1.97992,-1.49229,1.2698,0.675386,-0.271193,-1.91744,0.588533,-0.670489,3.84244,0.338387,0.979009,0.125,0.593543,0.498147,0.377247,0.446638,0.803974,0.742974,0.623491,0.385925,8
-956.053,0,10.0182,0,1,1,961.788,0.663999,-0.484877,-1.14082,-1.97992,-1.49229,1.2698,0.675386,-0.271193,-1.91744,0.588533,-0.670489,3.84244,0.338387,0.979009,0.125,0.593543,0.498147,0.377247,0.446638,0.803974,0.742974,0.623491,0.385925,8
-956.053,0,0.951493,0,1,1,961.61,0.663999,-0.484877,-1.14082,-1.97992,-1.49229,1.2698,0.675386,-0.271193,-1.91744,0.588533,-0.670489,3.84244,0.338387,0.979009,0.125,0.593543,0.498147,0.377247,0.446638,0.803974,0.742974,0.623491,0.385925,8
-909.805,1,0.0488594,2,3,0,957.657,0.669404,-0.56634,-1.11937,-1.82891,-1.50804,1.34794,0.566101,-0.279887,-1.73662,0.472793,-0.141415,3.72755,0.464705,0.976513,0.125,0.599082,0.534986,0.451331,0.489105,0.78696,0.718504,0.631132,0.462158,8
-905.297,0.941993,0.0333642,4,15,0,918.336,0.580096,-0.605118,-1.28785,-1.90266,-1.73283,1.45259,0.477603,-0.238519,-1.64546,0.480148,-0.128964,3.88552,0.467804,0.979876,0.125,0.571886,0.490436,0.417398,0.437352,0.782033,0.691985,0.614335,0.447701,8
-751.098,0.98408,0.0219651,6,63,0,911.549,-1.44467,0.0412207,0.788267,0.0272464,-0.803094,-1.04174,-1.5294,0.231993,-0.604478,0.0441747,8.29126,5.16445,0.999749,0.994316,0.125,0.191105,0.196258,0.191009,0.185405,0.183818,0.180608,0.192411,0.186734,8
-740.581,0.999291,0.0177899,7,255,0,756.662,-1.29106,0.429154,0.481665,-0.215267,-0.806262,-1.31342,-0.9175,-0.373471,-0.355113,0.0170421,7.46434,5.51236,0.999427,0.99598,0.125,0.216913,0.217065,0.215054,0.213358,0.211911,0.21304,0.214599,0.214651,8
-741.217,0.997401,0.0160309,7,255,0,749.538,-1.30763,-0.460656,-1.69644,-0.0325795,0.639058,-2.30536,-0.848644,0.346607,-0.740138,0.00326289,5.56326,5.02277,0.996178,0.993457,0.125,0.212632,0.211957,0.212866,0.213233,0.211626,0.21242,0.213073,0.212479,8
-738.58,0.998926,0.0149897,8,255,0,745.577,-0.966813,-0.107542,-0.997136,0.780858,-1.74343,-0.47038,0.509689,-0.0762735,1.19799,0.0159836,4.55689,5.10326,0.989614,0.99396,0.125,0.275173,0.272346,0.278015,0.269989,0.274018,0.277145,0.275273,0.279355,8
-731.862,0.999874,0.0145222,7,255,0,742.285,-0.829222,0.487567,1.85723,-0.116803,0.581767,-1.32528,-1.78281,0.336309,-0.295272,0.205445,6.01423,5.25286,0.997562,0.994795,0.125,0.325402,0.389917,0.298758,0.329665,0.24946,0.232278,0.318618,0.291134,8
