# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=678216098
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_adjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_adjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,marginal.10.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.9.2,marginal.10.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.9.3,marginal.10.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,marginal.9.4,marginal.10.4,index.1,index.2,index.3,index.4
-1175.02,1,0.0625,1,1,0,2120.19,0.260275,0.684043,1.27332,-1.49514,-1.75894,-0.474625,-0.343063,0.25544,1.35034,1.97259,-1.14961,0.333134,1.27753,-1.83415,-0.617917,-0.79353,-0.4783,0.738193,1.29584,1.27435,0.348154,-1.43154,3.01838,6.57366,4.67752,1.18316,-0.473136,0.827876,0.383874,0.695906,0.000344454,0.635406,0.751376,0.156183,0.126533,0.367907,0.406062,0.557943,0.769348,0.910327,0.206546,0.238114,0.713688,0,0,0,0,0,0,0,0,0.345724,0.259699,0.692285,0.732762,0,0,0,0,0,0,0.380534,0.391304,0.442308,0.536479,0.586908,0,0,0,0,0,10,12,6,9
-1175.02,0,10.0182,0,1,1,1196.31,0.260275,0.684043,1.27332,-1.49514,-1.75894,-0.474625,-0.343063,0.25544,1.35034,1.97259,-1.14961,0.333134,1.27753,-1.83415,-0.617917,-0.79353,-0.4783,0.738193,1.29584,1.27435,0.348154,-1.43154,3.01838,6.57366,4.67752,1.18316,-0.473136,0.827876,0.383874,0.695906,0.000344454,0.635406,0.751376,0.156183,0.126533,0.367907,0.406062,0.557943,0.769348,0.910327,0.206546,0.238114,0.713688,0,0,0,0,0,0,0,0,0.345724,0.259699,0.692285,0.732762,0,0,0,0,0,0,0.380534,0.391304,0.442308,0.536479,0.586908,0,0,0,0,0,10,12,6,9
-1175.02,0,0.951493,0,1,1,1186.61,0.260275,0.684043,1.27332,-1.49514,-1.75894,-0.474625,-0.343063,0.25544,1.35034,1.97259,-1.14961,0.333134,1.27753,-1.83415,-0.617917,-0.79353,-0.4783,0.738193,1.29584,1.27435,0.348154,-1.43154,3.01838,6.57366,4.67752,1.18316,-0.473136,0.827876,0.383874,0.695906,0.000344454,0.635406,0.751376,0.156183,0.126533,0.367907,0.406062,0.557943,0.769348,0.910327,0.206546,0.238114,0.713688,0,0,0,0,0,0,0,0,0.345724,0.259699,0.692285,0.732762,0,0,0,0,0,0,0.380534,0.391304,0.442308,0.536479,0.586908,0,0,0,0,0,10,12,6,9
-1022.14,1,0.0488594,2,3,0,1167.64,0.136565,0.828109,1.15952,-1.56392,-1.73799,-0.588879,-0.310732,0.166534,1.40988,1.96052,-1.15798,0.30013,1.20079,-1.89753,-0.670162,-0.786566,-0.429142,0.835856,1.29183,1.14522,0.259294,-1.44501,2.72548,6.84676,4.89458,1.21304,-0.0482453,1.70644,0.487941,0.846374,0.000344454,0.598075,0.649161,0.13535,0.119016,0.279675,0.345562,0.467949,0.690085,0.799169,0.18098,0.181727,0.648831,0,0,0,0,0,0,0,0,0.269164,0.217614,0.632195,0.723771,0,0,0,0,0,0,0.317535,0.33726,0.373777,0.482323,0.533077,0,0,0,0,0,10,12,6,9
-978.765,0.972775,0.0333642,4,15,0,1035.07,0.0942441,0.684055,1.05749,-1.47927,-1.59093,-0.740606,-0.446032,0.0188918,1.36736,1.9799,-1.05718,0.273201,1.05684,-1.93303,-0.605479,-0.763684,-0.486708,0.780967,1.18554,1.11416,0.2193,-1.46794,3.05768,6.36364,6.01028,1.30593,0.452005,1.70271,0.611116,0.845889,0.000344454,0.385138,0.496268,0.0407874,0.0339696,0.106649,0.143894,0.220962,0.580332,0.719284,0.0740283,0.103833,0.395448,0,0,0,0,0,0,0,0,0.130778,0.104801,0.407376,0.553433,0,0,0,0,0,0,0.170532,0.189327,0.220006,0.314948,0.36542,0,0,0,0,0,10,12,6,9
-894.792,0.998848,0.0240764,4,15,0,986.635,0.104215,0.737316,0.655328,-1.26909,-1.77731,-0.764908,-0.340094,-0.298244,1.01558,2.36105,-1.19545,0.430776,0.228823,-1.85436,-0.80641,-0.370138,-0.566945,0.531348,0.930128,0.876226,0.0323906,-1.28592,2.04469,3.9538,5.57409,1.2868,2.41555,1.79287,0.918005,0.857279,0.000344454,0.161418,0.150272,0.0151604,0.00671135,0.0308342,0.0528162,0.0555383,0.202694,0.476515,0.0169101,0.0996122,0.0702968,0,0,0,0,0,0,0,0,0.0285467,0.00352644,0.137158,0.358651,0,0,0,0,0,0,0.0454152,0.0601241,0.0617492,0.131761,0.247082,0,0,0,0,0,10,12,6,9
-867.548,0.980633,0.0204524,6,63,0,905.258,-0.588305,0.915672,-0.0093973,-0.705503,-1.73703,-0.391667,-1.61296,-0.61732,0.546341,2.6592,-0.864874,-0.558993,-0.516252,-1.93306,-0.429974,-0.806251,-0.372423,0.0637295,0.907396,0.660096,0.185644,-1.06196,1.87432,2.88213,3.82083,1.33229,3.65653,1.80705,0.974828,0.859005,0.000344454,0.0751294,0.024897,0.00848796,0.00135852,0.01412,0.00170574,0.009826,0.050408,0.363474,0.00647785,0.0322818,0.0345354,0,0,0,0,0,0,0,0,0.0363446,0.00276613,0.0687571,0.00387609,0,0,0,0,0,0,0.0191729,0.00581482,0.0157693,0.0396136,0.175479,0,0,0,0,0,10,12,6,9
-845.275,0.986555,0.0174305,6,63,0,879.28,-0.550646,-0.105237,0.247063,-0.26914,-1.43577,0.104235,-1.17094,-0.915911,-0.182283,2.35836,-0.575182,-1.05604,-0.232512,-2.15808,-1.25817,-0.746975,-0.146542,-0.0930322,0.248251,1.46778,0.107152,-1.30192,0.848828,1.06106,3.53722,1.10973,4.18488,2.05685,0.985004,0.886638,0.000344454,0.103885,0.124804,0.0951645,0.0486813,0.115952,0.0571105,0.0663172,0.0997091,0.32195,0.0804637,0.0742995,0.127558,0,0,0,0,0,0,0,0,0.10135,0.00333906,0.223657,0.00801712,0,0,0,0,0,0,0.104951,0.0331825,0.042386,0.0824459,0.43046,0,0,0,0,0,10,12,6,9
-748.992,0.979701,0.015765,6,63,0,862.481,-0.432616,-0.419365,-0.151318,-0.37383,-0.547636,-0.346005,0.483521,-1.04257,-0.597077,2.32256,-0.0623981,-0.394224,-0.953058,-2.11423,-1.31789,-1.06229,-1.01947,0.0974406,-0.236414,1.35689,0.507535,-1.702,0.220911,1.0839,1.02973,0.0757257,4.8503,4.63729,0.992235,0.990409,0.000344454,0.188544,0.197456,0.190037,0.184387,0.190953,0.219782,0.168996,0.182803,0.293935,0.20048,0.236953,0.146735,0,0,0,0,0,0,0,0,0.179525,0.155021,0.183712,0.341817,0,0,0,0,0,0,0.194838,0.204506,0.186983,0.191979,0.227158,0,0,0,0,0,10,12,6,9
-746.112,0.999565,0.0143772,8,255,0,767.808,-1.61427,-0.956187,-3.12959,0.747282,0.290389,0.77196,0.438079,0.448962,0.813556,2.29644,0.924188,-0.0676211,0.547615,1.28282,2.53387,1.8967,-0.287231,1.70525,1.19874,0.28121,-0.843205,0.664309,0.267639,0.0189864,0.0585414,0.548795,5.30511,5.59619,0.995058,0.996302,0.000344454,0.199308,0.12318,0.280132,0.25663,0.281438,0.264085,0.26464,0.283647,0.368653,0.289574,0.253538,0.255678,0,0,0,0,0,0,0,0,0.255536,0.250656,0.255801,0.252227,0,0,0,0,0,0,0.25315,0.220555,0.221569,0.257422,0.434978,0,0,0,0,0,10,12,6,9
-744.691,0.991096,0.0142727,7,127,0,755.709,-2.04968,-1.06692,-3.02839,1.22785,0.189803,0.634645,0.890914,0.748308,0.675204,1.7086,1.27906,-0.467838,0.223563,0.758122,1.97832,1.65224,-0.143958,1.89237,0.85056,-0.0152802,-0.774514,0.28349,0.579681,0.0195807,0.0582723,0.648953,5.22231,5.09419,0.994634,0.993905,0.000344454,0.113344,0.0395428,0.323703,0.208611,0.253965,0.282857,0.266537,0.258406,0.386804,0.330174,0.234262,0.236569,0,0,0,0,0,0,0,0,0.238199,0.227958,0.232311,0.234843,0,0,0,0,0,0,0.2119,0.239669,0.223936,0.216143,0.342203,0,0,0,0,0,10,12,6,9
-736.329,0.999148,0.0140246,8,255,0,760.846,-1.17395,-0.0556859,-1.30464,0.390021,-0.200304,0.321635,0.124086,-0.341632,-0.437603,1.23936,-0.64259,-0.181063,-0.583073,0.102012,-1.49464,-0.629636,2.51346,-0.0444747,-0.993219,-0.352091,3.35598,-1.09236,1.15321,1.04344,0.683442,0.24386,5.61103,4.91959,0.996356,0.992751,0.000344454,0.198439,0.0559424,0.291319,0.173502,0.275544,0.233022,0.151566,0.137995,0.518337,0.112391,0.237202,0.173205,0,0,0,0,0,0,0,0,0.222533,0.163781,0.215059,0.194451,0,0,0,0,0,0,0.21906,0.211445,0.194229,0.19081,0.256828,0,0,0,0,0,10,12,6,9
-732.357,0.987116,0.0143113,7,127,0,749.738,-1.25446,-0.748028,-1.32165,0.40012,0.0795822,0.0966704,0.355163,-0.0872173,0.317078,1.28795,-0.427044,-0.329196,-0.441619,-0.104844,-1.20121,-1.05008,2.4715,-0.106899,-0.738973,-0.0207018,2.45625,-1.19338,0.626668,0.82854,0.394201,0.369436,5.52545,4.32971,0.996032,0.987,0.000344454,0.139904,0.102067,0.249809,0.214244,0.216044,0.244593,0.197248,0.240232,0.366711,0.165803,0.214132,0.19922,0,0,0,0,0,0,0,0,0.214244,0.194193,0.195226,0.211346,0,0,0,0,0,0,0.197353,0.212599,0.187009,0.210301,0.274386,0,0,0,0,0,10,12,6,9
-728.952,0.99765,0.0141929,8,255,0,744.865,-1.24226,-0.0200259,-2.09058,0.353301,-0.0804241,0.075777,0.154713,-0.322961,-0.303224,0.642558,-0.197319,0.0307832,-0.022212,0.592898,-1.70918,-0.802979,2.90935,0.0633342,0.269984,-0.383667,1.99149,-0.201777,0.927163,2.43516,0.224784,0.469225,5.23153,4.95099,0.994683,0.992973,0.000344454,0.231876,0.0425978,0.298728,0.222097,0.247993,0.261822,0.18582,0.188593,0.357394,0.204014,0.232826,0.211264,0,0,0,0,0,0,0,0,0.228555,0.212349,0.218091,0.221034,0,0,0,0,0,0,0.230507,0.236935,0.199851,0.201296,0.279204,0,0,0,0,0,10,12,6,9
-729.176,0.990638,0.0146515,8,255,0,745.195,-1.14423,0.0489023,-1.62788,0.410621,0.0676291,0.267757,0.297862,-0.103047,0.328936,1.03522,0.413521,-0.254306,-0.399364,0.480957,-1.05812,-1.16293,2.80975,0.073482,0.0876796,-1.00732,1.03171,0.65248,1.74207,2.26388,0.322458,0.419969,6.26519,4.50785,0.998102,0.989098,0.000344454,0.17469,0.0113596,0.283422,0.179412,0.236082,0.245591,0.139932,0.255671,0.537222,0.28444,0.239885,0.188178,0,0,0,0,0,0,0,0,0.221858,0.204502,0.214511,0.216045,0,0,0,0,0,0,0.217598,0.219623,0.193706,0.221726,0.273055,0,0,0,0,0,10,12,6,9
-730.312,0.997437,0.0148765,8,255,0,742.473,-1.39796,0.231912,-1.75376,0.373232,0.173163,0.268552,0.377866,-0.00667912,0.359443,1.15856,0.302759,-0.255254,-0.302846,0.294219,-1.02342,-0.880839,2.94069,0.236057,-0.152363,-1.04964,1.12957,0.538349,1.9426,2.21901,0.303513,0.549461,6.49496,4.4599,0.998491,0.988569,0.000344454,0.218079,0.00590664,0.268111,0.199357,0.230377,0.269868,0.149599,0.262924,0.62466,0.242288,0.234545,0.217429,0,0,0,0,0,0,0,0,0.229363,0.219567,0.224201,0.229593,0,0,0,0,0,0,0.221565,0.231366,0.198162,0.229694,0.309237,0,0,0,0,0,10,12,6,9
