# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1883340189
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,index.1,index.2,index.3,index.4
-736.354,0.999139,0.0169388,7,127,0,752.294,-1.17101,-1.37544,-0.986063,0.261094,-1.10765,-0.531995,0.801395,-0.0498726,-0.670204,-0.0572977,0.688715,-0.201418,0.163558,1.6589,0.815838,-0.816555,-0.0861202,0.282836,0.165447,0.138959,0.347284,0.0799371,4.84374,4.94305,0.992184,0.992918,0.00168979,0.190145,0.200186,0.234968,0.197009,0.212388,0.251268,0.221713,0.20735,0,0,0,0,0.232714,0.158862,0.18733,0.267725,0,0,0.208817,0.226769,0.215186,0.207017,0.215087,0,6,8,6,9
-736.027,0.995824,0.0170693,7,255,0,745.098,-1.01217,-1.4937,-0.690562,-0.13073,0.0558442,-0.623045,0.972377,-0.197158,-0.613548,-0.734566,1.04595,-0.323959,0.0498568,0.987404,-0.802836,-0.988836,0.545407,-1.12184,0.300239,0.445785,0.240702,0.050554,4.38862,4.686,0.987734,0.990861,0.00168979,0.163104,0.198601,0.226589,0.236512,0.201834,0.289458,0.237965,0.206344,0,0,0,0,0.220582,0.228307,0.201098,0.26893,0,0,0.220036,0.233984,0.223701,0.220118,0.219084,0,6,8,6,9
-738.596,0.999382,0.0172267,8,255,0,747.466,-0.906282,0.80855,-0.501921,-0.0286938,-1.00595,-0.351975,0.207519,-0.367148,-1.05291,1.23231,1.18892,0.616402,-1.77358,-0.42103,0.61304,-0.724881,0.171285,-1.01586,0.323311,0.186266,0.0833216,0.233776,5.21463,5.66947,0.994593,0.996562,0.00168979,0.306456,0.224759,0.252387,0.197762,0.233275,0.266987,0.25545,0.232161,0,0,0,0,0.248554,0.233818,0.243612,0.252206,0,0,0.236254,0.260482,0.235619,0.20815,0.308798,0,6,8,6,9
-741.292,0.998214,0.0177395,8,255,0,751.604,-1.81249,0.0783808,-1.45018,0.617511,0.562624,0.190676,0.245732,0.640845,0.204492,1.02607,0.0541242,-0.504313,-0.319557,0.90915,-0.834279,0.425884,-0.732393,-1.27683,0.146956,0.982185,0.145597,0.0512389,6.24197,4.54579,0.998058,0.9895,0.00168979,0.222178,0.186022,0.236061,0.234621,0.225021,0.226425,0.250864,0.179193,0,0,0,0,0.224837,0.22346,0.214285,0.215626,0,0,0.218634,0.219112,0.222564,0.218754,0.225966,0,6,8,6,9
-740.755,0.991209,0.0183224,7,255,0,751.238,-1.78318,-0.490881,-0.585991,1.59569,0.654889,0.426274,1.41474,0.430419,-0.113258,0.0342328,-0.357741,-0.572185,-0.749046,0.997621,-0.919728,-1.34475,-1.6878,-1.2918,0.276614,0.585333,0.119571,0.100879,5.4722,5.60968,0.995816,0.996351,0.00168979,0.16813,0.164498,0.264108,0.216954,0.206456,0.254552,0.233827,0.182109,0,0,0,0,0.22101,0.202481,0.198156,0.217355,0,0,0.209741,0.226519,0.209809,0.200971,0.203341,0,6,8,6,9
-739.281,0.999347,0.0186104,7,255,0,748.88,-1.62524,-0.387222,-1.41864,0.573959,0.213167,-0.655834,1.36333,0.727162,0.309552,-0.428541,0.79557,-1.22495,-0.545522,0.0308289,-0.592801,-0.711423,-0.812161,-1.92396,0.140613,0.340028,0.377622,0.0317133,5.18831,5.06226,0.99445,0.993709,0.00168979,0.20923,0.186466,0.232206,0.223383,0.203113,0.252334,0.228763,0.20498,0,0,0,0,0.2309,0.207687,0.15897,0.287713,0,0,0.212911,0.223684,0.220249,0.218015,0.214104,0,6,8,6,9
-739.39,0.999779,0.0194596,7,127,0,749.199,-0.674623,-0.734022,-0.826939,0.510265,0.7778,0.997025,0.26878,-0.475657,-0.896609,0.434771,1.63925,-0.365434,-0.57864,0.121611,0.298297,0.15986,-0.411985,-0.32227,0.146247,1.05808,0.153069,0.191472,4.38037,5.11927,0.987634,0.994055,0.00168979,0.205485,0.203298,0.236432,0.243486,0.24937,0.230186,0.260276,0.184243,0,0,0,0,0.224902,0.232029,0.237984,0.218601,0,0,0.261432,0.235686,0.211218,0.198221,0.241398,0,6,8,6,9
-733.214,0.99491,0.0204281,7,255,0,749.833,-1.16261,-0.071282,0.0178458,0.363773,0.252992,-0.0839987,0.662241,-0.366056,-0.458294,0.94678,0.962534,-1.04929,-0.883938,0.34195,0.395671,0.067148,0.208624,-0.479172,0.490356,0.312415,0.104029,0.177111,4.63664,5.87618,0.990403,0.997202,0.00168979,0.218192,0.225727,0.256684,0.246476,0.217132,0.285528,0.245832,0.240558,0,0,0,0,0.245089,0.242975,0.236619,0.250847,0,0,0.237667,0.262333,0.228769,0.225911,0.272159,0,6,8,6,9
-740.685,0.995584,0.0211696,7,127,0,748.01,-0.780621,-1.09432,-2.1802,-0.197407,-1.59291,-1.01022,-0.809837,0.147016,-0.24007,1.82597,-0.60764,0.240714,0.0505788,-0.145527,1.83927,0.273735,0.688689,0.883407,0.235533,0.915235,0.458281,0.233191,5.63787,4.26029,0.996452,0.986078,0.00168979,0.199503,0.162397,0.234597,0.181739,0.202622,0.210197,0.218797,0.16509,0,0,0,0,0.232173,0.138598,0.173192,0.186552,0,0,0.167113,0.173625,0.207447,0.193218,0.277704,0,6,8,6,9
-738.558,0.999537,0.0220148,7,127,0,747.488,-1.17293,-0.282627,0.36259,0.162135,0.513985,-0.656161,0.624022,0.00632494,-0.246282,0.885046,-0.143652,-0.999623,0.292541,0.257231,-0.558974,-0.196222,0.398091,0.662654,0.465394,0.911077,0.161749,0.0631643,4.53664,6.31419,0.989404,0.998193,0.00168979,0.202776,0.25545,0.238174,0.269029,0.176191,0.279179,0.257431,0.216294,0,0,0,0,0.241903,0.252376,0.218697,0.255712,0,0,0.231531,0.246059,0.238974,0.236117,0.249095,0,6,8,6,9
