# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1883340189
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_adjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4,g_se,g_sp
-748.36,0.999954,0.014393,8,255,0,762.61,-1.58603,-0.937465,-0.165042,1.47643,1.1267,-0.0904479,1.00116,0.442114,0.495385,2.12857,-0.339269,0.252381,0.717232,2.34737,-0.87779,-2.44431,1.16263,0.659144,-1.52986,-2.80323,-2.26183,-1.6476,3.87943,4.99237,0.534697,-0.348394,1.06525,-1.68786,0.914418,1.6537,-1.18725,-0.724448,0.0323026,-0.186913,0.096543,-0.694927,-0.331621,1.24747,0.941161,-0.461766,2.59618,-0.337289,-0.686014,1.6959,-1.33789,-1.81639,-0.0940632,-0.105333,-19.8546,-1.48298,0.270539,0.436428,2.22838,-3.12366,-2.76322,-1.15799,-0.342668,0.929183,-0.339269,0.252381,0.717232,2.34737,-0.87779,-2.44431,1.16263,0.659144,-2.75499,-1.41891,-3.54223,-2.73471,-4.24751,0.148883
-744.711,0.999628,0.014544,8,255,0,764.635,-0.325729,-1.81492,-2.32474,-1.06363,-1.83401,-0.532096,-0.224148,-1.00858,-0.702224,1.46088,1.51579,-0.856192,-0.807993,-0.330657,0.204453,-0.116586,-0.0953909,-0.473242,-1.88994,-3.81418,-0.569577,-1.76381,6.53356,5.35423,1.8758,2.07785,0.659497,-0.0558172,-1.38229,-1.75254,-0.892387,0.10611,1.31024,-2.3864,-0.284291,0.0944271,-0.432593,-2.41372,0.867751,2.71219,-1.22499,-0.513713,0.944405,0.471719,-0.8802,0.122919,0.701553,-0.023261,-4.67408,-1.69285,-2.22175,-7.88659,-2.30401,3.6315,0.698098,-1.52648,-1.32428,0.624597,1.51579,-0.856192,-0.807993,-0.330657,0.204453,-0.116586,-0.0953909,-0.473242,-1.63847,-0.825693,5.78411,-1.43624,2.26518,1.38645
-737.743,0.995915,0.0148622,8,255,0,757.698,-1.52772,0.546947,0.232229,-0.510617,0.0122107,0.00178553,0.598749,0.891055,0.401997,-0.0277242,-1.24341,0.270606,1.32408,-0.12237,-0.287259,1.09742,-0.42104,0.947753,-0.807858,-0.767316,-1.95291,-2.41745,4.11657,5.54356,-1.42107,0.611819,2.20316,0.15426,0.378442,-1.14553,1.0979,2.53861,2.13828,0.296347,-0.881739,1.26812,-0.709499,0.894413,0.0942989,-1.71903,0.946057,-0.722769,-0.701101,2.51374,-0.232418,-1.29296,1.13359,-0.991576,13.8621,3.53467,5.61972,1.15073,1.07445,1.72174,-2.36864,7.81844,1.91029,-0.753818,-1.24341,0.270606,1.32408,-0.12237,-0.287259,1.09742,-0.42104,0.947753,-0.337551,5.313,-1.27155,0.512594,-2.43786,1.77314
-734.323,0.999924,0.015149,8,255,0,744.894,-0.732964,-0.563965,-0.394852,-0.32785,-0.495859,-0.579523,0.0698181,-0.838191,-0.950498,1.075,1.4522,-0.217541,-1.13915,-0.0146139,0.49152,-1.27213,0.150097,-0.931891,-0.745758,-1.45709,-1.7277,-2.35135,5.3291,5.47378,1.4974,1.50273,-0.590603,-0.857271,-0.514395,0.0955883,-0.101115,-0.897786,-1.07928,-0.455233,-0.734447,-0.2553,-0.934334,0.591629,-0.827233,0.607918,1.19114,-0.177748,0.662869,0.345973,1.23519,1.37144,-1.95634,-0.985331,-10.1041,-0.423009,2.45774,-1.29475,-0.654644,-2.17353,-6.06309,-4.0454,-0.366398,0.371403,1.4522,-0.217541,-1.13915,-0.0146139,0.49152,-1.27213,0.150097,-0.931891,-1.63438,0.948705,-0.253468,-1.01848,0.396336,1.88508
-733.738,0.998881,0.015744,8,255,0,741.701,-0.804133,-0.461763,-0.735831,-0.470475,-0.464751,-0.664299,0.370693,-0.548962,-0.455783,0.997934,0.793483,0.0222875,-0.846579,0.396133,0.868997,-0.725414,-0.439211,-0.996565,-0.530701,-1.64806,-2.04678,-2.57505,4.95699,5.86159,-0.551169,-0.234784,0.880796,0.315646,-0.176014,-0.550851,-0.728742,-1.2237,-1.01583,0.266386,1.76844,-0.576709,-0.892083,-0.910463,-0.727747,-1.48219,1.33413,-0.0582406,-0.457813,0.348685,0.623609,0.248627,0.863087,-0.322422,-1.50557,0.145975,-1.83938,-0.0107929,-0.579976,-4.10677,4.12296,-2.16797,0.942694,0.368476,0.793483,0.0222875,-0.846579,0.396133,0.868997,-0.725414,-0.439211,-0.996565,3.16827,-0.579225,-0.668475,-1.26499,-0.298089,3.05336
-742.057,0.999245,0.0163919,8,255,0,748.887,-1.72868,-0.277972,-0.733719,0.390186,-0.152295,0.556752,1.4307,1.13385,-0.147199,-1.1928,-1.15416,1.45179,-0.0515441,0.782317,0.512783,-0.319436,-1.61557,-1.73365,-1.14989,-2.07933,-0.421128,-2.58817,5.35617,4.93913,0.200334,-0.028732,0.598249,-0.395472,0.758186,-0.35555,0.153528,-0.288578,0.547,0.5032,-0.610347,-0.266971,0.867137,-0.533375,-0.967506,0.789363,0.717314,1.30237,0.110604,0.800927,0.209574,-1.70255,-0.148254,1.69588,1.03751,-0.594188,-2.4571,-2.5832,-0.659519,5.22101,5.94396,1.42594,-0.0474201,-1.9968,-1.15416,1.45179,-0.0515441,0.782317,0.512783,-0.319436,-1.61557,-1.73365,2.64333,-1.14103,4.4228,1.84697,0.543171,-0.555385
-743.791,0.993354,0.0171495,8,255,0,755.146,-1.00512,0.610617,0.113492,0.752488,0.660874,-0.115821,-0.315259,-1.06733,-1.267,0.887934,0.497706,0.954838,1.35803,0.861414,-0.307471,-1.88151,0.985815,-1.2934,-3.14498,-1.42742,-1.6684,-2.66709,4.65626,5.13461,1.10654,0.0982792,0.216398,-0.737736,-0.81161,-0.0506079,-0.617576,-1.92209,0.516763,1.78946,1.16815,-1.42618,0.0886708,-0.759041,-0.521357,0.268129,1.64305,1.69889,-0.529254,0.515284,-1.32372,0.420139,0.0837137,-0.534563,-11.0224,0.729233,0.456965,-1.02874,1.06602,-0.420346,-1.40746,-4.03263,-0.882636,0.360295,0.497706,0.954838,1.35803,0.861414,-0.307471,-1.88151,0.985815,-1.2934,-0.323632,1.6948,-1.97929,-1.22303,-1.16264,0.580533
-740.121,0.996945,0.0176698,8,255,0,759.442,-1.1356,-0.038188,-0.452707,0.0420334,-0.817035,-0.0611496,0.68332,-0.060908,-0.149074,-0.198259,-0.161827,-1.14178,-1.38557,0.526914,-1.04488,0.800728,-0.393454,1.09783,-0.446167,-1.79937,-1.00951,-3.32132,5.56245,6.40627,0.780741,-1.45378,-0.824905,-0.779741,0.479986,-0.746937,-0.720375,2.01997,-0.375625,0.93593,-0.478372,-0.467282,-0.793739,-1.26524,0.915891,1.70603,-0.908008,0.876154,2.40398,-3.24111,0.817719,-1.79698,-0.0780709,-0.133704,7.92102,1.59677,-1.93945,3.46946,-6.84533,3.3484,9.3333,0.0233701,1.40624,-0.522597,-0.161827,-1.14178,-1.38557,0.526914,-1.04488,0.800728,-0.393454,1.09783,10.2499,-1.06672,-0.0983266,-0.669314,0.934149,4.33348
-739.401,0.979397,0.0184452,7,127,0,750.814,-1.05902,-0.200717,-0.548363,0.37121,0.315381,0.0965777,0.856206,-0.98374,-1.80165,-0.107903,0.536357,-1.0787,0.150935,-1.78804,-0.0831023,1.53304,-0.213508,-0.828306,-0.964811,-1.05578,-0.438103,-2.82938,4.38323,4.12351,1.68271,0.735835,1.19745,-0.128575,1.04001,-0.259542,-0.211964,0.322922,0.914697,-0.4751,-0.288323,-0.924999,-1.45554,0.948288,-1.05272,0.471566,-0.354841,1.31493,-0.913476,-1.89093,1.64815,-0.804446,0.229587,0.819839,5.61285,0.0487879,-0.95816,3.13548,3.04877,1.60478,1.71369,1.76998,-2.21606,-0.587561,0.536357,-1.0787,0.150935,-1.78804,-0.0831023,1.53304,-0.213508,-0.828306,-0.860684,-2.73467,2.24565,-0.184906,-1.72061,-7.57457
-735.854,0.998428,0.0182908,7,255,0,744.507,-1.17423,-0.454658,-0.423391,-0.539904,-0.824426,-0.711157,0.419583,0.405488,-0.0201707,1.28412,-0.084368,0.71297,-0.0909881,0.0584891,-0.456789,0.388755,0.89638,1.02487,-0.841929,-0.133365,-0.995362,-2.30325,6.45537,6.30709,0.848022,0.511526,-0.450096,1.75393,0.00819409,0.188134,1.16242,-0.793715,-0.709142,-0.727092,0.54368,-1.13203,0.157774,-1.79663,-0.0508559,1.50923,-0.27772,-0.90317,-0.16167,-0.672456,0.493787,-1.0656,-0.308906,0.203984,-11.3796,0.00797308,1.94283,-4.45421,-2.42386,-4.64858,-1.28686,-1.85021,-6.77373,0.502081,-0.084368,0.71297,-0.0909881,0.0584891,-0.456789,0.388755,0.89638,1.02487,0.174642,-0.997622,2.35333,-1.23354,2.15277,4.22309
