# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1220920576
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_sigma.1,g_se,g_sp
-730.779,0.999872,0.00296187,10,1023,0,738.223,-1.39896,-1.50691,2.43818,0.271353,-1.60206,0.187093,0.61913,1.43063,0.296887,-1.16707,5.88611,5.25491,2.14055,0.38483,-1.67819,0.118357,0.96167,1.0726,-1.10951,-1.42728,-0.226904,-0.584157,-1.03647,-0.719644,-18.9586,-5.05744,-0.375442,1.28105,-1.57372,1.19956,0.0356205,0.995946,0.162815,-2.80346,1.32187,1.37287
-727.012,0.999605,0.00304354,10,1023,0,737.627,-1.24363,1.72778,1.85032,-0.943716,-0.0132923,-0.76981,0.254196,-0.0408757,0.77867,-1.35552,5.63442,4.86548,2.34481,0.494191,-1.00736,-0.605924,1.25584,-1.46224,1.06514,0.577553,-1.9581,-1.88138,-1.24147,-0.088224,-3.23489,3.34802,-1.01868,-0.742772,0.551656,-0.434245,0.873759,-1.62846,1.38062,-3.01569,0.981378,-1.08688
-726.647,0.999688,0.00316045,10,1023,0,733.774,-0.980636,0.394362,1.80465,-0.957492,-1.41612,-2.12674,-1.15201,1.1858,-0.276272,-1.1461,4.9538,5.0477,1.52708,-0.553908,-0.158365,1.55435,0.984718,-0.112045,0.142051,2.16805,-0.317019,0.465955,-0.779737,1.59544,-8.4158,1.94709,0.317928,0.220033,-0.944611,-3.09157,-6.55329,2.85024,0.346901,5.52781,-0.367808,0.215916
-724.964,0.999878,0.00331054,9,511,0,731.258,-1.42879,-0.164565,1.86893,-0.931907,-0.942273,0.28262,0.348248,0.58924,-0.342598,-0.448824,5.34642,5.85799,0.384585,-0.612645,0.428363,-1.69925,-1.05829,-1.32939,0.794939,1.60996,-0.675548,0.582608,-0.132984,1.43848,-21.7937,-4.92871,0.975471,-4.83388,-1.12049,3.53666,-1.80865,-1.54476,-2.56846,2.23044,0.372362,3.36783
-727.208,1,0.00349159,9,1023,0,730.512,-1.29711,1.39546,2.39529,-0.712251,0.015304,-1.28356,-0.165997,1.36647,0.494597,-1.12521,6.212,4.71976,-0.421112,-0.323891,0.140236,0.680398,0.595101,-1.49809,0.727012,-0.504156,0.275922,0.3467,-0.311457,-1.47263,-16.9701,3.15656,0.271647,-0.609456,0.677095,-2.45226,-5.16371,1.58563,0.952611,-0.511996,1.81039,-1.32898
-724.941,0.999405,0.0037009,9,511,0,733.954,-1.51144,0.221484,2.38514,0.14616,0.510744,-0.160039,0.794372,0.718655,0.0409719,-0.840396,5.27505,5.93029,1.81822,-1.78283,-0.386882,0.973283,0.0680565,2.35344,0.382038,-0.866234,-0.558419,0.930883,-1.56294,0.619228,-19.911,-2.23653,-0.330737,0.55174,1.35714,-1.04719,1.15118,-1.79207,-0.936161,-8.51803,0.229229,3.41432
-725.672,0.9989,0.00392863,9,511,0,736.113,-1.20034,0.810269,2.1627,-0.336232,-0.63038,-0.164166,0.422531,1.02646,0.518521,-0.864433,3.99241,6.09227,-1.80631,0.491171,1.78077,0.99771,1.21596,0.499455,-1.42067,0.00329289,0.173837,-0.0966354,-0.833507,2.95474,27.7781,2.57983,0.92106,0.626572,-0.0995363,1.57401,7.1774,1.63277,1.60593,1.26644,-2.57913,3.35443
-725.951,0.999486,0.0041738,9,1023,0,737.691,-1.12004,-0.676703,1.34599,-1.0189,1.11955,0.0924104,-0.174824,0.825903,-0.880113,-1.03177,5.23699,5.43665,-2.35393,0.842008,-0.046384,0.413423,-0.861315,0.831969,0.726348,0.475854,0.967752,-2.13206,-1.79819,2.48073,-1.48818,-2.33506,-1.92029,-0.822213,2.72317,3.36413,-0.159333,1.12239,-1.47068,-1.25861,0.279805,1.62707
-725.926,1,0.00444925,9,511,0,730.294,-1.12746,-0.501038,2.04787,-0.293489,0.75079,-0.0826731,-0.196282,0.54145,-1.79415,-1.03942,4.66396,4.7967,-0.0661069,0.964521,1.22728,0.887501,-1.35278,-1.35172,0.125598,-0.605789,-0.472017,0.175961,-0.681456,-0.865355,1.56413,-1.7208,0.430866,1.34881,2.09746,2.60168,-0.306179,0.17286,-3.20031,-0.694603,-0.990417,-1.57059
-722.132,0.999973,0.00475484,8,511,0,729.41,-1.08526,0.23729,2.09502,-0.856339,-0.840988,-0.864872,-0.324967,0.850823,-1.0062,-0.71674,6.2028,5.12037,0.108417,-0.697413,0.390699,0.764652,1.87221,1.25054,-0.616573,0.301856,-1.94279,-1.5061,-1.01956,-0.835469,1.22328,1.54001,3.24927,-0.640574,-0.216782,-0.948259,-3.06091,2.82946,-2.33509,5.48773,1.85101,0.29561
-725.636,0.999249,0.00508351,9,511,0,729.087,-1.21513,0.527312,3.20818,-1.11688,-0.605908,-0.731506,-0.184427,0.146975,0.406692,-1.47762,5.90603,5.05119,-1.11653,-0.185104,0.259147,-0.0557122,0.352875,0.0784458,0.730498,-0.787187,1.54098,0.825043,-1.09989,-0.0445143,-12.4352,0.581959,1.83442,-0.901799,-0.199645,-0.169894,-1.76724,-1.02588,0.738327,-5.79306,1.37176,0.147127
-725.46,0.999369,0.00542404,8,511,0,732.212,-1.22366,0.260026,3.31035,-0.659008,-0.562044,-0.628888,-0.172452,1.09805,0.586689,-0.95284,6.11753,4.74097,1.98106,0.858507,0.515981,-1.24311,-0.111849,-0.215974,-0.140846,-2.3394,-0.176036,-1.07207,-0.236623,0.493001,2.27403,0.219373,5.16283,-0.270084,0.0162581,-0.262704,-3.72203,1.73671,1.70123,6.66311,1.7408,-1.89037
-729.61,0.998853,0.00578866,8,255,0,735.748,-1.14361,-0.265722,1.90786,-0.194897,-1.7083,0.741429,0.075578,0.885005,1.23181,-1.77414,5.0229,5.22801,-0.0235507,-0.557517,-2.10249,0.472244,-1.13991,1.19605,0.380108,-0.505049,0.287817,0.767471,-1.70612,0.779625,10.3995,-0.546226,-0.177483,0.733611,-1.45999,2.60906,1.14551,0.515359,1.81098,-3.48767,-0.0612502,0.464984
-735.995,0.999999,0.00616638,8,255,0,737.943,-1.13442,1.04452,2.40056,-0.56153,-2.60274,1.04094,-0.827352,0.92674,2.23929,-1.82205,4.95073,5.01315,-0.604675,1.07794,0.278424,-0.517911,0.0757012,-0.922323,-0.377192,-0.231459,-0.128141,0.934368,0.0527017,-0.281508,3.6395,1.47207,0.633424,0.199359,-2.42952,3.0556,-2.21744,0.612142,3.10669,-0.613893,-0.269949,-0.402822
-728.641,0.999762,0.00658691,9,511,0,742.233,-1.07825,-1.54834,0.82887,0.407967,-0.0844483,-1.4427,-0.534168,-0.0869673,-0.265838,-1.53403,4.93594,5.23192,0.389705,-0.836221,-0.830682,-0.282378,2.34506,-1.82205,0.769094,-0.547752,-2.51601,2.40665,0.552609,-1.8507,-10.1771,-2.71261,-2.11227,2.3178,0.510525,-0.99493,-0.753108,-0.938724,-0.00460301,-1.21498,-0.437321,0.968707
-727.779,0.999906,0.00702647,8,255,0,734.958,-1.09268,0.288515,1.10782,-0.990114,0.850086,-2.04449,-0.1651,-0.334618,-0.471741,-1.30968,4.46525,5.65094,0.313833,-1.89759,-1.28372,1.56254,-0.0262388,-0.648218,0.7937,-0.547432,0.034388,-1.76338,-0.544628,1.34603,-10.5758,0.649259,-2.15561,-0.388336,1.86289,-2.93043,0.893479,-1.83895,-0.411472,-1.86472,-1.73362,2.50634
-724.623,0.998825,0.0074924,8,255,0,732.245,-1.18699,-0.170419,2.83492,-0.523067,-0.421651,0.206007,0.0115248,0.897566,-0.414985,-1.08677,5.89624,4.51137,1.61011,0.991887,0.51717,0.210583,1.99349,-1.32187,-1.06993,-1.50818,-0.628796,-0.754955,-0.328713,1.06882,12.9921,-0.871131,2.54768,0.435761,0.225154,3.24025,1.18951,0.971752,-0.536397,-1.37623,1.45295,-4.2293
-726.368,0.999818,0.0079582,8,255,0,730.355,-1.31066,0.111115,2.65694,-0.219021,0.959088,-0.592559,0.335419,0.0924952,0.181394,-0.821849,5.9395,6.15614,-0.834456,0.979642,-1.63445,0.105779,0.714665,-1.13255,-0.522918,-0.0792438,0.708902,-0.183334,-0.678567,0.752689,-5.66609,-1.26741,2.89254,0.474421,2.58301,-1.42073,1.03036,-2.9375,0.255451,1.77505,1.45448,3.83881
-722.965,0.999785,0.00846861,8,255,0,730.696,-1.26077,0.424502,1.24142,-0.958389,0.307281,-0.480798,0.00059556,1.29774,-0.0377776,-0.607741,4.66884,4.5637,0.0343572,-1.07548,0.373789,0.10759,-2.7068,-0.00389505,0.833508,-0.871169,-0.714708,0.794294,-0.960309,1.8187,-7.53848,1.28757,-3.02586,-2.49691,1.83213,-0.565013,-3.34839,4.75326,-0.0609298,1.08027,-1.07731,-2.76825
-720.354,0.999861,0.00900209,8,255,0,725.415,-1.20634,0.0124179,1.38014,-0.411275,-1.33986,-0.480648,-0.0891687,0.564615,0.407891,-0.46622,6.16638,5.56411,-0.0356385,-0.0672529,0.522943,1.61271,0.60772,0.977988,0.508296,-1.1337,-0.166805,-1.68294,0.899772,0.838073,-11.378,-1.15103,-0.728711,0.119511,-1.521,-0.742016,-5.5776,0.809788,2.4538,-1.68522,1.75973,2.24697
-719.981,0.999884,0.00956151,8,511,0,723.657,-1.01941,-0.253929,0.763318,-0.891039,-1.75648,-0.698316,-0.178815,-0.116231,-0.566544,-0.231153,5.76261,5.0133,-0.600414,0.00836402,0.127882,0.18721,-0.394859,0.559269,0.579522,0.877002,1.61929,-0.627409,1.11877,1.04813,-14.43,-1.87272,-2.9501,-2.83319,-2.47808,-1.81082,2.90776,-3.29476,-2.00904,1.7798,1.14053,0.155557
