# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1220920576
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_sigma.1,g_se,g_sp
-956.053,1,0.125,1,1,0,1733.87,0.663999,-0.484877,-1.14082,-1.97992,-1.49229,1.2698,0.675386,-0.271193,-1.91744,-0.530122,-0.670489,3.84244,-6.90112,-2.02332,-2.67733,0.254681,-1.02744,0.535072,-4.54273,-0.9377,0.673037,1.42619,-10.1582,-36.9884,-14.6076,-1.69192,-8.48901,-3.45624,-1.24045,3.09412,3.14427,-2.08742,-3.60254,18.8115,-133.568,-8.40106
-956.053,0,10.0182,0,1,1,961.788,0.663999,-0.484877,-1.14082,-1.97992,-1.49229,1.2698,0.675386,-0.271193,-1.91744,-0.530122,-0.670489,3.84244,-0.316956,-0.79927,-0.11158,1.00077,1.18956,-0.484545,1.00514,-2.295,0.234345,-0.307609,-1.2705,0.160989,-14.6076,-1.69192,-8.48901,-3.45624,-1.24045,3.09412,3.14427,-2.08742,-3.60254,18.8115,-133.568,-8.40106
-956.053,0,0.951493,0,1,1,961.61,0.663999,-0.484877,-1.14082,-1.97992,-1.49229,1.2698,0.675386,-0.271193,-1.91744,-0.530122,-0.670489,3.84244,1.44606,-0.35346,1.45039,-0.205163,-0.948593,0.651374,1.51417,0.481848,-1.13088,-0.765397,0.0173517,-1.01929,-14.6076,-1.69192,-8.48901,-3.45624,-1.24045,3.09412,3.14427,-2.08742,-3.60254,18.8115,-133.568,-8.40106
-909.805,1,0.0488594,2,3,0,957.657,0.669404,-0.56634,-1.11937,-1.82891,-1.50804,1.34794,0.566101,-0.279887,-1.73662,-0.749097,-0.141415,3.72755,0.656416,0.813455,-0.534977,-1.6205,0.114407,-0.586198,1.57643,0.0476848,-1.96173,2.93823,-8.72184,0.551028,32.7001,0.324554,-5.564,-0.623133,-0.79109,5.17511,13.3479,-0.169804,-1.6808,12.9238,-28.9006,-14.7669
-905.297,0.941993,0.0333642,4,15,0,918.336,0.580096,-0.605118,-1.28785,-1.90266,-1.73283,1.45259,0.477603,-0.238519,-1.64546,-0.733662,-0.128964,3.88552,2.26736,0.390675,1.36495,0.685949,2.19409,-0.783907,1.52172,-0.42801,-0.997677,0.575539,-2.07661,-2.20988,28.2314,0.0380812,-6.62518,-1.10925,-1.11854,5.45375,13.1385,-0.273138,-1.70979,15.3637,-38.8427,-11.7325
-751.098,0.98408,0.0219651,6,63,0,911.549,-1.44467,0.0412207,0.788267,0.0272464,-0.803094,-1.04174,-1.5294,0.231993,-0.604478,-3.1196,8.29126,5.16445,-4.57699,1.00224,3.91015,2.58502,1.55734,-3.90143,-2.48658,0.854242,1.81493,-3.95335,15.0156,2.83309,-68.7092,-0.21101,-0.13272,0.0859242,-0.744064,-1.03359,-2.97974,-0.159626,-0.686551,0.430409,4.22527,2.50961
-740.581,0.999291,0.0177899,7,255,0,756.662,-1.29106,0.429154,0.481665,-0.215267,-0.806262,-1.31342,-0.9175,-0.373471,-0.355113,-4.07207,7.46434,5.51236,4.2186,0.708261,-0.661958,-0.487064,0.184063,-0.274519,1.51368,-1.14324,0.606912,-1.53521,-2.59036,0.210685,-35.4545,0.372948,0.150242,-0.154972,-0.773065,-1.24829,-1.1436,-0.494296,-0.361397,-1.03719,3.33617,2.53555
-741.217,0.997401,0.0160309,7,255,0,749.538,-1.30763,-0.460656,-1.69644,-0.0325795,0.639058,-2.30536,-0.848644,0.346607,-0.740138,-5.72514,5.56326,5.02277,1.42338,0.603228,1.00285,-0.190771,-1.05107,-0.587476,-0.659504,-0.525638,-0.123392,0.665442,2.92926,1.41762,-35.2757,-0.472276,-1.76023,-0.0214324,0.645435,-2.29257,-0.890077,0.323644,-0.741489,-0.880754,0.709479,0.820601
-738.58,0.998926,0.0149897,8,255,0,745.577,-0.966813,-0.107542,-0.997136,0.780858,-1.74343,-0.47038,0.509689,-0.0762735,1.19799,-4.13619,4.55689,5.10326,0.589641,-0.455466,-1.72091,-0.0759848,0.867236,-2.20645,-0.861536,0.324839,-0.875246,-1.68487,0.283215,0.564163,39.6524,-0.068382,-1.23626,0.932378,-1.69258,-0.277644,0.940671,-0.104663,1.24949,-0.527246,-0.724849,-0.715488
-731.862,0.999874,0.0145222,7,255,0,742.285,-0.829222,0.487567,1.85723,-0.116803,0.581767,-1.32528,-1.78281,0.336309,-0.295272,-1.58258,6.01423,5.25286,-0.89524,-0.136863,1.75178,-1.4153,1.42727,0.134197,-0.0451068,0.210536,-1.34149,3.28085,-0.127661,0.521444,32.3822,2.07027,0.747915,2.28904,1.5247,0.520608,-1.90614,0.792188,0.52725,-4.13157,1.68868,0.258413
