# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1220920576
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-1011.92,0.666728,0.125,2,3,0,1068.52,1.24154,-1.01061,1.83428,0.982963,-1.42229,-0.29903,1.10321,0.0956311,1.32242,7.55022,-0.682533,2.51845,0.335696,0.925425,0.125,0.00167744,1,0.999827,7.50679e-05,0.265767,0.99993,0.876919,0.999987,8
-1011.92,0,5.46549,0,1,1,1015.95,1.24154,-1.01061,1.83428,0.982963,-1.42229,-0.29903,1.10321,0.0956311,1.32242,7.55022,-0.682533,2.51845,0.335696,0.925425,0.125,0.00167744,1,0.999827,7.50679e-05,0.265767,0.99993,0.876919,0.999987,8
-1011.92,0,0.433765,0,1,1,1015.8,1.24154,-1.01061,1.83428,0.982963,-1.42229,-0.29903,1.10321,0.0956311,1.32242,7.55022,-0.682533,2.51845,0.335696,0.925425,0.125,0.00167744,1,0.999827,7.50679e-05,0.265767,0.99993,0.876919,0.999987,8
-950.101,0.97899,0.0201032,5,31,0,1022.4,1.71158,0.25929,1.51918,0.774256,-2.11154,-0.537233,0.238933,-0.26446,1.27101,3.34395,-0.606871,4.24175,0.352773,0.985822,0.125,0.929474,0.998878,0.986622,0.00472905,0.478787,0.924879,0.695771,0.997431,8
-881.395,0.981409,0.0121247,5,31,0,956.713,0.640725,-0.335055,1.47403,0.42214,-2.11578,-0.486633,-1.00248,-0.198993,1.12938,1.82043,0.317151,3.9118,0.57863,0.980388,0.125,0.507694,0.965246,0.80364,0.0387575,0.439016,0.234295,0.569171,0.936831,8
-833.638,0.999917,0.00859093,5,31,0,886.517,0.239655,-0.286159,1.48636,-0.0145943,-1.93683,-0.680217,-0.392262,0.00316644,0.878061,1.16086,0.724802,4.0754,0.673664,0.983298,0.125,0.476883,0.877086,0.555449,0.118288,0.365868,0.446281,0.560534,0.778848,8
-770.9,0.999975,0.00712099,6,63,0,841.857,-0.971198,-0.119037,1.2586,-0.140715,-1.71131,-0.545031,-0.427499,-0.604592,0.251019,0.792154,1.47119,4.11245,0.813239,0.983896,0.125,0.256261,0.506452,0.253002,0.0889258,0.197349,0.212513,0.189982,0.31597,8
-754.252,0.999997,0.00633361,5,31,0,772.822,-0.731223,-0.0997454,1.16017,-0.316056,-1.75918,-0.503121,-0.266127,-0.571843,0.216048,0.751056,1.76155,4.20843,0.853403,0.985348,0.125,0.308714,0.534975,0.27516,0.113803,0.24804,0.282702,0.238538,0.361477,8
-742.477,0.999933,0.00591749,6,63,0,757.4,-1.02784,0.036182,1.16124,-0.151784,-1.79602,-0.469164,-0.123132,-0.514711,0.112535,0.669826,2.16592,4.55563,0.897147,0.989601,0.125,0.268234,0.437822,0.244253,0.0970139,0.207166,0.247813,0.2022,0.278391,8
-723.268,0.999984,0.00572541,8,255,0,751.19,-1.2208,-0.0346192,0.492339,-0.559492,-0.160966,-0.198298,0.13781,0.733792,-0.425289,0.845611,5.58934,5.6397,0.996276,0.996459,0.125,0.222687,0.309069,0.155261,0.204742,0.199649,0.248941,0.354275,0.170734,8
