# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=307650850
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_sigma.1,g_se,g_sp
-800.927,1,0.125,2,3,0,941.051,-0.873616,-0.744691,-0.0599321,-2.08874,0.558443,0.303629,0.0604725,-1.48494,0.64084,-0.45168,1.06386,-1.92477,0.977439,4.16849,3.03966,0.810585,0.637306,0.137547,1.14174,-0.220104,0.701787,-0.410655,-0.269165,-1.09182,0.761692,0.64757,-11.9195,-11.1165,-24.8853,-0.604032,0.991545,-3.92879,0.512563,0.395778,-2.25363,-1.38181,0.684967,-1.36215,1.23931,3.15697,-61.3307,-4.78296
-800.927,0,10.0182,0,1,1,805.995,-0.873616,-0.744691,-0.0599321,-2.08874,0.558443,0.303629,0.0604725,-1.48494,0.64084,-0.45168,1.06386,-1.92477,0.977439,4.16849,0.421703,0.0565927,0.673335,1.27328,-1.38648,-1.53634,1.0656,-0.974801,-0.522218,-0.202255,-0.850588,-0.477577,-0.231404,0.43975,-24.8853,-0.604032,0.991545,-3.92879,0.512563,0.395778,-2.25363,-1.38181,0.684967,-1.36215,1.23931,3.15697,-61.3307,-4.78296
-800.927,0,0.951493,0,1,1,810.044,-0.873616,-0.744691,-0.0599321,-2.08874,0.558443,0.303629,0.0604725,-1.48494,0.64084,-0.45168,1.06386,-1.92477,0.977439,4.16849,0.25071,0.164959,1.96147,-0.148803,2.10447,2.15935,-1.05462,-0.297139,-1.64074,0.729542,0.0150814,0.490555,0.415355,-0.586511,-24.8853,-0.604032,0.991545,-3.92879,0.512563,0.395778,-2.25363,-1.38181,0.684967,-1.36215,1.23931,3.15697,-61.3307,-4.78296
-739.784,1,0.0488594,4,15,0,806.482,-1.34404,-0.5063,-0.477355,-1.13259,0.383483,-0.171947,0.0377681,-1.27477,0.502234,0.554197,1.12797,-1.74597,3.90851,5.10457,2.972,0.599326,-1.17538,2.9714,-0.532418,-1.113,0.494647,0.746461,-0.46235,2.47309,-0.177921,0.0162351,9.96941,2.43273,-49.8721,-0.637367,0.774316,-3.72518,-0.192003,-1.14805,-4.39322,-1.23606,0.462744,-0.646993,1.31758,0.838474,-4.83716,1.67383
-730.838,0.998957,0.0333642,6,63,0,743.084,-1.33057,-0.0768452,-0.137578,0.34323,0.788049,0.548163,1.0057,-0.344935,1.28349,0.808267,-0.741211,-1.90408,5.2419,4.98995,3.2422,-0.0877829,0.407214,-2.18981,0.44412,0.0990893,-0.947895,-1.0817,0.147245,-0.315945,1.64914,-0.192174,-1.96003,-0.122823,-21.2157,0.130621,1.01901,-1.03636,0.643012,0.511673,-0.92196,-0.178185,1.37373,-0.174124,-0.85317,-4.22531,0.156455,0.160617
-729.535,0.989219,0.0260311,7,127,0,735.925,-1.28891,-0.27323,-0.606628,0.167612,-0.0500363,-0.045097,0.849014,-0.585357,1.27141,1.21667,-0.872366,-1.79022,5.31573,5.02786,1.42711,-0.523824,-1.29598,-0.22198,-2.04237,-1.49833,-0.356814,-0.517934,-0.340654,0.943451,-0.131003,0.937482,0.100451,0.127723,-21.4955,-0.0181131,0.650292,-1.31512,-0.595988,-0.388186,-0.903104,-0.40253,1.43837,0.225567,-0.99214,-4.35467,0.303711,0.328361
-724.029,0.999446,0.0215158,7,127,0,732.737,-1.37034,-0.00950411,-1.34997,0.965082,0.422152,0.279635,0.0731986,-0.177009,0.692668,1.23713,0.448321,-0.42812,5.78664,5.18292,-1.56549,-0.188389,-1.55421,1.34239,0.443158,0.672194,-1.77998,0.333327,-1.96161,0.357883,1.05946,1.27079,-0.244127,-0.103695,-9.90825,0.420951,1.00307,3.7253,1.96584,1.6051,-15.0902,0.240298,2.03454,-0.491537,1.60391,-1.7176,1.20312,0.711377
-721.594,0.989358,0.0194589,5,63,0,730.542,-1.58067,-0.217781,-1.69571,0.650105,0.31461,0.433528,0.84841,0.514229,0.300974,1.25112,0.321989,-0.164691,5.93197,5.46872,-2.72702,-0.126522,-1.04434,-1.29828,-0.446356,-0.439568,1.45063,1.628,-1.31583,0.0782594,-0.602873,-0.0816312,0.160034,0.620554,-0.953937,-5.45983,-0.198643,-2.42553,-3.04087,1.14517,11.3271,2.45551,-0.162993,-0.756111,0.369253,2.95732,1.46085,1.70078
-720.586,0.999148,0.0177742,7,127,0,725.501,-1.48369,0.357649,-2.29482,0.97416,0.510181,0.234472,0.557978,-0.388125,0.166535,1.59585,0.352511,-0.351917,5.74772,5.58666,-0.0629025,-1.00254,0.712653,1.44679,-0.0654968,0.869866,-1.31016,1.57061,0.126244,-0.325313,0.240326,0.621097,0.711058,0.452194,-4.93617,2.78411,-1.14403,2.70619,1.40312,-2.09979,-4.34734,-0.733702,-0.392583,0.728897,0.733258,-4.41952,1.15915,2.10388
-720.863,0.995733,0.0172461,6,63,0,723.759,-1.41923,-0.196437,-2.34166,1.01124,0.0578744,0.325795,0.651499,-0.303671,0.562925,1.64128,0.0789542,-0.318541,5.69715,5.318,0.946416,-1.09536,0.155769,-1.03932,-0.387224,0.293299,0.435655,0.315926,0.744868,-0.15058,-0.64831,0.113869,-0.363904,-0.961182,5.90421,-2.25564,-1.17948,5.24658,-3.95888,1.87715,4.44754,-0.317869,1.5943,1.4946,-0.134809,4.76656,1.13317,0.938718
-727.353,0.999103,0.0169188,7,127,0,730.688,-1.21039,-0.689707,-0.410032,1.30625,-0.824921,0.0466848,0.499128,-0.255716,-0.686343,0.855645,-0.200977,-1.13496,4.74919,5.42049,-0.267076,1.15643,0.598416,-0.790349,-0.548752,1.01103,0.915159,0.0487323,-0.125764,0.447166,-0.65483,0.286954,0.699174,-0.949197,-7.13022,-0.899304,2.09277,2.11497,-3.4498,0.451193,-0.805841,0.220991,-1.05811,-0.804106,-0.125588,-0.273044,-0.861858,1.6823
-726.991,1,0.0170473,7,127,0,729.253,-1.18186,-0.273106,-0.791306,1.23149,-0.728528,0.0818012,0.880617,-0.573953,-0.329891,0.663188,-0.38494,-1.37681,4.47381,5.33282,-0.274073,-0.735651,1.07699,0.562129,-0.931752,0.108718,-0.445353,0.533355,-0.810574,0.119245,0.2446,0.0503207,0.0995832,0.569966,5.24733,0.4625,1.10683,1.29303,-2.11376,0.722538,1.65819,-0.244311,-0.392298,-0.759008,-0.335734,-1.75913,-1.46375,1.05747
-726.217,0.996746,0.0174323,6,127,0,730.335,-1.20284,-0.984371,-1.71467,1.1655,-0.16041,-0.372589,0.809083,-0.962766,-0.693321,0.40044,0.28143,-1.16389,4.7256,4.64806,1.00246,0.543969,1.19043,0.67748,-1.17893,0.384315,0.948053,0.188174,0.0971343,-0.136924,-0.629928,-1.19866,-0.846706,0.0836798,1.06076,-1.46649,0.0412203,1.67176,-0.73233,-1.16001,2.52774,-0.770924,-0.98576,-1.40965,0.759619,-1.43042,-0.829677,-2.67244
-726.044,0.999546,0.0178025,7,127,0,734.755,-1.38008,0.180475,-0.811286,0.385932,0.596947,0.326371,0.564132,-1.22102,-0.285524,1.22912,-0.660184,-0.326509,3.72431,5.34323,-0.446498,1.04875,-0.0334273,-0.480067,-2.27447,-0.740023,1.63192,0.742895,1.17144,1.50228,-0.288026,0.562388,1.4441,0.917521,-0.901737,2.04488,2.46697,-3.93987,4.80758,2.14655,0.955443,-2.66827,-1.72584,-0.487294,-2.95009,0.637622,-4.5034,1.27452
