# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=307650850
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,sigma.1,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,marginal.10.1,index.1
-1031.29,0.3886,0.125,2,3,0,1090.43,1.60898,1.26977,-0.894314,-1.59455,0.990857,1.27722,1.71409,-0.489791,0.613793,-0.807482,1.28304,0.723215,-0.980134,2.3303,0.272865,0.911356,0.1,0.926034,0.723562,0.612013,0.910974,0.926401,0.945248,0.778122,0.886239,0.735945,0.926688,10
-1031.29,0,3.29619,0,1,1,1040.66,1.60898,1.26977,-0.894314,-1.59455,0.990857,1.27722,1.71409,-0.489791,0.613793,-0.807482,1.28304,0.723215,-0.980134,2.3303,0.272865,0.911356,0.1,0.926034,0.723562,0.612013,0.910974,0.926401,0.945248,0.778122,0.886239,0.735945,0.926688,10
-1031.29,0,0.225191,0,1,1,1033.63,1.60898,1.26977,-0.894314,-1.59455,0.990857,1.27722,1.71409,-0.489791,0.613793,-0.807482,1.28304,0.723215,-0.980134,2.3303,0.272865,0.911356,0.1,0.926034,0.723562,0.612013,0.910974,0.926401,0.945248,0.778122,0.886239,0.735945,0.926688,10
-1000.51,0.999473,0.00958074,4,15,0,1040.1,1.67938,1.38453,-0.824253,-1.50078,0.966858,1.30627,1.73049,-0.423306,0.64584,-0.921409,1.21275,0.646291,-0.567189,2.34278,0.361886,0.912358,0.1,0.929182,0.758903,0.670278,0.909229,0.925781,0.942556,0.803103,0.89059,0.747228,0.921519,10
-912.919,0.999994,0.00580733,7,127,0,1007.84,0.710907,1.09173,-1.18154,-0.995797,1.26387,1.92021,1.53403,-0.84322,1.11493,-1.07834,0.802855,0.30211,-0.291041,4.96455,0.427749,0.993067,0.1,0.73899,0.587576,0.601104,0.748896,0.78432,0.763931,0.612103,0.74034,0.59511,0.72181,10
-888.47,0.999251,0.00421213,7,127,0,916.542,0.389997,1.19654,-1.24027,-0.848452,1.40263,1.81756,1.45375,-0.789729,1.01917,-1.01111,0.651669,0.237779,0.0118454,5.06559,0.502961,0.993729,0.1,0.662512,0.523754,0.546925,0.67338,0.694698,0.676048,0.550383,0.653018,0.537325,0.632963,10
-839.762,0.99977,0.00341795,7,127,0,897.806,-0.28611,1.55536,-1.41144,-0.901553,1.22312,1.80662,1.23939,-0.651508,1.19318,-0.577369,0.491176,0.16282,0.377913,5.07205,0.59337,0.993769,0.1,0.491784,0.373807,0.393434,0.478273,0.502011,0.478934,0.403191,0.477057,0.406099,0.448648,10
-783.717,0.999872,0.00300132,7,127,0,850.576,-0.826457,1.4762,-1.45161,-0.376285,1.1297,1.51483,1.36582,-0.478402,1.5784,-0.523157,0.366495,0.131866,1.26219,5.20029,0.779403,0.994515,0.1,0.347103,0.265441,0.293991,0.336822,0.348259,0.343812,0.291204,0.350164,0.289988,0.314723,10
-753.16,0.999998,0.00278289,8,255,0,787.361,-1.25359,1.14669,-1.22108,-0.511155,1.35178,1.40217,1.51277,-0.708248,1.54895,-0.863063,0.324119,0.117938,2.37366,5.22408,0.914797,0.994644,0.1,0.246318,0.198197,0.21184,0.250835,0.251954,0.25442,0.207985,0.255231,0.204993,0.228754,10
-739.295,1,0.0026833,9,511,0,759.414,-1.28524,0.461888,-1.04461,-0.788013,1.62475,1.54569,1.02539,-0.839863,0.553642,-0.311211,1.32002,0.0452468,5.37227,6.0114,0.995378,0.997555,0.1,0.220228,0.208746,0.21067,0.229397,0.228765,0.224638,0.21028,0.220942,0.21428,0.226968,10
-738.484,1,0.00266125,11,2047,0,748.723,-1.09774,0.367398,-0.178203,0.869616,1.03032,-2.18953,-0.794513,1.56762,-0.521524,0.301165,0.439643,0.127736,5.16615,4.29354,0.994326,0.986528,0.1,0.25907,0.245919,0.271573,0.275653,0.201424,0.231613,0.289566,0.237877,0.25745,0.260846,10
-737.204,0.999989,0.00269471,10,2047,0,744.591,-1.16949,0.955354,-0.26833,0.0736704,0.922654,-0.406031,0.557163,-0.0805853,-0.818786,0.494365,-2.22577,0.0259492,4.50895,6.03902,0.98911,0.997622,0.1,0.241458,0.23569,0.237292,0.241303,0.235047,0.239571,0.236569,0.233127,0.239274,0.226663,10
-737.053,0.999976,0.00277082,10,1023,0,742.13,-1.07096,1.28046,-0.451647,0.457663,0.978921,-0.176339,0.432695,-0.0166715,-0.610042,0.676231,-2.38371,0.0252627,4.69141,5.7435,0.99091,0.996807,0.1,0.261418,0.253058,0.257424,0.25995,0.254375,0.257304,0.25514,0.252302,0.258481,0.243943,10
-735.402,1,0.0028818,10,1023,0,740.891,-1.20698,0.866958,0.0563876,0.0956267,-1.3513,-0.34747,0.102079,-1.28972,-1.12953,-1.04084,-0.55881,0.0439763,5.27414,4.50575,0.994904,0.989075,0.1,0.237063,0.230676,0.230983,0.219874,0.22754,0.231033,0.220339,0.221551,0.222225,0.22591,10
-736.322,0.999969,0.00302312,10,1023,0,743.829,-1.14509,-0.451606,0.695522,-0.471163,2.13332,0.0192928,0.786943,0.951019,0.397978,0.523071,0.385422,0.0133681,4.68123,4.54986,0.990817,0.989542,0.1,0.240283,0.243094,0.240235,0.246648,0.241434,0.243319,0.243723,0.242363,0.24267,0.242332,10
-738.896,0.999998,0.00319119,10,1023,0,743.897,-1.05426,-1.36214,-1.49018,1.14054,-0.412838,0.22545,-2.16784,0.539301,1.62172,0.1992,-0.180007,0.0875038,5.67534,5.86679,0.996582,0.997176,0.1,0.236231,0.234216,0.277989,0.251545,0.262206,0.223748,0.267553,0.286518,0.261762,0.255401,10
