# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=896279109
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/c19zones_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_sigma.1,g_se,g_sp
-728.684,0.995559,0.0163679,7,127,0,731.374,-0.991978,-0.45087,-0.729964,-0.198138,-0.395874,-0.291037,0.862647,-1.48904,5.70701,5.9362,-0.197514,-0.0167568,-0.788399,0.00025119,-0.91905,0.0845398,-0.480443,0.399199,1.7186,0.72412,32.711,0.433281,1.26336,0.646761,0.53401,2.09266,1.42973,-3.36818,1.26142,2.87384
-730.926,0.997962,0.0167738,7,127,0,736.004,-1.06536,0.0152569,-0.278248,-1.50211,0.580426,-1.01096,1.34528,-1.44001,4.29476,4.45063,-0.934372,-0.127374,-0.643521,0.517419,1.72364,-1.00945,0.208556,-0.450533,1.75252,1.12953,31.2886,1.14349,2.24686,-1.22132,2.67959,-1.26779,3.23425,2.14899,-1.51857,-5.44347
-730.756,0.999943,0.0174074,7,127,0,736.749,-1.32803,1.12434,-0.0252659,-1.12553,0.622372,-0.141075,1.66377,-1.45354,3.56646,5.37984,-1.66564,-0.998739,-0.139098,-0.98176,0.404194,-1.93332,-0.563991,-0.653913,-0.79068,-1.3993,-14.0604,2.04136,0.104755,-1.14736,0.793226,-1.59129,-1.05817,-3.9317,-5.85393,1.64
-725.828,0.998415,0.0182435,7,127,0,732.932,-1.23975,-0.712505,-0.0342692,-0.989324,0.156208,0.135906,1.17945,-0.836755,5.94694,4.88555,-0.308595,1.75542,0.617256,-0.76564,0.904068,-0.719024,1.13245,-0.623911,-2.60106,0.540188,18.0794,-1.99848,2.35005,-1.09477,1.10162,2.25007,5.49437,5.89623,1.54911,-1.4918
-727.59,0.978909,0.019081,6,127,0,731.824,-1.43598,-0.767163,-0.385296,-0.451236,0.0499351,0.32878,0.917849,-0.850177,5.61019,4.82112,-0.817119,-0.206369,1.05637,-1.97061,0.318354,-0.444941,0.811624,0.092648,1.3344,0.106457,-34.9326,-3.171,-3.41884,-0.462237,-1.5276,-0.0339302,-6.00796,-4.10963,0.796606,-0.0431718
-729.879,0.994694,0.0188476,7,127,0,731.826,-1.39164,-0.667625,0.15288,-0.80972,-0.827869,-0.473684,1.31021,-1.43436,5.37429,4.78754,0.681137,0.650143,-0.201836,-0.282512,-0.460044,-1.03783,0.365879,-0.47797,-0.601466,0.934329,-39.159,-1.3735,0.5235,-0.758226,-2.57927,-2.92789,-3.19921,-3.57137,0.31993,-0.0669932
-731.125,0.999799,0.019566,7,127,0,733.319,-0.963035,-0.177473,-0.785606,-0.377224,-0.23658,-1.05501,1.22912,-1.40903,6.69901,5.24994,0.450364,0.453059,-1.39513,0.458719,0.849807,0.547308,-0.377177,0.619433,0.170619,0.495765,42.0806,1.23053,1.52023,0.521142,1.26973,-0.464321,5.03899,0.547374,2.55218,0.0472067
-727.4,0.999841,0.0206444,7,127,0,732.848,-1.08675,-0.303141,-1.19245,-0.266673,-0.226724,-0.433306,0.848601,-1.27877,6.96011,5.05037,-2.64743,-0.38817,-0.561472,0.0967793,-0.111527,1.31824,-1.03073,0.625391,-0.209433,-0.405771,8.99039,0.484165,-1.47654,0.542702,0.528428,0.50805,0.644769,-1.58944,2.80203,-0.358
-726.323,0.999647,0.0217936,7,127,0,730.652,-1.21042,-0.169874,0.0395428,-1.7741,-0.0789044,0.0719987,0.478314,-0.340457,4.83614,5.0767,0.513181,0.29951,0.324107,-0.60323,-0.164493,-0.559876,0.288223,0.275723,2.38625,-1.28141,5.01945,-0.163847,5.74082,-4.1574,-0.465573,3.89605,-1.85085,3.35584,-0.513492,0.045039
-724.784,0.997201,0.0229959,6,63,0,729.594,-1.05253,-0.637262,-0.910614,-0.21041,-0.200315,-0.655183,0.711112,-0.786326,4.66486,5.31541,0.0625967,0.00744868,0.846316,-2.20853,0.764855,0.838776,-0.0525102,1.63408,-0.198241,0.143418,4.26235,-0.775338,-2.49214,1.10087,0.90081,-2.74967,4.5338,4.57781,-0.930822,1.10948
-725.21,0.991494,0.0240896,7,127,0,727.915,-1.32694,0.486975,-0.0845123,-0.0460254,-0.182191,0.121697,1.14848,-0.563039,4.94872,5.15154,0.723956,0.213187,-0.325566,0.437831,-0.531681,-0.543574,-1.46,-0.765015,-0.685983,0.882363,14.9892,3.23165,0.0372221,0.814476,-2.71228,0.283859,9.08115,10.4474,-0.144867,0.139789
-724.256,0.991123,0.0248191,6,63,0,727.002,-1.40666,-0.461662,-0.126657,-0.462406,0.219769,0.107352,0.849856,-0.576187,4.96226,4.97146,-0.815001,0.191383,-0.266917,0.183188,1.13489,-0.24442,0.788416,1.60778,-0.303224,-0.200733,-22.0512,-3.06091,-1.9963,-0.621339,-0.253699,-1.99631,-3.54821,-2.9953,-0.474797,0.17853
-724.254,0.980289,0.0255423,6,63,0,727.747,-1.40392,-0.523915,-0.164246,-0.354847,0.320471,0.175138,0.906713,-0.588227,5.01721,4.82455,1.72593,-0.268459,-0.107429,0.875016,0.798009,0.671225,0.73307,0.139508,0.457505,-1.14227,-15.8225,-3.22135,-2.21371,-0.297149,0.716021,-0.700359,-1.93091,-1.3148,-0.289192,-0.769767
-725.434,0.997679,0.0254883,6,127,0,728.386,-0.96095,-0.169052,-0.695895,-0.58937,0.12033,-0.626859,0.245151,-0.740576,5.26019,5.4497,-0.760102,-0.514473,0.66934,0.446253,1.70688,0.859427,0.0715667,0.232208,-0.339966,-0.766809,17.4928,2.18383,0.859908,0.478539,4.5842,-0.647115,-0.375598,-2.23533,0.459567,1.35849
-724.518,0.999749,0.0267151,6,127,0,727.285,-1.21899,-0.251175,-0.650777,-0.845467,-0.297216,-0.367255,0.758786,-0.958227,5.96815,4.88593,0.104325,-0.378516,0.188567,-0.328739,-0.963616,0.735844,1.466,0.351543,0.785558,-0.9362,-15.8576,-0.0723661,-1.67965,-0.677647,-1.00176,-1.88969,-1.94696,-1.41822,1.459,-0.514417
-725.835,0.999806,0.0281452,6,63,0,727.797,-1.28912,-0.631476,-0.683566,-0.846113,-0.0464469,0.256312,1.56698,-1.40304,5.92138,4.74891,-0.945634,0.102272,-0.568964,-0.306203,-0.430686,-0.241542,-0.423047,0.147122,0.782365,-1.24347,-6.93164,-0.979099,-1.18985,-0.665209,-0.275621,0.940962,0.397294,-1.98837,1.41936,-1.63555
-730.129,0.997304,0.0296334,6,63,0,733.2,-1.20881,0.109921,-0.00202877,-0.651816,0.577968,-0.224606,2.28019,-1.80116,3.88931,5.96436,0.412641,0.644819,0.461946,0.620669,-0.0128196,-0.0909715,-1.11737,0.848542,0.322333,1.69591,6.96065,0.404826,0.920096,-0.39536,1.0062,-0.342311,1.84501,-1.68986,-3.51261,3.19986
-731.951,0.998782,0.030962,6,63,0,735.33,-1.2767,1.60543,-0.265882,-0.758462,0.0184356,0.00391205,2.07756,-1.73449,6.75506,4.36182,0.15783,0.111886,0.305823,-0.302003,0.548501,-0.846105,1.58031,0.126026,-1.64622,0.542599,7.84075,2.73711,0.38771,-0.515584,0.0586366,0.231253,1.391,-0.789389,2.55937,-5.35108
-737.269,0.964462,0.0324568,7,127,0,744.746,-1.11846,-2.0784,-0.595008,0.493561,1.97992,1.44581,1.65435,-2.95487,4.71314,5.8491,1.77519,-1.8124,0.833321,0.651685,-0.248202,-0.584516,-1.26163,-1.04076,-2.06158,-0.265524,11.5687,-2.00282,-0.134146,0.663032,2.28133,2.01767,0.735991,-1.39129,-0.739333,2.82746
-738.93,0.982219,0.0309943,7,127,0,742.903,-1.02262,1.82643,0.817412,-0.912546,-1.75852,-1.95445,-0.341796,-2.70076,5.57951,5.86269,-0.810552,0.853166,-0.759922,1.47179,-0.280608,0.651689,1.74649,0.0593033,0.275703,0.43117,17.124,2.3397,1.99594,-0.685659,-1.59138,-1.60141,-1.56205,0.194057,0.997441,2.83208
