# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=744051095
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,index.1,index.2,index.3,index.4
-740.885,1,0.00462654,9,511,0,755.687,-1.26195,0.212263,1.10233,-0.236794,-1.99578,-0.884912,0.563621,0.921609,-0.302128,0.463547,0.307561,-0.945183,-1.53491,0.683196,0.588937,-0.509795,1.0777,1.33674,0.696051,-0.632651,0.652632,0.080869,0.147386,0.0250497,5.2308,5.78098,0.994679,0.996924,0.000437415,0.237707,0.357628,0.188797,0.0688441,0.132361,0.281619,0.331074,0.182363,0.239785,0.237592,0,0,0,0,0,0,0.246429,0.203154,0.229827,0.267956,0,0,0,0,0.234102,0.240384,0.241953,0.236617,0.239947,0,0,0,8,10,6,9
-736.867,0.998764,0.00468178,10,1023,0,755.313,-0.404209,-0.848208,2.46076,-0.908242,0.769064,-1.02312,-0.920395,-0.278361,-0.476156,0.423523,-0.233237,1.33445,1.6166,0.313019,0.264045,0.238048,-0.702101,-1.47365,-0.145472,0.311334,0.343697,0.0226407,0.196851,0.432269,5.31793,5.08374,0.995121,0.993841,0.000437415,0.256082,0.514381,0.252211,0.373603,0.244911,0.251432,0.294703,0.280922,0.305969,0.302975,0,0,0,0,0,0,0.296509,0.366012,0.29203,0.296033,0,0,0,0,0.264716,0.273086,0.328897,0.311088,0.395856,0,0,0,8,10,6,9
-738.203,0.999981,0.00478751,9,1023,0,751.567,-0.977542,0.139557,0.456221,-0.641779,-1.82172,-1.25642,-0.399791,0.174788,-0.135019,1.02027,-0.647215,-0.900863,-2.35054,1.18487,0.518101,-1.6295,-0.778075,2.23577,0.645849,1.40837,0.691209,0.255275,0.0437991,0.254017,4.82827,5.2078,0.992063,0.994556,0.000437415,0.287134,0.333183,0.191172,0.0952628,0.134341,0.218043,0.29207,0.250405,0.26377,0.191868,0,0,0,0,0,0,0.2322,0.223479,0.227629,0.234016,0,0,0,0,0.188328,0.222598,0.247863,0.234016,0.288226,0,0,0,8,10,6,9
-728.807,0.999979,0.00496732,10,1023,0,750.041,0.188424,-0.40768,0.638197,-1.02651,-0.644355,-1.27589,-0.968884,-0.720583,-0.890531,0.412325,-0.13345,1.03778,1.26649,-1.85042,-0.907468,1.5289,-0.191554,0.165714,-0.34642,0.177141,0.560082,0.180331,0.705471,0.23923,5.59094,5.45691,0.996282,0.995751,0.000437415,0.282923,0.413749,0.218497,0.256984,0.195706,0.224026,0.248967,0.231701,0.266565,0.248305,0,0,0,0,0,0,0.258042,0.311324,0.226606,0.265691,0,0,0,0,0.237841,0.25104,0.262059,0.254484,0.316048,0,0,0,8,10,6,9
-731.383,0.996835,0.00519502,10,1023,0,741.36,-1.53239,0.575815,1.79033,0.101466,-1.41377,-0.0369264,0.242139,0.375681,-0.00270153,1.94388,0.0696645,-0.542734,0.222256,-1.01354,-0.875434,-0.611533,-0.396426,0.00782114,-0.869221,-0.648602,0.434055,0.0207868,0.536422,0.238987,5.3961,4.72041,0.995486,0.991167,0.000437415,0.228361,0.332173,0.194507,0.111775,0.185369,0.204138,0.2136,0.187598,0.216915,0.210563,0,0,0,0,0,0,0.230558,0.118869,0.21793,0.243902,0,0,0,0,0.198706,0.209254,0.214442,0.199979,0.282001,0,0,0,8,10,6,9
-735.994,0.999901,0.00541233,9,511,0,748.735,-0.468213,-1.24275,0.502383,-0.700746,-0.729786,-1.09441,-0.726677,-0.248803,-0.861704,-0.313423,0.680031,1.68319,-0.405896,0.309952,-0.464968,1.13277,0.00716651,-2.13776,-0.914972,1.36772,0.631294,0.187264,0.385593,0.0994564,5.45464,5.23344,0.995742,0.994693,0.000437415,0.168502,0.378134,0.221861,0.21872,0.182004,0.219054,0.274826,0.204853,0.222047,0.255008,0,0,0,0,0,0,0.244576,0.242563,0.218241,0.242778,0,0,0,0,0.229894,0.236272,0.244738,0.233916,0.243582,0,0,0,8,10,6,9
-733.765,0.999673,0.00571764,9,511,0,745.708,-0.753173,0.711143,1.67365,-0.917057,-1.31757,-0.763095,-0.600841,0.907457,0.267144,1.32086,-0.801391,-0.846232,-1.18148,0.888773,1.15457,-0.652707,-0.551923,1.41235,1.07703,0.621645,0.356753,0.0774912,0.558764,0.225242,4.70828,4.88776,0.99106,0.992518,0.000437415,0.28043,0.353756,0.179724,0.159746,0.187902,0.196825,0.294631,0.249886,0.251679,0.22283,0,0,0,0,0,0,0.235817,0.198863,0.251193,0.268084,0,0,0,0,0.20417,0.21003,0.270177,0.243408,0.28839,0,0,0,8,10,6,9
-736.618,0.999858,0.0060549,9,511,0,755.202,-1.12306,1.07493,0.679118,-0.593664,-1.4251,-0.19877,0.118147,1.45069,-0.559779,0.96231,-0.933524,-0.482945,-0.866646,0.54665,1.03043,-0.867287,-0.123541,1.33402,0.2515,-0.504811,0.518213,0.172891,0.408427,0.0963909,4.72292,5.40221,0.991189,0.995514,0.000437415,0.326997,0.284076,0.171198,0.118689,0.201918,0.22939,0.370586,0.173683,0.267408,0.210163,0,0,0,0,0,0,0.23477,0.180903,0.263833,0.288702,0,0,0,0,0.230636,0.235889,0.258833,0.224749,0.250265,0,0,0,8,10,6,9
-739.574,0.998809,0.00642986,9,511,0,752.214,-0.391054,-1.08232,2.28352,-1.14353,-1.65109,-1.02446,-1.29971,1.15627,-1.90593,1.01529,0.452114,0.642547,1.13113,-0.26356,-1.64057,0.536077,-0.426576,-1.18046,0.0260699,0.434336,0.299543,0.198503,0.615953,0.0953259,6.72756,5.40642,0.998804,0.995532,0.000437415,0.208089,0.417129,0.205098,0.181523,0.210945,0.197612,0.338531,0.170502,0.255489,0.235667,0,0,0,0,0,0,0.251538,0.199275,0.264997,0.234565,0,0,0,0,0.235844,0.231333,0.27362,0.221608,0.271071,0,0,0,8,10,6,9
-738.268,0.999943,0.00681661,9,511,0,754.599,-0.179303,-0.157621,0.756912,-0.775495,-1.27727,-1.26709,-0.645308,-0.57654,0.459962,-1.33921,-1.33843,0.0774607,-0.743187,-0.234808,-1.48603,-0.147802,0.457296,-1.38294,-0.896639,1.21851,0.893867,0.274425,0.2232,0.026684,5.27685,4.83994,0.994917,0.992155,0.000437415,0.285588,0.474998,0.187115,0.128176,0.129196,0.205452,0.215662,0.409678,0.252986,0.253023,0,0,0,0,0,0,0.259858,0.240362,0.240748,0.265071,0,0,0,0,0.250145,0.253044,0.253366,0.258248,0.24981,0,0,0,8,10,6,9
