# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=678216098
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_adjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_adjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,se_t,sp_t,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,marginal.10.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.9.2,marginal.10.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.9.3,marginal.10.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,marginal.9.4,marginal.10.4,index.1,index.2,index.3,index.4
-1031.26,1,0.0625,4,15,0,1687.88,-0.644299,-1.2211,-0.218147,-2.23688,-1.67639,1.24837,-0.0731016,0.785669,0.62473,0.580581,-0.374613,0.108525,-0.0798809,-0.146243,1.73775,0.646394,0.756624,-1.79455,0.585819,1.94568,-0.321725,-0.966314,2.48034,0.917727,4.65631,1.85754,1.345,1.06883,0.793311,0.744375,0.000344454,0.180384,0.234416,0.121223,0.160157,0.305253,0.244527,0.292099,0.285684,0.283708,0.223744,0.233861,0.230196,0,0,0,0,0,0,0,0,0.000369976,0.00490737,0.947234,0.478539,0,0,0,0,0,0,0.255558,0.202754,0.239481,0.233223,0.231448,0,0,0,0,0,10,12,6,9
-1031.26,0,10.0182,0,1,1,1042.6,-0.644299,-1.2211,-0.218147,-2.23688,-1.67639,1.24837,-0.0731016,0.785669,0.62473,0.580581,-0.374613,0.108525,-0.0798809,-0.146243,1.73775,0.646394,0.756624,-1.79455,0.585819,1.94568,-0.321725,-0.966314,2.48034,0.917727,4.65631,1.85754,1.345,1.06883,0.793311,0.744375,0.000344454,0.180384,0.234416,0.121223,0.160157,0.305253,0.244527,0.292099,0.285684,0.283708,0.223744,0.233861,0.230196,0,0,0,0,0,0,0,0,0.000369976,0.00490737,0.947234,0.478539,0,0,0,0,0,0,0.255558,0.202754,0.239481,0.233223,0.231448,0,0,0,0,0,10,12,6,9
-1031.26,0,0.951493,0,1,1,1038.94,-0.644299,-1.2211,-0.218147,-2.23688,-1.67639,1.24837,-0.0731016,0.785669,0.62473,0.580581,-0.374613,0.108525,-0.0798809,-0.146243,1.73775,0.646394,0.756624,-1.79455,0.585819,1.94568,-0.321725,-0.966314,2.48034,0.917727,4.65631,1.85754,1.345,1.06883,0.793311,0.744375,0.000344454,0.180384,0.234416,0.121223,0.160157,0.305253,0.244527,0.292099,0.285684,0.283708,0.223744,0.233861,0.230196,0,0,0,0,0,0,0,0,0.000369976,0.00490737,0.947234,0.478539,0,0,0,0,0,0,0.255558,0.202754,0.239481,0.233223,0.231448,0,0,0,0,0,10,12,6,9
-763.41,0.967742,0.0488594,5,31,0,1037.87,-0.771472,0.46772,-1.16137,1.49775,0.477777,-3.22452,-1.96311,0.0324881,-0.5608,0.153955,-0.193216,-0.145862,-0.615882,0.228359,0.261499,0.730419,0.0329986,-2.10931,0.511774,1.71732,-1.32307,-0.578741,0.0539947,0.194291,0.00149266,0.0872807,6.71456,5.94624,0.998788,0.997391,0.000344454,0.284989,0.267459,0.296421,0.285099,0.246264,0.259087,0.280239,0.273842,0.28156,0.277794,0.27938,0.261437,0,0,0,0,0,0,0,0,0.271981,0.271681,0.270593,0.270963,0,0,0,0,0,0,0.2383,0.258822,0.293546,0.282942,0.295746,0,0,0,0,0,10,12,6,9
-758.685,0.992266,0.0304266,7,127,0,778.518,-1.2664,-1.58073,-1.09976,-0.612497,-0.617095,2.50273,0.940414,-0.949094,-0.303429,2.10265,-0.127982,-0.0656561,-0.199502,0.0369575,-1.39116,-1.2406,-0.250967,1.23109,-0.551128,-1.03213,1.68234,0.286868,0.0362652,0.842932,0.00186634,0.0481454,3.82111,5.60632,0.978566,0.996339,0.000344454,0.198777,0.201567,0.204422,0.204395,0.223385,0.213722,0.202446,0.206249,0.220881,0.207291,0.217344,0.198785,0,0,0,0,0,0,0,0,0.20902,0.209019,0.209982,0.209499,0,0,0,0,0,0,0.22408,0.211285,0.196537,0.201487,0.220752,0,0,0,0,0,10,12,6,9
-758.38,0.999461,0.0231772,7,127,0,773.842,-1.35463,-0.0992053,-1.25718,1.23563,0.779987,-1.69727,0.537413,1.86628,-0.925308,0.00042798,-0.217557,0.1395,0.119822,-0.362783,0.922325,1.62967,-0.0198935,-1.51971,-0.878279,-1.34261,-0.342671,-1.05021,0.217792,0.115586,0.00020389,0.0433519,6.6346,4.96225,0.998688,0.993051,0.000344454,0.205224,0.167141,0.256657,0.238197,0.154226,0.228749,0.283704,0.177441,0.208783,0.201053,0.207853,0.207483,0,0,0,0,0,0,0,0,0.207714,0.207699,0.207617,0.207691,0,0,0,0,0,0,0.194858,0.210361,0.219996,0.200114,0.206556,0,0,0,0,0,10,12,6,9
-754.607,0.995117,0.0197053,8,255,0,776.502,-0.861033,-1.83392,-2.62169,0.00789305,-1.36409,1.47835,0.414486,-1.28994,0.659531,2.06449,0.92099,-0.388838,-1.87044,1.41377,-1.43635,-0.645074,-0.539989,-0.653358,-1.08457,0.115022,0.238333,1.54511,0.18666,0.262732,0.00158059,0.152053,5.33214,5.70241,0.99519,0.996673,0.000344454,0.197929,0.175826,0.257421,0.212065,0.312472,0.272003,0.214362,0.281033,0.336095,0.290864,0.285369,0.214098,0,0,0,0,0,0,0,0,0.254267,0.253866,0.254697,0.254386,0,0,0,0,0,0,0.285607,0.254382,0.209173,0.261375,0.303739,0,0,0,0,0,10,12,6,9
-749.046,0.999834,0.0175574,8,255,0,769.768,-1.64947,1.74619,-0.139941,-0.240612,0.595771,0.0347622,0.956841,0.376765,-0.796288,0.513411,-1.11609,0.892043,0.28084,-0.902494,1.28849,0.168613,-0.0680549,0.866287,1.66426,-0.319211,-0.28283,-1.47966,0.0731576,0.491704,0.00638721,0.0750956,4.5659,5.48133,0.989707,0.995853,0.000344454,0.233794,0.21008,0.208866,0.219115,0.212201,0.22365,0.216397,0.202253,0.21809,0.198518,0.237323,0.187293,0,0,0,0,0,0,0,0,0.21517,0.216069,0.215466,0.216459,0,0,0,0,0,0,0.212488,0.224255,0.216799,0.202273,0.218539,0,0,0,0,0,10,12,6,9
-756.731,0.998973,0.0165576,8,255,0,768.023,-0.960113,-1.78135,-3.78442,-1.58664,-0.200484,-0.247169,0.560002,1.28083,-0.455466,3.91033,0.781224,-0.652159,-1.34386,0.703389,-0.708219,-0.624489,-0.0625638,-0.882406,-1.63422,0.50931,0.419522,1.6549,0.206163,0.35458,0.00309076,0.0695071,5.11798,5.55685,0.994048,0.996154,0.000344454,0.166731,0.117034,0.172365,0.216841,0.215217,0.24453,0.272887,0.208079,0.391611,0.253017,0.231032,0.191069,0,0,0,0,0,0,0,0,0.213251,0.213955,0.213931,0.214342,0,0,0,0,0,0,0.202145,0.211159,0.21945,0.199865,0.251609,0,0,0,0,0,10,12,6,9
-742.931,0.998939,0.0160514,8,255,0,767.026,-1.15536,-1.12663,-2.97717,1.62047,0.0146206,0.291315,-0.0774042,-0.0963193,1.38221,2.07689,-0.935994,-0.474726,-0.916331,0.121801,-0.0344157,-1.32459,0.648338,0.556076,0.284567,1.15578,0.262039,0.627572,0.323406,0.315371,0.00183741,0.124066,5.45311,5.10219,0.995735,0.993953,0.000344454,0.158499,0.0938914,0.313644,0.213977,0.229375,0.209025,0.208018,0.297346,0.346159,0.16688,0.225997,0.20314,0,0,0,0,0,0,0,0,0.216241,0.215754,0.215838,0.215726,0,0,0,0,0,0,0.212657,0.20528,0.204906,0.235574,0.251006,0,0,0,0,0,10,12,6,9
