# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=744051095
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/loc_coded_adjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4,g_se,g_sp
-1121,0.571429,0.125,2,7,1,2248.84,2.41899,0.255698,0.482889,1.97417,-0.919617,-0.0195287,1.95763,0.907363,-0.30356,1.31843,-1.04401,-1.33812,-0.176152,-1.36654,1.67264,-2.04432,-0.770154,-0.229027,-0.54591,0.122468,0.700453,0.206582,1.10089,-0.397997,0.183011,9.63061,-4.80004,-1.24329,-2.03621,-5.27728,-2.31353,-2.87437,-1.99784,-1.32461,-3.29509,-5.31133,-4.9247,0.931597,0.012974,-1.18226,1.47373,0.453852,0.418814,1.29323,1.16953,-0.415644,-1.29141,8.7063,-0.978186,1.0011,0.105624,-45.0438,2.94064,0.0367913,0.852979,2.25079,-3.57178,3.86666,2.63295,0.906584,0.331774,1.62321,-0.709298,-1.33812,-0.176152,-1.36654,1.67264,-2.04432,-0.770154,-0.229027,-0.54591,0.122468,3.59227,0.284317,3.40521,-0.146392,287.318,8.58974
-1121,0,4.59598,0,1,1,1134.5,2.41899,0.255698,0.482889,1.97417,-0.919617,-0.0195287,1.95763,0.907363,-0.30356,1.31843,-1.04401,-1.33812,-0.176152,-1.36654,1.67264,-2.04432,-0.770154,-0.229027,-0.54591,0.122468,0.700453,0.206582,1.10089,-0.397997,0.183011,9.63061,0.172503,0.799346,1.35369,0.649773,1.66918,1.7634,0.241627,-1.95151,-0.695304,1.22426,-0.086169,0.720065,-0.367523,1.5446,-1.44387,-0.48034,-0.635516,-0.980331,1.36209,0.816526,0.244469,-1.67477,0.0527925,-0.139772,-0.190813,-0.404899,2.94064,0.0367913,0.852979,2.25079,-3.57178,3.86666,2.63295,0.906584,0.331774,1.62321,-0.709298,-1.33812,-0.176152,-1.36654,1.67264,-2.04432,-0.770154,-0.229027,-0.54591,0.122468,3.59227,0.284317,3.40521,-0.146392,287.318,8.58974
-1121,0,0.346499,0,1,1,1134.33,2.41899,0.255698,0.482889,1.97417,-0.919617,-0.0195287,1.95763,0.907363,-0.30356,1.31843,-1.04401,-1.33812,-0.176152,-1.36654,1.67264,-2.04432,-0.770154,-0.229027,-0.54591,0.122468,0.700453,0.206582,1.10089,-0.397997,0.183011,9.63061,0.0921852,-0.479755,0.677288,-0.00782131,1.35187,-1.55471,1.72952,-0.567906,1.21771,-0.24835,-0.85177,0.0465943,-1.32283,1.66675,-1.27624,-1.67787,0.415712,-0.833735,-0.545184,0.291552,0.856484,-0.579637,-0.379504,-0.797852,-0.719163,-1.88323,2.94064,0.0367913,0.852979,2.25079,-3.57178,3.86666,2.63295,0.906584,0.331774,1.62321,-0.709298,-1.33812,-0.176152,-1.36654,1.67264,-2.04432,-0.770154,-0.229027,-0.54591,0.122468,3.59227,0.284317,3.40521,-0.146392,287.318,8.58974
-1008.54,1,0.0155948,3,7,0,1128.92,2.33,0.187215,0.513195,2.14041,-0.869817,0.0993038,1.93346,0.937369,-0.405562,1.3443,-1.15054,-1.26332,-0.155919,-1.41886,1.75026,-2.09948,-0.904202,-0.305761,-0.543949,0.0828516,0.696231,0.326196,1.21613,-0.442772,-0.777849,9.69578,-1.04457,-0.723158,0.297153,1.67282,0.762278,1.19101,-0.370481,0.293661,-1.08788,0.216841,-1.06579,0.859691,0.223845,-0.493555,0.748757,-0.492005,-1.39232,-0.806939,0.046454,-0.427876,-0.195087,1.24313,1.01831,-0.453685,-14.9719,0.292049,1.45214,-0.313102,0.414678,2.20951,-5.75019,0.35186,2.21925,0.376739,-0.258135,1.07586,-2.1006,-1.26332,-0.155919,-1.41886,1.75026,-2.09948,-0.904202,-0.305761,-0.543949,0.0828516,2.84029,1.12066,5.18079,-0.760253,-42.0055,8.66115
-974.521,0.995974,0.00980599,8,255,0,1022.09,1.32442,-0.0567281,0.870511,2.36978,-0.395446,0.661888,1.28083,0.39273,-0.108187,0.0646201,-1.24145,-1.64623,0.628178,-1.40704,0.510843,-1.70226,-0.542998,-0.794387,-0.213667,0.974741,-0.453263,-2.07865,-0.250363,-1.02253,-0.688294,6.75426,-2.20369,-0.214685,0.165966,-0.940944,1.27599,0.323238,-1.83025,-0.955974,0.360165,-1.8415,0.43846,0.168321,0.8216,0.61469,-1.93812,1.27533,0.732409,-0.340672,0.549442,0.823909,-2.13957,-2.76622,-2.92157,-0.551639,3.0324,-6.42231,4.96328,0.0325325,0.577451,4.61623,0.0239288,1.53696,3.30776,0.890056,0.516891,0.398746,-1.15233,-1.64623,0.628178,-1.40704,0.510843,-1.70226,-0.542998,-0.794387,-0.213667,0.974741,1.94007,-0.961872,5.00077,0.0314463,-24.7464,4.98444
-779.503,0.994722,0.00718966,8,255,0,994.191,-0.531966,-1.39065,0.392115,1.49118,-0.0867163,-0.00600993,-0.286236,-1.30299,-0.355599,-0.326245,-1.71777,-0.591631,-0.389866,-0.716775,-1.97332,-1.77095,-0.75441,-3.03039,-0.560503,0.534317,-3.0681,-1.93471,-4.40604,-1.88773,5.53269,4.5672,-3.46417,0.783033,0.0423823,2.60912,-0.24123,1.15883,3.2312,-0.260605,-0.0521036,-1.87134,-0.481718,-1.59359,1.03596,-1.21533,1.99361,-0.84217,-0.136933,1.13878,0.129357,0.81568,4.13731,0.539939,5.04839,4.52026,-17.535,3.42513,115.964,-1.05242,-0.00719204,3.4867,0.188756,5.0974,8.0121,2.5526,4.87094,13.1282,1.44266,-0.591631,-0.389866,-0.716775,-1.97332,-1.77095,-0.75441,-3.03039,-0.560503,0.534317,-1.62768,-10.7439,0.833719,-8.88928,1.52446,-6.69537
-763.772,0.999918,0.00583732,9,511,0,796.285,-0.690488,-1.31663,0.385636,1.75775,-0.723556,-1.14969,-1.60801,-0.125448,-2.89888,0.389603,-0.0542637,-0.641587,1.6181,-0.664528,0.523854,0.620933,-1.52365,1.12425,-0.0303088,-0.622424,-2.95686,-1.81006,-5.33996,-2.34788,4.48213,5.37114,-5.81497,1.09557,0.251954,-1.39309,-0.218536,-0.698808,-0.958944,0.576587,0.186509,0.964636,1.04016,0.436789,0.850619,0.560277,2.19142,2.00827,0.362408,3.45351,0.573063,-0.725896,0.883054,0.215851,-0.069614,-0.35715,-0.462014,0.152975,75.138,-1.03846,-0.184425,2.855,-0.489018,1.14011,2.57595,2.85771,-1.66727,9.2856,3.28266,-0.641587,1.6181,-0.664528,0.523854,0.620933,-1.52365,1.12425,-0.0303088,-0.622424,-5.20604,2.51706,-0.532945,-9.30927,-0.29656,0.208546
-759.416,0.999858,0.00517389,9,511,0,772.798,-0.922727,-1.26593,0.308654,1.30165,-0.0903599,-1.03818,-1.62176,-0.233334,-2.53946,0.738432,0.323279,-1.56073,1.71478,-0.679368,0.0836288,0.340589,-1.54521,0.985328,-0.530245,-0.269328,-3.07022,-1.2461,-5.41505,-2.70406,4.92586,4.95945,2.942,-0.398601,0.0898255,1.48106,-1.50718,-0.395108,-0.153546,0.354575,-1.45104,-0.218346,-0.443698,1.86722,0.141742,-0.112513,1.07557,0.747602,-0.285184,0.548542,1.08511,-0.906795,-0.10475,-0.780283,-0.0380232,0.528005,-1.17345,0.963014,66.4337,-1.0565,-0.233804,2.1794,0.115497,0.564125,1.41063,1.47351,-1.51074,15.2214,5.027,-1.56073,1.71478,-0.679368,0.0836288,0.340589,-1.54521,0.985328,-0.530245,-0.269328,-4.54217,11.6408,-0.714559,-6.66392,0.322514,-2.17876
-754.482,0.99997,0.00482241,9,1023,0,770.808,-1.29279,-1.2577,-0.231232,1.58343,-0.0207648,-1.55918,-0.261884,-0.0491893,-2.17192,0.238858,0.482487,-1.18773,2.10445,-0.749297,0.121769,0.317135,-1.45594,-0.211441,-0.181013,0.424124,-2.53698,-1.80395,-4.87708,-2.99359,5.44982,5.42145,3.22481,-0.38719,0.647481,0.119492,-0.0770741,0.657795,-2.31416,-0.276477,-1.31166,0.855167,0.388205,-1.04401,-0.129818,-0.0834479,-0.0368951,0.135286,-0.586407,2.19443,-0.710077,-1.18491,-1.19981,1.02011,-1.22895,0.17419,-0.814841,-0.557259,-37.999,-1.63497,-1.78896,1.77965,0.148917,-2.02146,-1.41355,-0.71502,-2.84522,-6.44797,0.625335,-1.18773,2.10445,-0.749297,0.121769,0.317135,-1.45594,-0.211441,-0.181013,0.424124,1.06837,-2.24411,-1.43089,1.0392,0.480998,2.35014
-746.408,0.999965,0.00466181,10,1023,0,766.154,-0.457742,-0.738869,2.64273,-1.48119,0.355565,-0.675464,-0.623334,-1.34417,-0.404918,-0.472213,-2.26276,-0.0919055,0.610472,-0.583032,-2.32684,-0.495411,-0.928897,-0.448995,0.484495,-0.239216,-0.94195,-1.59407,-2.00611,-3.7433,5.13667,4.7348,0.0100943,-1.7533,-1.63425,2.33997,0.653108,-0.479942,1.12245,-1.10227,-2.06809,0.852427,0.0849223,-1.18424,2.05861,-0.70059,0.328329,0.362253,-1.37937,-0.172501,-0.224632,0.44697,-1.8828,0.325391,-2.71726,-0.286204,0.603582,-0.31018,34.6438,-1.02036,5.75789,2.35564,2.80678,3.95224,6.39167,-4.05196,0.92323,6.52295,-2.27619,-0.0919055,0.610472,-0.583032,-2.32684,-0.495411,-0.928897,-0.448995,0.484495,-0.239216,4.54769,-4.13925,-6.05448,-1.64321,0.416755,-2.78315
