# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=678216098
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_adjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_adjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,sigma.1,sigma.2,sigma.3,sigma.4,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_beta.20,p_beta.21,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_beta.20,g_beta.21,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4,g_se,g_sp
-1175.02,1,0.0625,1,1,0,2120.19,0.260275,0.684043,1.27332,-1.49514,-1.75894,-0.474625,-0.343063,0.25544,1.35034,1.97259,-1.14961,0.333134,1.27753,-1.83415,-0.617917,-0.79353,-0.4783,0.738193,1.29584,1.27435,0.348154,-1.43154,1.10472,1.88307,1.54277,0.168187,-0.473136,0.827876,1.41458,-0.560193,-0.191524,1.29945,1.86729,1.64672,0.918832,0.115726,-1.41105,0.818163,0.496604,0.418793,0.959436,1.29923,0.0618841,-0.593962,-0.132967,-0.535988,0.0828177,0.345144,-0.198798,-0.866869,0.764105,2.24353,-4.61442,0.688756,6.96694,42.38,3.56647,2.33273,3.13523,11.8909,-1.29239,5.98625,2.63063,1.77373,2.61997,1.58077,-0.98763,10.4084,12.936,-1.83415,-0.617917,-0.79353,-0.4783,0.738193,1.29584,1.27435,0.348154,-1.43154,2.09076,23.8242,-17.5773,1.08592,-80.9481,-258.811
-1175.02,0,10.0182,0,1,1,1196.31,0.260275,0.684043,1.27332,-1.49514,-1.75894,-0.474625,-0.343063,0.25544,1.35034,1.97259,-1.14961,0.333134,1.27753,-1.83415,-0.617917,-0.79353,-0.4783,0.738193,1.29584,1.27435,0.348154,-1.43154,1.10472,1.88307,1.54277,0.168187,-0.473136,0.827876,-0.119973,-0.528992,0.127264,1.94627,-0.390207,-0.443863,1.09176,-1.39458,-0.183453,2.8829,-0.0169003,-1.62282,1.32755,-2.88065,-0.519916,-0.0237917,-0.987596,0.469077,-1.35084,-0.675538,0.086303,2.05409,-0.378467,1.98537,-0.978656,0.611675,-0.0419437,0.751184,3.56647,2.33273,3.13523,11.8909,-1.29239,5.98625,2.63063,1.77373,2.61997,1.58077,-0.98763,10.4084,12.936,-1.83415,-0.617917,-0.79353,-0.4783,0.738193,1.29584,1.27435,0.348154,-1.43154,2.09076,23.8242,-17.5773,1.08592,-80.9481,-258.811
-1175.02,0,0.951493,0,1,1,1186.61,0.260275,0.684043,1.27332,-1.49514,-1.75894,-0.474625,-0.343063,0.25544,1.35034,1.97259,-1.14961,0.333134,1.27753,-1.83415,-0.617917,-0.79353,-0.4783,0.738193,1.29584,1.27435,0.348154,-1.43154,1.10472,1.88307,1.54277,0.168187,-0.473136,0.827876,-1.47159,1.07831,0.123836,0.0396686,0.814689,-0.428211,0.751534,0.169578,0.700978,0.596527,-0.00454691,1.01374,-1.31156,-0.288511,-0.903082,-0.754138,-0.36045,-1.76303,1.404,0.423838,-1.45281,0.506712,-0.971213,0.754154,0.120083,-0.00666002,-1.9147,0.621654,3.56647,2.33273,3.13523,11.8909,-1.29239,5.98625,2.63063,1.77373,2.61997,1.58077,-0.98763,10.4084,12.936,-1.83415,-0.617917,-0.79353,-0.4783,0.738193,1.29584,1.27435,0.348154,-1.43154,2.09076,23.8242,-17.5773,1.08592,-80.9481,-258.811
-1022.14,1,0.0488594,2,3,0,1167.64,0.136565,0.828109,1.15952,-1.56392,-1.73799,-0.588879,-0.310732,0.166534,1.40988,1.96052,-1.15798,0.30013,1.20079,-1.89753,-0.670162,-0.786566,-0.429142,0.835856,1.29183,1.14522,0.259294,-1.44501,1.00264,1.92378,1.58813,0.193129,-0.0482453,1.70644,1.53712,-1.36807,1.39036,1.67664,-0.268357,1.70658,-0.110727,1.08378,-0.402396,0.0923334,0.0344792,0.741962,2.28715,0.556646,0.50252,-0.109813,-0.524636,-0.959763,0.104274,1.37895,0.92311,0.0673153,0.93658,1.7798,-1.99459,-0.16064,-7.58557,-14.204,4.75072,0.168585,4.74821,16.8219,-1.45632,11.0111,4.3535,4.30098,4.828,-2.68994,-1.16363,-4.37173,37.4647,-1.89753,-0.670162,-0.786566,-0.429142,0.835856,1.29183,1.14522,0.259294,-1.44501,-6.37789,47.99,-27.2084,1.9075,-66.8035,-21.5536
-978.765,0.972775,0.0333642,4,15,0,1035.07,0.0942441,0.684055,1.05749,-1.47927,-1.59093,-0.740606,-0.446032,0.0188918,1.36736,1.9799,-1.05718,0.273201,1.05684,-1.93303,-0.605479,-0.763684,-0.486708,0.780967,1.18554,1.11416,0.2193,-1.46794,1.11766,1.8506,1.79347,0.266912,0.452005,1.70271,0.637919,1.48076,1.33241,-0.19034,-1.5726,2.00669,1.62381,1.68174,0.769083,-0.365626,-1.05777,0.167901,3.05753,0.258363,-0.677516,-0.267193,0.551613,0.58832,1.12287,0.366559,0.411145,0.155959,-1.12893,2.79392,-3.11173,-0.742584,-7.86164,-1.02668,1.87722,1.08134,7.50107,-0.639076,-2.85688,3.06697,5.47761,2.69959,7.28734,-4.30299,-1.02495,-1.28928,13.9655,-1.93303,-0.605479,-0.763684,-0.486708,0.780967,1.18554,1.11416,0.2193,-1.46794,9.793,18.5792,-0.680988,-3.67139,-59.1847,-9.62996
-894.792,0.998848,0.0240764,4,15,0,986.635,0.104215,0.737316,0.655328,-1.26909,-1.77731,-0.764908,-0.340094,-0.298244,1.01558,2.36105,-1.19545,0.430776,0.228823,-1.85436,-0.80641,-0.370138,-0.566945,0.531348,0.930128,0.876226,0.0323906,-1.28592,0.715244,1.37468,1.71813,0.252157,2.41555,1.79287,-0.303989,-0.02292,-2.45761,2.13108,-0.337536,-0.541887,-1.84622,-1.16531,-2.31154,1.50407,-0.306379,-1.13278,-2.88245,0.545844,-0.587862,1.43499,-0.19912,-0.953327,-1.03167,-0.962499,-0.660671,0.825847,-2.89239,-3.04898,-1.57988,0.322854,11.1035,-0.484419,3.4908,3.65497,8.19034,-12.6467,-1.99914,-1.01,28.2004,-0.226304,6.39161,0.0289405,-1.30048,18.5757,-4.52624,-1.85436,-0.80641,-0.370138,-0.566945,0.531348,0.930128,0.876226,0.0323906,-1.28592,10.1187,9.68213,9.53261,-1.28452,-13.7004,12.0445
-867.548,0.980633,0.0204524,6,63,0,905.258,-0.588305,0.915672,-0.0093973,-0.705503,-1.73703,-0.391667,-1.61296,-0.61732,0.546341,2.6592,-0.864874,-0.558993,-0.516252,-1.93306,-0.429974,-0.806251,-0.372423,0.0637295,0.907396,0.660096,0.185644,-1.06196,0.628248,1.05853,1.34047,0.2869,3.65653,1.80705,1.58465,0.103791,1.79364,-1.75384,-0.486005,-1.61835,2.91902,0.444949,2.01716,-0.200494,-1.02084,3.04411,1.04853,-0.232628,-0.997704,0.871377,-0.548328,1.13678,0.252495,0.662957,-0.327513,-0.769426,2.17697,1.35645,1.79654,-0.0045012,-4.81136,-1.39795,-1.21475,4.08818,0.301077,-3.81724,-1.82826,-4.30889,-4.00679,-1.72346,3.72801,2.63925,-1.2917,1.28872,-4.16945,-1.93306,-0.429974,-0.806251,-0.372423,0.0637295,0.907396,0.660096,0.185644,-1.06196,14.3604,2.73524,3.72132,-0.665789,-4.71718,15.4145
-845.275,0.986555,0.0174305,6,63,0,879.28,-0.550646,-0.105237,0.247063,-0.26914,-1.43577,0.104235,-1.17094,-0.915911,-0.182283,2.35836,-0.575182,-1.05604,-0.232512,-2.15808,-1.25817,-0.746975,-0.146542,-0.0930322,0.248251,1.46778,0.107152,-1.30192,-0.163899,0.059264,1.26334,0.104121,4.18488,2.05685,0.109884,-2.40958,0.172961,1.31695,0.984814,-0.0509012,2.54126,-0.164422,-1.47358,-2.26123,0.931273,-0.463457,0.251198,0.0574567,-1.45287,0.312392,0.51818,-0.311132,-1.46744,1.35694,-0.194064,-0.187574,-3.31998,-2.44295,-1.07986,-3.81485,1.91386,1.23467,-5.73857,0.0445279,2.30096,-27.9887,-1.71373,10.3432,-11.2333,-3.19897,-4.96373,7.43627,-1.48307,-11.1471,4.35391,-2.15808,-1.25817,-0.746975,-0.146542,-0.0930322,0.248251,1.46778,0.107152,-1.30192,4.68469,9.65121,10.6585,23.8138,-2.5024,11.7995
-748.992,0.979701,0.015765,6,63,0,862.481,-0.432616,-0.419365,-0.151318,-0.37383,-0.547636,-0.346005,0.483521,-1.04257,-0.597077,2.32256,-0.0623981,-0.394224,-0.953058,-2.11423,-1.31789,-1.06229,-1.01947,0.0974406,-0.236414,1.35689,0.507535,-1.702,-1.50999,0.0805619,0.0292979,-2.58064,4.8503,4.63729,0.693957,-1.22629,-1.74949,-1.17282,2.79923,0.344985,3.92646,0.128549,-0.724947,-1.12237,1.05834,-1.71108,2.17907,0.620563,0.201409,-0.406723,-1.60505,0.381389,-0.973331,-0.574496,0.726221,-0.427759,-4.61099,-3.35493,-4.36825,-5.95784,1.62788,9.56782,-38.9922,-0.232741,1.75959,-43.6851,-2.0753,-6.83161,2.02816,-1.82144,-1.5522,0.713305,-0.181049,-21.5548,-21.5871,-2.11423,-1.31789,-1.06229,-1.01947,0.0974406,-0.236414,1.35689,0.507535,-1.702,-2.07096,28.0913,18.8211,-1.12053,-0.906271,-0.356955
-746.112,0.999565,0.0143772,8,255,0,767.808,-1.61427,-0.956187,-3.12959,0.747282,0.290389,0.77196,0.438079,0.448962,0.813556,2.29644,0.924188,-0.0676211,0.547615,1.28282,2.53387,1.8967,-0.287231,1.70525,1.19874,0.28121,-0.843205,0.664309,-1.31812,-3.96403,-2.83802,-0.60003,5.30511,5.59619,0.271519,1.68559,0.0535751,0.436512,-0.0811432,0.808243,2.04422,-0.351948,-1.10743,-0.776428,0.371295,-0.706725,-0.564117,-1.71936,-0.189136,-0.22663,-1.29007,0.9772,0.344822,1.6656,0.140334,-1.57162,0.334571,2.58337,0.941685,3.59696,-0.623339,0.702296,14.2499,-0.823884,-2.00225,1.95809,0.975062,4.53013,-0.26094,0.869992,5.00236,4.64418,1.63312,0.0098076,0.77139,1.28282,2.53387,1.8967,-0.287231,1.70525,1.19874,0.28121,-0.843205,0.664309,-3.21982,-0.863707,-0.293927,11.0762,0.53149,1.92231
