# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=307650850
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/sero_prev/job_grouped_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,sigma.1,se,sp,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_sigma.1,p_se,p_sp,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_sigma.1,g_se,g_sp
-738.484,1,0.00266125,11,2047,0,748.723,-1.09774,0.367398,-0.178203,0.869616,1.03032,-2.18953,-0.794513,1.56762,-0.521524,0.301165,0.439643,-2.05779,5.16615,4.29354,1.80775,-0.698664,1.52339,0.433917,-2.5888,-0.506491,-0.843938,-0.0252701,-0.297182,0.128579,-1.90774,-1.45182,-0.816144,0.148534,7.07034,1.40407,1.00639,0.65065,1.92466,-2.65951,-2.31763,2.05166,-0.443586,-0.404748,0.723402,2.89802,0.214608,-5.74916
-737.204,0.999989,0.00269471,10,2047,0,744.591,-1.16949,0.955354,-0.26833,0.0736704,0.922654,-0.406031,0.557163,-0.0805853,-0.818786,0.494365,-2.22577,-3.65161,4.50895,6.03902,-0.246637,0.625996,0.325489,0.615625,1.13972,-2.19724,-1.49798,1.73738,-0.40469,-0.0704327,0.778982,1.03947,-0.624295,0.450075,-10.1749,1.08571,-0.0392307,-0.11989,0.927738,-0.369545,0.216246,-0.0273562,-0.815338,0.3248,-2.21311,-1.24444,-1.58103,3.58246
-737.053,0.999976,0.00277082,10,1023,0,742.13,-1.07096,1.28046,-0.451647,0.457663,0.978921,-0.176339,0.432695,-0.0166715,-0.610042,0.676231,-2.38371,-3.67843,4.69141,5.7435,0.13113,1.15318,-0.723747,1.53523,0.103591,0.951064,-0.53452,0.256538,0.929191,0.680726,-0.354304,0.0358366,0.874063,-1.5628,14.0414,1.47197,-0.211673,0.338938,1.06306,-0.0263258,0.298595,0.0495916,-0.58924,0.52686,-2.35244,-1.08369,-0.760136,2.47595
-735.402,1,0.0028818,10,1023,0,740.891,-1.20698,0.866958,0.0563876,0.0956267,-1.3513,-0.34747,0.102079,-1.28972,-1.12953,-1.04084,-0.55881,-3.1241,5.27414,4.50575,0.469961,1.33794,-0.222386,0.290837,1.2062,-0.0285409,0.173767,0.235519,-0.435987,0.673096,-2.29953,-1.01521,-0.539246,-0.197786,-11.7054,1.10119,0.439293,-0.214366,-1.43388,-0.282338,-0.46987,-1.21228,-1.129,-1.33187,-0.525167,-0.546774,0.287164,-3.07937
-736.322,0.999969,0.00302312,10,1023,0,743.829,-1.14509,-0.451606,0.695522,-0.471163,2.13332,0.0192928,0.786943,0.951019,0.397978,0.523071,0.385422,-4.31488,4.68123,4.54986,-0.987319,1.23803,1.75001,-0.948097,0.968628,-0.452265,0.972312,-0.796744,-1.49375,-1.48768,-0.376042,-0.528739,0.739938,0.640777,3.43367,-0.377411,0.817501,-0.552226,2.16067,0.0754102,0.671754,0.983045,0.406779,0.441777,0.403707,-0.929835,-0.915445,-3.44633
-738.896,0.999998,0.00319119,10,1023,0,743.897,-1.05426,-1.36214,-1.49018,1.14054,-0.412838,0.22545,-2.16784,0.539301,1.62172,0.1992,-0.180007,-2.43607,5.67534,5.86679,0.257541,0.323463,-1.02147,0.602278,-2.21479,-0.300607,0.0914159,-1.11436,-0.564579,-0.254484,-0.444541,1.25762,0.0975178,0.0902476,2.93198,-0.955252,-0.714865,0.977213,-0.221617,0.923744,-3.81911,0.804773,1.80085,-0.307887,-0.0258412,1.15469,1.0808,3.00622
-741.165,0.999959,0.00338458,10,1023,0,745.783,-1.09056,1.11957,-0.627908,-0.523677,1.22325,0.377249,1.73388,-1.11298,-1.97789,1.35673,-0.0750248,-3.72936,3.9113,6.06838,-0.195379,-0.953038,-0.155939,0.480917,-0.818311,-1.18914,1.96567,-1.04413,0.473583,0.424587,-0.236396,-0.0631626,0.340859,-0.645268,7.92041,1.27733,-0.406929,-0.672459,1.27918,0.495548,1.59362,-1.05845,-1.96869,1.21191,-0.0415138,-1.26825,-3.38577,3.48072
-731.267,0.999912,0.0036013,9,767,0,742.74,-1.16176,0.196827,-0.561299,-0.312222,0.534269,0.204702,0.289203,-1.00327,-0.304164,0.225058,-0.452855,-1.2837,5.7094,4.26896,0.0469705,1.67628,0.242544,-1.26028,1.43046,0.720078,1.07258,-0.791147,-1.98473,0.783488,0.0790035,-2.55175,-1.75125,-0.0920729,11.3946,2.12019,1.65325,-2.42735,2.108,2.03772,-0.535941,-0.72513,-0.2598,-1.35798,-0.318454,-0.659353,1.1702,-6.43777
-732.114,0.999998,0.00384039,9,511,0,735.871,-1.23171,0.447245,-0.468999,-0.354621,0.688672,0.0867247,0.281245,-1.02492,-0.283586,0.196108,-0.606826,-1.37904,5.57612,4.24466,0.798338,-1.55421,-0.518084,0.106898,-0.911744,0.901773,-0.0365168,0.091456,-0.161712,0.10093,1.01738,0.629414,0.986245,-0.29336,-3.37397,2.13165,1.49181,-2.64875,1.78721,0.725936,-1.93074,-0.825195,-0.322243,-1.34676,-0.641337,-0.386413,0.886939,-5.79858
-727.166,0.999902,0.00410289,9,511,0,735.335,-1.04228,-1.40535,-1.04454,0.996734,-0.20257,-0.552834,0.282541,-0.699645,-0.63955,1.31501,-0.434412,-0.805916,4.77219,5.99108,0.548283,1.20864,1.55122,-0.877921,1.75288,0.601852,-1.53094,-0.581163,-0.107874,-1.19429,-0.403577,-1.47599,0.636922,-1.04781,12.0477,-3.65022,1.99805,4.55293,0.102196,-1.75517,3.1451,-0.187409,-0.930961,0.421275,-0.233369,2.94514,-0.577841,3.26788
-726.387,0.999989,0.00438633,9,511,0,733.02,-0.947991,-0.102177,-1.44308,-0.130667,-0.963932,-0.234363,-0.0978037,-0.0598684,0.159908,0.944649,-0.583128,-0.609156,4.06367,5.37042,0.766324,1.61924,-1.20102,-1.62216,0.805161,0.482125,-0.222506,0.565124,0.967019,-0.478316,-0.000807405,0.664525,-0.0632581,-1.76761,9.20973,4.37291,1.59968,-2.19535,-5.46608,2.86059,-0.642557,1.61905,1.40803,-0.0872669,-0.455606,-2.31699,-2.74949,1.15718
