# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=424225939
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgA_S_Serum_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgA_S_Serum_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,x_a.1,x_a.2,x_a.3,x_a.4,x_a.5,x_e.1,x_e.2,x_e.3,x_e.4,x_g.1,x_g.2,x_s.1,x_s.2,sigma,sigma_a_2,sigma_g_2,sigma_e_2,sigma_s_2,b,p_x_a.1,p_x_a.2,p_x_a.3,p_x_a.4,p_x_a.5,p_x_e.1,p_x_e.2,p_x_e.3,p_x_e.4,p_x_g.1,p_x_g.2,p_x_s.1,p_x_s.2,p_sigma,p_sigma_a_2,p_sigma_g_2,p_sigma_e_2,p_sigma_s_2,p_b,g_x_a.1,g_x_a.2,g_x_a.3,g_x_a.4,g_x_a.5,g_x_e.1,g_x_e.2,g_x_e.3,g_x_e.4,g_x_g.1,g_x_g.2,g_x_s.1,g_x_s.2,g_sigma,g_sigma_a_2,g_sigma_g_2,g_sigma_e_2,g_sigma_s_2,g_b
-1908.39,1,0.0078125,1,1,0,11720.3,1.87307,1.95048,0.0468846,1.07011,-0.0204159,-0.918491,-0.879762,0.637181,0.513361,-1.05847,-0.675693,1.45061,1.62569,1.0155,-0.391489,0.14295,-1.25379,1.21178,1.57085,2.03639,2.69792,-0.227662,0.431664,-0.0415018,-0.661843,-1.37549,-0.542168,0.76083,4.65041,2.12682,20.2102,36.4387,-98.27,8.12142,-9.70613,-3.88654,89.2076,7.50439,130.282,156.435,37.5324,110.215,15.3942,-162.95,-1.10168,14.9386,6.12034,-14.5233,32.8226,458.148,764.614,-1235.44,184.156,-269.235,-50.1787,1266.66,241.486
-1908.39,0,10.0182,0,1,1,1917.26,1.87307,1.95048,0.0468846,1.07011,-0.0204159,-0.918491,-0.879762,0.637181,0.513361,-1.05847,-0.675693,1.45061,1.62569,1.0155,-0.391489,0.14295,-1.25379,1.21178,1.57085,0.0991117,1.04692,2.15898,0.198841,0.686377,1.12426,-1.05102,0.490764,-1.38815,-0.208848,-0.79734,0.108248,0.528703,0.935225,-0.720221,-1.75517,1.13417,0.327432,-0.293681,130.282,156.435,37.5324,110.215,15.3942,-162.95,-1.10168,14.9386,6.12034,-14.5233,32.8226,458.148,764.614,-1235.44,184.156,-269.235,-50.1787,1266.66,241.486
-1908.39,0,0.951493,0,1,1,1918.95,1.87307,1.95048,0.0468846,1.07011,-0.0204159,-0.918491,-0.879762,0.637181,0.513361,-1.05847,-0.675693,1.45061,1.62569,1.0155,-0.391489,0.14295,-1.25379,1.21178,1.57085,-0.279596,1.06151,0.205498,-1.73865,0.680221,0.458261,-2.22876,1.04336,-2.23917,0.68072,0.279429,-0.236284,0.983477,-1.15425,-0.339523,-1.08767,0.224126,0.334046,0.874339,130.282,156.435,37.5324,110.215,15.3942,-162.95,-1.10168,14.9386,6.12034,-14.5233,32.8226,458.148,764.614,-1235.44,184.156,-269.235,-50.1787,1266.66,241.486
-1908.39,6.57454e-212,0.0488594,2,7,1,1918.8,1.87307,1.95048,0.0468846,1.07011,-0.0204159,-0.918491,-0.879762,0.637181,0.513361,-1.05847,-0.675693,1.45061,1.62569,1.0155,-0.391489,0.14295,-1.25379,1.21178,1.57085,0.0439597,1.14591,0.701762,1.3606,1.78934,-0.0411689,0.0216463,-0.727457,0.931424,1.64721,-0.435034,0.672974,-0.0779526,-0.64517,0.0321152,1.70951,0.692544,0.490741,-2.26725,130.282,156.435,37.5324,110.215,15.3942,-162.95,-1.10168,14.9386,6.12034,-14.5233,32.8226,458.148,764.614,-1235.44,184.156,-269.235,-50.1787,1266.66,241.486
-1850.93,1,0.00191619,3,7,0,1914.36,1.87095,1.95706,0.0407369,1.06316,-0.0171657,-0.923574,-0.883599,0.636984,0.512798,-1.04889,-0.674784,1.44247,1.61538,1.02909,-0.392751,0.153599,-1.25231,1.18991,1.56759,0.741237,-0.697276,1.17396,1.52284,-0.522097,0.409213,0.664101,0.0767337,0.115455,-1.71385,-0.0667177,2.70069,3.93636,-5.75404,0.735568,-2.60831,-0.399436,7.30279,1.24332,128.541,155.016,35.4259,107.891,14.7346,-166.829,-1.2321,14.704,6.02149,-20.373,30.6734,436.866,728.983,-1130.86,175.273,-257.368,-48.1189,1174.54,230.273
-1420.2,1,0.00132442,5,31,0,1856.39,1.83179,1.95178,0.0577389,1.05603,-0.0037823,-0.89618,-0.90946,0.637206,0.532069,-1.03191,-0.669587,1.36647,1.46579,1.21467,-0.421583,0.166664,-1.24034,0.983787,1.51817,-3.15387,-1.71267,0.581139,-1.33656,0.561669,3.1403,-1.28321,-0.123267,0.91416,1.54034,0.0984236,-7.25187,-13.1596,16.0086,-2.751,2.57386,0.957253,-18.0938,-4.21876,112.007,138.231,21.6388,91.1506,8.62874,-183.851,-2.3416,12.6275,5.28572,-103.785,6.05371,278.99,452.433,-354.655,97.4845,-147.068,-26.4278,507.274,132.54
-739.521,0.999991,0.00104407,7,191,0,1426.18,1.55387,1.57627,0.046868,0.845473,-0.0896027,-0.335107,-0.88033,0.525688,0.532536,-0.766917,-0.674759,0.806605,0.512207,1.51888,-0.586059,0.560447,-1.25666,0.0596966,1.23759,7.19652,9.25663,0.503556,5.47178,1.21689,-12.3893,-0.522481,1.85639,0.147702,-8.93293,-0.483898,13.0048,20.5822,0.131786,3.43177,-7.62147,-0.0588104,16.4992,5.66067,82.0778,97.8323,5.22377,59.7245,-1.1102,-75.2245,-3.96776,8.08438,3.64455,-134.426,-23.5905,92.6244,96.4793,225.035,11.6994,-28.8683,-2.10773,15.7143,22.7475
-515.29,1,0.000899564,7,127,0,750.757,1.31608,1.33126,-0.0364606,0.669333,-0.0908747,-0.0138073,-0.820731,0.636467,0.502039,-0.491501,-0.752776,0.612636,0.260386,1.0056,-0.574308,0.552897,-1.1459,-0.0528887,1.15023,-6.09728,-6.72773,-1.29177,-4.45208,0.0060543,5.35649,0.970028,1.22343,-0.557784,6.86386,-0.209082,-5.88327,-6.41689,-14.0351,-0.440926,1.2501,1.60318,-2.24083,-2.50694,74.0203,87.5474,3.546,52.8319,-0.0266915,11.3632,-3.48879,10.2436,3.66382,-25.4536,-22.9855,86.0337,69.7841,146.704,23.7884,-49.4787,-0.21358,21.8675,54.2956
-394.972,1,0.000824781,7,127,0,524.361,1.11446,1.16193,-0.0845945,0.53136,0.119076,-0.0307835,-0.92441,0.616192,0.461173,-0.465015,-0.680958,0.514358,0.12873,0.625846,-0.625864,0.667374,-1.11129,-0.162231,0.994727,5.34507,5.38437,0.798807,3.73091,-2.88835,0.766907,1.3647,0.654799,0.714837,-0.0616671,-1.65384,4.49225,4.14223,9.44178,1.70363,-3.87786,-0.507922,2.39388,4.66608,66.4229,80.751,2.70806,47.2797,6.11585,15.9412,-3.99055,10.5394,3.57654,39.0199,-14.7483,86.0223,55.7609,92.5476,28.953,-76.6132,-0.41994,21.8525,80.9768
-279.16,0.999985,0.000790609,7,127,0,406.99,0.975168,1.07286,-0.178555,0.389553,0.109322,-0.146909,-0.83531,0.706771,0.516585,-0.508938,-0.592261,0.365967,-0.00165153,0.268057,-0.82735,0.951091,-1.1078,-0.229999,0.739191,-4.10981,-3.97631,-1.19735,-3.41579,-0.306479,-1.42441,1.40623,0.887734,0.655686,-2.04964,1.98332,-4.82469,-3.0374,-8.30755,-3.60387,6.58204,0.0976555,-1.52803,-6.01923,52.9164,69.6908,-10.0355,31.4352,2.79457,-25.852,-4.26648,11.2956,3.67616,-16.0446,-35.122,59.4805,4.02736,94.4341,10.1799,-42.4129,-0.666949,8.02823,33.7486
