# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=424225939
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgA_S_Serum_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgA_S_Serum_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,x_a.1,x_a.2,x_a.3,x_a.4,x_a.5,x_e.1,x_e.2,x_e.3,x_e.4,x_g.1,x_g.2,x_s.1,x_s.2,sigma,sigma_a_2,sigma_g_2,sigma_e_2,sigma_s_2,b,p_x_a.1,p_x_a.2,p_x_a.3,p_x_a.4,p_x_a.5,p_x_e.1,p_x_e.2,p_x_e.3,p_x_e.4,p_x_g.1,p_x_g.2,p_x_s.1,p_x_s.2,p_sigma,p_sigma_a_2,p_sigma_g_2,p_sigma_e_2,p_sigma_s_2,p_b,g_x_a.1,g_x_a.2,g_x_a.3,g_x_a.4,g_x_a.5,g_x_e.1,g_x_e.2,g_x_e.3,g_x_e.4,g_x_g.1,g_x_g.2,g_x_s.1,g_x_s.2,g_sigma,g_sigma_a_2,g_sigma_g_2,g_sigma_e_2,g_sigma_s_2,g_b
-1053.46,1,0.03125,3,7,0,1731.85,1.03321,-1.80445,-0.660423,-0.463717,-0.66391,0.966361,-0.814944,-0.275199,-0.239174,-1.47468,-0.460408,0.208708,-0.92939,1.64045,-1.59852,-0.943556,-1.54566,1.13074,-0.062123,0.733898,-3.4889,-0.847476,0.210353,-0.707455,7.25147,-1.92811,-0.313229,-0.515155,-13.5784,-1.04496,3.29508,-20.543,-14.6649,-0.305991,0.422647,-2.61846,20.9837,-2.30307,52.0171,-109.406,-41.1127,-31.9312,-17.1035,228.029,-4.48023,-4.36552,-1.81404,-320.703,-25.6207,19.6895,-211.556,210.334,1.84089,8.13866,-3.05753,57.6318,-19.8374
-1053.46,0,10.0182,0,1,1,1065.52,1.03321,-1.80445,-0.660423,-0.463717,-0.66391,0.966361,-0.814944,-0.275199,-0.239174,-1.47468,-0.460408,0.208708,-0.92939,1.64045,-1.59852,-0.943556,-1.54566,1.13074,-0.062123,0.487438,-0.141353,0.0776728,1.05747,0.986553,-0.809785,0.843091,-1.91946,-0.138321,-0.344446,-1.24663,-0.619312,-0.776331,1.71215,0.329493,1.80164,1.68926,0.0160863,2.21142,52.0171,-109.406,-41.1127,-31.9312,-17.1035,228.029,-4.48023,-4.36552,-1.81404,-320.703,-25.6207,19.6895,-211.556,210.334,1.84089,8.13866,-3.05753,57.6318,-19.8374
-1053.46,0,0.951493,0,1,1,1060.46,1.03321,-1.80445,-0.660423,-0.463717,-0.66391,0.966361,-0.814944,-0.275199,-0.239174,-1.47468,-0.460408,0.208708,-0.92939,1.64045,-1.59852,-0.943556,-1.54566,1.13074,-0.062123,0.277261,-0.594325,-0.70362,-0.68971,-0.287275,-0.237406,-1.09567,-0.202815,-1.91193,-1.22467,-0.443661,0.682593,-1.03544,-0.0571266,0.420406,0.88834,-0.104007,1.09788,1.46033,52.0171,-109.406,-41.1127,-31.9312,-17.1035,228.029,-4.48023,-4.36552,-1.81404,-320.703,-25.6207,19.6895,-211.556,210.334,1.84089,8.13866,-3.05753,57.6318,-19.8374
-814.028,1,0.0488594,1,1,0,1040.9,0.981632,-1.7345,-0.533376,-0.515939,-0.633089,0.668511,-0.829009,-0.241332,-0.310294,-1.20787,-0.475554,0.191147,-0.682728,1.4457,-1.60908,-0.981782,-1.47449,1.09177,-0.0696062,-2.26536,4.00047,3.41153,-0.206942,1.02759,-9.92961,-0.178405,0.786325,-1.40273,11.8786,0.324699,-0.952698,9.13706,-9.30254,-0.253596,-0.91727,1.51028,-1.80443,0.265821,49.5169,-105.155,-33.2089,-35.2802,-16.2419,156.922,-4.4804,-3.81404,-2.16407,-262.706,-25.9809,24.2852,-167.365,217.628,1.53473,5.5221,-2.20119,41.2186,-17.1504
-492.176,1,0.0333642,2,3,0,812.311,0.904457,-1.50276,-0.493468,-0.46707,-0.649027,0.343379,-0.92952,-0.327121,-0.405924,-0.604486,-0.400281,0.123798,-0.404242,1.02827,-1.78448,-0.866589,-1.51892,1.03535,-0.0282245,-2.73835,6.68599,1.65667,1.84101,0.313388,-8.47966,-1.34646,-1.13092,-1.34935,15.0041,1.91683,-1.97383,8.88366,-13.3522,-2.6623,1.60705,-0.614328,-1.96201,1.10898,45.8503,-91.0563,-30.394,-31.571,-16.4643,80.1162,-4.85554,-4.84412,-2.58889,-132.04,-22.2827,33.2659,-119.801,210.454,0.684705,1.94823,-1.10911,26.1791,-11.7707
-360.486,1,0.0261121,2,3,0,501.392,0.766308,-1.29885,-0.470146,-0.387226,-0.686056,0.190071,-1.00131,-0.296378,-0.384477,-0.482304,-0.384861,0.00338759,-0.262068,0.714943,-1.67634,-0.855621,-1.62111,1.02924,-0.0471542,3.71109,-6.07384,-1.2222,-2.25695,0.256775,4.37389,1.24045,-0.706821,-0.475537,-5.41203,-0.87936,2.91451,-5.61608,11.1631,-2.04466,-0.151741,1.93086,0.675286,-0.00310879,38.6843,-79.2187,-28.968,-26.0916,-17.4861,43.3931,-5.21992,-4.37486,-2.42955,-105.968,-22.069,20.8005,-99.9256,190.517,0.977268,1.84117,-0.861247,16.8608,-13.1301
-214.426,1,0.0223089,3,7,0,366.188,0.521538,-1.19651,-0.371413,-0.236103,-0.683106,0.0402233,-1.07015,-0.0362343,-0.51665,-0.0275865,-0.252177,-0.161465,-0.00460376,0.0152688,-1.70656,-0.957564,-1.6603,0.93055,-0.0595698,-4.15886,4.60085,2.19613,2.50096,0.808956,-2.9376,-0.527921,2.983,-1.35247,6.79331,2.24946,-2.32318,3.28471,-12.7541,-0.308706,-1.13031,-0.415687,-1.25382,-0.715269,27.7786,-71.2433,-19.3412,-11.2196,-16.5196,19.6001,-5.49786,0.210979,-2.97489,15.414,-12.3548,7.98864,117.474,-3.222,-3.55626,-1.2683,-0.341401,-2.93143,56.2012
-183.784,0.993755,0.0202232,4,15,0,226.2,0.277714,-0.850136,-0.344561,-0.063132,-0.751567,-0.0947924,-0.952221,-0.0841806,-0.55682,-0.0356848,-0.166932,-0.127498,-0.155554,2.52054e-05,-1.79981,-0.900388,-1.61012,0.822197,-0.275479,3.71221,-6.76709,-1.20766,-2.39668,0.0751104,1.06721,-1.67562,0.552222,0.361906,-0.127772,-1.68351,-0.822961,0.0915321,0.478257,1.17539,-0.68946,-0.625201,1.57332,2.2756,11.8314,-53.876,-21.5182,-3.60428,-19.8032,-29.0143,-5.30767,-1.51117,-3.46286,-14.6562,-16.2934,-15.4668,-106.562,-1.22871,1.85066,0.983474,0.41899,14.2377,-36.8256
-181.474,0.957703,0.0187363,5,31,0,196.349,-0.194925,0.67359,0.293928,0.0319316,0.7737,-0.0452801,-0.924894,0.119222,-0.437979,0.0770438,0.220821,0.127085,0.0432142,-0.123798,-2.00297,-0.75906,-2.18117,0.808457,-1.00808,-0.595754,4.13545,1.12383,0.0134979,-1.31911,-0.974375,-1.40247,-0.143643,-1.0226,-0.3411,1.0787,-0.014633,0.42465,0.00552378,0.282756,-0.480269,1.03545,1.56895,0.0402042,-14.14,38.315,17.0483,1.35331,18.7116,-17.471,-5.01692,1.48674,-2.59834,-3.91742,1.61932,10.3694,-133.5,-84.8033,-2.23371,-4.18447,-0.257726,-5.14246,-63.7174
-162.062,1,0.0159535,5,31,0,189.042,0.308462,-0.540691,-0.228879,-0.0726452,0.265459,-0.0179115,-1.02931,0.287159,-0.401048,-0.0425214,0.0551473,-0.109987,-0.0107649,-0.105319,-1.53925,-0.755121,-2.40372,0.700667,-0.233857,-0.782624,3.28098,1.86366,0.312386,3.81834,1.02178,-0.394331,-0.0298621,-0.487023,0.155611,1.77003,2.78814,2.23033,-1.55732,-1.78499,-0.135557,0.664745,0.915157,-0.425766,16.1435,-31.5296,-9.94004,0.699616,8.13464,0.295642,-5.17029,4.54339,-2.254,15.8403,5.00259,28.5134,75.1892,-62.6595,-2.0786,-1.46671,-0.878008,-4.17109,57.8463
