# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=91950713
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_N_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_N_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,x_a.1,x_a.2,x_a.3,x_a.4,x_a.5,x_e.1,x_e.2,x_e.3,x_e.4,x_g.1,x_g.2,x_s.1,x_s.2,sigma,sigma_a_2,sigma_g_2,sigma_e_2,sigma_s_2,b,p_x_a.1,p_x_a.2,p_x_a.3,p_x_a.4,p_x_a.5,p_x_e.1,p_x_e.2,p_x_e.3,p_x_e.4,p_x_g.1,p_x_g.2,p_x_s.1,p_x_s.2,p_sigma,p_sigma_a_2,p_sigma_g_2,p_sigma_e_2,p_sigma_s_2,p_b,g_x_a.1,g_x_a.2,g_x_a.3,g_x_a.4,g_x_a.5,g_x_e.1,g_x_e.2,g_x_e.3,g_x_e.4,g_x_g.1,g_x_g.2,g_x_s.1,g_x_s.2,g_sigma,g_sigma_a_2,g_sigma_g_2,g_sigma_e_2,g_sigma_s_2,g_b
-478.943,0.333333,0.0625,2,6,1,752.24,0.802686,0.375204,-0.5484,0.0680407,0.219458,0.807239,-0.058242,-0.820968,-1.17804,0.0211802,-1.3711,1.26238,-0.511167,0.485526,0.453468,-1.75037,-0.394497,-1.25734,-1.72416,2.8023,0.0684584,-5.29033,0.79246,0.750019,13.265,-0.860399,-3.56423,-0.942349,-1.03747,-4.29875,10.4168,-8.74785,9.81952,3.05868,-0.927789,-0.0431681,0.953277,-2.66928,57.5142,5.91777,-91.2033,-18.728,-6.02341,166.256,-2.80465,-18.6634,-10.3547,-1.81738,-72.422,124.402,-96.9499,119.983,35.214,4.34156,-11.9544,2.33983,-58.8176
-478.943,0,2.98107,0,1,1,491.587,0.802686,0.375204,-0.5484,0.0680407,0.219458,0.807239,-0.058242,-0.820968,-1.17804,0.0211802,-1.3711,1.26238,-0.511167,0.485526,0.453468,-1.75037,-0.394497,-1.25734,-1.72416,-1.11493,0.448347,0.849545,-0.869293,-0.32494,0.336355,-0.669776,-3.46331,0.219963,-0.153222,-1.44513,-0.152008,-0.534434,1.82737,-0.193652,-0.839041,-0.705736,-1.2816,-1.00685,57.5142,5.91777,-91.2033,-18.728,-6.02341,166.256,-2.80465,-18.6634,-10.3547,-1.81738,-72.422,124.402,-96.9499,119.983,35.214,4.34156,-11.9544,2.33983,-58.8176
-478.943,0,0.197687,0,1,1,489.935,0.802686,0.375204,-0.5484,0.0680407,0.219458,0.807239,-0.058242,-0.820968,-1.17804,0.0211802,-1.3711,1.26238,-0.511167,0.485526,0.453468,-1.75037,-0.394497,-1.25734,-1.72416,0.702748,1.11058,1.29181,0.598152,0.131145,-1.09582,0.678788,-2.82932,0.156334,-0.892213,-0.0990305,0.038378,-1.75655,0.36658,-0.614063,-0.474241,1.46947,0.56134,1.19094,57.5142,5.91777,-91.2033,-18.728,-6.02341,166.256,-2.80465,-18.6634,-10.3547,-1.81738,-72.422,124.402,-96.9499,119.983,35.214,4.34156,-11.9544,2.33983,-58.8176
-321.011,1,0.00826876,4,15,0,487.607,0.76944,0.287098,-0.386677,0.126554,0.278803,0.399008,-0.0539229,-0.728258,-1.20551,0.0872297,-1.25832,1.01065,-0.289935,0.300536,0.434696,-1.73399,-0.317061,-1.23059,-1.45248,2.59222,1.28985,-5.38689,-1.41328,-1.05824,9.82386,-0.154682,-2.00607,0.0572065,-0.723354,-4.0247,7.50454,-5.93091,6.57598,1.44348,-0.11049,-1.36664,-0.350203,-6.04723,63.8871,-7.90754,-87.7859,-16.5017,-5.56915,62.0848,-2.7642,-18.5549,-11.2952,11.591,-67.5248,98.815,-63.3292,101.364,30.4588,4.35881,-2.43065,0.655372,-66.1747
-262.598,0.999949,0.00496653,5,31,0,330.162,0.713035,0.333476,-0.32451,0.107433,0.3412,0.300353,-0.10026,-0.728873,-1.19583,0.114143,-1.22212,0.890813,-0.166303,0.15436,0.383151,-1.77841,-0.229616,-1.2251,-1.31281,2.73348,-1.12433,-3.36415,0.00844434,-1.47059,3.27697,0.964953,-0.432856,-0.482008,-0.23412,-2.30581,4.75007,-3.91852,5.29547,1.8529,1.08961,-1.92833,-0.122423,-4.59737,65.9393,-2.02181,-87.0709,-19.8446,-2.37776,37.6279,-3.4801,-20.8974,-12.2754,17.9837,-65.9109,87.145,-43.8399,82.8593,29.4126,4.30554,3.72771,-0.442013,-66.5908
-101.473,0.999935,0.00357738,7,127,0,274.412,-0.23224,0.289707,0.544433,0.233147,0.251322,-0.212382,0.121716,-0.214295,-0.819284,-0.0831878,-0.163508,-0.126609,0.291226,-0.560864,-0.0236168,-2.17858,-0.654457,-1.16824,-0.518672,7.70764,3.0853,-1.26962,-0.161445,-0.312049,5.6229,-1.29921,-3.55693,-2.79495,1.61767,-8.74744,9.79601,0.373704,-2.77229,5.21019,2.13545,2.27013,0.0011719,-1.29092,-45.2429,25.5142,114.482,30.0058,-6.60395,-21.4004,-0.58644,0.0321427,-5.51209,-12.5232,-6.78942,-11.3373,64.3252,-155.705,54.4509,-1.55256,-7.0222,4.03602,58.8768
-55.9272,0.999996,0.00289617,6,63,0,111.027,0.105685,0.214917,0.00490379,0.0620798,0.293308,-0.0584596,0.0278685,-0.296242,-1.03792,0.00293586,-0.104802,-0.0934697,0.0839409,-0.197435,-0.18362,-2.16768,-0.76225,-1.0623,-0.610312,3.7418,-1.25301,-6.71107,-1.79826,0.539873,3.46997,-0.866884,-0.589457,-1.78092,1.29459,0.938212,1.1767,-3.53625,2.82993,-1.70653,0.1491,-1.13007,1.04071,-0.0728931,8.12725,4.97436,-7.38866,-5.57961,0.68325,-25.4977,-1.28848,-5.81071,-8.01535,-2.24905,-6.38625,-14.6304,6.71995,80.2348,-4.17338,-0.773888,2.44901,-0.753673,-35.1571
-55.1361,0.999881,0.00253795,8,511,0,69.195,-0.199431,-0.0419664,-0.262565,-0.131358,0.107101,-0.0380469,-0.300184,0.624388,-0.552844,-0.0128464,0.110325,0.0234816,0.117051,-0.520958,-0.296921,-2.84361,-0.910128,-1.53894,-0.437147,0.673263,-0.0507337,-0.160236,-0.345797,-1.17943,-1.07,0.0562965,0.0502842,2.55215,-1.7743,2.20576,-0.567582,-0.261583,2.46893,0.14475,-1.32511,-1.05173,-0.946393,-0.428126,-5.72679,-12.6244,-23.7174,-19.0581,-5.95168,-26.1606,-4.53945,12.7376,-4.67397,-5.02156,5.26222,-0.32433,12.4617,-85.5939,1.72607,-0.940616,4.20924,-1.6233,-43.3984
-52.968,0.999962,0.0023495,8,255,0,72.0579,0.116851,-0.0651568,0.0556376,0.227439,0.211432,0.0174621,0.347711,0.0486652,-0.0425758,0.0229562,-0.186197,-0.199724,-0.0343652,-0.23087,-0.495888,-3.01133,-0.854641,-1.66109,-0.465239,3.09246,-0.370746,0.208103,0.948929,-0.0257216,-0.551917,1.76686,-3.00609,1.61062,-1.11081,1.37858,-1.07454,1.91928,0.991903,-0.641266,-0.231135,-0.0192889,-0.171863,-1.73965,16.0849,-11.7453,9.42158,21.5717,1.27147,11.18,1.51824,1.52249,-0.452947,5.81726,-9.3548,-18.1182,-4.33845,65.7076,2.22982,-0.921639,-0.479477,-1.2637,17.4643
-45.5136,0.999935,0.00226332,9,1023,0,62.4716,-0.248137,0.196668,-0.11104,-0.131542,0.0031338,-0.0266659,0.0625436,-0.00338913,-0.00340451,0.0150209,-0.212934,0.0246586,-0.0938671,-0.30785,-0.254643,-2.21494,0.553511,-0.536082,-0.399003,0.105418,0.619269,0.700514,1.3915,-2.39558,0.485548,-0.627327,0.143927,0.400769,-0.254111,0.232763,-2.20733,0.0970783,-3.22479,0.7354,-1.37896,-1.56534,-1.55897,1.34993,-15.7379,14.7786,-7.0249,-19.295,-10.0481,-51.5641,-3.58523,0.826701,1.15627,0.943952,-11.3283,3.059,-31.6903,35.8013,2.50092,-0.779822,1.69365,1.13753,-27.0435
