# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1350508874
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_S_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_S_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,x_a.1,x_a.2,x_a.3,x_a.4,x_a.5,x_e.1,x_e.2,x_e.3,x_e.4,x_g.1,x_g.2,x_s.1,x_s.2,sigma,sigma_a_2,sigma_g_2,sigma_e_2,sigma_s_2,b,p_x_a.1,p_x_a.2,p_x_a.3,p_x_a.4,p_x_a.5,p_x_e.1,p_x_e.2,p_x_e.3,p_x_e.4,p_x_g.1,p_x_g.2,p_x_s.1,p_x_s.2,p_sigma,p_sigma_a_2,p_sigma_g_2,p_sigma_e_2,p_sigma_s_2,p_b,g_x_a.1,g_x_a.2,g_x_a.3,g_x_a.4,g_x_a.5,g_x_e.1,g_x_e.2,g_x_e.3,g_x_e.4,g_x_g.1,g_x_g.2,g_x_s.1,g_x_s.2,g_sigma,g_sigma_a_2,g_sigma_g_2,g_sigma_e_2,g_sigma_s_2,g_b
-1087.99,1,0.0625,1,1,0,1526.93,-0.865753,1.67029,-0.941276,-0.465585,-1.6118,-0.386226,1.25411,1.89633,-1.71339,-0.81934,0.938881,1.58877,1.04255,1.75809,0.692073,-0.0782989,1.19743,0.668567,1.03289,2.05458,-8.83162,2.2056,1.89987,2.02359,10.6726,-0.468154,-3.15367,-0.540358,11.887,-3.81503,-11.5662,-15.8007,0.50193,-8.00228,-0.59373,-5.17293,-5.03721,-1.63301,-34.679,124.394,-48.7297,-21.9027,-35.9633,-54.1288,22.2133,53.5,1.40845,-162.266,59.7727,186.368,198.696,164.08,13.6924,1.25789,38.6412,72.0885,28.0115
-1087.99,0,10.0182,0,1,1,1095.32,-0.865753,1.67029,-0.941276,-0.465585,-1.6118,-0.386226,1.25411,1.89633,-1.71339,-0.81934,0.938881,1.58877,1.04255,1.75809,0.692073,-0.0782989,1.19743,0.668567,1.03289,-0.99476,0.341894,1.24911,-0.197503,0.648223,-0.497039,-0.654761,0.237095,0.756197,-0.0640946,1.28828,-0.437697,-0.727212,-0.805312,-1.99169,0.502123,-0.88655,-0.835863,1.22239,-34.679,124.394,-48.7297,-21.9027,-35.9633,-54.1288,22.2133,53.5,1.40845,-162.266,59.7727,186.368,198.696,164.08,13.6924,1.25789,38.6412,72.0885,28.0115
-1087.99,0,0.951493,0,1,1,1099.61,-0.865753,1.67029,-0.941276,-0.465585,-1.6118,-0.386226,1.25411,1.89633,-1.71339,-0.81934,0.938881,1.58877,1.04255,1.75809,0.692073,-0.0782989,1.19743,0.668567,1.03289,-1.25744,-0.0343457,1.96178,-1.50621,-0.558443,-0.272528,0.187703,-1.81848,-0.560312,-0.406144,-1.54579,-0.541365,0.131458,-0.674644,1.82474,1.14604,-0.180018,-0.392005,-1.83511,-34.679,124.394,-48.7297,-21.9027,-35.9633,-54.1288,22.2133,53.5,1.40845,-162.266,59.7727,186.368,198.696,164.08,13.6924,1.25789,38.6412,72.0885,28.0115
-397.837,1,0.0488594,3,7,0,1050.04,-0.203503,-0.506569,-0.163979,-0.167465,-1.31944,-0.0180087,0.749894,0.742709,-1.56532,0.641422,0.0207924,-1.01558,-1.13117,-0.266782,0.0473464,-0.39364,0.12714,-0.272564,0.468309,-4.31747,15.9751,-5.80457,-1.9148,-7.97082,-3.83862,4.57644,11.9434,-2.58193,-1.85356,7.32827,15.649,6.87912,7.42666,8.74735,2.22303,13.7471,7.13295,4.34184,-7.21804,-86.2905,-5.28136,-1.14748,-90.7669,-117.882,13.9618,31.1603,-30.4628,107.782,-31.0658,-117.104,-239.365,-170.142,101.498,-19.9038,58.2421,76.7153,-91.2962
-160.102,1,0.0333642,3,7,0,397.362,-0.32845,-0.279688,-0.204388,-0.0926323,-0.891992,0.130828,0.579016,0.710071,-1.48881,0.0233549,-0.118864,-0.370618,-0.168771,0.138162,-0.167066,-0.239778,-0.106741,-0.133617,0.474087,-1.1415,3.54574,-0.790066,-0.257793,6.31787,-1.68181,-2.13356,-1.52825,1.64696,-11.3632,-1.04614,8.77448,12.8104,1.80658,-2.57692,1.00048,-3.91478,2.26494,-2.22085,-7.63362,-10.5226,2.66999,14.3049,-27.1817,71.141,6.25807,20.3025,-13.5182,41.3619,0.599765,-25.2247,7.99501,105.752,-5.53824,-0.141641,21.2467,-10.6417,54.5332
-90.152,1,0.0261121,4,15,0,172.25,0.00899537,0.0548997,-0.20043,-0.243435,-0.422625,-0.102689,0.275292,0.462652,-1.11697,-0.0533112,-0.0758717,0.116583,0.00791812,-0.245937,-0.128252,-0.315203,-0.651316,-0.364884,0.173743,-0.000700897,-0.895516,-0.221795,0.468232,-6.1545,0.307712,2.14697,3.93678,-3.15485,-2.88111,1.03106,-1.46426,-2.04256,-5.30131,0.797493,0.224023,4.65936,1.07976,5.26743,22.0481,20.3827,1.06736,-4.95641,-16.7193,-1.14711,4.33454,16.2036,-8.89623,24.848,7.3729,35.2277,22.9624,-9.01537,-1.81564,-3.05046,4.88428,2.60008,64.9951
-82.3896,1,0.0223089,4,15,0,96.6874,-0.00360198,0.027671,-0.212194,-0.035418,-0.296133,-0.0773503,0.188135,0.384977,-1.03782,-0.0377957,-0.284963,-0.0435143,-0.00590917,-0.244782,-0.0305451,-0.282841,-0.699218,-0.475701,-0.0650758,-0.564878,-0.395493,1.05291,1.89814,2.37396,2.16447,-0.934657,-1.34949,1.23873,0.550332,-0.898159,-1.60041,0.110376,0.0379309,0.559845,0.209199,-0.782083,-1.00367,-1.78835,-2.16737,-8.3085,-28.8742,1.33474,-22.9819,-39.8352,1.81101,8.93952,-9.66787,-24.9647,-28.2609,-13.9428,-16.8865,0.799677,7.56356,4.38462,6.24973,0.131012,-40.9867
-79.9733,0.993844,0.0202232,7,127,0,92.6282,0.264672,0.14508,0.0344896,-0.0183089,0.199162,0.0710593,-0.100802,0.515067,1.13436,0.0650291,-0.0607904,-0.110052,0.161482,-0.259955,-2.68351,-0.432942,-1.39041,-0.962594,-0.159875,0.0170053,0.64582,-0.94532,2.29112,-1.5197,1.54478,-1.37236,-0.400553,1.833,-1.19474,1.6503,0.249963,-0.969328,-0.0717333,1.31903,1.20602,0.0824699,0.191948,-0.504044,13.8157,8.72977,2.94909,-0.250236,4.92788,21.6812,-0.0534633,9.7844,6.78385,31.456,-0.520766,-8.913,35.93,7.44912,-0.842946,0.636076,0.837563,0.69112,30.9259
-75.8451,0.997355,0.0187416,6,95,0,87.4361,0.132929,0.301871,-0.00195702,0.0431159,-0.16653,0.0589498,-0.190825,-0.765727,0.264856,-0.0251275,0.0866729,0.0883797,-0.107806,-0.299627,-3.2067,-0.504794,-1.10624,-1.75438,-0.0951187,-1.73319,0.458749,-0.470313,0.685072,-0.439825,-1.00372,-0.070014,0.338069,2.79971,-0.325953,0.843888,-1.79981,0.682057,-0.122265,0.432051,0.152228,-0.769721,0.971413,-1.95826,6.86211,18.0447,0.301627,3.46551,-4.19575,20.867,-0.332542,-9.74942,1.22903,5.91081,7.66224,11.4561,-15.9126,-8.54187,-0.939449,-0.391513,-1.22696,-0.782343,24.2147
-74.8536,0.977323,0.0180868,7,159,0,91.2424,-0.109575,-0.0251875,-0.00369815,0.118013,0.474555,-0.121025,-0.153539,-0.270612,-0.189117,-0.071419,-0.00410657,-0.0455799,-0.0724465,-0.234061,-2.2525,-2.21537,-1.09089,-0.654456,0.00936531,-1.44596,-2.24401,0.0119541,-1.21575,-2.0802,-0.733025,0.746968,-2.97665,1.03807,1.02243,-0.479643,0.0913989,-0.368387,-0.886468,1.45698,-1.21612,-0.263764,1.44239,0.924835,-5.21597,-1.61127,1.03608,9.56618,12.0619,-20.7842,0.0211083,-1.3218,-1.69561,-12.4178,0.448383,3.73221,-3.38021,21.3714,-0.648031,-1.09825,-2.33189,-1.47084,32.2562
-71.5019,0.991108,0.0167411,7,223,0,81.92,0.2211,0.192962,0.0225883,0.108946,0.156817,-0.0597411,-0.174678,-0.29441,0.195366,-0.090099,-0.0496359,-0.107257,0.00282757,-0.288461,-0.937288,-1.51349,-0.654334,-2.72631,-0.06638,-0.00645251,-0.559709,0.0265877,0.461588,-2.46083,0.608377,-1.05858,-0.333005,-1.20578,0.174843,-0.748319,1.08935,-1.13202,-1.14995,1.2786,1.17048,1.17732,-0.896813,-1.27342,14.1812,12.4721,4.92086,13.4102,4.11159,-0.370519,0.281441,-0.73675,0.831587,-13.0244,-1.07001,-9.82748,1.7357,-3.76728,0.982348,-1.41367,-2.57591,-1.03878,34.835
