# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=91950713
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_N_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_N_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,x_a.1,x_a.2,x_a.3,x_a.4,x_a.5,x_e.1,x_e.2,x_e.3,x_e.4,x_g.1,x_g.2,x_s.1,x_s.2,sigma,sigma_a_2,sigma_g_2,sigma_e_2,sigma_s_2,b,p_x_a.1,p_x_a.2,p_x_a.3,p_x_a.4,p_x_a.5,p_x_e.1,p_x_e.2,p_x_e.3,p_x_e.4,p_x_g.1,p_x_g.2,p_x_s.1,p_x_s.2,p_sigma,p_sigma_a_2,p_sigma_g_2,p_sigma_e_2,p_sigma_s_2,p_b,g_x_a.1,g_x_a.2,g_x_a.3,g_x_a.4,g_x_a.5,g_x_e.1,g_x_e.2,g_x_e.3,g_x_e.4,g_x_g.1,g_x_g.2,g_x_s.1,g_x_s.2,g_sigma,g_sigma_a_2,g_sigma_g_2,g_sigma_e_2,g_sigma_s_2,g_b
-1042.63,1,0.015625,4,15,0,1577.55,-0.465705,-0.284557,0.917051,0.797633,-0.810482,-0.481759,-0.10043,1.19744,-1.47071,1.36145,1.74988,-0.948229,0.203618,0.687617,1.4347,0.300481,0.861803,0.846465,-0.102376,-1.22773,-0.285564,10.2709,9.12585,-2.82761,4.04905,0.585285,1.00046,0.110014,7.72304,2.14586,-0.631146,5.19078,-20.3765,17.2602,5.57322,-0.29811,-0.280896,4.21692,-77.8451,-24.1549,349.706,299.619,-94.2173,59.1995,5.75342,66.1255,-10.5122,384.497,124.565,-100.831,263.044,-576.554,556.102,192.035,-21.6609,52.9319,96.4208
-1042.63,0,10.0182,0,1,1,1046.75,-0.465705,-0.284557,0.917051,0.797633,-0.810482,-0.481759,-0.10043,1.19744,-1.47071,1.36145,1.74988,-0.948229,0.203618,0.687617,1.4347,0.300481,0.861803,0.846465,-0.102376,-0.223899,-0.0397048,-0.204952,-0.124431,-0.39462,0.0363862,-0.108276,-1.00848,0.621974,-0.0638835,-0.510119,-1.01453,0.700511,-0.594067,-0.235295,-0.449423,0.538225,-0.568807,1.88291,-77.8451,-24.1549,349.706,299.619,-94.2173,59.1995,5.75342,66.1255,-10.5122,384.497,124.565,-100.831,263.044,-576.554,556.102,192.035,-21.6609,52.9319,96.4208
-1042.63,0,0.951493,0,1,1,1053.05,-0.465705,-0.284557,0.917051,0.797633,-0.810482,-0.481759,-0.10043,1.19744,-1.47071,1.36145,1.74988,-0.948229,0.203618,0.687617,1.4347,0.300481,0.861803,0.846465,-0.102376,-0.115217,-0.762551,0.209875,0.542921,0.812725,3.57922,0.243738,-1.19093,-0.784538,1.39163,-0.425871,-0.230613,-0.579839,0.52234,0.283309,0.349025,-0.0711484,0.944736,0.681792,-77.8451,-24.1549,349.706,299.619,-94.2173,59.1995,5.75342,66.1255,-10.5122,384.497,124.565,-100.831,263.044,-576.554,556.102,192.035,-21.6609,52.9319,96.4208
-675.441,1,0.0488594,1,1,0,1037.03,-0.372118,-0.258229,0.417133,0.492147,-0.721903,-0.564736,-0.0771956,1.17064,-1.44946,0.948184,1.5962,-0.821439,-0.0750113,1.37098,0.813879,0.0652538,0.907826,0.828727,-0.195356,2.62665,1.14325,-10.9357,-7.08738,2.50326,2.31859,0.526963,-1.13103,0.739231,-13.1147,-5.10669,5.24279,-5.40467,8.96669,-13.1164,-4.54951,0.149916,-0.904606,-1.63222,-29.113,-24.7401,28.8144,34.1804,-28.2573,-164.426,-2.1052,23.8426,-12.457,190.6,80.2893,-108.384,-12.198,205.475,16.7854,-10.8416,32.421,22.1678,-11.0851
-263.652,0.666667,0.0333642,2,6,1,666.213,-0.198617,-0.178365,0.276974,0.230615,-0.442586,0.119839,0.016122,0.967719,-1.31884,0.0347051,0.996683,-0.245926,-0.122166,0.403904,0.810487,0.00498872,0.792252,0.578386,-0.104592,-2.36953,-1.5833,4.30805,5.01524,-4.13439,-7.12335,-0.959065,3.97594,-2.04683,13.7654,9.75789,-8.16098,1.44878,17.0482,1.42399,1.24401,3.25206,2.51324,0.152878,7.42267,-1.64819,93.2313,69.9847,-25.9921,136.127,0.335085,56.3386,-18.4712,40.6432,80.3176,4.40929,63.8606,65.3906,36.474,31.5401,69.4271,-16.6439,63.3827
-90.9603,0.983491,0.00966578,5,31,0,270.399,-0.0493145,0.102323,-0.298957,-0.126681,-0.115683,0.0240338,-0.08861,0.45102,-1.14096,0.145301,0.0962993,0.0875231,0.0785102,-0.471242,0.493387,-0.286445,0.0308123,0.746369,-0.373709,-1.58626,0.870234,-4.56905,-3.89013,5.47738,0.129376,-0.453234,-6.85216,2.69153,-1.85857,-8.84289,-1.36495,0.421546,-6.64502,-3.24063,-2.51514,-8.54678,-0.014619,-4.17757,101.672,104.638,-21.1777,33.6993,-10.9744,137.686,-2.5358,34.2056,-17.3407,115.408,27.7168,135.536,187.266,-129.766,2.04868,14.2073,27.9416,25.8957,142.778
-57.4529,0.999874,0.0076432,7,127,0,103.994,0.145337,0.0508865,0.0176671,-0.105144,0.269332,-0.0100226,1.09185,-0.627144,0.133273,-0.102861,-0.0338106,0.0900965,0.0223445,-0.267413,-1.67406,-1.45283,-2.76552,-1.09776,-0.60305,1.52225,3.42073,-2.47031,-0.129114,1.39204,1.6626,-0.671804,0.388679,-3.08865,0.163034,-1.15599,-0.444913,-0.0634457,-2.42173,3.99084,1.80676,4.32469,3.34309,-1.265,7.83309,-1.09294,0.0212024,-10.4501,3.82518,-5.6711,5.25937,-8.95958,0.729813,-32.6645,-4.8809,4.24751,-11.2491,45.3045,-1.40617,0.437477,-1.01917,-1.43629,-59.1797
-55.7348,0.998663,0.00680394,8,255,0,67.0836,0.0910923,0.0608309,-0.0561451,0.209189,0.249913,0.0142705,-0.68676,0.708973,-0.119314,-0.0202833,0.108568,-0.0452986,0.0496265,-0.400169,-1.79301,-0.854493,-3.36946,-2.70008,-0.619319,-1.08306,-0.195493,-0.386992,0.192092,0.661126,-0.881633,-1.8001,-0.169059,-0.164487,0.675412,0.321249,1.11269,1.87026,2.12215,0.302117,0.664499,-0.154242,-1.16159,-2.25488,4.72354,-1.05211,-4.99131,10.9848,2.79182,1.07021,-3.61773,9.88079,-0.767192,-30.9559,-0.362076,-6.14286,4.53891,-20.6224,-2.52224,-0.663316,-0.898335,-1.03797,-76.1593
-48.3922,0.998728,0.00633469,9,511,0,61.7019,0.024261,0.0432944,-0.137401,0.142294,-0.113185,0.00472126,0.455325,0.687096,-0.0828848,0.0282476,0.10646,0.0610198,0.0182276,-0.404471,-1.73862,-1.43036,-3.66182,0.0927496,-0.488027,1.13518,-0.76048,-1.32149,-1.42058,-0.36551,-0.828009,-1.39336,0.914351,-0.537878,-0.419565,0.78174,-1.39372,-2.35524,-0.351587,0.902224,-0.117776,0.648787,1.28229,-2.4101,4.80012,1.16481,-6.34686,10.2463,-5.43076,1.42116,2.21433,9.71209,-0.487911,9.12267,5.34314,26.7733,-3.43104,-15.4351,-0.683578,-0.671694,-0.93835,1.23813,12.9496
-49.9835,0.999071,0.00610781,9,639,0,53.0581,0.0251642,-0.0156798,-0.173818,0.102876,0.321502,0.0284621,-0.643325,-0.687933,-0.283411,0.0266143,0.108647,0.00656904,0.112051,-0.415227,-1.53126,-1.24824,-4.44845,-0.120711,-0.511214,-0.489662,-0.806199,-0.0720214,-0.908182,-0.719822,0.251029,-0.487466,0.276251,0.685906,-0.00864443,0.0680953,0.27418,-0.992316,0.495014,0.879793,0.530152,-0.475183,-0.416705,0.547449,5.46949,-2.58263,-8.50227,7.84272,5.80031,6.98877,-3.25327,-9.59882,-1.70078,9.33634,6.24757,2.01987,30.6685,-17.8012,-1.63932,-0.527519,-0.981514,1.28509,15.5259
