# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=91950713
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_N_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgG_N_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,x_a.1,x_a.2,x_a.3,x_a.4,x_a.5,x_e.1,x_e.2,x_e.3,x_e.4,x_g.1,x_g.2,x_s.1,x_s.2,sigma,sigma_a_2,sigma_g_2,sigma_e_2,sigma_s_2,b,p_x_a.1,p_x_a.2,p_x_a.3,p_x_a.4,p_x_a.5,p_x_e.1,p_x_e.2,p_x_e.3,p_x_e.4,p_x_g.1,p_x_g.2,p_x_s.1,p_x_s.2,p_sigma,p_sigma_a_2,p_sigma_g_2,p_sigma_e_2,p_sigma_s_2,p_b,g_x_a.1,g_x_a.2,g_x_a.3,g_x_a.4,g_x_a.5,g_x_e.1,g_x_e.2,g_x_e.3,g_x_e.4,g_x_g.1,g_x_g.2,g_x_s.1,g_x_s.2,g_sigma,g_sigma_a_2,g_sigma_g_2,g_sigma_e_2,g_sigma_s_2,g_b
-965.041,0.999998,0.000782806,8,255,0,1057.19,0.928683,-0.78249,1.2287,-0.830211,0.154534,1.17875,-0.199042,-1.03372,-1.44068,-0.750152,0.0175125,-0.794566,1.58749,-0.459585,-0.635548,-0.525877,-1.06157,-0.434336,-0.414415,1.32662,-0.806477,1.78103,-0.706618,-1.14942,2.82449,-0.108622,-1.06851,-0.0617079,-1.45073,1.26773,-0.540608,6.0412,-9.84913,1.21388,0.034029,1.29055,4.08206,3.23238,108.653,-37.1395,160.586,-53.5237,13.2808,390.977,-1.93001,-10.7214,-10.8287,-38.6468,66.7458,-137.365,521.629,-722.381,153.705,-90.6882,127.587,462.329,317.672
-754.66,0.999998,0.000793747,5,31,0,975.311,0.919121,-0.753866,1.2034,-0.796232,0.154813,1.08488,-0.183797,-1.00892,-1.47231,-0.759587,0.0477958,-0.751149,1.50589,-0.304305,-0.656715,-0.488825,-1.06299,-0.511342,-0.505209,-1.42824,1.83199,-2.66689,2.24688,-0.0828199,-8.1305,0.759882,1.32313,-1.42049,0.381506,0.910258,3.44325,-8.52409,12.6244,-2.30471,2.41361,-0.975315,-7.19357,-6.67717,81.9376,-47.5267,123.545,-61.3472,6.47094,312.7,-2.13226,-12.7067,-10.8228,-111.498,43.0116,-122.53,381.758,-325.803,100.583,-37.2244,59.0128,239.901,149.467
-699.603,0.999986,0.000819197,6,63,0,762.903,0.903029,-0.730946,1.18713,-0.789138,0.161082,1.03319,-0.188602,-1.00724,-1.47094,-0.768322,0.0213026,-0.748373,1.45953,-0.271951,-0.669702,-0.493905,-1.06269,-0.544834,-0.504137,-1.7427,2.06089,-2.02186,0.947221,0.439545,-5.90935,-0.352283,0.213488,0.175668,0.122355,-2.27489,1.00079,-5.92133,4.32945,-1.60567,-0.172454,-0.316981,-3.96104,-0.78658,76.0085,-47.9763,115.616,-62.3754,5.43338,290.338,-2.20374,-13.1796,-10.7563,-126.268,35.5623,-118.478,349.839,-251.306,88.5831,-28.9691,46.3412,195.052,119.053
-642.098,0.999997,0.000856635,6,63,0,713.514,0.878881,-0.743878,1.13444,-0.755939,0.198146,0.957213,-0.216399,-1.01103,-1.4717,-0.788998,0.0122147,-0.694878,1.4194,-0.240396,-0.659987,-0.486069,-1.07522,-0.567895,-0.503411,1.97574,0.213215,3.8438,-2.34482,-1.91192,6.62362,1.45335,0.0756391,-0.0605468,-0.189642,0.796644,-3.91108,5.30388,-3.75137,0.278268,-0.648917,1.03778,2.88328,0.948959,71.0617,-51.6472,106.862,-61.7544,5.67819,261.947,-2.34461,-13.529,-10.6658,-143.529,30.6311,-109.978,322.147,-186.845,79.0588,-19.9929,33.4378,156.079,89.9729
-447.468,1,0.000904643,7,127,0,655.834,0.901911,-0.642227,1.05075,-0.746148,0.266595,0.767707,-0.218258,-0.910445,-1.53713,-0.578369,0.00173687,-0.587571,1.18559,-0.11798,-0.744589,-0.511591,-1.07133,-0.732594,-0.614639,-0.86377,3.43561,-3.96378,1.55711,1.48871,-9.32304,0.00574822,2.64777,-1.30807,7.71591,-0.673946,4.51331,-11.2531,4.59867,-3.29928,-0.400215,-0.364636,-5.88762,-3.76936,60.468,-47.9582,83.0355,-62.0348,5.10305,194.437,-2.32101,-13.315,-10.8918,-122.517,11.9385,-82.471,226.884,-4.18493,47.0494,-1.10487,11.1046,52.944,21.8587
-417.777,0.999993,0.00096232,6,63,0,457.504,0.922418,-0.619572,1.07671,-0.733087,0.296926,0.719882,-0.246788,-0.894638,-1.56747,-0.538006,-0.00029117,-0.571404,1.11228,-0.106631,-0.794421,-0.523667,-1.06628,-0.716577,-0.578024,-0.0524368,-1.47573,0.015509,-1.26987,-1.13601,4.31328,1.11107,-0.794294,1.07587,-3.02948,0.234864,-1.6429,5.72226,-0.430917,2.55496,0.435465,-0.0432249,0.0234942,-1.07776,61.1609,-44.4382,83.8958,-58.5102,6.44095,186.257,-2.34385,-12.864,-10.9639,-107.783,11.8992,-77.5318,217.006,7.96392,43.183,-4.36545,12.5911,50.5267,32.5211
-172.615,0.999999,0.00102913,10,1023,0,430.272,-0.736118,0.198186,-0.717208,0.223675,-0.177157,-0.305717,0.538332,0.14368,-0.578394,0.241531,0.0846458,-0.464985,0.837441,-0.287703,-3.2727,-1.0924,-1.37444,-2.58987,-0.67592,5.75873,-5.92835,7.4931,-6.13713,-0.225175,-10.0014,1.30269,3.50935,3.81205,7.47223,-2.78747,-0.821167,-8.77208,4.98693,-4.70853,-2.65537,-0.987984,-5.26366,0.755894,-37.763,10.8758,-44.2364,14.2435,-5.22277,-92.9073,1.94908,1.50448,-4.13579,29.8763,-2.80098,-49.7132,132.8,28.9154,-0.677055,-6.52805,5.23094,-2.74711,-85.9983
-76.0886,0.999999,0.00110486,8,255,0,180.137,-0.257436,-0.153612,-0.240566,-0.109984,-0.0397744,0.301034,0.691772,0.210807,-0.702217,-0.130489,0.0943146,-0.0468604,-0.339942,-0.444959,-3.15958,-0.896997,-1.47971,-2.47041,-0.367608,-4.88761,2.13952,-5.21458,2.26138,-1.11082,-1.21678,-0.770717,-0.136478,0.486209,4.31179,0.538409,-4.52637,9.93504,-0.80378,-0.870779,-1.34997,0.854258,-0.891554,0.966928,-11.8435,-9.19183,-13.5964,-6.89018,-1.40682,83.828,3.37836,4.52308,-4.41438,-10.5718,10.9506,-1.94181,-53.3111,-43.2635,-1.58799,-2.26855,3.22108,-1.75995,57.8425
-57.6016,0.999989,0.00118937,8,255,0,80.6652,-0.197268,-0.149013,-0.183432,0.0659149,-0.0441687,-0.175983,0.621869,0.295574,-0.718611,0.0856597,0.083104,-0.0204258,0.0678956,-0.295792,-3.01599,-0.836033,-1.34997,-2.47377,-0.574633,1.22645,0.775288,1.33804,1.28641,0.0983613,-3.33461,-0.705824,0.307529,0.211712,2.18243,-0.290257,0.437375,4.40723,1.40381,1.11775,0.533642,0.912233,0.0358416,0.097223,-9.88949,-9.99804,-11.3349,3.77222,-1.95658,-54.7302,2.64541,4.48534,-4.90111,1.04757,-0.924598,-3.2584,7.91449,34.6855,-0.805328,-2.46923,1.72674,-1.10536,-51.5967
-49.2755,0.99999,0.00128264,10,2047,0,63.3241,-0.223678,-0.103723,-0.21679,0.0495365,-0.0141423,-0.105577,0.0256197,-0.320781,0.908455,0.0308313,-0.027286,0.0404707,-0.0280152,-0.336246,-1.42702,-0.533221,-1.04745,-2.95653,-0.359827,0.759455,-0.44461,0.135961,0.744911,0.511965,-1.35605,1.23379,-0.572006,-0.420373,2.66079,1.91989,0.36158,-0.691564,1.3422,-2.39691,-0.0281077,-0.569527,0.162297,1.8301,-7.46719,-7.14837,-10.0619,5.4776,-2.75585,-17.2292,-0.454105,-4.43476,6.64638,21.8111,-2.0725,5.01773,-4.21111,20.3997,-2.09004,0.0750801,-0.440931,-0.920311,24.7226
