# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=424225939
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgA_S_Serum_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgA_S_Serum_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,x_a.1,x_a.2,x_a.3,x_a.4,x_a.5,x_e.1,x_e.2,x_e.3,x_e.4,x_g.1,x_g.2,x_s.1,x_s.2,sigma,sigma_a_2,sigma_g_2,sigma_e_2,sigma_s_2,b,p_x_a.1,p_x_a.2,p_x_a.3,p_x_a.4,p_x_a.5,p_x_e.1,p_x_e.2,p_x_e.3,p_x_e.4,p_x_g.1,p_x_g.2,p_x_s.1,p_x_s.2,p_sigma,p_sigma_a_2,p_sigma_g_2,p_sigma_e_2,p_sigma_s_2,p_b,g_x_a.1,g_x_a.2,g_x_a.3,g_x_a.4,g_x_a.5,g_x_e.1,g_x_e.2,g_x_e.3,g_x_e.4,g_x_g.1,g_x_g.2,g_x_s.1,g_x_s.2,g_sigma,g_sigma_a_2,g_sigma_g_2,g_sigma_e_2,g_sigma_s_2,g_b
-1286.06,1,0.015625,1,1,0,2049,1.13137,-0.467255,-1.66641,-1.51396,-0.610852,-0.527386,1.0316,1.80806,0.0577175,1.78152,-1.34938,1.00002,-0.15024,0.957078,1.3961,-1.9804,-1.54767,-1.03843,1.75159,8.49889,0.0667076,-7.3476,-7.9774,-2.43029,-0.907505,-0.92546,0.416236,0.6373,7.40266,-0.931422,2.43564,0.15092,-22.9087,27.161,-0.385073,1.13974,-0.993486,-1.12489,264.884,-14.1574,-242.692,-221.021,-17.2872,-128.716,5.44873,25.7318,0.117456,380.34,-67.9853,102.773,-29.9038,-378.003,648.267,-1.77684,1.66554,1.93823,-10.2934
-1286.06,0,10.0182,0,1,1,1295.67,1.13137,-0.467255,-1.66641,-1.51396,-0.610852,-0.527386,1.0316,1.80806,0.0577175,1.78152,-1.34938,1.00002,-0.15024,0.957078,1.3961,-1.9804,-1.54767,-1.03843,1.75159,-1.30612,0.239585,0.000408533,-0.378811,1.57031,1.13142,-2.08461,0.380955,-0.842427,-0.5424,-0.840523,0.738143,0.579659,-1.74222,0.955015,0.310543,-0.695165,1.28348,-0.56651,264.884,-14.1574,-242.692,-221.021,-17.2872,-128.716,5.44873,25.7318,0.117456,380.34,-67.9853,102.773,-29.9038,-378.003,648.267,-1.77684,1.66554,1.93823,-10.2934
-1286.06,0,0.951493,0,1,1,1289.84,1.13137,-0.467255,-1.66641,-1.51396,-0.610852,-0.527386,1.0316,1.80806,0.0577175,1.78152,-1.34938,1.00002,-0.15024,0.957078,1.3961,-1.9804,-1.54767,-1.03843,1.75159,-0.69169,0.0625587,0.437148,0.23576,-0.152784,0.269199,-0.542158,0.225026,0.611366,0.521073,0.99246,0.886435,-0.321382,-0.53175,1.1705,0.215889,0.0743028,-0.668336,-1.31446,264.884,-14.1574,-242.692,-221.021,-17.2872,-128.716,5.44873,25.7318,0.117456,380.34,-67.9853,102.773,-29.9038,-378.003,648.267,-1.77684,1.66554,1.93823,-10.2934
-858.13,0.666684,0.0488594,2,3,0,1234.52,0.862431,-0.492123,-1.46426,-1.29593,-0.653135,-0.41344,1.03462,1.78504,0.0444445,1.23348,-1.28866,0.869449,-0.0352018,1.39768,0.684033,-1.99596,-1.52721,-1.06252,1.73792,-7.20926,-0.0383459,6.34185,6.5402,-0.57396,4.66361,-0.0732739,-1.09534,-0.283961,-17.7204,2.80293,-4.91017,2.41108,4.32093,-14.9245,-0.347241,0.438202,-0.554389,-0.789199,69.7897,-19.2641,-90.2345,-85.0533,-11.9296,-95.4364,5.52726,25.5518,0.503684,266.222,-63.8574,91.6,-2.31711,192.255,14.3536,1.17993,-0.799734,2.51662,20.8529
-691.573,1,0.0128733,3,7,0,868.237,0.733345,-0.438294,-1.39626,-1.18117,-0.681321,-0.264731,0.94928,1.7618,0.0155012,0.814506,-1.28227,0.7445,-0.0997819,1.25407,0.735688,-2.02103,-1.59822,-1.09797,1.73976,-4.29345,1.44787,3.62924,4.31101,-0.228077,4.81942,-1.79172,-1.10507,-0.571418,-13.6725,1.77969,-4.61137,-1.00344,-7.57226,0.585262,-0.504929,-1.36327,-0.74401,-0.530106,70.9704,-12.3055,-87.6859,-76.7565,-12.1415,-59.3556,5.09377,25.257,0.309445,176.99,-63.4763,79.555,-12.2625,174.921,16.9364,0.503078,-0.458447,2.1806,25.0712
-562.419,1,0.00966627,3,7,0,699.453,0.624404,-0.397369,-1.34914,-0.944142,-0.581575,-0.184632,0.907994,1.65398,0.0113017,0.551973,-1.12457,0.634542,-0.0997779,1.0269,0.692916,-1.95855,-1.67754,-1.08827,1.71281,4.0126,-0.913496,-3.33728,-5.90521,-1.97608,-2.79385,0.85694,2.56688,0.0816378,8.85941,-4.42272,4.08447,-0.326541,8.42784,1.09522,-1.05896,1.35548,-0.0903344,1.43107,77.65,-2.08295,-84.1448,-52.2879,-6.31644,-37.6972,4.98213,23.9472,0.338239,123.031,-55.1465,71.1803,-9.05342,132.6,8.30759,0.633762,-0.286792,3.11727,42.4646
-514.407,0.999976,0.00803992,4,15,0,571.215,0.5767,-0.454466,-1.29804,-0.915433,-0.570129,-0.117504,0.86405,1.66007,0.0645308,0.356443,-1.09816,0.57882,-0.091244,0.968844,0.597336,-1.93093,-1.66824,-1.09901,1.63023,-2.7463,-1.03009,3.0098,1.82442,0.389674,2.067,-1.02772,-0.454794,1.0899,-6.44791,1.86747,-2.81471,0.374405,-4.52071,-2.0243,0.569355,0.193539,-0.295116,-2.76421,72.0006,-6.99711,-77.6352,-48.4217,-5.82902,-20.8029,4.78524,24.1044,0.675527,81.9041,-53.6913,66.1635,-6.85446,132.206,-2.4635,-0.185936,0.186871,3.06006,47.1817
-364.386,0.999543,0.00716539,4,15,0,525.154,0.241264,-0.442517,-1.01557,-0.738626,-0.485517,-0.218457,0.858035,1.66682,0.0935094,0.15469,-0.947315,0.340483,-0.114011,0.500848,0.607742,-2.09414,-1.7871,-1.03986,1.26354,7.20249,-0.136106,-6.22698,-3.63755,-1.04763,-0.584823,0.277134,0.977379,-0.302615,5.07692,-3.90787,5.22251,-0.0407753,9.58732,-0.655124,1.87642,1.35945,-0.560562,6.97991,83.9345,8.35641,-58.0406,-23.8423,2.69617,-40.6666,4.86936,24.6435,0.891716,41.6345,-45.7725,48.8989,-4.03902,54.9863,-27.4437,-1.06651,-0.646393,2.6357,82.1912
-301.738,1,0.00669303,5,31,0,375.565,0.107437,-0.444357,-0.890508,-0.757187,-0.522195,-0.0762619,0.920705,1.62194,-0.0424914,-0.00523604,-0.787363,0.262756,-0.240859,0.37054,0.743553,-2.17184,-1.83413,-0.927452,1.01082,5.03703,0.208734,-4.08134,-1.11937,0.468725,-2.80984,-0.667446,1.5004,1.85665,2.87432,-3.71471,2.71263,0.877417,4.20451,-2.18621,1.00338,0.647712,-1.47404,5.81588,85.6729,1.98715,-66.2137,-43.9669,-3.35272,-11.2734,5.02391,23.7581,-0.0654331,4.26448,-38.6079,39.7023,-31.0952,68.6402,-2.60898,-1.5128,0.712944,0.887864,53.9206
-233.256,0.989853,0.00648102,5,31,0,310.55,-0.689665,-0.397812,-0.220954,-0.314682,-0.295723,0.0475665,1.11378,1.24131,-0.235588,-0.0480578,-0.238808,-0.0331865,0.167072,-0.188799,0.859118,-2.19682,-1.54572,-1.08289,0.242652,-2.07679,-4.40794,-2.94505,-3.86285,-0.401762,-0.384567,-0.579819,4.00531,0.989195,-0.713984,-5.36838,3.51035,-2.29096,-3.57728,1.58324,0.0676688,-1.54438,0.865224,4.92338,-207.83,-51.3828,73.6184,32.4634,1.13225,6.14668,5.1486,18.1132,-1.11083,-11.2581,-13.3678,-4.88892,21.4552,-202.978,92.7664,-0.501175,-0.662508,-1.57563,-21.6013
