# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1572216266
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgA_N_Serum_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/change/IgA_N_Serum_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,x_a.1,x_a.2,x_a.3,x_a.4,x_a.5,x_e.1,x_e.2,x_e.3,x_e.4,x_g.1,x_g.2,x_s.1,x_s.2,sigma,sigma_a_2,sigma_g_2,sigma_e_2,sigma_s_2,b,p_x_a.1,p_x_a.2,p_x_a.3,p_x_a.4,p_x_a.5,p_x_e.1,p_x_e.2,p_x_e.3,p_x_e.4,p_x_g.1,p_x_g.2,p_x_s.1,p_x_s.2,p_sigma,p_sigma_a_2,p_sigma_g_2,p_sigma_e_2,p_sigma_s_2,p_b,g_x_a.1,g_x_a.2,g_x_a.3,g_x_a.4,g_x_a.5,g_x_e.1,g_x_e.2,g_x_e.3,g_x_e.4,g_x_g.1,g_x_g.2,g_x_s.1,g_x_s.2,g_sigma,g_sigma_a_2,g_sigma_g_2,g_sigma_e_2,g_sigma_s_2,g_b
-119.22,0.983862,0.015371,6,63,0,128.233,-0.092116,-0.0895152,0.15672,0.198935,-0.134553,0.0211741,-0.283916,-0.282551,0.262902,0.0765854,0.0516769,-0.0413444,0.0737034,-0.0475379,-1.81131,0.491364,-0.366891,0.544219,-0.669043,-1.16693,-0.345434,0.695925,0.219613,-1.32664,0.219492,-0.143231,1.58592,-1.71576,-1.09671,-0.872802,1.45617,-1.4013,0.658392,-0.336137,0.849836,-0.301132,0.943253,-0.654601,-4.35822,-5.58044,9.3702,13.1538,-3.90566,3.31075,-1.9795,-3.79418,0.434649,4.28255,6.92696,-20.6445,20.2974,24.4991,-0.840716,-0.0682158,-0.531273,2.01469,-4.74971
-118.821,0.999051,0.0147614,7,223,0,125.546,-0.200317,-0.18328,-0.0569409,-0.195642,0.0335115,-0.0183439,-0.0346967,-0.170301,0.393711,-0.0609463,-0.148086,-0.0942547,0.0284451,-0.0595692,-1.92365,0.447098,-0.240911,0.218166,-0.276159,0.850533,1.33053,-1.17439,-0.960889,0.804687,0.252253,1.00986,0.675655,0.327286,-0.0669802,-1.00808,-0.948028,0.248126,0.681137,-0.326297,-0.213255,0.601516,-1.37827,1.2249,-9.35942,-10.8287,-3.30434,-13.1993,0.637836,-0.880876,0.470605,-1.11318,1.80015,-6.64468,-4.13925,-11.0868,13.8894,19.3869,-1.05482,-0.309664,-0.738471,0.654699,6.17923
-120.004,0.974044,0.0150563,6,79,0,126.714,0.112105,0.171507,0.0506497,0.217438,0.0379113,0.0225511,-0.230178,-0.187172,0.380506,0.0912723,-0.0671216,-0.0951606,0.141317,-0.125086,-1.54439,-0.0842078,-0.357609,-0.328577,-0.648402,0.980699,0.425672,0.330575,-0.617134,-0.0967672,1.19305,-0.404414,0.222457,-0.369889,-0.484163,-0.162205,1.54482,-0.617029,-0.288388,1.22672,-1.4053,-0.208234,-1.68633,-0.72439,6.2302,9.83533,1.86158,13.8964,-0.0682214,-2.20098,-1.73407,-2.64612,1.11739,9.77059,-5.90433,-17.6839,21.4662,-15.3036,-1.05395,-0.800689,-0.776323,0.266495,-13.3914
-119.435,0.992417,0.0143289,5,63,0,128.656,0.046973,0.153911,0.150081,0.0119196,0.0952874,0.00233168,-0.078842,-0.530329,0.284033,-0.0623682,0.0165413,0.113366,-0.0299854,-0.0693988,-1.47884,-0.267288,-0.460981,-0.342918,-0.500898,-0.823477,-0.907998,0.142209,-1.84887,0.293339,-0.773738,1.08403,-1.95275,-0.758651,-0.885838,0.379742,0.78151,-1.53559,-0.213822,0.509311,-1.27855,-0.693378,-0.111758,0.959467,3.13333,8.85131,8.59637,-0.588453,1.79668,-4.59813,0.0299281,-8.0291,1.01617,-23.689,3.8581,16.8514,-17.0677,11.1583,-0.952605,0.460617,-0.289637,0.687259,-9.55148
-128.808,0.941164,0.0145517,5,63,0,137.421,-0.168352,0.114633,-0.208314,0.210917,0.202468,-0.0895027,-0.105694,-0.895425,0.324399,0.0576992,-0.0379883,-0.243293,0.00993316,-0.0939234,-1.61566,0.0933451,-0.613045,-0.562638,-0.479702,0.380673,1.28505,0.772318,0.441504,-0.0470458,1.21107,0.0749176,0.0667217,-0.0874972,-1.36188,-0.12158,-0.317056,-1.7933,-0.464764,0.54896,-1.67415,1.00644,1.11384,-1.54714,-8.97284,6.12266,-14.7357,13.4788,4.37053,-29.7679,-0.455533,-15.5554,0.965647,-6.56894,-7.9189,-32.0649,-3.82872,0.0194362,-0.677691,-0.764962,2.66929,1.33841,-22.7137
-127.003,0.980428,0.0126759,6,127,0,139.665,0.151802,0.0719463,-0.264044,-0.0538838,-0.17592,0.120385,0.294727,0.465077,0.0942925,0.133259,0.0589248,-0.0892607,-0.0963363,-0.135938,-2.03879,0.871994,-0.443355,0.143495,-0.705867,-0.539432,0.997469,-1.57534,1.99848,-0.272274,-0.0627083,-0.00262579,2.36215,-0.364595,2.11161,0.678215,1.63459,-1.26984,-0.294829,-0.540192,1.1459,0.291166,0.682796,-0.571335,9.39973,4.57229,-16.063,-3.56016,-4.73937,31.7919,2.97277,11.8514,-1.0811,52.0975,9.96672,6.15109,-16.1004,-27.5906,-0.553937,4.94761,2.77566,-1.16116,12.7946
-122.165,0.995707,0.012538,6,127,0,136.147,-0.162892,-0.0460584,0.276197,0.0536913,-0.136238,0.0566612,-0.0843401,0.0301276,0.338402,0.0242648,-0.137064,-0.0232673,-0.133454,-0.0464224,-1.81426,0.515456,-0.536547,-0.240434,-0.506845,0.636239,1.24692,0.494862,1.92661,-1.41581,-0.0189696,1.15545,2.62871,-0.536798,-0.358127,-0.24763,2.19433,0.609658,-0.907894,-0.717057,1.2491,0.34934,1.18515,-1.30692,-8.17476,-4.0106,16.391,2.74593,-4.27596,2.66414,-0.527017,0.73316,0.886255,-11.4522,-24.042,1.07129,-41.0624,21.5075,-0.854646,2.62648,-1.40051,2.2836,-20.2064
-124.679,0.995383,0.0130417,7,255,0,132.755,0.0437116,-0.0902082,0.237358,0.0516816,-0.182397,0.00542337,0.0100599,-0.189741,0.327945,0.0582363,0.0209593,-0.0248485,-0.173378,-0.0218329,-0.1374,-2.06844,0.842626,-1.75563,-0.537457,0.900242,-0.924997,-0.612236,0.894225,-0.752532,0.841785,1.74804,0.701654,1.28223,1.04317,-0.773662,0.654828,-0.549869,0.248205,-0.418234,1.42417,0.756832,0.725748,1.03132,4.5344,-12.4954,20.7182,0.270429,-11.1418,-19.7121,2.59722,-9.57261,5.19605,11.2925,1.01269,-1.83079,-30.5874,31.0273,3.12782,-0.942495,3.60517,-0.440641,-9.53697
-119.613,0.999717,0.0135817,7,159,0,134.278,0.142591,0.0517345,0.193506,-0.0766775,0.318593,0.00677491,-0.041418,-0.175931,0.325739,0.0721078,0.0243695,0.0838424,0.0848861,-0.0511515,-1.34775,-0.42685,0.304428,-1.93793,-0.561227,0.319891,-0.741093,1.88621,0.658738,0.877721,-0.66074,-0.568238,-1.92945,-1.80707,-0.530743,-0.777163,0.0710922,2.33045,-0.157373,1.32342,-2.24368,1.72662,-0.167111,0.167956,8.76083,2.92403,11.9608,-6.49346,7.80328,0.0436584,0.655325,-2.10714,2.04041,12.9271,3.5919,9.27723,12.9985,22.6842,-0.454327,-0.470155,0.274848,-0.859288,-0.200062
-119.91,0.963428,0.0143516,5,63,0,128.109,-0.166639,-0.0858107,-0.022665,0.112325,-0.380348,0.000182917,-0.0456138,-0.220976,0.0167767,0.0357947,-0.0490325,-0.0968008,-0.051546,-0.0393904,-1.20119,-0.745837,0.309385,-1.88578,-0.377537,-0.728844,0.31881,-2.44529,-0.0287391,-1.37696,1.17881,-0.219947,0.341789,-0.857961,1.04907,-0.877465,1.01072,0.838458,-0.318692,0.514753,-0.973988,-0.147968,0.300507,0.759646,-6.37301,-4.3487,-0.378293,9.27332,-10.3153,22.6966,1.14016,-2.84643,-2.10633,13.256,-0.367676,-8.17958,-7.54299,26.8313,-0.641704,-0.427538,0.212661,-1.04719,16.1908
