# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2020433332
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_sigma.1
-237.278,1,0.125,2,3,0,364.116,0.224697,1.32815,-0.700126,1.11659,-0.379428,0.0816243,1.77047,1.0314,0.40375,0.67068,-0.623566,-14.2602,-1.91884,0.673823,-2.44523,-2.3752,-2.76191,-0.615371,2.8492,-1.51229,-1.47013,-3.74059,59.3684,5.05914,-3.89781,4.38739,4.05732,17.3267,2.74555,1.28935,3.36229,2.69596,14.6517
-237.278,0,10.0182,0,1,1,245.514,0.224697,1.32815,-0.700126,1.11659,-0.379428,0.0816243,1.77047,1.0314,0.40375,0.67068,-0.623566,-1.12436,0.185861,-1.38816,1.24071,-1.55369,-0.613274,-1.58865,-0.256181,0.968566,-0.98617,-2.10159,59.3684,5.05914,-3.89781,4.38739,4.05732,17.3267,2.74555,1.28935,3.36229,2.69596,14.6517
-237.278,0,0.951493,0,1,1,243.599,0.224697,1.32815,-0.700126,1.11659,-0.379428,0.0816243,1.77047,1.0314,0.40375,0.67068,-0.623566,1.73473,-0.992072,-0.252878,-0.2271,-0.264551,-1.72872,-0.739488,-0.359663,1.11112,-1.46262,1.1936,59.3684,5.05914,-3.89781,4.38739,4.05732,17.3267,2.74555,1.28935,3.36229,2.69596,14.6517
-210.261,1,0.0488594,3,7,0,244.662,-0.468837,1.18952,-0.549471,1.50975,-0.41904,-0.318825,1.77215,0.975897,0.301466,0.846226,-0.84867,-6.49609,-1.16799,1.37889,2.48309,-0.349097,-3.29512,-0.161649,-0.435707,-0.854989,1.04035,-2.04006,2.71978,1.93918,-5.29748,1.60574,-0.480329,2.93834,2.14,0.504124,1.50922,1.81357,3.43492
-207.693,0.997385,0.0333642,6,63,0,214.465,-0.460059,1.04147,-0.323823,1.29719,-0.411395,-0.599592,1.4763,0.429141,-0.12901,1.30745,-0.984805,-0.805513,-0.747634,1.41631,-0.868395,0.0363568,-1.29914,-1.20562,-1.65399,-1.47209,1.00936,-0.716144,-1.00503,1.43594,-4.06294,0.825983,-0.31317,1.47978,1.70568,-0.166644,0.714554,2.26501,0.322802
-205.967,0.996076,0.0259093,7,127,0,212.224,-0.125552,-0.912008,1.87166,-0.245455,-1.02415,-1.08713,-1.25717,0.902696,-2.03349,-2.03366,-0.883728,-0.882223,-1.10667,0.55008,0.185384,-1.37373,1.346,-1.48643,-0.292736,-0.202603,-1.91667,-0.682153,6.20879,-1.56317,2.53486,-1.77594,-0.594474,2.3903,-1.37266,0.692954,-1.67816,-1.8348,-3.76751
-203.445,0.999627,0.0218667,7,127,0,210.549,-0.588526,1.13111,0.695305,1.27593,0.593394,-0.40846,0.818552,-0.0823157,0.0872499,-0.0416861,-0.934587,-0.604819,-0.0778078,-0.391599,-1.24771,1.65828,0.347272,1.20644,0.370776,1.51067,1.89853,-1.33277,-1.29088,1.36667,-2.27008,0.352316,1.93931,1.13143,0.884599,-0.947659,0.915271,0.42137,-3.23321
-201.566,0.999795,0.0197928,7,127,0,207.437,-0.440414,-0.283016,1.7521,0.0115788,0.0470625,-0.755053,0.604207,-0.00274523,-0.581834,-0.321177,-0.268905,0.557165,-1.63282,1.05907,-0.762783,-1.615,-0.551441,-0.63563,0.556646,-1.07662,-0.520245,1.41638,-3.72295,-2.16525,4.5916,-4.30139,2.19657,-2.63839,1.00669,-1.43249,0.251024,0.454187,6.25876
-202.944,0.997706,0.018685,7,127,0,205.927,-0.476282,-0.402996,1.13589,1.1621,0.0788659,-0.529971,-0.184017,-0.162966,-0.925646,0.435517,-1.24364,-0.409522,-0.293879,0.798996,-1.73624,0.350745,0.303672,1.06443,-0.109741,0.329657,-0.700254,-0.316706,-1.14524,-1.00801,-0.579058,0.333277,0.714056,1.48474,-0.2263,-0.746347,-0.489589,0.931129,-4.48158
-203.385,0.999617,0.0180519,7,127,0,206.364,0.0707092,0.693209,0.341314,-0.384406,-0.95462,-1.40263,-0.0736368,0.884274,-0.74334,-1.9331,-0.177792,-0.701773,0.210605,-0.160845,-1.26825,-0.774298,0.514305,-0.0198159,-0.818116,1.17263,0.386811,0.853244,-2.17509,5.23952,-0.546991,-3.6787,-1.85186,-5.04774,0.354409,1.33506,1.02888,-2.28552,9.65209
-209.363,0.999386,0.0179293,7,127,0,214.585,-0.440488,0.999698,0.334206,-0.170209,-0.843738,-1.05816,-0.326478,2.08665,1.29771,-1.57322,-1.62887,-0.757236,0.4647,-0.763057,-1.26287,-0.535554,-0.369485,0.220295,-0.750083,-1.62418,-1.1198,1.59723,-4.70009,0.995791,-1.25724,-1.35412,-0.774163,0.21572,-0.349547,1.87826,1.95503,-1.39881,-2.39348
-200.999,0.999695,0.0180804,7,127,0,216.358,-0.51412,-0.561968,1.47909,1.33972,-0.208335,-0.353166,0.0480137,-0.139539,-0.622466,0.123347,-0.763336,-0.85813,-0.854709,0.345298,-0.0384889,2.50902,0.679777,0.428374,-2.10301,-3.2099,1.47566,-2.29903,-0.272221,-2.01658,0.176199,1.14148,-0.0719852,2.30484,0.000199327,-1.13095,-0.00365128,0.817885,-3.03972
-199.137,0.995078,0.0184678,6,127,0,204.367,-0.383921,0.707184,0.525072,0.119781,-0.177896,-0.631041,-0.0225245,0.399946,-0.74292,0.0884653,-0.277056,1.71469,1.29243,-0.429261,-1.71467,0.0499601,0.248749,-0.0354073,1.24994,-0.00213183,-1.04759,0.0209563,-2.54257,2.56355,-2.78185,-3.16824,0.885815,0.23295,-0.0184567,-0.48043,-0.0511108,1.44755,-2.53977
-200.407,0.991443,0.0187568,7,127,0,203.15,-0.648206,-0.451005,1.25924,1.03418,-0.449237,-0.452069,-0.498944,0.567,-0.719542,-0.149624,-0.503741,-1.70749,-0.0820007,0.0119518,-0.295262,-0.218965,-0.496113,-0.144439,-0.453539,-0.111934,1.357,0.318473,-13.8588,-2.79542,-0.796618,-0.00940718,-2.36997,-0.610427,-0.864691,-0.403729,-0.392549,0.400112,-2.75747
-205.574,0.998208,0.0189625,7,127,0,208.522,0.0276379,0.499634,-0.154605,-0.510452,-0.0924504,-1.02678,-1.65654,0.553852,-1.25865,-0.788638,-0.454183,0.835474,0.00150075,0.679423,1.01599,-0.201689,1.4545,-0.0522457,0.234335,-0.00144579,0.946369,0.77067,10.7644,2.80738,-3.44842,-3.28507,4.73087,3.48886,-2.08765,0.394897,-0.353199,0.135176,-3.61102
-202.815,0.999892,0.0196787,7,127,0,208.029,-0.422487,-1.14116,0.781384,0.734223,-0.446218,-1.09949,0.0778517,-0.0233738,-0.564553,-1.07796,-1.13479,-0.358276,-0.418991,0.197301,0.354813,1.38486,-0.429342,2.15073,-0.156012,-0.165793,0.342811,-1.75012,-8.05248,-2.16746,-1.2009,-0.330733,-0.178407,-0.055629,0.0809429,-0.617165,0.061728,-0.804634,-3.73946
