# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_sigma.1
-253.882,2.19585e-10,0.25,2,3,0,257.639,-1.6264,1.22255,1.26731,0.409606,0.092183,1.03843,-0.892674,1.18475,-0.333784,-0.598668,-0.00242647,1.20938,-1.62003,0.668792,-0.656626,0.175386,-1.20311,-0.199081,-0.305553,-0.967626,-65.9873,-1.94983,-2.1665,-1.48248,-0.174785,-1.31842,-21.9642,-0.247832,-2.07662,5.76691
-253.882,0,1.62616,0,1,1,255.936,-1.6264,1.22255,1.26731,0.409606,0.092183,1.03843,-0.892674,1.18475,-0.333784,-0.598668,-1.03365,0.0520524,0.864627,0.256841,0.18456,1.35105,0.413488,0.256216,0.327928,0.137616,-65.9873,-1.94983,-2.1665,-1.48248,-0.174785,-1.31842,-21.9642,-0.247832,-2.07662,5.76691
-211.329,0.935301,0.090108,3,7,0,253.056,-0.764448,1.2234,1.17744,0.398795,0.00350812,0.911323,-0.332329,1.52379,-0.0106075,-0.570007,-7.58515,-0.0216099,0.516607,0.0154935,0.482982,0.716316,-4.29986,-1.66354,-1.89205,0.263911,-8.77433,0.956679,1.7793,0.190625,-0.0223167,1.1315,-7.03219,3.87421,-0.512241,5.87884
-210.349,1,0.041122,6,63,0,214.118,-0.577693,1.15639,1.15928,0.410614,-0.465904,-0.0385341,0.845197,-1.71297,0.11084,-2.02244,-0.570287,-0.719808,-0.964912,-0.303729,-0.129248,-0.808039,-0.124497,-1.99516,0.101594,-0.996768,-4.38915,0.796503,0.898416,0.370547,-0.461116,-0.261441,1.47615,-1.93192,0.073393,-0.69216
-210.91,0.99974,0.0277332,7,127,0,217.909,-0.49871,1.40646,0.806681,0.770133,-0.258292,0.15817,0.969276,-1.83505,0.450043,-1.96434,0.398246,1.18884,-1.88256,1.78753,1.10009,1.02112,0.45165,-0.434197,1.71468,0.318486,2.5977,1.13371,0.579725,0.807141,-0.243132,0.0122961,2.17467,-2.02768,0.464951,0.103631
-210.423,0.99992,0.0215146,7,127,0,216.57,-0.394285,1.17206,-0.0272315,0.484413,-1.37858,0.0308654,-0.749587,-0.922618,-2.10269,-1.8481,-0.140333,-1.35113,-0.466977,-0.937627,0.466425,0.0020546,-2.00163,2.23143,-0.0162965,0.384954,-1.10011,0.958177,-0.300891,0.575952,-1.36989,-0.0478611,-0.266134,-0.931538,-2.22237,-1.15827
-211.229,0.999974,0.0182807,8,255,0,214.988,-0.316889,0.601168,-0.182375,-0.285348,-1.6386,0.120727,-1.19603,-1.0529,-2.3528,-1.83232,-0.0533542,-1.53951,-0.318942,-1.92507,-0.332884,0.205216,-1.01986,-0.127292,-0.138854,0.330618,0.378226,0.372531,-0.383278,-0.22355,-1.62622,0.133523,-0.681227,-1.00706,-2.45962,-1.38978
-208.72,0.997218,0.0165156,7,127,0,214.609,-0.546833,0.303129,1.1702,-0.857293,-0.912599,0.0487086,-0.888475,-0.587132,0.548899,-1.60521,-0.22899,0.309669,-0.569411,-0.0690997,-1.43245,0.072302,-0.755412,-0.908118,-2.60001,-1.04313,-12.2797,-0.319085,0.981738,-1.07883,-0.917519,-0.23434,-1.77906,-0.753606,0.569627,-0.127293
-209.243,0.99916,0.0154385,8,255,0,211.875,-0.20588,0.447524,1.33112,-0.572371,-1.30855,-0.28023,-0.691728,-0.871273,0.424242,-1.41397,-1.07022,0.370217,0.117287,0.908909,-0.909525,-0.907214,0.389452,-0.693768,-0.47962,0.792253,13.1474,0.294239,2.08934,-0.459921,-1.28042,-0.224325,1.29518,-0.69607,0.7079,-1.3397
-209.702,0.999819,0.0149702,8,255,0,214.052,-0.505095,0.497636,1.09731,-0.657211,-1.4954,-0.537052,-0.745231,-1.30367,0.649411,-1.54688,1.11281,-0.215737,1.19207,0.297961,0.670136,1.06374,0.192118,1.77586,-0.922177,0.532431,-9.94623,-0.0475268,0.977398,-0.828813,-1.51348,-0.942085,-1.23839,-1.62918,0.717755,0.00363515
