# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-211.581,0.997499,0.0237747,7,127,0,216.447,-0.27967,-0.122388,0.872629,-0.445337,0.127668,-0.447796,-0.513132,1.3406,1.36892,0.0311255,8,0.125,0.429601,0.437206,0.42714,0.431509,0.427121,0.426623,0.440793,0.441011,8
-209.304,0.997612,0.0248955,7,127,0,215.246,-0.63853,0.667794,1.02456,0.798054,0.0778742,0.557527,-0.277136,1.27331,0.81719,0.154557,8,0.125,0.369277,0.38221,0.373979,0.348306,0.365317,0.335957,0.391329,0.374671,8
-214.995,0.999628,0.0260834,6,63,0,216.842,-0.644952,1.73055,2.4015,1.82449,1.75028,0.549328,-0.383663,0.707022,-0.37981,0.109648,8,0.125,0.388125,0.405733,0.390574,0.388639,0.357847,0.334696,0.36183,0.33479,8
-212.162,0.99848,0.0274879,7,127,0,220.466,-0.217402,1.62718,0.0395732,2.03772,0.215327,0.465658,-0.93181,-0.917465,-1.30382,0.302424,8,0.125,0.568246,0.448821,0.598412,0.462003,0.480865,0.377728,0.378748,0.35167,8
-209.042,0.999436,0.0288637,7,127,0,218.82,-0.416598,0.454615,-0.00450047,1.768,0.530994,-0.564051,0.0225475,-0.70305,-0.39381,0.154307,8,0.125,0.414244,0.397165,0.464116,0.417107,0.376687,0.398164,0.371664,0.382874,8
-209.172,0.999355,0.0303795,7,127,0,212.542,-0.333942,0.0640173,0.0754556,1.67667,-0.121869,-0.115519,-0.548504,-1.16377,0.998757,0.290813,8,0.125,0.421816,0.422627,0.538338,0.40869,0.409137,0.37908,0.337964,0.489129,8
-208.928,0.999595,0.0319503,6,127,0,212.061,-0.514079,0.238557,0.596218,0.417693,1.10955,1.32092,-0.32696,-0.323757,0.16252,0.0792747,8,0.125,0.378677,0.385371,0.382024,0.395053,0.399065,0.368188,0.368247,0.37726,8
-214.245,0.999592,0.0336042,7,127,0,217.631,-0.385562,0.769067,0.182224,-0.859525,-1.69742,-1.11721,0.326383,1.01026,-0.784611,0.00273458,8,0.125,0.405293,0.404906,0.40422,0.403668,0.40405,0.405001,0.405452,0.404269,8
-213.497,0.984177,0.035319,7,127,0,219.897,-0.614061,1.07826,-1.9514,0.414469,0.700561,0.804139,-0.60653,-0.362822,1.50445,0.0397476,8,0.125,0.360959,0.333672,0.354896,0.357504,0.35845,0.34566,0.347855,0.364876,8
-213.791,0.997922,0.0355478,7,127,0,217.261,-0.244136,-1.05441,1.3742,0.410085,0.0880921,-1.71155,-0.266758,-0.283574,-0.75034,0.013487,8,0.125,0.435768,0.443837,0.44063,0.43956,0.43359,0.438381,0.438326,0.436776,8
-213.354,0.999915,0.0371482,7,127,0,218.443,-0.274237,1.71466,-1.90167,-0.479789,1.2195,-0.0276361,-0.852892,0.801961,0.508347,0.334244,8,0.125,0.574168,0.287029,0.393028,0.533294,0.429602,0.363707,0.498453,0.473942,8
-210.102,0.999278,0.0390029,6,63,0,217.578,-0.372913,-0.451288,0.489127,-0.539588,-0.539309,0.14601,-1.60462,0.181197,-1.53096,0.0573855,8,0.125,0.401598,0.414633,0.400381,0.400385,0.409863,0.385802,0.410351,0.386804,8
-210.408,0.991343,0.040846,5,63,0,215.048,-0.46607,-0.738693,-0.170991,-0.585595,-1.0901,-0.648911,-1.65434,-0.292076,-1.15442,0.102017,8,0.125,0.367855,0.381423,0.371495,0.359559,0.369988,0.346414,0.378513,0.358049,8
-214.916,0.994777,0.0418449,6,63,0,219.045,0.0464005,0.558388,-1.48837,1.27484,-1.5684,-1.0941,-2.26085,-0.953066,-0.998727,0.345274,8,0.125,0.559516,0.38521,0.619298,0.378687,0.417909,0.324271,0.4298,0.42594,8
-213.766,0.964993,0.0432396,5,31,0,218.828,-0.253779,-0.0875368,-1.7023,1.1608,-1.53328,-1.37263,-1.59355,-0.838402,-1.15803,0.277009,8,0.125,0.430937,0.32622,0.516937,0.336593,0.346602,0.332876,0.38083,0.360184,8
-208.265,0.999875,0.0412892,6,63,0,216.561,-0.462119,-0.317672,1.33992,0.495913,0.263657,1.17937,-0.7593,-0.189378,0.353436,0.156251,8,0.125,0.374782,0.437145,0.40501,0.396296,0.430983,0.358758,0.379491,0.399657,8
-208.849,0.993663,0.0432088,6,63,0,216.898,-0.426613,1.11151,0.951222,0.753564,1.47745,-0.1678,-0.199196,-1.21133,0.177037,0.23578,8,0.125,0.458957,0.449588,0.438085,0.480445,0.385522,0.383769,0.329108,0.404953,8
-209.153,0.998472,0.044459,6,63,0,215.488,-0.520056,0.725801,0.899623,1.04912,0.370276,0.364169,0.428569,-1.06051,-0.731894,0.102414,8,0.125,0.390378,0.394622,0.398286,0.381748,0.3816,0.383158,0.347813,0.355486,8
-211.491,0.98945,0.0462867,6,63,0,214.697,-0.562415,0.77456,0.220935,0.0958882,-1.72964,0.730659,-0.192474,1.02214,-0.443028,0.0230756,8,0.125,0.367132,0.364168,0.363501,0.353811,0.366896,0.361962,0.36846,0.360628,8
-213.326,0.999027,0.047058,6,63,0,216.102,-0.331823,0.688006,-0.520625,-0.752806,-1.88902,2.1832,-0.120682,0.685468,-1.21897,0.0886995,8,0.125,0.432711,0.406609,0.401649,0.377687,0.465511,0.415196,0.432656,0.391754,8
-212.932,0.999873,0.0489953,6,63,0,218.475,-0.372796,-1.58178,0.359402,0.333206,-1.29676,0.527754,-0.185372,1.93129,-1.33946,0.0764988,8,0.125,0.378999,0.414522,0.414036,0.384144,0.417651,0.404445,0.443972,0.383371,8
-209.595,0.999993,0.0510817,6,63,0,216.042,-0.363251,-0.478499,-0.377833,-0.468389,-1.49352,0.164398,-1.05331,-0.0136208,-1.49416,0.114694,8,0.125,0.396964,0.399731,0.397242,0.369457,0.414742,0.381294,0.409795,0.36944,8
-208.854,0.994787,0.0532312,6,63,0,213.127,-0.165423,-0.11444,0.791329,0.345748,-0.446107,-0.888203,-0.965483,-1.6052,0.0384715,0.410555,8,0.125,0.447097,0.539781,0.494132,0.413728,0.370498,0.363129,0.30482,0.462663,8
-209.795,0.999379,0.054719,6,63,0,215.306,-0.411767,0.802412,-0.448486,-0.77834,0.0843343,0.852188,-0.26697,1.44805,-0.262962,0.0495722,8,0.125,0.40806,0.393172,0.389277,0.399491,0.408656,0.395321,0.415813,0.395368,8
-211.462,0.999503,0.0568544,6,63,0,214.182,-0.3741,1.23917,-0.837668,0.479958,-0.390289,1.49692,-1.28782,0.0393625,-1.72568,0.0763047,8,0.125,0.430565,0.392213,0.416422,0.40038,0.435394,0.384056,0.408276,0.376184,8
-218.826,0.996115,0.0590487,6,63,0,224.792,-0.454542,-0.188555,0.613775,-1.54531,-1.27722,-2.07194,1.09419,1.58195,-2.79703,0.12747,8,0.125,0.382588,0.407019,0.342647,0.350385,0.32769,0.421879,0.437112,0.307661,8
-216.361,0.99974,0.0607837,6,63,0,222.528,-0.542473,0.0293368,0.752164,-1.15112,-1.21299,-1.76387,1.53609,0.942071,-2.5306,0.0786146,8,0.125,0.368149,0.381463,0.346838,0.345737,0.336007,0.396107,0.384992,0.322695,8
-211.245,0.999328,0.0630814,6,63,0,220.124,-0.364759,0.108921,-1.20028,-0.364449,1.02577,1.55545,-1.37538,-0.637428,0.738725,0.0565984,8,0.125,0.4113,0.393483,0.404828,0.42392,0.431257,0.391121,0.401111,0.419957,8
