# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1480661404
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,index.1,index.2,index.3,index.4
-266.286,1,0.03125,4,15,0,291.939,1.05903,-0.0308284,-0.765729,-0.260702,0.993535,-0.655006,0.448579,0.42382,-2.00208,-0.58019,1.80795,-0.0764248,0.0559896,0.345861,-0.67101,-1.45964,-1.33787,0.853517,0.208894,0.209724,6.63841,0.230216,240,0.00181806,0.360869,0.34039,0.354323,0.391502,0.343391,0.374917,0.392184,0.322834,0,0,0,0,0.299724,0.999383,0.0312099,0.977592,0,0,0.352104,0.388028,0.387185,0.313148,0.354429,0,6,8,6,9
-266.286,0,10.0182,0,1,1,275.741,1.05903,-0.0308284,-0.765729,-0.260702,0.993535,-0.655006,0.448579,0.42382,-2.00208,-0.58019,1.80795,-0.0764248,0.0559896,0.345861,-0.67101,-1.45964,-1.33787,0.853517,0.208894,0.209724,6.63841,0.230216,240,0.00181806,0.360869,0.34039,0.354323,0.391502,0.343391,0.374917,0.392184,0.322834,0,0,0,0,0.299724,0.999383,0.0312099,0.977592,0,0,0.352104,0.388028,0.387185,0.313148,0.354429,0,6,8,6,9
-266.286,0,0.951493,0,1,1,277.469,1.05903,-0.0308284,-0.765729,-0.260702,0.993535,-0.655006,0.448579,0.42382,-2.00208,-0.58019,1.80795,-0.0764248,0.0559896,0.345861,-0.67101,-1.45964,-1.33787,0.853517,0.208894,0.209724,6.63841,0.230216,240,0.00181806,0.360869,0.34039,0.354323,0.391502,0.343391,0.374917,0.392184,0.322834,0,0,0,0,0.299724,0.999383,0.0312099,0.977592,0,0,0.352104,0.388028,0.387185,0.313148,0.354429,0,6,8,6,9
-259.423,0.142857,0.0488594,3,7,0,277.555,1.00482,-0.009188,-0.743777,-0.176348,0.967501,-0.585656,0.415211,0.485411,-2.07149,-0.546674,1.90709,-0.12815,0.0554692,0.395472,-0.726382,-1.47803,-1.34996,0.936743,0.193608,0.201964,6.18126,0.219757,240,0.00181806,0.451126,0.4278,0.445766,0.482916,0.432769,0.46485,0.488908,0.403178,0,0,0,0,0.434426,0.998816,0.0599762,0.965374,0,0,0.442938,0.479927,0.482558,0.390772,0.444356,0,6,8,6,9
-224.604,0.999997,0.00288206,9,511,0,269.834,-0.233631,0.762837,-0.663443,-1.03545,-1.5786,1.05794,-2.28909,0.625517,-1.35248,-1.1348,1.27604,0.185328,0.540572,-0.389535,0.897801,-0.459733,-0.0648944,2.63789,0.0924878,0.208491,0.0202786,0.214387,240,0.00181806,0.415818,0.385042,0.377149,0.36574,0.422275,0.351035,0.42217,0.327959,0,0,0,0,0.381188,0.378672,0.390942,0.37539,0,0,0.465301,0.299978,0.442638,0.343216,0.353679,0,6,8,6,9
-220.294,0.999998,0.00202767,11,2047,0,239.369,-1.41008,0.491912,1.42228,0.275103,0.481641,0.489513,-0.249733,0.598798,-0.633639,1.003,-0.481718,-0.896517,-1.24832,1.07356,-1.90915,0.297003,-0.140013,-1.98473,0.568907,0.717802,1.3548,0.271501,240,0.00181806,0.356729,0.476845,0.330477,0.355466,0.356434,0.271069,0.429451,0.243273,0,0,0,0,0.347044,0.408412,0.410817,0.2136,0,0,0.365259,0.323167,0.371664,0.302268,0.395703,0,6,8,6,9
-216.037,1,0.00161691,11,2047,0,227.85,0.717732,-1.12035,-0.00616674,-1.07864,-0.819722,0.149913,-1.39548,-0.362729,-0.313191,-0.829418,-0.175987,1.57372,0.542176,-0.0154543,1.18782,-0.443903,-0.525681,0.122189,0.043277,1.1598,0.482009,0.474227,240,0.00181806,0.402047,0.413343,0.402468,0.405086,0.414933,0.399273,0.400393,0.413847,0,0,0,0,0.379203,0.408519,0.522381,0.34449,0,0,0.487715,0.316282,0.428359,0.434032,0.37602,0,6,8,6,9
-215.742,0.999874,0.00140331,11,2047,0,226.444,-0.407828,0.12104,1.70003,0.117591,0.670194,0.0359264,0.0982812,0.00558955,-0.459249,0.571663,0.224763,-0.575926,-0.0895531,1.28391,-0.349326,-0.0509466,1.11686,0.18344,0.086318,0.115712,0.488055,0.294541,240,0.00181806,0.416249,0.449584,0.416177,0.427772,0.414471,0.415774,0.42889,0.415818,0,0,0,0,0.420808,0.487381,0.411151,0.418519,0,0,0.422726,0.427205,0.420552,0.387668,0.461542,0,6,8,6,9
-219.755,0.999999,0.00129167,11,2047,0,226.091,0.0599936,1.10875,-1.28015,-1.0165,-0.20282,0.373179,-0.767397,0.855964,-0.924419,-0.321373,0.887571,-1.54126,-0.822791,0.414125,1.92932,0.194289,1.44082,1.46049,0.0140224,0.507618,0.747449,0.291244,240,0.00181806,0.409448,0.402077,0.402888,0.405396,0.407174,0.403656,0.489799,0.289126,0,0,0,0,0.344027,0.482584,0.583346,0.384932,0,0,0.435858,0.362685,0.46785,0.352992,0.390776,0,6,8,6,9
-218.866,0.999988,0.00124084,12,4095,0,229.384,-0.116884,-0.35389,1.13165,0.162919,-0.328202,0.111207,-0.716447,-0.213216,-0.687709,0.862293,-0.684443,1.14158,0.978917,-0.129437,-1.90366,-0.429744,-1.48972,-1.33295,0.432174,0.650238,0.0514933,0.554307,240,0.00181806,0.349105,0.500384,0.399964,0.351565,0.394758,0.315266,0.406735,0.33754,0,0,0,0,0.379016,0.373336,0.378417,0.368869,0,0,0.413428,0.310391,0.371566,0.313738,0.514202,0,6,8,6,9
-211.642,0.999998,0.00122928,11,2047,0,222.324,0.0173075,-0.0797278,-0.166615,-1.41753,-0.558227,0.184682,0.590657,0.262015,-0.349427,-0.58438,0.354797,0.467481,0.186353,0.36166,0.771562,0.0610713,-0.0322954,-0.653588,0.090489,0.788692,0.486635,0.198239,240,0.00181806,0.410092,0.408284,0.38255,0.400168,0.415607,0.424114,0.458046,0.34701,0,0,0,0,0.344347,0.442217,0.530842,0.578813,0,0,0.415283,0.433992,0.41883,0.391036,0.380527,0,6,8,6,9
-211.855,0.999997,0.00124582,11,3071,0,224.784,0.0428796,-0.259609,-0.405545,-1.0633,-0.300066,0.283717,0.534466,0.175347,-0.253872,-0.0268577,0.454668,-0.0983631,-0.283801,0.0514684,0.452552,0.265746,-0.426143,-1.03985,0.0772287,0.770319,0.607437,0.162351,240,0.00181806,0.425846,0.423214,0.411405,0.425116,0.435682,0.440239,0.462844,0.385388,0,0,0,0,0.359802,0.471056,0.558748,0.595629,0,0,0.434082,0.443666,0.429954,0.413706,0.422279,0,6,8,6,9
-218.377,0.999995,0.00128402,11,2047,0,221.263,-1.33768,-1.12757,-0.614749,-0.297109,0.790204,0.117475,-0.819864,0.799519,0.695568,1.13085,0.142242,-0.427015,-0.860064,-1.42297,-0.27752,-0.644616,-1.39463,1.07958,0.0621831,1.15421,0.508026,0.357931,240,0.00181806,0.375586,0.382923,0.387493,0.403281,0.393488,0.379982,0.398588,0.370835,0,0,0,0,0.373517,0.506563,0.423153,0.314564,0,0,0.36891,0.295381,0.42676,0.41777,0.455709,0,6,8,6,9
-217.663,0.999986,0.00134008,11,2047,0,230.65,-0.190699,-0.428114,-0.746321,-0.651652,1.326,0.221043,-1.18464,0.419858,-0.886277,0.243806,1.5313,-0.595639,-0.77378,-0.750748,2.22904,0.48023,0.657113,0.403009,0.062099,0.364509,0.455654,0.182472,240,0.00181806,0.383406,0.378906,0.380243,0.408546,0.392646,0.372741,0.431251,0.32264,0,0,0,0,0.35682,0.573487,0.450576,0.304014,0,0,0.4049,0.346736,0.413386,0.358775,0.405868,0,6,8,6,9
-221.815,0.999991,0.00141165,11,2047,0,228.878,-0.508737,1.44702,1.54844,-1.07256,-1.4633,0.243279,0.785874,-0.111104,-0.403096,0.248591,-1.54515,0.632443,0.669532,0.576883,-1.37157,0.477177,-2.799,-0.19895,0.391807,0.525901,0.306462,0.614643,240,0.00181806,0.461918,0.47153,0.247104,0.220304,0.351771,0.400248,0.384231,0.350644,0,0,0,0,0.341227,0.316053,0.431659,0.470579,0,0,0.377127,0.453912,0.329708,0.292919,0.377857,0,6,8,6,9
-219.975,1,0.00149741,11,2047,0,231.543,-0.947879,1.62403,0.105496,-0.703289,1.74605,-0.150324,-0.0405448,2.61116,-0.10651,-0.0367208,0.792312,0.184192,-0.878091,0.385059,0.461922,-0.561095,0.871968,0.178299,0.131964,0.314034,0.247486,0.0760222,240,0.00181806,0.424854,0.378984,0.355312,0.428604,0.371431,0.374665,0.470981,0.276766,0,0,0,0,0.369174,0.510709,0.400148,0.406396,0,0,0.376563,0.378433,0.424515,0.377309,0.378498,0,6,8,6,9
