# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=639647342
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,index.1,index.2,index.3,index.4
-366.44,1,0.0625,3,7,0,640.895,-1.16801,1.09507,-1.08127,-1.03626,0.375884,-0.81463,-0.687297,-0.0774728,-1.80124,-0.528011,1.34572,0.554331,-0.518847,-1.63723,-0.543832,-0.877476,-0.901845,0.592998,-1.02132,1.03459,0.350807,1.18074,0.833154,0.184956,320,0.000315844,0.25879,0.156894,0.158689,0.221856,0.167725,0.173069,0.20016,0.130089,0.0602315,0.353572,0,0,0,0,0,0,0.161895,0.332908,0.184295,0.197998,0,0,0,0,0.180463,0.183374,0.197726,0.158915,0.187058,0,0,0,8,10,6,9
-366.44,0,10.0182,0,1,1,375.045,-1.16801,1.09507,-1.08127,-1.03626,0.375884,-0.81463,-0.687297,-0.0774728,-1.80124,-0.528011,1.34572,0.554331,-0.518847,-1.63723,-0.543832,-0.877476,-0.901845,0.592998,-1.02132,1.03459,0.350807,1.18074,0.833154,0.184956,320,0.000315844,0.25879,0.156894,0.158689,0.221856,0.167725,0.173069,0.20016,0.130089,0.0602315,0.353572,0,0,0,0,0,0,0.161895,0.332908,0.184295,0.197998,0,0,0,0,0.180463,0.183374,0.197726,0.158915,0.187058,0,0,0,8,10,6,9
-366.44,0,0.951493,0,1,1,375.442,-1.16801,1.09507,-1.08127,-1.03626,0.375884,-0.81463,-0.687297,-0.0774728,-1.80124,-0.528011,1.34572,0.554331,-0.518847,-1.63723,-0.543832,-0.877476,-0.901845,0.592998,-1.02132,1.03459,0.350807,1.18074,0.833154,0.184956,320,0.000315844,0.25879,0.156894,0.158689,0.221856,0.167725,0.173069,0.20016,0.130089,0.0602315,0.353572,0,0,0,0,0,0,0.161895,0.332908,0.184295,0.197998,0,0,0,0,0.180463,0.183374,0.197726,0.158915,0.187058,0,0,0,8,10,6,9
-253.437,1,0.0488594,2,3,0,374.998,-0.827821,1.12312,-1.32866,-0.619485,0.38492,-0.638037,-0.599669,-0.0778884,-1.64458,0.0315083,1.19629,0.416267,-0.470109,-1.66387,-0.502842,-1.16398,-0.973703,0.698084,-0.960288,0.957917,0.369797,0.890316,0.621574,0.162109,320,0.000315844,0.408354,0.22772,0.274158,0.348553,0.272875,0.275532,0.313126,0.208819,0.201663,0.409907,0,0,0,0,0,0,0.278777,0.407985,0.276621,0.281091,0,0,0,0,0.286787,0.287968,0.304297,0.2568,0.307782,0,0,0,8,10,6,9
-233.951,0.999777,0.0333642,6,63,0,270.232,-0.278342,0.338835,-1.11732,-0.650333,0.125149,-0.887491,-1.65554,-0.729941,-1.12739,1.34975,0.191006,-0.540403,0.211361,-1.25363,-0.669971,-1.41,-0.367042,0.411755,-0.999558,2.08823,0.559231,0.205141,0.498667,0.0616678,320,0.000315844,0.420954,0.245156,0.296099,0.392465,0.269478,0.194173,0.286996,0.244125,0.294134,0.248677,0,0,0,0,0,0,0.281216,0.362789,0.258569,0.193598,0,0,0,0,0.274374,0.26535,0.276248,0.271535,0.301688,0,0,0,8,10,6,9
-229.15,0.997234,0.0260948,7,127,0,246.601,-1.03599,0.569505,1.84133,-0.237777,-0.343231,1.81614,0.156511,1.52091,-0.176589,0.222033,-1.40615,-0.530205,0.555057,0.127562,-0.301754,1.29552,0.0678612,-0.969703,1.1924,-2.73345,0.105189,0.142327,0.0485132,0.177766,320,0.000315844,0.291599,0.319766,0.274494,0.272306,0.319194,0.282771,0.312535,0.275768,0.316347,0.268766,0,0,0,0,0,0,0.292292,0.291244,0.313135,0.29623,0,0,0,0,0.335799,0.273742,0.324252,0.262178,0.276053,0,0,0,8,10,6,9
-227.148,0.998731,0.0221057,7,127,0,246.791,-0.31127,-1.19947,-1.26603,0.123489,1.4973,0.316866,-0.748507,-0.222439,0.209879,1.03567,-0.565466,2.83319,-0.843867,-0.0259668,-1.01803,-1.65614,0.528756,-0.927985,-1.24138,-0.663708,0.28633,0.0941363,0.00614853,0.525891,320,0.000315844,0.352361,0.348114,0.440761,0.536562,0.454145,0.381712,0.417041,0.446731,0.419127,0.38398,0,0,0,0,0,0,0.404462,0.406436,0.40474,0.40321,0,0,0,0,0.443737,0.314217,0.375989,0.430045,0.536912,0,0,0,8,10,6,9
-224.67,0.996232,0.019957,8,255,0,241.798,-0.0317362,-1.40001,-0.282849,-0.0363137,-1.16875,0.594208,-1.28569,-0.887088,-0.955782,-0.200046,-0.0690195,1.55753,-0.974829,0.656084,-0.766793,-1.08732,0.436844,-1.79616,0.837206,-0.734159,0.11484,0.888291,0.0045855,0.078939,320,0.000315844,0.408867,0.440149,0.447126,0.415291,0.465058,0.412039,0.423154,0.421232,0.41683,0.445304,0,0,0,0,0,0,0.42871,0.427443,0.429417,0.427312,0,0,0,0,0.451618,0.415275,0.422918,0.421598,0.436177,0,0,0,8,10,6,9
-225.013,0.999902,0.0186317,8,255,0,237.651,-0.317831,0.698951,-0.16775,0.564014,-0.305727,-0.0176765,-0.434993,0.402074,-0.426925,0.107104,0.162671,0.238306,-2.19074,0.120477,-1.62964,0.407188,-1.00273,2.6534,0.628032,-1.27162,0.533697,0.208346,0.00785565,0.0459634,320,0.000315844,0.5201,0.405625,0.502109,0.388003,0.425071,0.371754,0.480513,0.372761,0.432358,0.435165,0,0,0,0,0,0,0.434021,0.432365,0.432914,0.432119,0,0,0,0,0.434347,0.4297,0.439032,0.42979,0.435739,0,0,0,8,10,6,9
-219.424,0.998044,0.0181255,8,255,0,232.914,0.0885997,-0.669237,0.128006,-1.2493,0.0623432,-0.591619,-1.0052,-0.668264,-0.109585,-0.887043,-0.505558,0.126148,0.30517,0.400963,-1.47344,0.211761,-0.200688,1.18581,0.513422,1.1244,0.407029,0.129425,0.0196805,0.092564,320,0.000315844,0.411186,0.491331,0.355469,0.484656,0.418853,0.378537,0.411282,0.467209,0.412032,0.423945,0,0,0,0,0,0,0.415808,0.422039,0.418929,0.416966,0,0,0,0,0.418533,0.409321,0.416821,0.42934,0.411947,0,0,0,8,10,6,9
