# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2020433332
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_sigma.1
-235.451,0.942616,0.125,2,7,0,306.21,0.451097,-0.112529,-0.140306,-0.176116,1.10569,-1.11744,-1.19513,1.68717,-0.555252,0.0390182,-1.612,11.2778,-0.287038,1.58773,-0.366204,-2.02459,1.23197,0.839073,1.28894,-0.333927,0.249565,-1.85376,64.0604,0.713108,-0.227117,0.322238,4.38081,5.07307,-1.04255,1.78664,0.478055,0.740167,-4.82613
-235.451,0,9.02563,0,1,1,239.703,0.451097,-0.112529,-0.140306,-0.176116,1.10569,-1.11744,-1.19513,1.68717,-0.555252,0.0390182,-1.612,0.976215,-0.0393327,-0.144876,-1.4932,0.743938,-0.0349116,0.0865038,1.72898,-0.524188,-1.21142,0.0678273,64.0604,0.713108,-0.227117,0.322238,4.38081,5.07307,-1.04255,1.78664,0.478055,0.740167,-4.82613
-235.451,0,0.831121,0,1,1,240.892,0.451097,-0.112529,-0.140306,-0.176116,1.10569,-1.11744,-1.19513,1.68717,-0.555252,0.0390182,-1.612,-1.44367,-0.74671,-0.00580149,0.698537,1.27757,-0.839225,0.964032,-1.06162,0.912237,0.610877,-1.46769,64.0604,0.713108,-0.227117,0.322238,4.38081,5.07307,-1.04255,1.78664,0.478055,0.740167,-4.82613
-214.999,1,0.0419314,4,15,0,238.425,-0.790807,0.172334,-0.12499,0.025418,1.17023,-1.39196,-1.45462,1.7269,-0.482755,0.0536655,-1.17645,-6.24629,1.12423,0.329868,0.949261,-0.171061,-1.17876,-0.849225,-0.0369015,0.264647,-0.0123913,1.83074,-29.5323,-0.725678,-3.87246,-2.6779,1.93969,-3.48524,-1.72514,1.26011,-0.194883,0.312705,2.82986
-205.099,0.999643,0.0283189,7,127,0,218.617,-0.28475,-0.345148,1.79812,1.02542,-1.87047,-1.04473,1.00394,-0.127112,-0.851181,-0.20207,-1.39889,-3.2954,-0.846116,0.0210689,-1.5553,-0.771231,0.0902126,-1.27462,1.33814,0.710125,1.37389,2.57528,5.04524,-0.539242,1.06948,0.579047,-2.18592,1.24386,1.11598,-0.528784,-0.282779,0.230949,-4.66271
-202.526,0.999661,0.0219825,7,127,0,209.941,0.102173,-0.485324,0.954968,-0.159664,-0.559749,-1.45403,-0.524193,1.23992,-2.33934,-1.34612,-0.493935,0.524231,-0.531279,2.62453,0.468629,-2.05982,-0.334061,1.3606,-0.550306,-0.118252,0.606518,0.525012,10.5266,-0.307504,2.13181,-1.04678,2.43193,0.389058,-0.384487,1.61781,-2.37654,-0.767627,-3.86147
-199.837,0.999694,0.0186744,7,127,0,205.963,-0.350297,-0.207665,0.679235,0.378478,-0.305449,-0.791523,-0.610156,0.795895,-1.87909,-0.745819,-0.586379,0.975643,0.853144,-0.271294,1.56708,0.444828,1.52008,0.00409127,-1.0676,1.49771,1.37557,0.508832,-5.04069,-0.964228,-1.67465,-1.21276,0.465373,0.81258,-0.7935,0.342396,-2.00206,-0.268693,-4.36663
-198.843,0.998562,0.0168625,7,127,0,201.727,-0.365309,0.0773236,0.659854,0.158998,-0.773062,-0.429405,0.569683,0.423867,-0.68045,-0.43035,-0.251558,-0.576364,0.170338,0.432757,-0.0568045,0.147703,-0.456166,0.405983,-0.530774,2.05365,-0.167661,0.543107,-4.5805,-0.228057,-1.72089,-2.83077,-3.6262,3.59738,1.03393,-0.40926,0.145956,0.33668,-2.79688
-197.972,0.999845,0.0158327,7,191,0,202.101,-0.670583,0.172685,1.04986,0.89476,0.478458,-0.327493,-0.0868152,1.00916,-0.550428,-0.182436,-0.0765687,-0.126071,-1.00325,0.960087,-1.02639,-0.965437,-0.984652,0.846651,-0.492745,-0.38498,-0.0600296,1.49921,-0.123324,-1.33145,-0.412445,0.931322,5.1623,-1.69736,-0.454535,0.569484,-0.282148,0.479513,0.173466
-198.986,0.99972,0.0153876,7,127,0,201.622,-0.849631,0.700574,1.43231,0.77525,0.180545,-0.053893,1.25486,1.06175,0.155609,-0.391239,0.0357398,0.820469,-0.98627,0.358796,0.167453,1.5179,-0.769642,-0.0287527,-0.480869,-0.34036,0.13666,-0.455725,1.44996,1.45579,2.97599,-1.2458,-0.141691,0.061502,2.34747,0.542422,1.89837,-0.395012,2.23762
