# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=917402092
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_adjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_adjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,sigma.1,sigma.2,sigma.3,sigma.4,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_beta.20,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_beta.20,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4
-252.718,1,0.0625,1,1,0,1522.41,1.68387,-0.720213,-0.198604,-1.00621,1.33012,-1.19219,0.267439,-1.52287,-1.84904,0.437447,-0.730752,-1.53552,0.492438,1.81068,1.8332,-1.45211,-1.95849,-0.850081,1.19684,1.27759,1.93315,-0.453591,0.528195,-0.0662477,-1.62628,4.0892,0.940186,4.99011,7.19165,-7.24853,7.93929,0.671904,1.48447,0.957339,-1.9876,16.1686,-0.0148373,0.711188,-0.159426,-0.228391,-1.28111,0.721622,0.00846458,0.593538,1.73526,-0.27901,-39.7847,-21.1717,-4.80851,-0.506241,-41.49,-3.91416,-8.01117,-46.3945,4.04363,-14.5537,-0.704911,-6.59235,-5.0842,0.430155,-62.2648,-13.2186,0.492438,1.81068,1.8332,-1.45211,-1.95849,-0.850081,1.19684,1.27759,1.93315,27.5362,63.6017,43.0973,10.6341
-252.718,0,10.0182,0,1,1,269.462,1.68387,-0.720213,-0.198604,-1.00621,1.33012,-1.19219,0.267439,-1.52287,-1.84904,0.437447,-0.730752,-1.53552,0.492438,1.81068,1.8332,-1.45211,-1.95849,-0.850081,1.19684,1.27759,1.93315,-0.453591,0.528195,-0.0662477,-1.62628,-0.258672,-1.98703,-1.8231,-0.504674,0.0635331,1.86794,-2.39473,-0.247445,-0.379503,0.246865,0.622714,1.82014,-0.789651,-1.9747,-0.460691,-0.83349,-1.0792,-0.691174,-0.704791,-0.665078,0.236029,-0.357021,-0.966796,-1.83687,-0.442654,-41.49,-3.91416,-8.01117,-46.3945,4.04363,-14.5537,-0.704911,-6.59235,-5.0842,0.430155,-62.2648,-13.2186,0.492438,1.81068,1.8332,-1.45211,-1.95849,-0.850081,1.19684,1.27759,1.93315,27.5362,63.6017,43.0973,10.6341
-252.718,0,0.951493,0,1,1,265.249,1.68387,-0.720213,-0.198604,-1.00621,1.33012,-1.19219,0.267439,-1.52287,-1.84904,0.437447,-0.730752,-1.53552,0.492438,1.81068,1.8332,-1.45211,-1.95849,-0.850081,1.19684,1.27759,1.93315,-0.453591,0.528195,-0.0662477,-1.62628,0.900663,-0.734499,-0.617144,-0.987885,-0.888949,1.03881,-0.692016,0.567516,1.84623,0.174846,-2.41213,-0.717628,0.54403,0.337822,1.04221,-0.280766,-1.24505,-0.447363,-1.3721,0.553916,-0.769197,0.139952,-1.62546,1.06531,0.0871126,-41.49,-3.91416,-8.01117,-46.3945,4.04363,-14.5537,-0.704911,-6.59235,-5.0842,0.430155,-62.2648,-13.2186,0.492438,1.81068,1.8332,-1.45211,-1.95849,-0.850081,1.19684,1.27759,1.93315,27.5362,63.6017,43.0973,10.6341
-234.17,1,0.0488594,5,31,0,262.044,0.668022,-0.561014,-0.26575,-0.881582,1.46123,-1.02783,0.763119,-1.10258,-1.65342,0.314316,-0.850672,-2.29821,0.482772,1.65584,1.27213,-0.75137,-1.8564,-0.745626,0.927671,1.66199,2.35944,-2.18915,-1.10954,-1.22077,-2.47763,3.86125,-0.540669,-0.591234,-0.812261,1.11664,-0.0743885,-0.182523,-1.32431,-0.75239,0.494805,0.0946034,0.600796,0.174948,0.805056,1.36337,-1.42754,-0.782106,-0.421035,0.758376,-0.101417,0.0572293,3.51319,2.85272,2.56292,1.5216,31.3998,-0.418922,-0.756955,7.50368,2.66665,1.7094,2.04755,-0.809086,-0.625942,0.818035,6.88032,0.103417,0.482772,1.65584,1.27213,-0.75137,-1.8564,-0.745626,0.927671,1.66199,2.35944,-2.21018,-12.7663,-8.00274,-1.57356
-226.724,0.995509,0.0333642,7,127,0,252.535,-1.05953,-2.06491,0.890987,2.05068,0.877402,-0.893399,1.02216,0.215767,1.2756,-0.371851,1.03445,-0.248446,-1.33825,1.37945,0.0904182,0.0283852,1.34409,0.161113,1.53997,0.439864,-0.566647,-1.25806,-2.22883,-2.20621,-3.42183,2.8126,-1.22397,-1.81103,-0.331014,2.36754,0.138885,0.812094,-1.60975,-0.942667,0.618408,-0.70033,-2.40206,0.576795,1.56381,1.26874,-0.755046,-1.95395,-0.758506,0.822841,1.63522,2.40414,0.46977,1.03394,1.55625,0.471283,-19.4096,-3.68781,-1.63946,-0.212182,0.842001,-2.06842,0.854348,-0.645096,1.97926,-0.255228,-1.0305,-0.158953,-1.33825,1.37945,0.0904182,0.0283852,1.34409,0.161113,1.53997,0.439864,-0.566647,-0.0417038,-3.05068,-3.86958,-0.689953
-231.102,0.996145,0.0257648,7,127,0,243.512,1.22609,2.74882,1.26637,-1.90299,-2.04209,-1.23629,-0.809705,0.877424,-1.59675,-0.397898,-0.192723,-0.647299,1.49018,-0.518403,-0.222305,-0.727155,-1.15211,-0.848206,-1.68854,-0.936398,0.872532,-1.91559,0.0616891,-0.656603,-5.67723,0.901114,0.170145,-0.817205,2.39635,0.95221,1.1063,-0.298327,-0.892629,-2.29632,0.384526,-0.385422,1.55601,0.211779,-1.65403,0.157279,0.976806,-0.69882,0.918069,-0.280728,0.560466,-0.251125,0.732409,-0.622627,-0.117632,0.276923,24.9899,3.31042,0.917529,9.71655,-1.82557,1.97907,-0.879003,0.805276,-1.13097,-0.0816233,20.9287,3.50718,1.49018,-0.518403,-0.222305,-0.727155,-1.15211,-0.848206,-1.68854,-0.936398,0.872532,-3.80063,-6.69613,-23.7787,-1.05532
-227.605,1,0.0217461,8,255,0,244.653,0.0665546,0.88098,-0.63017,-2.41678,-0.880821,0.144243,0.223164,0.596931,-0.0392287,-0.198604,-0.966301,-1.0558,-1.93101,0.0723772,0.851014,0.466629,0.225941,1.15457,0.8297,-0.235138,-1.45233,-5.48524,-0.373303,-3.17965,-2.21631,0.559845,1.35297,-1.59656,-0.864675,-1.44329,1.46982,-1.64471,-0.526892,-0.593181,0.448334,-0.957703,-0.365581,1.46102,-0.517336,-0.20943,-0.720129,-1.14875,-0.830769,-1.67607,-0.940011,0.850588,0.0879252,0.79027,1.33504,2.83197,-16.127,0.870116,-0.675718,-2.98119,-0.920814,-0.911988,0.360023,0.107648,-0.310074,-0.364372,-13.3484,0.177684,-1.93101,0.0723772,0.851014,0.466629,0.225941,1.15457,0.8297,-0.235138,-1.45233,-0.898775,10.351,0.339469,-1.23785
-222.01,0.999367,0.0197046,8,255,0,237.394,-0.708816,0.534247,0.307342,0.248654,0.217277,0.015372,-0.923353,-0.0820618,-0.912377,0.321786,1.90761,0.442625,0.0222297,0.959901,0.538597,0.210845,-0.156732,-1.36074,-0.784301,-0.0536399,1.08841,-4.66433,-1.79667,0.330495,-0.821007,-1.78438,-1.44948,0.627528,0.463984,0.914918,-0.865006,1.07421,0.82811,-1.08267,-0.760597,-0.587285,0.703743,2.35077,-0.768824,-1.42456,-0.721259,-0.165847,-0.450821,-0.461118,0.326174,1.00869,1.43485,-0.704587,-2.40336,0.54004,9.43404,0.535089,0.242837,21.068,-0.456034,-1.70214,-3.83219,1.16447,-0.274807,1.65535,3.01956,1.01287,0.0222297,0.959901,0.538597,0.210845,-0.156732,-1.36074,-0.784301,-0.0536399,1.08841,-1.03241,1.53943,9.41539,-2.12615
-221.222,0.999989,0.018576,7,127,0,230.578,-0.560339,-0.559825,-0.792195,-1.88497,0.464525,0.170932,0.149598,0.195152,0.423786,0.0175018,0.427787,-0.357029,-0.354075,1.0379,1.08016,1.52336,-0.34471,-0.54141,-0.169078,0.115952,1.4085,-1.89595,-1.2039,-2.07179,-0.725142,0.607856,0.605684,-0.00394274,0.787515,0.326948,0.620649,-0.751552,0.000638189,-0.944012,0.791521,1.33681,1.2685,0.106984,0.739961,0.2969,-0.145279,-0.0791784,-1.26993,-0.76593,-0.0826842,0.783981,-1.48912,-1.30744,1.97934,-0.212173,-11.805,-0.92648,-2.40244,-4.41039,0.504824,-2.39304,1.18425,-2.1605,0.897564,-0.659664,-3.42751,0.124603,-0.354075,1.0379,1.08016,1.52336,-0.34471,-0.54141,-0.169078,0.115952,1.4085,3.60823,-2.52118,1.21327,-1.35542
-224.045,0.999313,0.0180759,7,255,0,231.282,-0.454233,-0.407362,-0.420837,1.97108,-0.533063,0.623757,-1.57093,-0.116586,-1.5733,-0.450738,-0.419792,-0.334224,0.794556,-0.218597,1.28519,-1.12172,-0.084403,-1.993,-0.535028,-0.814482,-0.633101,-3.85395,-0.23037,-1.60678,-1.03648,0.539167,0.840421,1.60419,0.353472,-0.0713054,0.767847,-0.401086,-0.575286,-0.229729,0.401113,0.0419431,0.175196,0.0766839,-1.02723,-1.64422,-1.2032,0.400865,1.33699,0.384311,0.185638,-1.26611,-0.407755,0.210437,-0.536604,0.0487918,-13.2758,-0.461019,-0.653872,0.352995,-0.825225,-0.193644,-2.93981,-0.747427,-3.80234,-0.598303,-12.4882,1.55079,0.794556,-0.218597,1.28519,-1.12172,-0.084403,-1.993,-0.535028,-0.814482,-0.633101,-1.13798,4.23043,-2.94551,4.03377
