# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1929026750
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_sigma.1
-255.212,4.95819e-18,0.25,2,3,0,260.338,-1.74763,1.941,0.60233,-1.83194,0.181846,1.7639,0.506431,-1.70235,-0.454918,-0.594467,-1.71055,-0.54086,-1.13411,0.279887,-1.63492,-1.56076,-69.1238,0.69703,-2.10637,-1.8727,-0.877457,0.119565,-5.07614,-10.7094
-255.212,0,1.62616,0,1,1,259.321,-1.74763,1.941,0.60233,-1.83194,0.181846,1.7639,0.506431,-1.70235,-0.0097038,-1.76137,0.180852,-0.637561,-1.55478,0.892925,-0.202383,1.19231,-69.1238,0.69703,-2.10637,-1.8727,-0.877457,0.119565,-5.07614,-10.7094
-213.483,1,0.090108,2,3,0,253.535,-0.757002,2.31238,0.523555,-1.89259,0.293049,1.6158,0.433636,-1.74832,8.65368,1.92414,-0.337436,-0.172898,0.626389,-0.949928,-0.176688,0.215524,-12.785,1.90474,-0.525864,-1.75925,0.334213,2.25605,-1.01771,-2.15311
-212.174,0.982937,0.0488594,6,63,0,217.147,-0.402017,-0.84267,0.184897,0.578427,-1.08676,-2.55576,-0.0638024,-1.14076,1.77963,1.45263,1.01105,-0.869634,1.01008,0.694851,-0.457515,1.08505,-11.9397,-2.08829,-0.532576,1.25639,-1.11457,-4.70133,-0.292453,6.15709
-213.636,0.997308,0.0317766,7,127,0,217.322,-0.684073,1.1976,0.786947,-1.29193,-0.0476139,1.61469,1.37803,-3.48234,0.0534296,-0.529882,0.504353,-0.0666503,-1.26639,-1.83144,1.36327,-0.116346,-14.7405,1.08129,0.60371,-1.2524,-0.0355992,1.65205,1.15664,-1.54913
-210.809,0.999034,0.0246186,7,127,0,216.406,-0.0902964,-0.652288,-0.355712,1.22922,-0.22792,-1.43648,-0.833661,-1.62092,0.615662,0.0626324,-0.777666,0.420089,0.476855,3.03256,0.528393,-0.571388,15.6235,-0.977838,-0.356409,1.77626,0.731242,-0.388093,0.044879,-2.37425
-213.205,0.998212,0.0209375,6,63,0,217.38,-0.0864959,0.135776,0.0812241,1.93579,0.74884,-1.2234,-0.94537,-1.31601,1.67318,-1.28653,-0.684574,0.334775,-0.162378,-0.684267,-0.959957,1.37841,17.0178,-0.0688275,0.40076,2.80628,2.61846,0.0245479,-0.460906,0.366766
-209.107,1,0.0188548,7,127,0,216.816,-0.418798,0.0621805,0.870836,1.27152,0.705698,-0.689041,0.522525,-0.99215,0.520877,0.230069,1.21169,-1.86097,-0.833746,1.36465,2.71638,-0.476543,11.0911,-0.883657,1.16822,2.23262,2.43614,-0.460962,2.51897,2.9002
-211.067,0.996908,0.0178027,8,255,0,212.774,-0.200158,-0.387202,-0.0460132,-1.52594,-0.761696,0.145261,0.0430083,-2.86073,-0.53316,-1.034,0.402067,0.7907,0.8544,-0.209218,0.706359,-0.0270153,18.0898,-0.482335,-0.0761281,-1.41147,-0.536315,0.620042,0.400307,-1.16657
-210.648,0.99981,0.0171522,7,255,0,217.294,-0.637535,-0.0640084,-0.833207,-1.0089,-1.274,0.151251,0.135841,-2.83264,-1.31704,1.04672,-2.28573,1.76529,-1.40793,-0.0480595,0.277298,0.2435,-14.6878,-0.285077,-1.20167,-0.930764,-1.26297,0.228,-0.267503,-0.756052
