# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=639647342
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,index.1,index.2,index.3,index.4
-750.211,1,0.03125,2,3,0,1746.44,-1.22056,-0.198341,1.68443,1.44368,0.184407,-0.211291,0.36116,-0.553603,1.94465,0.829856,-0.58631,-0.734024,0.38293,0.758326,0.175111,2.00835,0.129721,1.97549,1.33027,0.0278088,2.94114,0.285807,2.28067,0.60773,320,0.000315844,0.620629,0.991632,0.983537,0.7577,0.615453,0.811978,0.463571,0.996041,0.781128,0.744749,0,0,0,0,0,0,0.89779,0.570747,0.465919,0.621936,0,0,0,0,0.735282,0.767627,0.714858,0.844636,0.792336,0,0,0,8,10,6,9
-750.211,0,10.0182,0,1,1,761.808,-1.22056,-0.198341,1.68443,1.44368,0.184407,-0.211291,0.36116,-0.553603,1.94465,0.829856,-0.58631,-0.734024,0.38293,0.758326,0.175111,2.00835,0.129721,1.97549,1.33027,0.0278088,2.94114,0.285807,2.28067,0.60773,320,0.000315844,0.620629,0.991632,0.983537,0.7577,0.615453,0.811978,0.463571,0.996041,0.781128,0.744749,0,0,0,0,0,0,0.89779,0.570747,0.465919,0.621936,0,0,0,0,0.735282,0.767627,0.714858,0.844636,0.792336,0,0,0,8,10,6,9
-750.211,0,0.951493,0,1,1,763.126,-1.22056,-0.198341,1.68443,1.44368,0.184407,-0.211291,0.36116,-0.553603,1.94465,0.829856,-0.58631,-0.734024,0.38293,0.758326,0.175111,2.00835,0.129721,1.97549,1.33027,0.0278088,2.94114,0.285807,2.28067,0.60773,320,0.000315844,0.620629,0.991632,0.983537,0.7577,0.615453,0.811978,0.463571,0.996041,0.781128,0.744749,0,0,0,0,0,0,0.89779,0.570747,0.465919,0.621936,0,0,0,0,0.735282,0.767627,0.714858,0.844636,0.792336,0,0,0,8,10,6,9
-322.075,1,0.0488594,2,3,0,626.744,-1.44535,-0.207727,1.67482,0.975638,0.0685394,-0.256415,-0.0895341,-0.484658,1.90317,0.726386,-0.627168,-0.636606,0.369733,0.731277,0.185053,1.95926,0.206922,1.98999,1.32397,0.0200343,2.09179,0.261467,1.20851,0.563372,320,0.000315844,0.296342,0.933876,0.784864,0.411478,0.27785,0.343716,0.200386,0.957221,0.511132,0.458565,0,0,0,0,0,0,0.558563,0.39588,0.346678,0.37137,0,0,0,0,0.444625,0.458328,0.426323,0.63575,0.528736,0,0,0,8,10,6,9
-255.752,1,0.0333642,3,7,0,329.548,-1.76802,-0.289055,1.40762,0.673054,-0.0814712,-0.205171,-0.314813,-0.287432,1.60344,0.816289,-0.589801,-0.631153,0.300691,0.67648,0.171439,1.99382,0.132367,1.93681,1.28057,0.0423013,1.36999,0.274403,1.05155,0.541099,320,0.000315844,0.184178,0.658272,0.43376,0.227716,0.200992,0.179228,0.184493,0.711685,0.348345,0.285037,0,0,0,0,0,0,0.374337,0.244892,0.226573,0.211063,0,0,0,0,0.282745,0.273542,0.275824,0.456636,0.376363,0,0,0,8,10,6,9
-217.789,0.999472,0.0261121,5,31,0,265.654,-1.06939,-0.269761,0.466936,0.108461,0.0140254,0.557384,0.22268,-0.0200191,0.608784,1.15432,-0.496674,-1.05,0.732298,0.324933,0.284247,2.38559,-0.0697365,1.8331,1.21749,0.379713,0.283709,0.218126,1.23868,0.316376,320,0.000315844,0.3434,0.390844,0.367441,0.361372,0.396832,0.374837,0.359194,0.400249,0.408114,0.326088,0,0,0,0,0,0,0.3474,0.321654,0.479755,0.379748,0,0,0,0,0.383251,0.35905,0.341926,0.387022,0.427789,0,0,0,8,10,6,9
-214.9,0.993204,0.0222729,7,127,0,226.756,-0.198606,1.27659,0.392169,-0.471165,0.655005,0.630322,-0.508545,-0.0990387,0.277414,-0.203779,-0.49451,-0.633208,0.0282187,0.279598,0.0616854,-2.34498,-0.604987,-1.13994,0.300581,-0.471226,0.583621,0.176406,0.325005,0.712911,320,0.000315844,0.605334,0.481395,0.362481,0.518669,0.51517,0.357586,0.412596,0.465163,0.453133,0.441135,0,0,0,0,0,0,0.425562,0.512071,0.510164,0.422737,0,0,0,0,0.553155,0.36114,0.428371,0.492625,0.41082,0,0,0,8,10,6,9
-215.92,0.998303,0.0197674,7,255,0,225.637,-0.81831,1.06106,0.842283,-0.376294,-0.21556,0.690974,-0.429386,0.536824,-0.294175,0.816442,-0.774417,-0.289142,-1.32976,0.559508,-1.62911,-1.41606,-0.131111,-1.7362,0.760939,0.485164,0.146482,0.729835,0.482797,0.644793,320,0.000315844,0.391794,0.384916,0.347406,0.352268,0.380183,0.345806,0.375381,0.349887,0.468497,0.223057,0,0,0,0,0,0,0.34418,0.360357,0.455988,0.338905,0,0,0,0,0.432952,0.281181,0.410688,0.297932,0.451251,0,0,0,8,10,6,9
-220.583,0.999241,0.0185735,8,255,0,226.777,0.226986,0.82564,-0.415932,0.246218,1.09476,-0.798662,-1.2203,-1.15672,-1.50887,-0.33269,0.736522,0.591898,0.85861,-0.190389,1.71676,1.21468,0.0828268,1.49129,-0.41045,-0.0835324,0.224876,0.0541792,0.0736659,0.458671,320,0.000315844,0.482989,0.414532,0.450803,0.498003,0.393954,0.371713,0.375035,0.35679,0.40128,0.415069,0,0,0,0,0,0,0.411639,0.426637,0.393394,0.386112,0,0,0,0,0.435248,0.388838,0.39573,0.358139,0.487852,0,0,0,8,10,6,9
-221.968,0.999751,0.0180309,8,255,0,232.55,-0.58931,-0.0424061,2.30653,-0.311707,0.216901,0.464849,0.499492,0.475906,-0.491994,0.3636,-1.43329,-0.739913,-0.844384,0.210213,-1.74182,-1.00161,0.0557301,-1.48243,0.359011,0.160137,0.0124286,0.492913,0.0596246,0.54534,320,0.000315844,0.357052,0.363458,0.356321,0.357757,0.358431,0.358526,0.358462,0.355831,0.438874,0.245221,0,0,0,0,0,0,0.355185,0.362089,0.365346,0.365802,0,0,0,0,0.378675,0.382944,0.380035,0.269456,0.366301,0,0,0,8,10,6,9
