# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_sigma.1
-229.854,1,0.125,2,3,0,403.772,0.45441,0.343672,-0.40594,-0.0738881,0.243066,-1.21905,-0.506279,-0.612973,1.61098,-0.732217,-9.38134,-0.29205,0.761767,-1.94248,1.1145,1.18719,-11.7558,0.271851,-2.49316,-10.4042,55.0047,2.22073,1.73326,1.78114,0.684085,-0.668575,14.2291,1.5871,4.04281,-6.33453
-229.854,0,10.0182,0,1,1,233.73,0.45441,0.343672,-0.40594,-0.0738881,0.243066,-1.21905,-0.506279,-0.612973,1.61098,-0.732217,-2.0653,0.720897,-0.294807,0.259566,-0.399465,0.130169,-0.703208,-0.192716,-0.708762,-1.26601,55.0047,2.22073,1.73326,1.78114,0.684085,-0.668575,14.2291,1.5871,4.04281,-6.33453
-229.854,0,0.951493,0,1,1,233.599,0.45441,0.343672,-0.40594,-0.0738881,0.243066,-1.21905,-0.506279,-0.612973,1.61098,-0.732217,1.28778,-1.14576,-1.0613,-0.40472,-1.20934,1.05259,0.282593,-0.452396,0.557543,0.250873,55.0047,2.22073,1.73326,1.78114,0.684085,-0.668575,14.2291,1.5871,4.04281,-6.33453
-218.017,1,0.0488594,4,15,0,232.264,-0.771426,0.401717,0.224965,-0.0667058,-0.255681,-1.12774,-0.900182,-0.586298,1.89774,-0.976673,-3.5696,-0.363912,-1.86488,-0.129824,1.11594,-1.01089,-0.815034,-0.448134,-0.00600976,2.99857,-33.4128,-1.06936,-1.38632,-0.596237,-0.298159,-2.99682,-7.14793,-1.60193,2.39308,7.73674
-207.808,0.999754,0.0333642,5,47,0,220.348,-0.422141,0.860845,0.726528,-0.0348051,-0.174502,-0.795269,-0.392178,0.346477,1.37932,-1.43135,-4.19589,0.655706,0.645878,-0.0175903,0.182114,0.936409,0.344872,1.55939,-1.58449,-0.81011,1.5917,0.525976,0.643176,-0.0127461,-0.136689,-1.23966,0.310922,0.640717,1.666,-0.542159
-207.519,0.997899,0.026093,7,127,0,209.668,-0.268153,0.414412,0.164758,-0.0049806,0.788359,0.928768,-0.410527,-0.357766,-0.933911,-0.497188,0.532112,-0.428978,-0.310634,0.881257,-0.845281,-0.486247,0.0670185,-0.959727,-0.76055,-0.709314,7.47999,0.350796,0.413102,0.473766,1.18854,3.30996,1.33512,-0.18496,-1.58449,1.97659
-208.465,0.999932,0.0221492,7,127,0,210.755,-0.474298,0.641699,0.104715,-0.222571,-0.809949,-0.365708,-1.23749,-0.136263,0.936863,-2.34115,-0.460561,-0.280121,0.113535,-0.104097,0.656756,-1.73275,0.0298285,0.139322,0.780315,0.451548,-6.08399,0.387282,-0.119719,-0.240479,-0.800708,-0.485192,-1.22221,-0.109937,0.962517,-1.04881
-208.322,0.999553,0.0200718,7,127,0,215.666,-0.462992,0.481171,1.01468,0.0898301,0.214125,0.890443,-0.94129,0.0105808,-0.277841,-2.64915,1.09024,-1.0522,0.861175,0.962809,0.853731,0.171325,-1.27733,1.67061,-1.88858,-1.40569,-2.45396,0.286976,0.896583,0.088423,0.226119,0.850416,-0.768306,0.0412875,-0.280586,-1.3375
-211.191,0.999786,0.0189366,6,127,0,214.045,-0.378326,1.28246,1.29886,0.519516,-0.308349,1.16653,-2.05566,-0.108004,-0.143537,-2.74244,-0.245877,1.21194,0.196089,0.670423,-0.917687,0.201881,-1.61668,-0.211969,0.294188,0.250844,1.96217,1.15954,1.24867,0.54936,-0.295128,1.16938,-1.85417,-0.0480329,-0.127052,-1.56672
-210.188,0.999991,0.0184167,8,255,0,214.068,-0.493521,-0.924963,-0.796758,-0.293397,-0.0281646,-0.606642,0.679669,0.232252,0.242001,-1.53392,0.367885,1.50133,0.509837,-0.76237,0.787725,-1.23827,-0.201328,-1.12645,-0.377936,-0.96081,-1.33187,-1.85947,-1.68059,-0.388911,0.000501999,-1.02324,2.66184,0.351953,0.261097,2.44386
-209.344,0.999968,0.0183138,7,127,0,212.337,-0.388757,1.62891,0.00279058,-0.948308,0.188894,0.500007,-1.62428,0.13123,0.411815,-2.28207,0.135207,-1.42956,-1.05395,-0.167138,-0.0376896,-0.760701,1.42266,0.31572,0.215347,-0.189658,-0.640001,1.4819,-0.165094,-0.962909,0.211963,0.482191,-1.46654,0.232858,0.451042,-1.35529
-208.613,0.99986,0.0185017,7,255,0,213.255,-0.364042,0.870861,0.20643,-0.223413,-0.640125,0.267032,-1.50009,-0.442419,0.181553,-2.67997,0.0600506,1.6818,-0.374577,-1.47749,1.44975,0.522144,-0.591057,1.01683,0.506843,0.338608,2.63892,0.736265,0.11795,-0.201947,-0.626534,0.251595,-1.17582,-0.382634,0.20685,-1.59283
-209.418,0.999959,0.0189066,7,255,0,212.77,-0.462219,0.654193,0.0971135,0.0254248,-1.08581,-0.657899,1.12245,0.426353,-0.120958,-2.3383,-0.163703,-1.4034,-0.102569,0.27793,1.73566,0.331913,0.358686,0.162468,-0.138284,1.14998,3.07385,0.407154,-0.118064,0.0222158,-1.07753,-0.787243,1.98385,0.493798,-0.122111,-0.0142203
-210.285,0.999987,0.0194965,7,255,0,213.508,-0.415482,0.161622,0.378399,0.194976,-0.795732,-2.36809,-0.451537,0.484291,0.198465,-1.84537,0.148575,0.512768,-0.267178,-0.0965176,-0.761213,0.702872,2.11903,0.250424,-0.278555,-0.614527,-1.24973,-0.233774,0.166086,0.240781,-0.779345,-2.82321,0.180335,0.679149,0.240595,-0.0951915
-208.974,0.999745,0.0202383,7,127,0,212.769,-0.348882,0.202803,1.03726,-0.465285,-1.41913,-0.754105,-0.767307,0.678073,1.02293,-1.39155,0.315211,-0.205214,-0.143719,0.510614,-0.0772976,-2.59346,0.234618,0.404071,-0.272627,-0.37795,2.95665,-0.276083,1.31997,-0.47868,-1.42056,-1.10363,-0.250093,1.24672,1.31965,0.00890295
-209.877,0.99221,0.0210941,7,127,0,214.846,-0.331449,0.585096,1.05193,-0.715301,-1.43513,-1.12606,-0.666326,0.910258,0.723058,-1.76835,-1.86835,1.25342,-0.156417,-0.764885,0.15491,-1.08981,0.203544,0.575289,-1.17458,-1.14162,6.14468,0.32937,1.14731,-0.716399,-1.42159,-1.35256,0.277233,1.30507,0.864013,-0.809685
-209.865,0.999982,0.0215588,7,127,0,213.821,-0.3705,0.539756,-0.68026,-0.747961,1.50636,1.13114,-0.457195,-1.19388,-0.932316,-1.24619,0.620918,-0.963397,0.177291,1.89898,0.750109,0.0230871,0.309312,-0.777882,-0.440914,-1.22577,-1.49779,0.138885,-1.61183,-0.909718,1.66368,1.62189,0.533982,-1.51709,-1.07835,0.686886
-213.364,0.987834,0.0226287,7,127,0,216.884,-0.165234,1.64101,-0.0746056,-0.0850844,-0.231114,-0.0623013,-0.999574,-1.39766,-1.49282,-2.92089,-0.450338,-0.103754,-0.84458,-0.764391,1.68562,1.20654,0.112527,-0.803219,-0.496252,0.572687,18.8766,1.61412,-0.0532718,-0.0183931,-0.211334,-0.0134408,-0.242815,-1.29613,-1.4548,-1.96021
-209.201,1,0.0229344,7,127,0,216.069,-0.554167,0.111724,-0.232406,-0.746787,0.493921,-0.618994,-0.202732,-0.207369,-0.0992821,-3.43395,1.91211,-1.70272,0.265132,0.39283,0.0456165,0.353613,0.987285,1.57593,1.6481,0.807985,-8.4348,-0.000890597,-0.33563,-0.763948,0.497334,-0.671662,-0.160004,-0.213485,-0.107862,-0.915772
-207.703,0.999881,0.0241533,7,127,0,210.842,-0.392446,-0.78695,0.140591,0.263637,0.257557,0.297228,-0.859492,0.187456,0.694483,-1.03301,-0.63403,1.12216,0.487361,0.61116,-0.808443,0.582661,0.0225018,-0.180009,-0.494828,1.65343,-5.89983,-2.28683,-0.29416,0.500745,0.355832,0.350409,-2.10991,0.657501,1.06065,1.9959
-208.315,0.999964,0.0254466,6,63,0,209.553,-0.41579,-1.01862,0.767252,0.24448,0.22851,0.0165783,-0.969881,0.518419,0.552895,-1.3427,0.626031,-0.380126,-0.672415,0.224935,0.161034,0.498234,-0.148764,-0.107933,0.544524,0.911937,-4.9491,-2.13306,0.757142,0.357393,0.29006,-0.14987,-1.62287,0.941344,0.715663,1.37005
-211.075,0.99849,0.026826,7,127,0,217.081,-0.391915,1.7213,0.228365,0.91068,-0.411941,0.423977,1.14836,0.426087,0.250041,-3.23976,0.4165,-0.527923,0.998814,1.72018,-0.140655,0.195453,1.63307,1.73784,1.30583,0.393255,6.58263,1.63939,0.165908,0.926884,-0.404179,0.407867,1.50835,0.465125,0.260736,-0.678636
-209.852,0.999492,0.0281606,6,127,0,216.086,-0.443135,-0.706456,-0.293324,0.344219,-0.299167,-1.00549,-1.1117,1.09496,0.665672,-1.4636,-0.386493,1.95458,0.196768,0.881835,-0.305557,0.79284,1.98426,0.125319,0.0165725,-1.73435,-9.54037,-1.59187,-0.930058,0.432638,-0.270492,-1.52217,-1.94065,1.60936,0.796858,2.15716
-210.224,0.999995,0.029646,7,127,0,213.066,-0.514471,2.09766,0.981494,-0.614364,0.746041,0.648885,0.0158327,-0.967517,-1.22023,-1.12223,-1.04325,0.902802,0.248853,-0.350892,0.474524,-1.39697,-0.342835,0.773594,-0.571812,-0.613694,0.095938,2.45323,1.03159,-0.967598,0.842908,0.66321,1.05103,-1.55301,-1.63485,1.50796
-211.541,0.988087,0.0312458,6,127,0,217.149,-0.455713,1.33005,1.19482,0.933343,1.43807,0.420243,0.287795,-1.00274,-1.72842,-1.94584,1.32864,-1.6789,-0.488549,1.23449,-0.153806,-0.401138,-0.612525,1.00289,0.784191,-1.64009,3.01434,1.08477,1.09632,1.0136,1.48283,0.343261,1.23938,-1.06365,-1.82758,-0.687819
-210.405,0.995132,0.031816,7,127,0,219.783,-0.330423,0.401406,-0.334252,-1.08955,-2.07207,-0.426667,-1.06121,1.06344,0.36725,-1.17828,-0.687825,-2.51343,-0.840806,0.221898,0.50194,0.62588,-1.16824,-0.63913,2.87233,0.736505,-3.54493,-0.0110132,-0.966246,-1.36352,-2.12572,-0.718834,-1.70246,2.13435,0.612352,1.7972
-211.82,0.996988,0.0330502,7,127,0,217.564,-0.412486,-1.41154,0.312288,-0.352465,1.47701,1.52899,0.195505,-0.636559,-0.317411,-3.39637,0.809279,1.42528,0.654194,1.896,1.44425,-0.775895,0.289607,-1.24115,-0.282929,-0.621766,2.65271,-1.50991,0.253048,-0.348485,1.48474,1.51817,0.429378,-0.615897,-0.312554,-0.821656
-213.222,0.99967,0.0344975,7,127,0,217.891,-0.489775,-1.48117,-1.28979,0.887422,-0.720503,1.4656,0.471968,-0.530902,-1.48319,-3.09472,0.159058,-1.72991,0.0605714,-0.243752,1.40764,1.69927,0.49984,-0.690491,-0.501298,-0.641246,-3.16875,-1.64099,-1.42933,0.887887,-0.71521,1.43337,0.683651,-0.526098,-1.49517,-0.473532
-212.379,0.99799,0.0362577,6,127,0,216.409,-0.355119,-1.78584,-1.14003,-0.607585,-0.0922724,0.439411,-0.0162776,-1.18089,-0.910541,-3.72742,0.328859,-1.05867,-1.04488,1.12019,-0.722229,1.38608,0.627858,-0.179511,-1.26977,0.0501235,5.97133,-1.84727,-1.17828,-0.599048,-0.086624,0.434175,0.197023,-1.15822,-0.90359,-0.867203
-212.878,0.999801,0.0379032,7,127,0,217.446,-0.517856,1.47277,0.825499,2.09946,-0.53858,-0.73567,0.215713,1.63983,0.2939,-2.84442,-0.72834,-1.36127,-0.921049,0.970854,-0.611422,-0.202627,0.975494,0.0487625,-0.752596,-1.73968,-2.95744,1.31186,0.686877,2.11354,-0.53287,-0.825927,0.409155,1.67997,0.288415,-1.09443
-208.517,0.987169,0.0397928,6,63,0,216.036,-0.447936,0.664514,0.0116814,-0.887252,-0.820163,-0.875396,-1.25529,-0.256353,0.669304,-1.75594,1.35647,-1.36342,-0.645649,-1.99799,0.648046,1.01839,-0.26727,-1.70753,-0.427514,1.51738,-8.77855,0.293866,-0.362727,-0.995524,-0.808041,-1.18324,-1.66154,-0.214375,0.74355,-0.173427
-206.861,0.99968,0.040335,6,63,0,211.898,-0.172044,-0.289538,0.0484034,0.475815,0.376616,0.107103,-0.821759,-0.99765,-0.136769,-0.988855,0.745993,-0.738102,-0.735139,-0.339273,-0.610699,-1.59184,1.3774,-1.36129,1.23909,0.350438,7.23261,-0.961608,0.249109,1.22812,0.553706,0.531907,0.789685,-1.02698,0.152831,-1.2881
-207.928,0.999589,0.0422753,6,63,0,210.857,-0.104508,0.418103,0.0812541,0.541624,-0.143682,-0.723142,-0.734788,-0.618502,0.745028,-0.546609,0.150543,-1.15588,0.0868516,0.543657,0.898032,0.986332,-0.809891,-0.944933,-0.911312,0.192461,9.6335,0.934826,0.923101,2.24205,0.0645208,-1.49016,0.674457,-0.368301,2.22283,1.21985
-210.354,0.986713,0.0442615,6,63,0,213.467,-0.571658,1.16696,0.946801,-0.588394,-0.408171,1.39149,-0.279599,1.07629,-0.818619,-2.46555,-1.15974,-0.25504,0.27558,-0.342459,-0.780672,1.37944,1.11462,0.130108,0.737758,0.553909,-7.82173,0.910759,0.72803,-0.648776,-0.403185,1.3152,-0.272291,1.10343,-0.862404,-1.43078
-210.474,0.997245,0.0447494,6,63,0,214.636,-0.454546,0.00882072,1.77414,0.116122,0.0287002,0.051252,0.791077,0.119668,1.56761,-1.88607,0.876339,0.993529,0.347792,-0.676245,-0.428924,1.38257,-0.0574952,1.13726,-1.35512,-0.873468,7.32136,-0.430473,1.81101,0.125903,0.0541717,-0.0786752,2.25544,0.210698,1.68866,0.567489
-210.3,0.999973,0.0465,6,127,0,213.831,-0.354871,-1.00496,0.50029,-1.66364,0.446515,0.683869,-0.508032,-0.0876638,0.262453,-2.98582,0.581382,0.00253821,-1.62565,-0.39071,0.0405936,0.116467,-1.18685,-0.158167,-1.55874,-0.222642,5.61647,-1.1363,0.44458,-1.6608,0.459293,0.680609,-0.107583,-0.0320911,0.282673,-1.04963
-207.58,0.996901,0.048629,6,63,0,214.245,-0.486364,0.970789,-0.0801262,0.51307,-1.26966,-0.704184,-0.497574,0.126788,-0.0546631,-1.08171,0.519913,-1.37827,0.740539,-1.86953,-0.672191,-0.196186,-1.75066,1.70457,0.809344,-0.0251076,-7.89968,0.624983,-1.02058,0.718315,-1.3182,-1.55746,-1.17997,0.315031,-0.0909108,0.211857
-209.565,0.966427,0.0504107,6,63,0,217.035,-0.582859,1.48419,1.33341,0.323708,-0.283535,1.20701,0.135926,0.191892,-0.181767,-2.33418,-1.82855,2.42746,0.131624,1.11035,-1.79523,-0.770045,0.469814,0.514024,-0.391389,0.022875,-6.57163,1.21204,1.11663,0.282948,-0.278114,1.11256,0.233089,0.171461,-0.220032,-1.70859
-211.444,0.999243,0.0482897,6,63,0,214.616,-0.523104,0.939636,0.579429,-0.559397,-0.674313,-0.162616,-0.281702,-2.09303,1.84825,-1.7092,-0.418322,1.23568,1.17155,0.308592,-0.255517,1.12364,0.63186,0.140406,-0.160693,-1.18343,-7.37491,0.528545,0.23258,-0.690045,-0.668477,-0.434644,-0.128686,-2.49243,2.00917,-0.202573
-210.386,0.976107,0.0503191,6,63,0,214.9,-0.379732,-0.258621,-0.348072,0.30581,0.238501,0.083655,-0.836622,1.30208,-2.06629,-1.34972,1.51751,-0.492784,0.719098,-0.196797,0.583926,-0.149183,1.03761,1.90994,-0.761024,-0.509264,-3.02873,-0.999428,-0.966407,0.476473,0.30685,0.00515922,-0.825966,2.13602,-2.39918,1.49285
-207.897,0.995376,0.0494143,6,63,0,213.717,-0.39265,1.14729,0.165892,0.482506,0.509053,-0.249445,-0.362623,-1.4127,-0.921709,-1.12608,0.825203,-0.6729,-0.988705,0.688331,0.266284,-0.063738,0.327481,1.72933,-2.39052,0.409137,-0.90061,1.1039,-0.219584,0.788041,0.616092,-0.580813,0.657611,-2.0353,-1.13642,0.202631
-207.857,0.992334,0.0509369,6,63,0,212.556,-0.418335,-0.127975,1.38323,0.179562,-0.399052,-0.347298,-0.866185,-0.852849,0.482111,-1.25262,0.358959,1.48834,-0.879146,0.602858,1.10375,-0.128685,0.524192,-1.25768,-1.67451,0.147247,-4.96616,-0.95864,1.89211,0.284343,-0.367648,-0.716237,-1.54882,-1.085,0.651873,1.10149
-210.34,0.999858,0.0520777,6,63,0,212.202,-0.322404,0.935581,-1.27934,-0.141294,-1.58175,-0.589641,-0.547655,0.92553,-0.884242,-1.56158,0.535505,-0.197474,0.601406,0.439373,-0.920189,-1.06784,-0.73708,0.251768,0.314912,0.386376,3.34835,0.763822,-2.00422,-0.05067,-1.57628,-0.768517,0.67329,1.47851,-0.90861,-0.0748283
