# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1480661404
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,index.1,index.2,index.3,index.4
-218.252,0.989907,0.0181008,8,255,0,228.542,-0.218102,-0.0749458,-0.0124457,-0.821438,-0.306112,-0.00839128,-0.729393,-0.510026,-0.555959,-0.202672,1.20095,-1.71603,-1.28228,0.66422,0.947415,-1.36776,-0.616795,0.569572,0.204193,0.358657,0.109127,0.206703,240,0.00181806,0.35951,0.362451,0.325245,0.348726,0.362642,0.329379,0.349433,0.345704,0,0,0,0,0.342749,0.355505,0.362971,0.345011,0,0,0.367453,0.333588,0.34373,0.341595,0.358181,0,6,8,6,9
-213.592,0.99949,0.0177148,8,255,0,222.845,-0.709089,0.489681,-0.0956432,-0.265331,0.038674,0.65542,-0.125867,0.604853,-0.0711531,0.535939,0.96624,0.144542,-0.422179,0.414082,-1.31298,0.425869,-1.22917,0.472261,0.142532,0.517207,0.0629967,0.592062,240,0.00181806,0.429158,0.409199,0.403464,0.413756,0.434854,0.408176,0.451762,0.368319,0,0,0,0,0.413239,0.417809,0.427121,0.415334,0,0,0.464841,0.354371,0.457461,0.361762,0.447433,0,6,8,6,9
-217.754,0.991807,0.0180837,7,127,0,228.883,0.211599,1.09009,0.741319,-0.836453,-0.165341,0.770511,0.721882,-0.442047,-1.21844,-1.00598,-2.26564,0.490956,0.2374,-0.527516,0.108168,2.23505,-0.105414,0.38131,0.688197,0.783342,1.04449,0.0692437,240,0.00181806,0.498264,0.446654,0.240091,0.32061,0.450936,0.443809,0.47014,0.345154,0,0,0,0,0.295416,0.450279,0.674286,0.663607,0,0,0.430332,0.429635,0.413031,0.402063,0.405055,0,6,8,6,9
-217.267,0.995925,0.018181,8,255,0,227.003,-0.767096,0.786861,0.0173869,-0.409606,-0.49881,-0.24595,0.0068197,1.72613,-0.514365,1.62491,2.19298,0.345233,0.973946,0.666262,1.13843,-0.556477,0.362196,0.243878,0.470464,0.274753,0.0811745,0.121741,240,0.00181806,0.464691,0.37883,0.333862,0.324798,0.350802,0.377689,0.430792,0.29156,0,0,0,0,0.370726,0.36909,0.373736,0.378404,0,0,0.350377,0.357223,0.405172,0.343174,0.40229,0,6,8,6,9
-213.735,0.99984,0.0186423,8,255,0,227.322,-0.574176,1.52037,1.23233,-0.932835,0.778695,0.68627,0.96595,-0.115048,-0.715619,-0.146357,-0.0523244,-1.63686,-0.445081,0.572539,-0.00883817,-1.83387,-1.68957,-0.0606916,0.664693,0.736649,0.475947,0.15509,240,0.00181806,0.511139,0.465701,0.180351,0.395553,0.381668,0.424169,0.454522,0.35489,0,0,0,0,0.34278,0.532918,0.522427,0.554065,0,0,0.429529,0.439435,0.401456,0.380791,0.40037,0,6,8,6,9
-213.116,0.996973,0.0194465,7,255,0,222.926,-0.756905,1.03887,0.705343,-1.18313,-0.265103,-0.109294,1.11025,0.176448,0.0347959,-0.125196,-0.402657,-0.237753,0.534238,0.303325,0.265788,0.378365,-0.599291,-1.12755,0.229356,2.4533,0.295494,0.257435,240,0.00181806,0.411833,0.39384,0.298345,0.343222,0.351149,0.415716,0.412713,0.333367,0,0,0,0,0.344406,0.406888,0.417857,0.505648,0,0,0.356474,0.429391,0.373113,0.364825,0.355558,0,6,8,6,9
-215.244,0.969126,0.0201797,7,127,0,222.808,-0.315895,1.84541,-0.0579515,-0.612934,-1.7197,0.641524,-0.763476,0.53474,-0.5278,1.18267,0.0754972,0.143869,-0.49781,-0.503069,0.761305,-0.505818,-0.129821,0.193314,0.251662,0.390276,0.591116,0.239084,240,0.00181806,0.487852,0.376215,0.345444,0.287843,0.416394,0.337297,0.407947,0.317327,0,0,0,0,0.346196,0.218996,0.520229,0.326949,0,0,0.394249,0.321333,0.388497,0.333098,0.423807,0,6,8,6,9
-211.686,0.994132,0.0192856,7,127,0,220.386,-0.442775,0.449207,0.707688,-0.67527,0.278796,0.475257,0.701608,0.21957,-0.465065,-1.23971,0.685412,-0.150711,1.23859,-0.452215,-0.687552,0.14313,-0.479398,0.00383562,0.401561,1.27503,0.452574,0.282601,240,0.00181806,0.396602,0.420101,0.300535,0.381342,0.398952,0.419544,0.481444,0.284249,0,0,0,0,0.353669,0.451696,0.472572,0.496724,0,0,0.425084,0.439829,0.408576,0.365395,0.318898,0,6,8,6,9
-217.59,0.997633,0.0199475,7,127,0,224.012,-0.527182,2.03307,0.658472,-0.270169,-0.332413,-1.14809,0.322407,0.27393,-0.598568,0.74735,0.993405,-0.410363,-1.11672,0.112367,-0.0381045,-0.528851,0.676699,-1.12358,0.251491,0.11026,0.216458,0.0554377,240,0.00181806,0.471524,0.387283,0.333661,0.330198,0.286606,0.367481,0.369738,0.347934,0,0,0,0,0.366149,0.36307,0.323815,0.395976,0,0,0.34701,0.365425,0.364811,0.353842,0.370822,0,6,8,6,9
-222.129,0.999803,0.0208821,7,127,0,228.901,0.279929,-0.30305,0.417372,-1.37571,0.187123,0.0705613,0.0780846,1.93539,-0.867783,0.0125897,1.59053,-0.250132,-1.08128,1.21674,0.240948,-0.764873,1.42446,-0.141964,0.616336,0.00946907,0.561572,0.0401023,240,0.00181806,0.414659,0.520494,0.272581,0.486399,0.469174,0.470284,0.462957,0.456708,0,0,0,0,0.386972,0.599535,0.584,0.585008,0,0,0.457654,0.457725,0.475299,0.448812,0.457107,0,6,8,6,9
