# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=639647342
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4
-750.211,1,0.03125,2,3,0,1746.44,-1.22056,-0.198341,1.68443,1.44368,0.184407,-0.211291,0.36116,-0.553603,1.94465,0.829856,-0.58631,-0.734024,0.38293,0.758326,0.175111,2.00835,0.129721,1.97549,1.33027,0.0278088,1.0788,-1.25244,0.824469,-0.498025,-6.25384,-1.17768,-3.04053,-19.3452,1.14962,-2.35175,-11.9445,-3.18696,-1.44383,-1.95672,-0.88637,-0.932445,0.842176,-0.556399,-0.0447133,0.563964,-0.567703,-0.264905,0.302239,-1.43302,-11.2183,-1.88331,-35.5759,-1.51999,152.731,18.1525,62.8557,381.82,5.41023,47.1704,293.363,32.3414,52.4457,46.0144,6.79573,-0.734024,0.38293,0.758326,0.175111,2.00835,0.129721,1.97549,1.33027,0.0278088,277.19,25.3458,504.436,53.6222
-750.211,0,10.0182,0,1,1,761.808,-1.22056,-0.198341,1.68443,1.44368,0.184407,-0.211291,0.36116,-0.553603,1.94465,0.829856,-0.58631,-0.734024,0.38293,0.758326,0.175111,2.00835,0.129721,1.97549,1.33027,0.0278088,1.0788,-1.25244,0.824469,-0.498025,0.140038,0.0823978,0.715898,0.00212155,0.249085,1.17431,-0.993924,1.54169,-1.16168,-0.133242,1.81515,0.0582302,1.03658,0.68091,-0.804077,0.748869,-0.382261,-0.801109,2.17324,-1.00223,-1.01736,-0.461608,-1.24579,-1.05918,152.731,18.1525,62.8557,381.82,5.41023,47.1704,293.363,32.3414,52.4457,46.0144,6.79573,-0.734024,0.38293,0.758326,0.175111,2.00835,0.129721,1.97549,1.33027,0.0278088,277.19,25.3458,504.436,53.6222
-750.211,0,0.951493,0,1,1,763.126,-1.22056,-0.198341,1.68443,1.44368,0.184407,-0.211291,0.36116,-0.553603,1.94465,0.829856,-0.58631,-0.734024,0.38293,0.758326,0.175111,2.00835,0.129721,1.97549,1.33027,0.0278088,1.0788,-1.25244,0.824469,-0.498025,1.05743,0.852738,-0.508446,0.211764,1.71957,-0.180357,0.392205,0.519871,-0.71414,-1.45907,1.46342,0.255432,1.14368,-1.11386,2.19759,0.879816,0.224562,-1.84388,0.484877,0.357842,-0.110423,0.0475852,-1.13337,-1.46848,152.731,18.1525,62.8557,381.82,5.41023,47.1704,293.363,32.3414,52.4457,46.0144,6.79573,-0.734024,0.38293,0.758326,0.175111,2.00835,0.129721,1.97549,1.33027,0.0278088,277.19,25.3458,504.436,53.6222
-322.075,1,0.0488594,2,3,0,626.744,-1.44535,-0.207727,1.67482,0.975638,0.0685394,-0.256415,-0.0895341,-0.484658,1.90317,0.726386,-0.627168,-0.636606,0.369733,0.731277,0.185053,1.95926,0.206922,1.98999,1.32397,0.0200343,0.738018,-1.34145,0.189387,-0.573816,-5.63839,0.0757416,-1.21716,-11.4311,-2.37789,-0.871543,-10.2585,1.61707,-1.63373,-2.44614,-0.852363,2.0094,-0.27913,-0.571481,0.198947,-1.05261,1.575,0.248025,-0.161459,-0.15961,-9.86949,-1.96497,-14.4006,-2.21678,42.478,-10.9634,41.7751,75.7993,0.263488,-2.12882,42.3325,-8.43117,32.1219,13.4441,0.659666,-0.636606,0.369733,0.731277,0.185053,1.95926,0.206922,1.98999,1.32397,0.0200343,118.495,5.86184,57.4088,27.2445
-255.752,1,0.0333642,3,7,0,329.548,-1.76802,-0.289055,1.40762,0.673054,-0.0814712,-0.205171,-0.314813,-0.287432,1.60344,0.816289,-0.589801,-0.631153,0.300691,0.67648,0.171439,1.99382,0.132367,1.93681,1.28057,0.0423013,0.314805,-1.29316,0.0502626,-0.614154,-3.43985,-0.183058,-4.01258,-4.20049,-1.43225,1.01272,-1.85493,2.547,-4.02564,0.726843,0.420601,0.0861655,-0.70586,-0.582149,-0.144803,0.245937,-0.752592,-0.629027,-0.498386,0.220677,-7.98251,0.436377,-2.14586,-1.16823,-17.1238,-11.6595,15.2561,-4.76901,-2.01869,-13.8897,-25.6677,-12.7662,12.7907,-2.4441,-1.80659,-0.631153,0.300691,0.67648,0.171439,1.99382,0.132367,1.93681,1.28057,0.0423013,45.74,-2.45426,-3.34957,8.94617
-217.789,0.999472,0.0261121,5,31,0,265.654,-1.06939,-0.269761,0.466936,0.108461,0.0140254,0.557384,0.22268,-0.0200191,0.608784,1.15432,-0.496674,-1.05,0.732298,0.324933,0.284247,2.38559,-0.0697365,1.8331,1.21749,0.379713,-1.25981,-1.52268,0.214044,-1.15082,2.12059,0.675216,-3.20713,-3.01235,0.556926,2.97946,1.60764,1.35232,-3.87558,0.668548,0.362148,-1.07782,1.17057,-1.11134,0.29004,0.767629,-0.594944,-0.625565,-0.398061,0.948138,-5.54252,-0.581237,-0.0915567,-2.21566,-5.87263,-1.58827,0.0115089,-3.80025,-1.22104,-0.818502,0.164711,-1.59639,1.37982,0.134308,-0.199489,-1.05,0.732298,0.324933,0.284247,2.38559,-0.0697365,1.8331,1.21749,0.379713,-0.488351,-2.48191,-0.151869,-0.723085
-214.9,0.993204,0.0222729,7,127,0,226.756,-0.198606,1.27659,0.392169,-0.471165,0.655005,0.630322,-0.508545,-0.0990387,0.277414,-0.203779,-0.49451,-0.633208,0.0282187,0.279598,0.0616854,-2.34498,-0.604987,-1.13994,0.300581,-0.471226,-0.538504,-1.73497,-1.12391,-0.338399,1.28096,-0.223221,-0.292734,-0.635952,-0.73284,-0.717637,-0.183402,-1.0895,1.30018,0.466149,-0.22356,1.20943,-0.754918,-0.392191,-0.303897,-1.93718,0.200932,-1.63036,-1.30944,-0.287348,-0.849746,0.95024,-2.10513,-0.846275,6.7827,2.87983,1.05664,1.35195,1.051,5.2777,-1.03534,-0.649792,4.38439,-0.862607,0.552692,-0.633208,0.0282187,0.279598,0.0616854,-2.34498,-0.604987,-1.13994,0.300581,-0.471226,3.79433,-1.37901,-1.10062,2.19842
-215.92,0.998303,0.0197674,7,255,0,225.637,-0.81831,1.06106,0.842283,-0.376294,-0.21556,0.690974,-0.429386,0.536824,-0.294175,0.816442,-0.774417,-0.289142,-1.32976,0.559508,-1.62911,-1.41606,-0.131111,-1.7362,0.760939,0.485164,-1.92085,-0.314936,-0.728159,-0.438825,-0.308577,0.639784,-0.100152,-0.171769,0.79058,-2.1698,1.50505,-0.428989,-0.185934,0.15238,-0.48143,-0.564184,0.799401,9.43598e-05,1.01066,-1.89025,-0.62274,-0.314649,-0.0918431,-0.823723,0.756528,-1.24626,-0.789153,1.15903,0.761761,0.719998,0.902383,1.58868,-0.49865,1.02812,-1.69936,2.25115,-1.61187,6.47252,-4.12892,-0.289142,-1.32976,0.559508,-1.62911,-1.41606,-0.131111,-1.7362,0.760939,0.485164,-1.33653,6.00789,-0.974581,2.61931
-220.583,0.999241,0.0185735,8,255,0,226.777,0.226986,0.82564,-0.415932,0.246218,1.09476,-0.798662,-1.2203,-1.15672,-1.50887,-0.33269,0.736522,0.591898,0.85861,-0.190389,1.71676,1.21468,0.0828268,1.49129,-0.41045,-0.0835324,-1.49221,-2.91546,-2.60821,-0.779422,-0.402647,-0.263798,0.0355654,0.417138,-0.475052,0.138772,-0.102197,0.32663,-1.07895,0.307759,-0.376067,-0.830587,1.59044,-1.1653,0.0182154,0.821679,0.162126,1.00164,-1.14493,-1.24725,0.36375,-0.681013,0.161436,0.669194,0.211201,0.749623,-0.689925,0.646169,1.16957,-2.56177,1.21893,-1.81344,-2.62597,0.278319,1.08564,0.591898,0.85861,-0.190389,1.71676,1.21468,0.0828268,1.49129,-0.41045,-0.0835324,-0.634551,-0.572255,-0.758772,-0.060854
-221.968,0.999751,0.0180309,8,255,0,232.55,-0.58931,-0.0424061,2.30653,-0.311707,0.216901,0.464849,0.499492,0.475906,-0.491994,0.3636,-1.43329,-0.739913,-0.844384,0.210213,-1.74182,-1.00161,0.0557301,-1.48243,0.359011,0.160137,-4.38775,-0.707422,-2.81969,-0.606346,1.14669,0.399152,-0.281163,0.813635,2.53185,-0.0712094,-0.289378,0.0566964,-1.16884,-1.66963,0.734997,-0.881478,0.157239,0.109256,-0.0212515,1.43257,0.875601,0.173679,-0.35514,0.473856,-1.04132,-1.11836,-0.764749,0.904532,0.622625,-0.0795627,2.29977,-0.0344618,0.186597,-1.29991,4.06714,0.977606,-2.26054,2.28544,-2.74857,-0.739913,-0.844384,0.210213,-1.74182,-1.00161,0.0557301,-1.48243,0.359011,0.160137,-0.969162,2.07354,-1.11846,1.67188
